<DATE>,<CLOSE>
1994-12-16,5.3683
1994-12-19,5.7696
1994-12-20,5.4686
1994-12-21,5.3683
1994-12-22,5.5187
1994-12-23,5.6191
1994-12-27,5.5187
1994-12-28,5.3683
1994-12-29,5.6191
1995-01-02,6.0205
1995-01-03,6.6226
1995-01-04,6.4719
1995-01-05,6.5223
1995-01-06,6.0707
1995-01-09,6.2213
1995-01-10,6.2213
1995-01-11,6.0205
1995-01-12,6.171
1995-01-13,6.3215
1995-01-16,6.2714
1995-01-17,6.0707
1995-01-18,5.8699
1995-01-19,5.8699
1995-01-20,5.7696
1995-01-23,5.6191
1995-01-24,5.4184
1995-01-25,5.3181
1995-01-26,5.1175
1995-01-27,5.1175
1995-01-30,5.1175
1995-01-31,4.8667
1995-02-01,5.017
1995-02-02,4.6157
1995-02-03,4.5154
1995-02-06,4.9669
1995-02-07,5.4184
1995-02-08,5.4184
1995-02-09,5.6191
1995-02-10,5.3683
1995-02-13,5.1676
1995-02-14,5.4184
1995-02-15,5.3683
1995-02-16,5.5187
1995-02-17,5.4184
1995-02-20,5.1676
1995-02-21,4.6659
1995-02-22,4.7663
1995-02-23,4.9669
1995-02-24,5.4184
1995-02-27,5.017
1995-02-28,4.9166
1995-03-01,4.9166
1995-03-02,5.017
1995-03-03,5.268
1995-03-06,5.268
1995-03-07,5.268
1995-03-08,5.3181
1995-03-09,5.2177
1995-03-10,5.1175
1995-03-13,5.1175
1995-03-14,5.017
1995-03-15,4.9166
1995-03-16,5.017
1995-03-17,4.9166
1995-03-20,4.8667
1995-03-21,4.8667
1995-03-22,4.7663
1995-03-23,4.6659
1995-03-24,4.8165
1995-03-27,4.9669
1995-03-28,4.8165
1995-03-29,4.8165
1995-03-30,4.9166
1995-03-31,4.9669
1995-04-03,5.017
1995-04-04,5.1175
1995-04-05,5.1175
1995-04-06,5.268
1995-04-07,5.4686
1995-04-10,5.9704
1995-04-11,6.2213
1995-04-12,6.2714
1995-04-13,6.0205
1995-04-14,6.0707
1995-04-18,6.5223
1995-04-19,6.7731
1995-04-20,6.4719
1995-04-21,5.8699
1995-04-24,6.4219
1995-04-25,6.2714
1995-04-26,6.0205
1995-04-27,6.2714
1995-04-28,6.3717
1995-05-04,6.5223
1995-05-05,6.6226
1995-05-09,6.9236
1995-05-10,7.5758
1995-05-11,7.9772
1995-05-12,7.9772
1995-05-15,7.7765
1995-05-16,7.3752
1995-05-17,7.2245
1995-05-18,6.9737
1995-05-19,6.9737
1995-05-22,6.5723
1995-05-23,6.3717
1995-05-24,6.9236
1995-05-25,6.8735
1995-05-26,6.4219
1995-05-29,6.7731
1995-05-30,6.4219
1995-05-31,6.2213
1995-06-01,6.0707
1995-06-02,6.171
1995-06-05,6.5223
1995-06-06,6.7229
1995-06-07,6.9236
1995-06-08,6.9236
1995-06-09,6.9236
1995-06-12,7.0239
1995-06-13,6.9737
1995-06-14,6.8232
1995-06-16,6.4719
1995-06-19,6.4219
1995-06-20,6.5223
1995-06-21,6.7229
1995-06-22,6.5223
1995-06-23,6.6226
1995-06-26,6.7731
1995-06-27,6.8735
1995-06-28,6.6226
1995-06-29,6.7229
1995-06-30,7.0239
1995-07-03,7.4252
1995-07-04,7.2245
1995-07-05,6.8735
1995-07-06,6.9737
1995-07-07,6.7731
1995-07-10,6.8232
1995-07-11,6.6226
1995-07-12,6.4719
1995-07-13,6.5223
1995-07-14,6.4219
1995-07-17,6.7731
1995-07-18,6.7229
1995-07-19,6.4719
1995-07-20,6.3717
1995-07-21,6.171
1995-07-24,6.1208
1995-07-25,6.171
1995-07-26,6.171
1995-07-27,6.3717
1995-07-28,6.2714
1995-07-31,5.9704
1995-08-01,5.9202
1995-08-02,5.8699
1995-08-03,5.8699
1995-08-04,5.8699
1995-08-07,5.9704
1995-08-08,5.7696
