<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2018-04-19,30.9,32,27.2,29
2018-04-20,29,29,28.5,28.99
2018-04-23,28.99,28.99,28.85,28.85
2018-04-24,28.85,28.85,27.11,27.9
2018-04-25,27.7,28.85,26.95,27.13
2018-04-26,28.85,28.85,27,27
2018-04-27,28.85,28.85,26.9,27
2018-04-30,27,28.6,25,25
2018-05-02,25.01,27.1,25.01,26.3
2018-05-04,27.1,27.1,25.85,27
2018-05-07,26.97,27,26.96,27
2018-05-08,26.91,26.91,26.5,26.5
2018-05-09,26.79,26.79,26.77,26.77
2018-05-10,26.77,27,26.2,27
2018-05-11,26.97,26.97,26.69,26.69
2018-05-14,26.68,28.5,26.61,27.2
2018-05-15,28.49,29.89,26.94,29.89
2018-05-16,29.99,32.8,29.56,30.8
2018-05-17,30.8,30.8,29.5,29.86
2018-05-18,29.86,29.86,28.5,29.25
2018-05-21,29.25,29.89,29,29.57
2018-05-22,29.79,29.79,28.4,28.68
2018-05-23,28.68,28.68,27.75,28.55
2018-05-24,29.5,29.5,28,29.5
2018-05-25,29.5,29.5,28.5,28.5
2018-05-28,29.49,29.49,27.02,28
2018-05-29,29,29,27.5,28
2018-05-30,28,29,27,28.5
2018-06-01,29.2,30.95,28,30.95
2018-06-04,30.9,30.9,29.25,29.9
2018-06-05,30.5,30.5,29.3,29.9
2018-06-06,30.49,30.49,29.3,29.8
2018-06-07,28.9,28.9,28,28
2018-06-08,28.85,29,28,28.2
2018-06-11,29.4,29.4,28.5,28.5
2018-06-12,28.79,28.79,28.22,28.79
2018-06-13,28.79,29.4,28.79,29.4
2018-06-14,29.4,29.4,29.4,29.4
2018-06-15,29.4,29.4,27.6,27.98
2018-06-18,29,29,27,27.99
2018-06-19,26.07,27.29,26.07,27.29
2018-06-20,26.5,27.63,26.5,27.48
2018-06-21,27.3,27.3,27.29,27.3
2018-06-22,28.98,28.98,27.63,27.63
2018-06-25,27.5,27.5,26.5,27.5
2018-06-26,27.5,27.5,27.5,27.5
2018-06-27,28.5,28.5,24.7,25.7
2018-06-28,26.5,26.5,24.5,25.2
2018-06-29,25,26.39,25,25.5
2018-07-02,25.8,26.5,25.8,26
2018-07-03,26,28.6,25.75,26.5
2018-07-04,26,26,25.9,26
2018-07-05,25.5,25.5,25.5,25.5
2018-07-06,26,26,24.5,26
2018-07-09,28.48,28.48,25.7,26
2018-07-10,26,26.4,25.4,26.4
2018-07-11,28.4,28.4,25.6,26
2018-07-12,26,28,26,28
2018-07-13,28.48,28.48,27,27.9
2018-07-16,27.8,28.47,27.28,28.47
