<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-04-05,109.23,109.23,104.08,105.28
2011-04-06,105.74,106.03,105.17,105.34
2011-04-07,105.68,105.68,105.22,105.22
2011-04-08,105.22,108.08,105.22,108.08
2011-04-11,108.43,109.12,107,108.02
2011-04-12,107.92,107.92,105.97,107.63
2011-04-13,107.57,108.37,106.71,107.34
2011-04-14,106.94,107.23,106.37,106.94
2011-04-15,106.94,107.74,106.66,107.28
2011-04-18,106.77,106.83,101.57,101.57
2011-04-19,101.96,105.22,101.39,105.05
2011-04-20,104.77,105.8,104.08,105.68
2011-04-21,105.22,105.8,104.94,105.8
2011-04-26,105.62,105.62,103.51,104.25
2011-04-27,103.91,104.6,102.94,104.6
2011-04-28,104.08,104.6,103.4,104.08
2011-04-29,103.06,103.51,103,103.1
2011-05-02,103.97,104.03,103,103.06
2011-05-04,103.06,103.74,103,103.68
2011-05-05,103.28,104.08,103.28,104.08
2011-05-06,103.68,105.22,103.51,104.48
2011-05-09,103.79,104.65,103.79,104.65
2011-05-10,102.94,105.51,102.94,104.88
2011-05-11,104.82,105.22,104.08,105.22
2011-05-12,104.6,104.6,102.94,104.08
2011-05-13,102.94,104.37,102.42,103.51
2011-05-16,103.51,104.99,103.51,104.65
2011-05-17,104.65,105.46,103.28,105.46
2011-05-18,105.34,106.09,105.22,105.51
2011-05-19,104.71,105.8,104.08,105.8
2011-05-20,105.91,106.54,105.8,106.37
2011-05-23,106.49,106.49,103.68,106.37
2011-05-24,105.8,107.06,105.8,106.66
2011-05-25,106.37,106.66,105.51,106.37
2011-05-26,105.68,106.37,105.68,106.09
2011-05-27,104.37,104.94,104.08,104.08
2011-05-30,105.8,105.8,104.14,104.94
2011-05-31,104.65,104.71,103.79,104.37
2011-06-01,104.08,104.14,103.1,103.51
2011-06-02,102.94,103.79,102.48,102.94
2011-06-03,102.94,103.51,101.79,102.02
2011-06-06,102.02,102.02,95.214,99.85
2011-06-07,99.91,101,97.506,99.33
2011-06-08,99.39,100.07,98.19,98.88
2011-06-09,97.506,100.02,97.506,99.51
2011-06-10,99.222,99.91,98.538,99.51
2011-06-13,99.222,99.51,99.222,99.222
2011-06-14,98.364,99.108,98.364,99.108
2011-06-15,99.108,99.33,99.108,99.282
2011-06-16,98.94,99.162,97.506,98.94
2011-06-17,98.94,103.51,98.94,103.51
2011-06-20,103.51,103.51,100.36,103.06
2011-06-21,102.94,103.63,101,103.63
2011-06-22,103.68,105.8,103.68,105.22
2011-06-24,104.94,105.8,104.94,104.94
2011-06-27,105.22,105.22,101.79,101.79
2011-06-28,102.94,105.11,101.91,103.51
2011-06-29,103.57,105.22,103.51,104.08
2011-06-30,105.22,106.37,104.08,105.8
2011-07-01,104.65,106.03,104.65,105.97
2011-07-04,105.8,105.8,104.65,105.68
2011-07-05,105.74,105.74,104.37,105.22
2011-07-06,104.08,105.46,104.08,105.22
2011-07-07,105.22,106.94,105.22,106.94
2011-07-08,105.85,107.23,105.85,107
2011-07-11,106.88,106.88,105.51,106.31
2011-07-12,104.25,106.66,101.91,106.66
2011-07-13,103,105.8,103,105.8
2011-07-14,105.8,105.8,103.97,103.97
2011-07-15,103.79,105.68,103.34,104.54
2011-07-18,103.22,104.31,103.22,104.08
2011-07-19,102.94,103.22,102.94,103.22
2011-07-20,103.06,103.51,103,103.51
2011-07-21,102.94,103.97,101.79,103.51
2011-07-22,102.94,102.94,101.85,102.59
2011-07-25,101.85,103.79,101.85,102.94
2011-07-26,102.94,102.94,101.91,101.91
2011-07-27,101.85,102.88,101.22,101.79
2011-07-28,101.22,102.37,98.94,100.65
2011-07-29,98.94,103.51,98.94,103.51
2011-08-01,101,103.45,101,103.4
2011-08-02,101,102.37,100.65,100.65
2011-08-03,100.94,100.94,94.362,94.362
2011-08-04,96.078,98.016,91.614,91.614
2011-08-05,86.64,88.068,84.696,86.922
2011-08-08,85.782,85.782,69.942,72.63
2011-08-09,72.912,78.636,65.826,70.344
2011-08-10,73.2,77.208,70.344,71.484
2011-08-11,73.2,74.286,69.768,70.794
2011-08-12,76.344,76.632,73.2,73.254
2011-08-16,78.804,78.804,76.062,76.062
2011-08-17,77.772,78.294,75.492,75.492
2011-08-18,74.97,78.342,69.828,72.63
2011-08-19,72.342,75.144,65.766,70.344
2011-08-22,73.2,74.226,68.628,74.058
2011-08-23,75.204,77.208,71.484,73.488
2011-08-24,74.058,74.346,70.914,70.914
2011-08-25,70.626,70.626,68.166,69.882
2011-08-26,70.572,70.572,68.628,69.198
2011-08-29,68.628,69.768,67.764,69.138
2011-08-30,69.138,70.284,68.628,68.796
2011-08-31,69.198,69.198,67.482,68.334
2011-09-01,68.334,68.334,65.934,65.934
2011-09-02,65.706,65.766,59.706,60.048
2011-09-05,60.618,60.618,52.67,54.9
2011-09-06,59.472,64.908,54.785,64.908
2011-09-07,65.196,67.764,64.908,66.624
2011-09-08,66.624,71.196,66.624,70.914
2011-09-09,70.914,70.914,66.336,66.336
2011-09-12,63.42,63.768,60.048,60.048
2011-09-13,61.422,61.422,57.186,57.756
2011-09-14,59.994,59.994,58.62,59.418
2011-09-15,61.134,65.196,60.048,64.05
2011-09-16,62.964,66.336,62.964,65.766
2011-09-19,61.764,65.196,61.764,64.56
2011-09-20,65.136,68.568,64.734,68.568
2011-09-21,68.628,70.626,68.628,69.198
2011-09-22,68.628,68.628,62.904,64.05
2011-09-23,68.628,70.626,60.102,63.48
2011-09-26,63.42,68.628,60.618,67.194
2011-09-27,67.482,70.626,67.482,67.764
2011-09-28,68.682,69.714,68.628,69.198
2011-09-29,70.344,73.602,70.344,73.086
2011-09-30,73.776,74.4,72.06,73.086
2011-10-03,70.344,70.344,61.248,64.05
2011-10-04,63.768,64.05,61.764,62.904
2011-10-05,63.99,65.196,62.904,63.42
2011-10-06,65.136,65.706,62.106,64.62
2011-10-07,64.05,64.56,61.188,62.904
2011-10-10,64.62,64.62,61.476,61.71
2011-10-11,62.334,64.05,60.786,60.786
2011-10-12,62.562,62.562,61.362,61.422
2011-10-13,61.476,62.334,61.188,62.274
2011-10-14,62.274,62.622,61.932,62.334
2011-10-17,62.394,64.05,62.22,63.708
2011-10-18,62.844,63.48,62.844,62.904
2011-10-19,62.904,62.904,60.96,62.22
2011-10-20,61.71,61.71,59.76,61.476
2011-10-21,63.48,63.48,60.336,62.904
2011-10-24,60.618,64.05,60.618,62.904
2011-10-25,63.768,64.62,60.846,61.764
2011-10-26,62.052,62.334,61.59,62.052
2011-10-27,62.904,63.768,62.736,63.078
2011-10-28,63.768,67.596,62.904,63.768
2011-10-31,63.48,64.05,63.48,63.822
2011-11-02,60.048,62.334,60.048,61.992
2011-11-03,60.618,62.622,60.618,62.052
2011-11-04,67.368,67.422,62.904,62.904
2011-11-07,65.766,65.766,61.248,61.308
2011-11-08,63.246,64.734,62.334,63.768
2011-11-09,64.56,64.62,62.904,62.904
2011-11-10,61.476,64.56,61.476,62.676
2011-11-14,62.676,64.512,62.676,64.392
2011-11-15,64.56,65.766,63.534,64.05
2011-11-16,63.48,63.48,62.622,63.48
2011-11-17,63.48,64.05,61.248,62.796
2011-11-18,62.736,62.736,61.59,61.59
2011-11-21,61.59,62.562,61.188,61.188
2011-11-22,60.102,62.736,60.102,61.764
2011-11-23,60.336,61.764,60.336,61.764
2011-11-24,61.476,62.562,58.386,60.276
2011-11-25,59.76,65.196,58.728,62.274
2011-11-28,62.676,64.908,62.622,63.48
2011-11-29,63.48,65.196,63.192,64.164
2011-11-30,65.136,65.196,64.164,65.196
2011-12-01,65.196,66.912,64.62,65.706
2011-12-02,66.054,66.624,64.338,64.908
2011-12-05,64.908,64.908,64.05,64.62
2011-12-06,64.56,64.56,64.05,64.05
2011-12-07,64.11,65.364,64.05,64.962
2011-12-08,64.794,64.794,63.246,63.936
2011-12-09,63.936,64.908,62.904,62.964
2011-12-12,62.904,62.904,60.786,61.248
2011-12-13,61.764,62.796,61.08,61.764
2011-12-14,61.188,62.844,61.188,61.818
2011-12-15,61.818,62.052,60.048,60.048
2011-12-16,60.048,62.052,60.048,61.764
2011-12-19,61.08,62.334,61.08,61.764
2011-12-20,61.188,62.052,61.188,61.764
2011-12-21,61.764,62.622,61.764,62.334
2011-12-22,62.052,62.052,61.188,61.188
2011-12-23,60.678,61.134,60.444,61.08
2011-12-27,60.39,60.39,57.756,58.68
2011-12-28,60.048,61.02,58.386,60.048
