<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2000-12-19,67.25,69.17,65.32,68.01
2000-12-20,65.24,67.93,65.24,67.85
2000-12-21,67.79,67.79,65.86,67.25
2000-12-22,67.45,67.6,65.94,67.6
2000-12-27,66.06,67.73,66.06,67.73
2000-12-28,68.49,68.49,66.18,67.14
2000-12-29,67.45,68.53,65.52,67.45
2001-01-02,69.35,69.35,67.41,67.41
2001-01-03,66.1,68.04,66.1,68.04
2001-01-04,68.31,69.48,66.98,68.31
2001-01-05,69.75,69.95,66.99,69.75
2001-01-09,69.41,69.75,66.11,69.75
2001-01-10,70.34,70.34,66.86,69.4
2001-01-12,69.33,69.33,69.33,69.33
2001-01-15,68.69,68.69,66.36,67.72
2001-01-16,67.21,67.21,66.05,66.82
2001-01-17,67.17,67.75,67.17,67.75
2001-01-18,67.87,70.57,67.87,70.57
2001-01-19,69.17,69.17,67.05,68.78
2001-01-22,65.31,68.43,65.31,68.43
2001-01-23,65.79,68.29,65.79,68.29
2001-01-29,65.27,65.27,65.27,65.27
2001-01-30,64.92,65.49,64.92,65.49
2001-01-31,62.72,64.63,62.72,64.63
2001-02-01,66.13,66.13,63.25,66.13
2001-02-02,65.2,65.2,62.55,62.55
2001-02-05,65.4,65.4,65.37,65.37
2001-02-07,65.41,65.41,62.56,65.41
2001-02-09,62.63,65.47,62.63,65.47
2001-02-12,65.42,65.42,65.42,65.42
2001-02-13,65.21,65.4,65.21,65.4
2001-02-16,63.11,64.42,63.11,64.42
2001-02-19,64.46,64.46,64.46,64.46
2001-02-23,64.39,64.65,64.39,64.65
2001-02-26,64.44,64.81,64.25,64.81
2001-02-28,64.37,64.75,63.81,64.75
2001-03-01,64.3,64.3,63.37,64.3
2001-03-05,66.62,66.62,64.02,64.02
2001-03-06,63.65,63.65,62.91,63.65
2001-03-07,63.48,63.48,63.48,63.48
2001-03-08,63.87,63.87,63.12,63.87
2001-03-09,64.08,66.87,64.08,66.87
2001-03-12,66.61,66.61,63.31,63.31
2001-03-13,64.58,64.58,63.64,63.64
2001-03-15,64.33,64.33,62.65,64.14
2001-03-16,63.22,63.22,63.22,63.22
2001-03-19,64.13,64.13,64.13,64.13
2001-03-20,64.18,64.18,64.18,64.18
2001-03-21,63.79,65.82,63.79,65.45
2001-03-22,65.2,66.49,65.2,65.57
2001-03-23,65.48,67.69,64.19,67.69
2001-03-26,63.14,64.98,62.59,64.98
2001-03-27,66.19,66.56,66.19,66.56
2001-03-28,66,68.93,65.26,68.93
2001-03-29,64.91,68.9,64.91,68.9
2001-03-30,68.72,68.72,66.55,68.72
2001-04-02,68.34,71.26,68.34,70.9
2001-04-03,69.96,70.68,68.52,70.68
2001-04-05,70.45,70.45,68.64,68.64
2001-04-06,68.39,68.75,66.58,68.75
2001-04-09,68.67,71.56,68.67,70.48
2001-04-10,70.18,70.9,68.92,70.54
2001-04-11,70.66,73.71,69.94,70.66
2001-04-12,71.04,71.4,70.5,71.4
2001-04-17,73.64,73.64,72.93,72.93
2001-04-18,72.76,73.11,72.4,73.11
2001-04-19,72.19,72.19,72.19,72.19
2001-04-20,73.69,73.69,71.55,72.98
2001-04-23,73.68,73.68,72.95,72.95
2001-04-24,74.95,74.95,74.95,74.95
2001-04-26,73.32,73.68,72.17,73.68
2001-04-27,72.87,73.59,72.87,73.41
2001-04-30,72.5,73.56,70.73,73.56
2001-05-02,72.7,72.7,72.7,72.7
2001-05-03,72.7,72.7,72.7,72.7
2001-05-04,73.1,73.1,71.69,73.1
2001-05-09,71.63,72.33,71.63,72.33
2001-05-10,73.11,73.29,72.94,73.29
2001-05-14,73.39,73.39,71.98,71.98
2001-05-16,71.75,73.86,71.75,73.86
2001-05-17,71.47,73.23,71.47,73.23
2001-05-18,72.96,73.14,71.22,73.14
2001-05-21,72.89,72.99,72.89,72.99
2001-05-22,72.81,72.81,72.81,72.81
2001-05-30,71.99,71.99,67.01,71.47
2001-05-31,71,71.17,71,71.17
2001-06-07,70.78,70.78,68.75,68.75
2001-06-08,68.93,68.93,66.59,66.59
2001-06-11,66.11,67.46,65.77,67.46
2001-06-13,67.39,67.39,66.71,66.71
2001-06-14,67.05,67.05,66.71,66.71
2001-06-15,67.04,67.04,66.36,66.36
2001-06-18,67.28,70.01,67.28,69.32
2001-06-19,68.08,68.76,64.68,68.42
2001-06-20,68.21,68.89,67.52,68.72
2001-06-21,68.88,68.88,65.98,68.37
2001-06-22,66.03,68.06,64.33,68.06
2001-06-25,68.06,68.4,67.04,68.4
2001-06-26,68.94,68.94,68.26,68.26
2001-06-27,68.38,68.72,68.38,68.72
2001-06-28,67.72,70.59,63.99,70.59
2001-06-29,70.94,70.94,68.58,69.26
2001-07-02,69.42,69.42,64.34,67.73
2001-07-03,65.91,67.6,65.91,66.41
2001-07-04,65.24,66.59,64.22,66.59
2001-07-05,66.66,67.67,65.64,67.33
2001-07-06,68.09,70.31,65.17,70.31
2001-07-09,73.63,73.63,70.76,71.84
2001-07-10,70.1,74.42,67.82,74.42
2001-07-12,75.07,75.07,74.71,75.07
2001-07-17,73.62,73.62,73.62,73.62
2001-07-20,75.72,75.76,75.72,75.76
2001-07-23,74.77,74.77,72.95,72.95
2001-07-26,73.78,73.78,70.46,70.46
2001-07-27,71.8,71.8,70.37,70.37
2001-07-30,72.03,73.84,72.03,73.84
2001-07-31,74.15,74.15,73.48,73.48
2001-08-02,75.04,75.04,75.04,75.04
2001-08-03,75.16,75.2,74.86,75.2
2001-08-06,74.41,74.41,71.1,74.07
2001-08-07,74.28,76.02,74.28,75.95
2001-08-14,77.92,77.92,77.92,77.92
2001-08-16,80,80,79.96,79.96
2001-08-17,79.64,79.83,79.64,79.83
2001-08-22,80.57,80.57,79.42,80.57
2001-08-23,78.88,78.88,78.88,78.88
2001-08-24,78.9,79.01,76.39,79.01
2001-08-27,79.07,79.07,76.45,76.45
2001-08-28,76.18,76.18,75.41,76.18
2001-08-29,76.11,76.11,74.42,74.42
2001-08-30,74.93,75.31,74.16,74.16
2001-08-31,75.74,75.74,74,74.03
2001-09-03,73.08,73.08,72.89,72.89
2001-09-04,69.26,74.43,68.88,74.43
2001-09-05,67.83,72.91,67.83,71.41
2001-09-06,73.36,73.36,73.36,73.36
2001-09-07,73.58,73.58,72.64,73.58
2001-09-10,73.91,73.91,72.2,73.15
2001-09-11,72.67,72.67,71.92,72.67
2001-09-12,71.41,72.18,69.49,72.18
2001-09-13,71.81,71.81,67.21,67.21
2001-09-14,67.94,73.38,65.47,71.45
2001-09-17,73.2,73.2,68.65,71.62
2001-09-18,70.24,72.19,70.24,72
2001-09-19,72.2,74.55,72.2,74.35
2001-09-20,73.23,74,70.11,73.62
2001-09-21,66.72,68.39,64.81,67.29
2001-09-24,67.39,68.68,67.39,68.68
2001-09-26,69.37,70.15,68.2,70.15
2001-09-27,69.45,69.45,69.45,69.45
2001-10-01,72.36,72.36,69.28,69.28
2001-10-03,69.55,69.55,69.35,69.55
2001-10-04,69.31,69.31,68.54,69.12
2001-10-05,68.33,68.52,67.18,68.52
2001-10-08,69.12,69.12,67.78,68.74
2001-10-09,69.19,71.11,69.19,70.53
2001-10-10,69.68,70.25,69.11,70.25
2001-10-11,70.91,70.91,68.47,70.53
2001-10-12,71.01,71.39,69.89,71.39
2001-10-15,71.58,71.58,70.91,71.58
2001-10-17,70.69,70.69,70.32,70.32
2001-10-19,70.09,70.09,66.4,66.4
2001-10-22,67.6,68.34,66.5,67.23
2001-10-23,67.14,67.14,66.04,67.14
2001-10-24,67.22,67.22,66.01,67.04
2001-10-25,67.3,69.14,66.93,69.14
2001-10-29,69.15,69.7,69.15,69.7
2001-10-30,70.65,70.65,68.42,70.28
2001-10-31,70.25,70.25,70.25,70.25
2001-11-02,70.06,70.36,69.32,70.36
2001-11-05,70.19,70.19,70.08,70.19
2001-11-06,69.81,69.81,69.48,69.81
2001-11-07,69.76,69.8,69.47,69.76
2001-11-08,69.19,69.49,69.19,69.49
2001-11-09,68.88,69.35,68.45,69.35
2001-11-12,69.71,70.07,67.53,68.08
2001-11-13,68,68.04,66.59,67.86
2001-11-14,68.63,68.63,65.05,67.94
2001-11-15,66.9,67.95,63.28,67.95
2001-11-16,69.22,69.22,67.75,67.75
2001-11-19,65.29,68.01,65.29,67.83
2001-11-20,67.91,68.19,67.36,67.91
2001-11-21,67.9,67.9,66.82,67.54
2001-11-22,68.05,68.05,67.69,67.69
2001-11-23,68.15,68.37,66.24,67.47
2001-11-26,68.59,68.77,68.05,68.77
2001-11-27,68.2,68.2,67.16,67.88
2001-11-28,68.37,68.41,66.97,68.05
2001-11-29,68.42,68.42,66.97,68.06
2001-11-30,68.46,68.46,66.9,68.32
2001-12-03,69.04,69.04,67.59,68.14
2001-12-04,67.73,68.02,67.02,67.98
2001-12-05,68.2,68.24,67.3,68.2
2001-12-06,68.7,68.81,67.72,68.81
2001-12-07,68.63,69.17,67.91,69.17
2001-12-10,69.66,69.66,68.75,69.66
2001-12-11,64.8,69.52,64.8,69.34
2001-12-12,68.85,72.48,67.62,69.94
2001-12-13,69.57,71.24,68.7,69.79
2001-12-14,70.18,75.44,69.27,75.26
2001-12-17,75.19,76.81,74.1,74.82
2001-12-18,72.5,73.92,72.5,72.85
2001-12-19,73.22,76.27,71.79,75.73
2001-12-20,74.68,74.68,71.3,73.08
2001-12-21,75.49,75.49,72.64,74.78
2001-12-24,73.86,73.86,71.91,73.86
2001-12-27,73.55,73.55,70.6,72.14
2001-12-28,71.67,71.67,71.67,71.67
2002-01-02,74.19,74.19,72.06,73.48
2002-01-03,73.9,73.9,71.4,73.72
2002-01-04,74.19,74.19,71.4,72.46
2002-01-07,73.04,73.04,70.24,72.87
2002-01-08,72.48,72.48,71.26,71.43
2002-01-09,72.43,72.6,71.54,72.6
2002-01-10,73.05,73.05,71.28,72.17
2002-01-11,73.93,73.93,72.3,73.68
2002-01-14,72.39,72.93,71.32,72.75
2002-01-15,73.22,73.4,71.96,72.4
2002-01-16,73.08,73.08,71.64,71.64
2002-01-17,73.71,73.71,72.25,73.34
2002-01-18,74.68,75.97,74.5,75.97
2002-01-21,75.64,76.85,73.26,73.26
2002-01-22,76.12,76.12,74.3,74.3
2002-01-23,76.15,76.15,74.69,75.42
2002-01-24,75.78,75.78,75.06,75.42
2002-01-25,75.7,75.7,74.61,75.52
2002-01-28,73.62,74.7,73.62,74.7
2002-01-29,73.58,73.58,72.98,73.23
2002-01-30,74.15,74.15,71.65,73.4
2002-01-31,73.65,73.65,72.25,73.62
2002-02-01,73.62,73.65,72.58,73.47
2002-02-04,73.76,73.76,73.04,73.65
2002-02-05,73.86,73.94,73.57,73.94
2002-02-06,74,74,73.63,74
2002-02-07,75.06,75.06,73.98,74.69
2002-02-08,74.84,74.84,73.74,74.84
2002-02-11,73.86,74.22,73.68,74.22
2002-02-12,74.41,74.96,74.05,74.41
2002-02-13,72.99,74.15,72.7,73.97
2002-02-14,73.96,73.96,72.9,73.59
2002-02-15,73.59,73.59,71.13,73.59
2002-02-18,73.17,73.17,72.81,73.17
2002-02-19,72.7,72.7,71.98,72.34
2002-02-20,73.23,73.59,72.13,73.59
2002-02-21,73.41,73.41,72.68,73.04
2002-02-22,72.58,73.31,72.22,72.58
2002-02-25,72.88,72.88,72.88,72.88
2002-02-26,72.94,72.94,72.58,72.94
2002-02-27,72.52,72.88,72.34,72.88
2002-02-28,72.82,73.37,72.64,73.18
2002-03-01,73.85,73.85,73.48,73.48
2002-03-04,72.96,72.96,71.7,72.42
2002-03-05,72.79,72.79,72.43,72.43
2002-03-06,72.63,72.95,71.55,72.95
2002-03-07,73.26,73.44,72.71,73.44
2002-03-08,73.82,73.82,73.31,73.82
2002-03-11,72.86,72.86,72.5,72.86
2002-03-12,72.92,72.92,71.66,72.56
2002-03-13,73.29,73.29,72.63,72.81
2002-03-14,73.06,73.06,72.88,73.06
2002-03-15,72.7,73.07,72.52,73.07
2002-03-18,72.37,72.37,72.37,72.37
2002-03-19,72.41,72.45,72.41,72.45
2002-03-20,72.38,72.38,72.38,72.38
2002-03-21,72.57,73.11,72.57,72.57
2002-03-22,72.33,72.33,69.79,71.24
2002-03-25,72.45,72.45,69.62,72.41
2002-03-26,72.29,72.57,70.26,72.57
2002-03-27,72.3,72.51,72.15,72.33
2002-04-02,72.21,72.21,71.49,72.21
2002-04-03,71.86,71.9,71.72,71.72
2002-04-04,71.83,72.01,70.57,72.01
2002-04-05,72.02,72.02,71.3,72.02
2002-04-08,71.68,71.79,71.68,71.79
2002-04-09,71.13,71.77,71.05,71.77
2002-04-10,71.29,72.73,71.29,72.73
2002-04-11,72.74,73.78,72.7,73.78
2002-04-12,73.3,75.09,73.12,75.09
2002-04-15,74.94,74.94,73.36,74.61
2002-04-16,73.62,73.62,72.58,73.3
2002-04-17,73.72,73.72,73.57,73.57
2002-04-18,72.26,73.63,72.26,73.63
2002-04-19,73.55,73.62,73.55,73.62
2002-04-22,73.65,73.69,73.65,73.69
2002-04-23,73.4,73.43,73.4,73.43
2002-04-24,73.66,73.66,72.83,73.62
2002-04-25,74.01,74.01,73.32,73.68
2002-04-26,73.65,73.69,73.33,73.69
2002-04-29,73.34,73.34,73.34,73.34
2002-04-30,73.22,73.22,73.08,73.08
2002-05-02,73.22,73.26,73.08,73.08
2002-05-03,73.08,73.08,73.08,73.08
2002-05-06,74.09,74.09,73.37,73.37
2002-05-07,73.11,73.29,72.56,72.56
2002-05-08,72.89,72.89,72.89,72.89
2002-05-09,73.05,73.05,72.91,72.91
2002-05-10,73.26,73.99,73.26,73.99
2002-05-13,74.78,74.78,74.41,74.59
2002-05-14,74.82,75.37,74.82,75.19
2002-05-15,74.28,74.28,74.09,74.28
2002-05-16,75.52,75.56,74.81,75.37
2002-05-17,75.9,75.9,75.11,75.3
2002-05-20,76.1,76.1,76.1,76.1
2002-05-21,75.12,75.15,74.97,75.15
2002-05-22,75.69,76.07,74.93,76.07
2002-05-23,76.19,76.19,74.67,76
2002-05-24,75.14,75.52,74.95,75.14
2002-05-27,74.99,75.03,73.41,75.03
2002-05-28,75.07,75.11,75.07,75.11
2002-05-29,75.26,75.3,75.26,75.3
2002-05-30,75.26,75.3,75.26,75.26
2002-05-31,75.49,75.53,75.49,75.53
2002-06-03,74.96,75,73.5,75
2002-06-04,75.77,75.81,74.14,75.62
2002-06-05,75,75,73.52,74.66
2002-06-06,74.58,74.58,72.32,73.45
2002-06-07,73.78,73.78,71.92,73.4
2002-06-10,74.54,74.54,74.08,74.46
2002-06-11,74.6,74.6,74.6,74.6
2002-06-12,73.72,76.09,72.65,74.56
2002-06-13,73.87,74.59,73.87,74.59
2002-06-14,74.82,74.86,72.43,74.67
2002-06-17,74.94,74.94,74.94,74.94
2002-06-18,75.27,75.5,75.27,75.46
2002-06-19,75.49,75.49,73.46,74.99
2002-06-20,75.56,75.56,73.44,75.37
2002-06-21,76.06,76.06,72.96,76.06
2002-06-24,77.52,77.52,73.62,74.8
2002-06-25,74.26,76.8,74.26,74.26
2002-06-26,75.18,77.16,73.2,76.76
2002-06-27,75.65,75.65,72.9,75.02
2002-06-28,77.9,77.9,72.56,75.17
2002-07-01,75.37,75.37,75.37,75.37
2002-07-02,73.48,73.48,67.62,67.66
2002-07-03,69.38,70.11,68.9,70.11
2002-07-04,69.81,70.21,68.61,70.21
2002-07-05,70.92,70.92,69.29,70.71
2002-07-08,71.12,71.12,69.73,69.73
2002-07-09,71.53,72.74,71.49,72.74
2002-07-10,72.23,72.23,69.74,71.4
2002-07-11,70.72,70.72,69.98,69.98
2002-07-12,70.14,70.14,69.56,69.97
2002-07-15,70.41,70.41,70.41,70.41
2002-07-16,71.34,71.34,67.64,70.75
2002-07-17,69.48,69.53,69.48,69.53
2002-07-18,67.54,68.77,67.5,67.95
2002-07-19,67.9,68.92,67.69,67.69
2002-07-22,68.03,68.03,68.03,68.03
2002-07-23,66.46,66.46,64.56,65.77
2002-07-24,67,67.12,65.08,67.12
2002-07-25,67.18,67.22,66.81,67.22
2002-07-26,67.54,67.54,67.54,67.54
2002-07-29,66.75,66.99,66.75,66.99
2002-07-30,66.92,67.12,66.92,67.12
2002-07-31,67.34,69.79,67.34,69.79
2002-08-01,67.13,71.2,67.13,69.97
2002-08-02,71.27,71.64,68.56,71.64
2002-08-05,69.71,69.75,66.1,69.75
2002-08-06,68.87,70.94,68.87,70.94
2002-08-07,69.2,74.49,69.2,74.49
2002-08-08,74.14,74.14,74.14,74.14
2002-08-09,74.45,77.34,74.45,77.34
2002-08-12,77.33,77.33,77.33,77.33
2002-08-13,77.62,77.62,77.62,77.62
2002-08-14,78.05,78.05,71.89,78.05
2002-08-15,78.05,78.05,78.05,78.05
2002-08-16,76.12,77.75,69.98,77.75
2002-08-19,77.58,77.82,77,77.82
2002-08-20,77.29,77.29,71.39,77.29
2002-08-21,75.02,77.05,74.98,77.05
2002-08-23,75.45,76.18,75.16,76.18
2002-08-26,76.9,76.9,76.9,76.9
