<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-11-18,7.9015,8.0894,7.7192,7.7192
1998-11-19,7.6722,7.6722,7.2966,7.5314
1998-11-20,7.6722,7.8547,7.6722,7.8547
1998-11-23,7.9486,8.1364,7.9486,7.9956
1998-11-24,7.9956,7.9956,7.6722,7.7192
1998-11-25,7.7192,7.8077,7.6252,7.7608
1998-11-26,7.7608,7.7608,7.6252,7.6722
1998-11-27,7.6252,7.6252,7.5314,7.5314
1998-11-30,7.4374,7.5314,7.4374,7.4374
1998-12-01,7.2966,7.2966,7.2027,7.2497
1998-12-02,7.2497,7.3905,7.2497,7.3436
1998-12-03,7.2966,7.6252,7.2966,7.5314
1998-12-04,7.4843,7.8077,7.4843,7.8077
1998-12-07,7.8547,7.8547,7.6252,7.7192
1998-12-08,7.7192,7.8077,7.7192,7.7608
1998-12-09,7.7608,7.7608,7.7192,7.7608
1998-12-10,7.8547,7.8547,7.7608,7.7608
1998-12-11,7.7192,7.8077,7.6252,7.7608
1998-12-14,7.7192,7.8547,7.7192,7.8077
1998-12-15,7.8077,7.8547,7.7608,7.7608
1998-12-16,7.8547,7.9956,7.8547,7.9486
1998-12-17,7.8547,7.9015,7.8077,7.8077
1998-12-18,7.8547,7.9015,7.8547,7.9015
1998-12-21,7.8547,7.9956,7.8547,7.9486
1998-12-22,7.9956,8.0894,7.9956,8.0423
1998-12-23,8.1364,8.3239,8.1364,8.2768
1998-12-28,8.2768,8.3712,8.1832,8.2768
1998-12-29,8.2305,8.2305,8.0894,8.1364
1998-12-30,8.1364,8.2305,8.1364,8.1364
1998-12-31,8.1364,8.1832,8.1364,8.1832
1999-01-04,8.2768,8.6996,8.2768,8.6996
1999-01-05,8.6528,8.7474,8.6528,8.6996
1999-01-06,8.8401,9.4452,8.8401,9.4452
1999-01-07,9.681,9.681,9.2114,9.4452
1999-01-08,9.915,10.614,9.775,10.526
1999-01-11,10.291,10.291,9.821,10.056
1999-01-12,10.102,10.385,10.056,10.15
1999-01-13,9.821,9.821,8.9338,9.1636
1999-01-14,9.0284,9.492,9.0284,9.1216
1999-01-15,8.8401,9.3049,8.7933,9.2572
1999-01-18,9.681,10.66,9.681,10.526
1999-01-19,10.526,10.943,10.291,10.755
1999-01-20,11.036,11.505,11.036,11.27
1999-01-21,12.111,12.252,11.6,11.788
1999-01-22,11.224,11.459,10.99,10.99
1999-01-25,10.755,11.553,10.755,11.413
1999-01-26,11.834,12.392,11.788,11.971
1999-01-27,12.157,12.157,11.834,12.017
1999-01-28,11.834,12.345,11.834,12.297
1999-01-29,12.533,12.815,12.533,12.768
1999-02-01,12.862,12.862,12.533,12.674
1999-02-02,12.44,12.627,12.297,12.345
1999-02-03,12.345,12.485,12.205,12.392
1999-02-04,12.627,12.627,12.392,12.392
1999-02-05,12.157,12.205,11.971,12.064
1999-02-08,12.017,12.44,11.881,12.297
1999-02-09,12.157,12.157,11.834,11.834
1999-02-10,11.553,11.74,11.459,11.6
1999-02-11,11.693,11.788,11.647,11.693
1999-02-12,12.157,12.157,11.647,11.693
1999-02-15,11.6,11.74,11.6,11.647
1999-02-16,11.647,12.017,11.647,12.017
1999-02-17,11.788,11.834,11.6,11.647
1999-02-18,11.6,11.6,11.413,11.413
1999-02-19,11.224,11.224,10.526,10.614
1999-02-22,10.707,10.707,10.291,10.478
1999-02-23,10.755,10.755,10.15,10.15
1999-02-24,10.243,10.243,9.868,10.056
1999-02-25,9.915,10.15,9.587,9.727
1999-02-26,9.727,9.868,9.633,9.775
