<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2013-07-18,21.326,22.965,21.326,22.908
2013-07-19,22.896,22.908,22.896,22.908
2013-07-22,22.908,22.908,22.335,22.908
2013-07-23,22.335,22.908,22.335,22.908
2013-07-24,23.022,23.022,22.908,22.965
2013-07-25,22.908,22.908,22.908,22.908
2013-07-26,22.908,22.908,22.908,22.908
2013-07-29,22.908,22.908,22.908,22.908
2013-07-30,22.908,22.931,22.908,22.92
2013-07-31,23.011,23.699,23.011,23.699
2013-08-01,23.469,23.71,23.469,23.71
2013-08-02,23.882,24.054,23.824,23.824
2013-08-05,24.282,24.282,24.282,24.282
2013-08-06,24.168,24.168,23.824,23.824
2013-08-08,23.824,23.824,23.732,23.732
2013-08-09,23.824,24.054,23.824,24.054
2013-08-12,23.824,24.054,23.824,24.054
2013-08-14,24.054,24.111,24.054,24.054
2013-08-16,24.054,24.054,24.054,24.054
2013-08-19,24.054,24.054,23.824,23.876
2013-08-20,23.732,23.732,23.195,23.195
2013-08-22,22.954,23.022,22.335,23.022
2013-08-23,23.022,23.022,22.908,22.908
2013-08-26,23.368,23.368,22.908,22.908
2013-08-27,23.022,23.022,22.908,22.908
2013-08-28,22.685,22.908,22.679,22.908
2013-08-29,23.022,23.022,23.022,23.022
2013-08-30,23.6,23.6,23.6,23.6
2013-09-02,23.594,23.594,23.594,23.594
2013-09-03,23.594,24.271,23.144,23.315
2013-09-04,23.371,23.371,23.371,23.371
2013-09-05,23.371,23.422,23.368,23.368
2013-09-06,23.422,23.422,23.422,23.422
2013-09-09,23.481,23.71,23.481,23.481
2013-09-10,23.481,23.481,23.481,23.481
2013-09-11,23.371,23.371,23.371,23.371
2013-09-12,23.481,23.481,23.371,23.371
2013-09-13,23.368,23.71,23.368,23.71
2013-09-16,23.71,23.939,23.71,23.939
2013-09-17,23.939,24.168,23.892,24.054
2013-09-18,23.481,24.741,23.481,24.626
2013-09-19,24.511,24.97,24.511,24.97
2013-09-20,24.741,24.912,24.741,24.912
2013-09-23,24.912,25.312,24.912,25.199
2013-09-24,25.199,25.199,25.199,25.199
2013-09-26,25.221,25.221,25.084,25.084
