<DATE>,<CLOSE>
2015-04-09,91.531
2015-04-10,94.86
2015-04-13,92.888
2015-04-14,95.199
2015-04-15,94.924
2015-04-16,93.163
2015-04-17,92.714
2015-04-20,94.025
2015-04-21,92.155
2015-04-22,92.155
2015-04-23,92.301
2015-04-24,92.155
2015-04-27,93.549
2015-04-28,92.228
2015-04-29,94.025
2015-04-30,95.493
2015-05-04,97.667
2015-05-05,96.282
2015-05-06,96.942
2015-05-07,94.924
2015-05-08,96.869
2015-05-11,96.456
2015-05-12,97.08
2015-05-13,97.703
2015-05-14,98.391
2015-05-15,98.391
2015-05-18,98.364
2015-05-19,99.088
2015-05-20,98.052
2015-05-21,97.703
2015-05-22,99.051
2015-05-25,102.42
2015-05-26,106.02
2015-05-27,105.91
2015-05-28,104.63
2015-05-29,104.63
2015-06-01,104.98
2015-06-02,104.63
2015-06-03,104.63
2015-06-05,101.17
2015-06-08,103.21
2015-06-09,103.14
2015-06-10,101.89
2015-06-11,102.55
2015-06-15,103.87
2015-06-16,103.94
2015-06-17,103.24
2015-06-18,103.24
2015-06-19,101.52
2015-06-22,102.18
2015-06-23,101.86
2015-06-24,102.07
2015-06-25,101.83
2015-06-26,101.17
2015-06-29,101.17
2015-06-30,100.47
2015-07-01,101.17
2015-07-02,101.17
2015-07-03,100.44
2015-07-06,100.13
2015-07-07,101.07
2015-07-08,100.47
2015-07-09,101.27
2015-07-10,101.27
2015-07-13,99.6
2015-07-14,98.62
2015-07-15,96.135
2015-07-16,98.62
2015-07-17,100.13
2015-07-20,101.27
2015-07-21,100.51
2015-07-22,100.51
2015-07-23,101.04
2015-07-24,100.89
2015-07-27,97.492
2015-07-28,97.492
2015-07-29,96.438
2015-07-30,96.804
2015-07-31,97.492
2015-08-03,95.979
2015-08-04,97.492
2015-08-05,97.336
2015-08-06,97.492
2015-08-10,99.006
2015-08-11,99.68
2015-08-12,99.76
2015-08-14,99.76
2015-08-17,99.76
2015-08-18,101
2015-08-19,102.33
2015-08-20,102.4
2015-08-21,102.74
2015-08-24,94.851
2015-08-25,94.768
2015-08-26,94.768
2015-08-27,93.631
2015-08-28,95.52
2015-08-31,95.218
2015-09-01,95.19
2015-09-02,94.466
2015-09-03,92.347
2015-09-04,92.962
2015-09-07,91.632
2015-09-08,91.448
2015-09-09,89.93
2015-09-10,89.93
2015-09-11,89.783
2015-09-14,95.071
2015-09-15,94.466
2015-09-16,94.466
2015-09-17,94.466
2015-09-18,95.034
2015-09-21,94.466
2015-09-22,94.466
2015-09-23,95.979
2015-09-24,96.355
2015-09-25,94.319
2015-09-28,94.466
2015-09-29,93.328
2015-09-30,93.328
2015-10-01,95.979
2015-10-02,95.979
2015-10-05,94.466
2015-10-07,96.282
2015-10-08,96.282
2015-10-09,96.282
2015-10-12,96.731
2015-10-13,94.695
2015-10-14,96.731
2015-10-15,97.868
2015-10-16,101.04
2015-10-21,100.51
2015-10-22,96.841
2015-10-23,101.95
2015-10-26,101.79
2015-10-27,101.27
2015-10-28,101.27
2015-10-29,99.76
2015-10-30,99.76
2015-11-02,101.27
2015-11-03,101.27
2015-11-04,101.88
2015-11-05,100.51
2015-11-06,96.584
2015-11-09,95.979
2015-11-10,98.244
2015-11-12,99.65
2015-11-13,99.006
2015-11-16,101.57
2015-11-17,101.43
2015-11-18,101.38
2015-11-19,101.27
2015-11-23,100.96
2015-11-24,97.492
2015-11-25,100.51
2015-11-26,100.44
2015-11-27,99.72
2015-11-30,99.006
2015-12-01,99.65
2015-12-02,97.492
2015-12-03,97.492
2015-12-04,97.492
2015-12-07,96.135
2015-12-08,95.979
2015-12-09,92.962
2015-12-10,92.989
2015-12-14,90.086
2015-12-15,87.588
2015-12-16,87.666
2015-12-17,86.868
2015-12-18,85.738
2015-12-21,86.304
2015-12-22,85.775
2015-12-23,86.911
2015-12-28,89.176
2015-12-29,89.176
2015-12-30,89.93
2016-01-04,90.684
2016-01-05,89.097
2016-01-07,87.666
2016-01-08,89.176
2016-01-11,86.911
2016-01-12,86.911
2016-01-13,87.666
2016-01-14,89.176
2016-01-15,89.063
2016-01-18,88.985
2016-01-19,88.985
2016-01-20,88.004
2016-01-21,88.004
2016-01-22,88.95
2016-01-25,87.666
2016-01-26,89.141
2016-01-27,87.44
2016-01-28,88.568
2016-01-29,89.097
2016-02-01,87.666
2016-02-02,89.141
2016-02-03,89.141
2016-02-04,89.141
2016-02-08,89.93
2016-02-09,89.93
2016-02-10,89.93
2016-02-11,89.93
2016-02-12,89.93
2016-02-15,90.459
2016-02-16,90.684
2016-02-17,91.595
2016-02-18,92.842
2016-02-19,94.466
2016-02-22,94.466
2016-02-23,94.466
2016-02-24,93.714
2016-02-25,93.677
2016-02-26,91.448
2016-02-29,89.557
2016-03-02,91.824
2016-03-03,93.631
2016-03-04,93.631
2016-03-07,94.356
2016-03-08,94.356
2016-03-09,94.466
2016-03-10,97.602
2016-03-11,100.51
2016-03-14,100.51
2016-03-15,100.85
2016-03-16,101.15
2016-03-17,100.51
2016-03-18,99.226
2016-03-21,100.51
2016-03-22,99.76
2016-03-23,99.76
2016-03-24,95.374
2016-03-29,95.979
2016-03-30,95.144
2016-03-31,94.548
2016-04-01,94.466
2016-04-04,93.714
2016-04-05,94.466
2016-04-06,93.714
2016-04-07,94.081
2016-04-08,94.466
2016-04-11,90.572
2016-04-12,89.288
2016-04-13,90.684
2016-04-14,90.684
2016-04-15,90.649
2016-04-18,90.684
2016-04-19,91.292
2016-04-20,91.101
2016-04-21,90.684
2016-04-22,90.537
2016-04-25,90.346
2016-04-26,90.616
2016-04-27,90.616
2016-04-28,90.616
2016-04-29,90.616
2016-05-02,90.616
2016-05-04,90.155
2016-05-05,89.93
2016-05-06,89.4
2016-05-09,90.616
2016-05-10,85.775
2016-05-11,85.398
2016-05-12,85.7
2016-05-13,85.398
2016-05-16,85.738
2016-05-17,86.154
2016-05-18,86.154
2016-05-19,85.398
2016-05-20,85.398
2016-05-23,85.058
2016-05-24,87.666
2016-05-25,87.666
2016-05-27,87.25
2016-05-30,86.911
2016-05-31,85.398
2016-06-01,85.398
2016-06-02,85.247
2016-06-03,86.154
2016-06-06,86.304
2016-06-07,87.588
2016-06-08,87.666
2016-06-09,86.911
2016-06-10,86.911
2016-06-13,86.154
2016-06-14,85.548
2016-06-15,86.755
2016-06-16,79.503
2016-06-17,81.618
2016-06-20,84.869
2016-06-21,86.154
2016-06-22,87.514
2016-06-23,88.042
2016-06-24,86.04
2016-06-27,84.605
2016-06-28,82.401
2016-06-29,84.352
2016-06-30,83.268
2016-07-01,82.575
2016-07-04,81.36
