<DATE>,<CLOSE>
1998-06-30,28.892
1998-07-01,30.73
1998-07-02,32.047
1998-07-03,30.73
1998-07-06,30.73
1998-07-07,30.21
1998-07-08,28.892
1998-07-09,28.892
1998-07-10,29.418
1998-07-13,30.996
1998-07-14,31.522
1998-07-15,32.047
1998-07-16,31.781
1998-07-17,32.574
1998-07-20,34.146
1998-07-21,33.359
1998-07-22,33.101
1998-07-23,33.885
1998-07-24,33.885
1998-07-27,33.359
1998-07-28,32.574
1998-07-29,33.359
1998-07-30,33.62
1998-07-31,33.101
1998-08-03,32.574
1998-08-04,32.574
1998-08-05,31.781
1998-08-06,31.781
1998-08-07,32.574
1998-08-10,32.307
1998-08-11,30.47
1998-08-12,32.047
1998-08-13,30.73
1998-08-14,31.522
1998-08-17,31.522
1998-08-18,32.047
1998-08-19,32.307
1998-08-20,31.256
1998-08-21,31.256
1998-08-24,31.781
1998-08-25,30.996
1998-08-26,30.996
1998-08-27,30.47
1998-08-28,28.367
1998-08-31,26.793
1998-09-01,24.165
1998-09-02,27.054
1998-09-03,25.742
1998-09-04,27.054
1998-09-07,27.846
1998-09-08,28.106
1998-09-09,27.579
1998-09-10,26.793
1998-09-11,26.002
1998-09-14,26.268
1998-09-15,26.002
1998-09-16,26.002
1998-09-17,25.059
1998-09-18,25.635
1998-09-21,24.64
1998-09-22,24.956
1998-09-23,25.742
1998-09-24,26.268
1998-09-25,25.742
1998-09-28,25.482
1998-09-29,25.742
1998-09-30,24.22
1998-10-01,21.54
1998-10-02,20.172
1998-10-05,19.12
1998-10-06,18.702
1998-10-07,18.074
1998-10-08,16.286
1998-10-09,16.655
1998-10-12,18.385
1998-10-13,18.385
1998-10-14,18.385
1998-10-15,17.866
1998-10-16,20.228
1998-10-19,20.069
1998-10-20,20.964
1998-10-21,20.172
1998-10-22,20.069
1998-10-23,20.488
1998-10-26,20.806
1998-10-27,19.595
1998-10-28,18.809
1998-10-29,19.176
1998-10-30,20.279
1998-11-02,23.588
1998-11-03,21.8
1998-11-04,23.113
1998-11-05,22.275
1998-11-06,22.434
1998-11-09,22.066
1998-11-10,20.488
1998-11-12,19.912
1998-11-13,21.223
1998-11-16,22.904
1998-11-17,21.274
1998-11-18,20.596
1998-11-19,20.228
1998-11-20,20.539
1998-11-23,20.806
1998-11-24,20.33
1998-11-25,20.439
1998-11-26,20.488
1998-11-27,20.228
1998-11-30,20.121
1998-12-01,19.436
1998-12-02,20.228
1998-12-03,19.753
1998-12-04,19.963
1998-12-07,19.861
1998-12-08,20.38
1998-12-09,19.963
1998-12-10,19.805
1998-12-11,19.702
1998-12-14,19.176
1998-12-15,19.386
1998-12-16,19.494
1998-12-17,19.334
1998-12-18,19.702
1998-12-21,19.494
1998-12-22,20.172
1998-12-23,21.433
1998-12-28,22.801
1998-12-29,22.434
1998-12-30,23.113
1998-12-31,23.17
1999-01-04,24.43
1999-01-05,24.64
1999-01-06,27.054
1999-01-07,27.579
1999-01-08,29.683
1999-01-11,27.579
1999-01-12,26.527
1999-01-13,24.006
1999-01-14,23.113
1999-01-15,23.904
1999-01-18,26.11
1999-01-19,25.635
1999-01-20,24.956
1999-01-21,24.272
1999-01-22,23.43
1999-01-25,23.904
1999-01-26,24.691
1999-01-27,24.899
1999-01-28,24.691
1999-01-29,25.482
1999-02-01,25.742
1999-02-02,25.482
1999-02-03,25.532
1999-02-04,26.002
1999-02-05,24.956
1999-02-08,24.956
1999-02-09,24.64
1999-02-10,23.955
1999-02-11,24.691
1999-02-12,25.482
1999-02-15,25.266
1999-02-16,25.217
1999-02-17,24.533
1999-02-18,24.43
1999-02-19,24.165
1999-02-22,23.904
1999-02-23,23.638
1999-02-24,23.113
1999-02-25,21.958
1999-02-26,23.536
1999-03-01,22.904
1999-03-02,23.113
1999-03-03,22.592
1999-03-04,22.485
1999-03-05,22.326
1999-03-08,22.852
1999-03-09,22.904
1999-03-10,22.904
1999-03-11,22.852
1999-03-12,23.327
1999-03-15,22.485
1999-03-16,22.326
1999-03-17,22.326
1999-03-18,22.225
1999-03-19,22.275
1999-03-22,23.22
1999-03-23,22.536
1999-03-24,21.907
1999-03-25,22.117
1999-03-26,21.958
1999-03-29,21.8
1999-03-30,21.857
1999-03-31,22.434
1999-04-01,23.01
1999-04-06,23.904
1999-04-07,23.853
1999-04-08,23.43
1999-04-09,23.955
1999-04-12,23.746
1999-04-13,23.746
1999-04-14,23.536
1999-04-15,23.271
1999-04-16,23.588
1999-04-19,24.691
1999-04-20,24.165
1999-04-21,25.742
1999-04-22,26.059
1999-04-23,26.002
1999-04-26,25.426
1999-04-27,24.849
1999-04-28,24.165
1999-04-29,24.899
1999-04-30,24.899
1999-05-04,25.482
1999-05-05,24.849
1999-05-06,24.798
1999-05-07,24.956
1999-05-10,24.849
1999-05-11,24.849
1999-05-12,24.741
1999-05-13,24.849
1999-05-14,24.691
1999-05-17,24.165
1999-05-18,24.482
1999-05-19,24.956
1999-05-20,25.426
1999-05-21,25.266
1999-05-24,25.165
1999-05-25,24.588
1999-05-26,24.741
1999-05-27,24.588
1999-05-28,24.374
1999-05-31,24.165
1999-06-01,24.323
1999-06-02,24.374
1999-06-07,24.588
1999-06-08,24.374
1999-06-09,24.272
1999-06-10,25.482
1999-06-11,25.793
1999-06-14,25.532
1999-06-15,25.059
1999-06-16,25.375
1999-06-17,25.426
1999-06-18,25.375
1999-06-21,25.793
1999-06-22,25.849
1999-06-23,25.426
1999-06-24,24.798
1999-06-25,24.22
1999-06-28,24.374
1999-06-29,23.853
1999-06-30,23.485
1999-07-01,24.272
1999-07-02,24.374
1999-07-05,24.165
1999-07-06,24.006
1999-07-07,24.006
1999-07-08,24.063
1999-07-09,24.063
1999-07-12,24.165
1999-07-13,23.904
1999-07-14,24.798
1999-07-15,25.482
1999-07-16,25.742
1999-07-19,25.165
1999-07-20,24.849
1999-07-21,24.22
1999-07-22,24.114
1999-07-23,24.323
1999-07-26,23.955
1999-07-27,24.323
1999-07-28,24.374
1999-07-29,23.853
1999-07-30,24.063
1999-08-02,23.746
1999-08-03,23.853
1999-08-04,23.638
1999-08-05,23.378
1999-08-06,23.43
1999-08-09,23.113
1999-08-10,22.852
1999-08-11,22.592
1999-08-12,22.693
1999-08-13,23.22
1999-08-16,22.904
1999-08-17,22.959
1999-08-18,22.643
1999-08-19,22.745
1999-08-20,22.745
