<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-05-13,6.5384,6.9059,6.5384,6.7221
2005-05-16,6.6254,6.8092,6.6254,6.7221
2005-05-17,6.7221,6.8092,6.6738,6.8092
2005-05-18,6.9059,6.9059,6.6738,6.7705
2005-05-19,6.6738,6.7705,6.6738,6.7705
2005-05-20,6.7221,6.7705,6.6738,6.7221
2005-05-23,6.7705,6.7705,6.6254,6.6254
2005-05-24,6.6254,6.7221,6.6254,6.7221
2005-05-25,6.6254,6.6738,6.577,6.6738
2005-05-27,6.6738,6.6738,6.6254,6.6738
2005-05-30,6.577,6.7221,6.577,6.6738
2005-05-31,6.7221,6.7221,6.7221,6.7221
2005-06-01,6.6738,6.6738,6.6254,6.6254
2005-06-02,6.7221,6.7221,6.6254,6.6738
2005-06-03,6.6738,6.7221,6.6738,6.7221
2005-06-06,6.6738,6.7705,6.6254,6.7705
2005-06-07,6.7705,6.8092,6.7221,6.8092
2005-06-08,6.7705,7.0026,6.7705,7.0026
2005-06-09,6.9059,7.0026,6.8092,7.0026
2005-06-10,7.0026,7.138,7.0026,7.138
2005-06-13,7.1864,7.1864,6.9059,7.138
2005-06-14,7.1864,7.1864,7.0897,7.1864
2005-06-15,7.0897,7.1864,6.9059,7.1864
2005-06-16,7.1864,7.2348,7.1864,7.1864
2005-06-17,7.2348,7.3315,7.2348,7.2831
2005-06-20,7.2831,7.2831,7.2831,7.2831
2005-06-21,7.1864,7.2831,7.1864,7.2831
2005-06-22,7.051,7.2348,7.051,7.2348
2005-06-23,6.8575,7.1864,6.8575,7.0026
2005-06-24,6.9059,7.051,6.9059,7.051
2005-06-27,7.0897,7.0897,6.9059,7.051
2005-06-28,7.0026,7.051,7.0026,7.0026
2005-06-29,7.0026,7.051,7.0026,7.051
2005-06-30,6.9543,7.051,6.9543,7.051
2005-07-01,6.9543,7.051,6.9543,7.051
2005-07-04,7.0026,7.0026,6.9543,7.0026
2005-07-05,7.0026,7.0026,7.0026,7.0026
2005-07-07,6.9543,6.9543,6.6254,6.8092
2005-07-08,6.8092,6.8092,6.6254,6.7221
2005-07-11,6.7221,6.9059,6.6254,6.8092
2005-07-12,6.8092,6.8092,6.7221,6.8092
2005-07-13,6.8092,6.9059,6.8092,6.9059
2005-07-14,6.9059,6.9059,6.7221,6.8575
2005-07-15,6.6254,6.9543,6.6254,6.9543
2005-07-18,6.9059,6.9543,6.6254,6.9543
2005-07-19,6.7705,6.9543,6.6254,6.8575
2005-07-20,6.7221,6.7221,6.6738,6.6738
2005-07-21,6.49,6.6254,6.4416,6.6254
2005-07-22,6.5384,6.6254,6.3449,6.6254
2005-07-25,6.49,6.6738,6.4416,6.4416
2005-07-26,6.5384,6.6254,6.5384,6.6254
2005-07-27,6.6738,6.7221,6.5384,6.577
2005-07-28,6.6254,6.6254,6.6254,6.6254
2005-07-29,6.6738,6.7221,6.5384,6.7221
2005-08-01,6.577,6.6738,6.5384,6.6738
2005-08-02,6.7221,6.7221,6.5384,6.6738
2005-08-03,6.6738,6.7221,6.5384,6.6738
2005-08-04,6.5384,6.7221,6.3933,6.7221
2005-08-05,6.5384,6.7221,6.5384,6.7221
2005-08-08,6.5384,6.7221,6.5384,6.7221
2005-08-09,6.5384,6.6738,6.5384,6.6738
2005-08-10,6.5384,6.7221,6.5384,6.7221
2005-08-11,6.5384,6.7221,6.5384,6.7221
2005-08-12,6.6254,6.6254,6.5384,6.5384
2005-08-16,6.6254,6.6254,6.6254,6.6254
2005-08-17,6.577,6.577,6.4416,6.577
2005-08-18,6.5384,6.5384,6.4416,6.5384
2005-08-19,6.5384,6.577,6.5384,6.577
2005-08-22,6.3933,6.577,6.3933,6.577
2005-08-23,6.49,6.577,6.3933,6.577
2005-08-24,6.577,6.577,6.0161,6.5384
2005-08-25,6.3449,6.5384,6.2579,6.5384
2005-08-26,6.3449,6.5384,6.3449,6.5384
2005-08-29,6.3449,6.5384,6.2579,6.5384
2005-08-30,6.3933,6.4416,6.3449,6.4416
2005-08-31,6.3449,6.4416,6.1128,6.3933
2005-09-01,6.3449,6.3449,6.2095,6.2579
2005-09-02,6.1611,6.2095,6.1128,6.2095
2005-09-05,6.1611,6.1611,6.0644,6.1128
2005-09-06,6.1128,6.2095,6.1128,6.2095
2005-09-07,6.0644,6.4416,6.0644,6.2966
2005-09-08,6.2579,6.3449,6.2579,6.3449
2005-09-09,6.3449,6.3449,6.3449,6.3449
2005-09-12,6.2579,6.3449,6.2579,6.3449
2005-09-13,6.2579,6.4416,6.1611,6.4416
2005-09-14,6.3933,6.3933,6.3449,6.3933
2005-09-15,6.2095,6.3933,6.0644,6.2095
2005-09-16,6.2095,6.2579,6.1611,6.2579
2005-09-19,6.1611,6.1611,6.0644,6.1128
2005-09-20,6.1128,6.2095,6.0644,6.2095
2005-09-21,6.2095,6.2095,6.0161,6.1128
2005-09-22,5.929,5.9774,5.929,5.9774
2005-09-23,5.8807,5.9774,5.7356,5.929
2005-09-26,5.9774,5.9774,5.8323,5.929
2005-09-27,5.7356,5.929,5.6969,5.929
2005-09-28,5.8323,5.9774,5.7356,5.9774
2005-09-29,5.8807,5.8807,5.6002,5.6485
2005-09-30,5.7356,6.1611,5.6969,6.0644
2005-10-03,6.1611,7.1864,6.1611,7.0026
2005-10-04,6.9543,7.0026,6.8092,6.9059
2005-10-05,6.8092,6.8092,6.6254,6.6254
2005-10-06,6.577,6.577,6.3933,6.49
2005-10-07,6.4416,6.6738,6.4416,6.6738
2005-10-10,6.6254,6.6254,6.5384,6.5384
2005-10-11,6.3449,6.49,6.2579,6.49
2005-10-12,6.49,6.49,6.4416,6.49
2005-10-13,6.6254,6.6254,6.2579,6.2579
2005-10-14,6.1611,6.3933,6.0644,6.3933
2005-10-17,6.2095,6.4416,6.2095,6.4416
2005-10-18,6.2579,6.3933,6.2579,6.3933
2005-10-19,6.3449,6.3933,6.0644,6.3933
2005-10-20,6.3449,6.7221,6.2966,6.6254
2005-10-21,6.3449,6.5384,6.0644,6.3449
2005-10-24,6.3933,6.3933,6.2095,6.3449
2005-10-25,6.2095,6.5384,6.2095,6.5384
2005-10-26,6.49,6.5384,6.49,6.5384
2005-10-27,6.3449,6.5384,6.3449,6.5384
2005-10-28,6.5384,6.5384,6.5384,6.5384
2005-10-31,6.49,6.49,6.4416,6.49
2005-11-02,6.2966,6.5384,6.2966,6.5384
2005-11-03,6.5384,6.5384,6.3933,6.5384
2005-11-04,6.5384,6.9059,6.5384,6.7221
2005-11-07,6.7705,6.7705,6.6254,6.7221
2005-11-08,6.6738,6.6738,6.5384,6.5384
2005-11-09,6.5384,6.5384,6.5384,6.5384
2005-11-10,6.49,6.5384,6.49,6.5384
2005-11-14,6.6254,6.8575,6.6254,6.6738
2005-11-15,6.7705,7.7474,6.7705,7.7474
2005-11-16,7.7474,7.9311,7.4185,7.5152
2005-11-17,7.5152,7.7474,7.5152,7.6507
2005-11-18,7.6507,7.8441,7.6507,7.8441
2005-11-21,7.9311,8.1246,7.8441,8.0279
2005-11-22,8.0279,8.6759,7.9795,8.6372
2005-11-23,8.7726,9.2369,8.7726,9.0048
2005-11-24,9.1498,9.2852,9.0531,9.1498
2005-11-25,9.2369,9.2369,8.821,9.0048
2005-11-28,9.0531,9.0531,8.821,8.821
2005-11-29,8.5889,8.7726,8.4921,8.6759
2005-11-30,8.6759,8.6759,8.5405,8.6372
2005-12-01,8.6372,9.1015,8.5405,8.821
2005-12-02,8.9177,8.9564,8.5889,8.821
2005-12-05,9.0048,9.0048,8.6372,8.8693
2005-12-06,8.8693,8.8693,8.7243,8.821
2005-12-07,8.7726,8.821,8.5889,8.821
2005-12-08,8.821,8.821,8.6759,8.821
2005-12-09,8.7243,8.821,8.6759,8.821
2005-12-12,8.821,8.821,8.5889,8.7726
2005-12-13,8.821,8.821,8.7243,8.7726
2005-12-14,8.6759,8.9564,8.6372,8.9564
2005-12-15,8.7243,8.821,8.6372,8.821
2005-12-16,8.7726,8.7726,8.5889,8.7726
2005-12-19,8.8693,9.0048,8.6372,8.6372
2005-12-20,8.5889,8.7243,8.5889,8.6372
2005-12-21,8.6372,8.6372,8.4921,8.6372
2005-12-22,8.4921,8.5405,8.3084,8.5405
2005-12-23,8.4921,8.4921,8.4051,8.4921
2005-12-27,8.4051,8.4921,8.1633,8.4438
2005-12-28,8.4438,8.5889,8.4051,8.5889
2005-12-29,8.6372,8.6759,8.4438,8.6759
2005-12-30,8.6759,8.7726,8.6759,8.7726
2006-01-02,8.7726,8.9177,8.7243,8.821
2006-01-03,8.9177,8.9564,8.7726,8.8693
2006-01-04,9.0048,9.0048,8.8693,8.9177
2006-01-05,8.9564,9.1015,8.8693,9.1015
2006-01-06,9.1498,9.75,9.0531,9.662
2006-01-09,9.614,9.662,9.3336,9.614
2006-01-10,9.614,9.75,9.517,9.75
2006-01-11,9.75,9.798,9.517,9.662
2006-01-12,9.614,9.614,9.4303,9.614
2006-01-13,9.566,9.566,9.382,9.517
2006-01-16,9.3336,9.566,9.3336,9.517
2006-01-17,9.566,9.614,9.4303,9.614
2006-01-18,9.614,9.614,9.3336,9.517
2006-01-19,9.3336,9.4787,9.3336,9.4787
2006-01-20,9.382,9.4787,9.3336,9.4787
2006-01-23,9.4787,9.4787,9.1982,9.382
2006-01-24,9.3336,9.4303,9.2369,9.4303
2006-01-25,9.2852,9.4303,9.2852,9.4303
2006-01-26,9.517,10.543,9.517,10.407
2006-01-27,10.591,10.591,9.895,10.127
2006-01-30,10.272,10.504,10.03,10.359
2006-01-31,10.272,10.31,9.943,10.272
2006-02-01,10.223,11.2,10.223,11.2
2006-02-02,11.761,11.761,10.639,10.688
2006-02-03,11.017,11.017,8.9564,10.175
2006-02-06,10.078,10.175,9.895,9.991
2006-02-07,10.03,10.127,9.846,9.991
2006-02-08,10.078,10.688,9.991,10.639
2006-02-09,10.968,11.017,10.688,10.784
2006-02-10,10.784,10.823,10.127,10.223
2006-02-13,10.591,10.591,9.991,9.991
2006-02-14,10.504,10.504,10.03,10.31
2006-02-15,10.456,10.456,10.31,10.31
2006-02-16,10.407,10.456,10.272,10.31
2006-02-17,10.359,10.871,10.272,10.736
2006-02-20,10.736,10.92,10.543,10.639
2006-02-21,10.736,11.152,10.639,10.784
2006-02-22,11.481,11.481,11.104,11.104
2006-02-23,11.249,11.249,10.92,11.152
2006-02-24,11.2,11.2,10.784,10.871
2006-02-27,10.823,11.065,10.784,10.92
2006-02-28,10.92,10.968,10.639,10.823
2006-03-01,10.736,10.736,10.504,10.591
2006-03-02,10.639,10.639,10.272,10.504
2006-03-03,10.504,10.504,10.31,10.456
2006-03-06,10.31,10.456,10.272,10.456
2006-03-07,10.359,10.456,10.272,10.407
2006-03-08,10.504,10.504,10.03,10.078
2006-03-09,10.127,10.223,9.943,10.078
2006-03-10,9.991,10.078,9.662,9.895
2006-03-13,9.614,9.798,9.566,9.798
2006-03-14,9.614,9.75,9.382,9.662
2006-03-15,9.517,10.03,9.517,9.846
2006-03-16,9.846,10.03,9.798,9.991
2006-03-17,10.03,10.127,9.991,10.03
2006-03-20,10.078,10.456,10.078,10.272
2006-03-21,10.359,10.543,10.272,10.456
2006-03-22,10.359,10.359,10.175,10.31
2006-03-23,10.359,10.639,10.272,10.504
2006-03-24,10.504,10.92,10.407,10.871
2006-03-27,10.784,11.065,10.736,11.065
2006-03-28,11.065,11.152,11.017,11.065
2006-03-29,11.065,11.065,10.591,10.871
2006-03-30,10.871,10.968,10.736,10.823
2006-03-31,11.2,11.665,11.065,11.345
2006-04-03,11.578,11.993,11.384,11.761
2006-04-04,11.858,12.042,11.665,11.858
2006-04-05,12.042,12.419,12.042,12.322
2006-04-06,12.554,12.603,12.09,12.139
2006-04-07,12.177,12.322,11.993,12.139
2006-04-10,12.177,12.226,11.858,12.09
2006-04-11,11.945,11.945,11.578,11.616
2006-04-12,11.481,11.616,11.432,11.616
2006-04-13,11.945,12.371,11.945,12.042
2006-04-18,12.226,12.419,12.139,12.139
2006-04-19,12.226,12.226,11.897,11.945
2006-04-20,12.09,12.226,11.761,12.139
2006-04-21,12.042,12.226,11.858,11.858
2006-04-24,12.09,12.371,11.858,12.226
2006-04-25,12.371,12.419,12.09,12.274
2006-04-26,12.274,12.274,12.042,12.139
2006-04-27,12.09,12.139,11.897,12.139
2006-04-28,12.139,12.226,12.042,12.226
2006-05-02,12.419,14.005,12.419,13.957
2006-05-04,14.237,14.75,14.092,14.286
2006-05-05,14.47,14.47,13.58,13.909
2006-05-08,13.725,13.725,13.348,13.396
2006-05-09,13.348,13.348,12.69,13.067
2006-05-10,13.067,13.531,12.787,13.251
2006-05-11,13.396,13.396,13.164,13.348
2006-05-12,13.589,13.589,13.057,13.348
2006-05-15,13.396,13.396,12.574,13.057
