<TICKER>,<DATE>,<CLOSE>
PGE,2009-11-06,18.445
PGE,2009-11-09,18.8
PGE,2009-11-10,18.722
PGE,2009-11-12,18.452
PGE,2009-11-13,18.395
PGE,2009-11-16,18.43
PGE,2009-11-17,18.111
PGE,2009-11-18,17.672
PGE,2009-11-19,17.06
PGE,2009-11-20,17.38
PGE,2009-11-23,17.543
PGE,2009-11-24,17.423
PGE,2009-11-25,17.387
PGE,2009-11-26,17.104
PGE,2009-11-27,17.238
PGE,2009-11-30,17.664
PGE,2009-12-01,17.452
PGE,2009-12-02,17.245
PGE,2009-12-03,17.309
PGE,2009-12-04,17.324
PGE,2009-12-07,17.245
PGE,2009-12-08,17.387
PGE,2009-12-09,17.018
PGE,2009-12-10,16.912
PGE,2009-12-11,17.011
PGE,2009-12-14,17.458
PGE,2009-12-15,17.7
PGE,2009-12-16,18.239
PGE,2009-12-17,17.955
PGE,2009-12-18,17.92
PGE,2009-12-21,17.763
PGE,2009-12-22,17.707
PGE,2009-12-23,17.395
PGE,2009-12-28,17.218
PGE,2009-12-29,17.38
PGE,2009-12-30,17.21
PGE,2009-12-31,17.387
PGE,2010-01-04,17.274
PGE,2010-01-05,17.274
PGE,2010-01-06,17.224
PGE,2010-01-07,16.94
PGE,2010-01-08,16.954
PGE,2010-01-11,16.962
PGE,2010-01-12,16.607
PGE,2010-01-13,16.678
PGE,2010-01-14,16.5
PGE,2010-01-15,16.43
PGE,2010-01-18,16.535
PGE,2010-01-19,16.749
PGE,2010-01-20,17.06
PGE,2010-01-21,17.032
PGE,2010-01-22,16.741
PGE,2010-01-25,16.628
PGE,2010-01-26,16.479
PGE,2010-01-27,16.776
PGE,2010-01-28,16.806
PGE,2010-01-29,16.752
PGE,2010-02-01,16.572
PGE,2010-02-02,16.5
PGE,2010-02-03,16.359
PGE,2010-02-04,16.287
PGE,2010-02-05,15.862
PGE,2010-02-08,15.4
PGE,2010-02-09,15.542
PGE,2010-02-10,15.45
PGE,2010-02-11,14.904
PGE,2010-02-12,15.472
PGE,2010-02-15,15.641
PGE,2010-02-16,15.4
PGE,2010-02-17,15.295
PGE,2010-02-18,15.472
PGE,2010-02-19,15.662
PGE,2010-02-22,15.848
PGE,2010-02-23,15.655
PGE,2010-02-24,15.742
PGE,2010-02-25,15.578
PGE,2010-02-26,15.542
PGE,2010-03-01,15.464
PGE,2010-03-02,15.472
PGE,2010-03-03,15.755
PGE,2010-03-04,15.862
PGE,2010-03-05,16.182
PGE,2010-03-08,16.252
PGE,2010-03-09,16.259
PGE,2010-03-10,16.607
PGE,2010-03-11,16.82
PGE,2010-03-12,16.841
PGE,2010-03-15,16.962
PGE,2010-03-16,16.962
PGE,2010-03-17,16.558
PGE,2010-03-18,16.607
PGE,2010-03-19,16.749
PGE,2010-03-22,16.394
PGE,2010-03-23,16.451
PGE,2010-03-24,16.217
PGE,2010-03-25,16.465
PGE,2010-03-26,16.182
PGE,2010-03-29,16.323
PGE,2010-03-30,16.487
PGE,2010-03-31,16.392
PGE,2010-04-01,16.535
PGE,2010-04-06,16.535
PGE,2010-04-07,16.365
PGE,2010-04-08,16.217
PGE,2010-04-09,16.188
PGE,2010-04-12,16.287
PGE,2010-04-13,16.067
PGE,2010-04-14,15.726
PGE,2010-04-15,15.542
PGE,2010-04-16,15.606
PGE,2010-04-19,15.485
PGE,2010-04-20,15.478
PGE,2010-04-21,15.614
PGE,2010-04-22,15.507
PGE,2010-04-23,15.828
PGE,2010-04-26,16.075
PGE,2010-04-27,15.827
PGE,2010-04-28,15.507
PGE,2010-04-29,15.507
PGE,2010-04-30,15.672
PGE,2010-05-04,15.264
PGE,2010-05-05,15.194
PGE,2010-05-06,15.188
PGE,2010-05-07,15.117
PGE,2010-05-10,15.571
PGE,2010-05-11,15.472
PGE,2010-05-12,15.472
PGE,2010-05-13,15.592
PGE,2010-05-14,15.046
PGE,2010-05-17,14.904
PGE,2010-05-18,15.038
PGE,2010-05-19,14.62
PGE,2010-05-20,14.195
PGE,2010-05-21,14.159
PGE,2010-05-24,14.407
PGE,2010-05-25,13.981
PGE,2010-05-26,14.413
PGE,2010-05-27,14.904
PGE,2010-05-28,15.244
PGE,2010-05-31,14.969
PGE,2010-06-01,14.55
PGE,2010-06-02,14.975
PGE,2010-06-04,14.605
PGE,2010-06-07,14.904
PGE,2010-06-08,14.79
PGE,2010-06-09,14.833
PGE,2010-06-10,15.102
PGE,2010-06-11,15.102
PGE,2010-06-14,14.975
PGE,2010-06-15,15.109
PGE,2010-06-16,15.123
