<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2008-09-29,2.4173,6.4461,2.4173,5.5113
2008-09-30,5.157,5.882,4.3189,4.3189
2008-10-01,4.2302,4.5929,4.0288,4.0288
2008-10-02,4.0288,4.0288,3.5857,3.5857
2008-10-03,3.6662,3.8677,3.5051,3.5454
2008-10-06,3.5051,3.5051,3.0055,3.1828
2008-10-07,2.9814,3.1103,2.8283,3.0861
2008-10-08,2.941,3.3923,2.8121,3.0538
2008-10-09,3.1989,3.1989,3.0458,3.0458
2008-10-10,2.8766,2.8766,2.6912,2.8121
2008-10-13,2.9491,3.0378,2.8443,2.8443
2008-10-14,3.215,3.215,2.9814,2.9814
2008-10-15,3.1103,3.1103,2.9008,2.9008
2008-10-16,2.7235,2.7316,2.3367,2.4415
2008-10-17,2.8121,2.8121,2.5301,2.5301
2008-10-20,2.5301,2.659,2.4495,2.659
2008-10-21,2.7074,2.7074,2.4415,2.4495
2008-10-22,2.4576,2.5785,2.4576,2.5785
2008-10-23,2.8202,2.8202,2.5382,2.6671
2008-10-24,2.659,2.6993,2.5059,2.5785
2008-10-27,2.651,2.651,2.4173,2.651
2008-10-28,2.6993,2.6993,2.4979,2.4979
2008-10-29,2.6187,2.659,2.4979,2.5865
2008-10-30,2.6107,2.7074,2.5382,2.5382
2008-10-31,2.6026,2.6026,2.6026,2.6026
2008-11-03,2.6268,2.6268,2.6268,2.6268
2008-11-04,2.6187,2.6187,2.3851,2.5059
2008-11-05,2.6026,2.6026,2.4737,2.4737
2008-11-06,2.5785,2.5946,2.4657,2.4657
2008-11-07,2.369,2.4576,2.369,2.4576
2008-11-10,2.3528,2.3528,2.3528,2.3528
2008-11-12,2.3367,2.3367,2.1917,2.1917
2008-11-13,2.0628,2.3528,2.0547,2.3528
2008-11-14,2.2964,2.369,2.2964,2.369
2008-11-17,2.3528,2.3528,2.24,2.3528
2008-11-18,2.2159,2.3045,2.2159,2.3045
2008-11-19,2.1675,2.1675,1.8371,1.8371
2008-11-20,1.7324,1.8533,1.7324,1.8533
2008-11-21,1.7646,2.0064,1.7324,1.7324
2008-11-24,1.7727,1.7727,1.7727,1.7727
2008-11-25,1.7727,2.1675,1.7727,2.1514
2008-11-26,1.9258,2.1514,1.8533,2.1514
2008-11-27,2.0306,2.0306,1.8291,1.9016
2008-11-28,1.7808,1.7888,1.7082,1.7808
2008-12-01,1.7566,1.813,1.7324,1.813
2008-12-02,1.7324,1.7808,1.7324,1.7324
2008-12-05,1.7324,1.7324,1.6518,1.7244
2008-12-08,1.7244,1.7566,1.7244,1.7566
2008-12-09,1.7485,1.7485,1.7485,1.7485
2008-12-10,1.7082,1.7082,1.7082,1.7082
2008-12-11,1.7002,1.7002,1.6599,1.6599
2008-12-12,1.6518,1.6518,1.5713,1.5713
2008-12-15,1.676,1.676,1.676,1.676
2008-12-16,1.6115,1.6115,1.5793,1.5793
2008-12-18,1.5793,1.5793,1.5793,1.5793
2008-12-30,1.4423,1.4423,1.4423,1.4423
2008-12-31,1.4182,1.4182,1.4182,1.4182
2009-01-05,1.3698,1.3698,1.2892,1.3537
2009-01-06,1.3376,1.3376,1.2328,1.3376
2009-01-07,1.4101,1.5068,1.4101,1.5068
2009-01-08,1.5873,1.5873,1.5873,1.5873
2009-01-09,1.6518,1.6518,1.5632,1.5632
2009-01-12,1.4182,1.4182,1.4182,1.4182
2009-01-14,1.4182,1.4182,1.402,1.402
2009-01-15,1.4826,1.4826,1.4504,1.4504
2009-01-16,1.4504,1.4504,1.4504,1.4504
2009-01-19,1.402,1.4423,1.3698,1.4423
2009-01-23,1.3698,1.3779,1.3698,1.3779
2009-01-26,1.3376,1.3456,1.3376,1.3456
2009-01-27,1.3698,1.3698,1.2812,1.2812
2009-01-29,1.2651,1.2651,1.2651,1.2651
2009-02-02,1.2248,1.2248,1.2248,1.2248
2009-02-03,1.2248,1.2248,1.2248,1.2248
2009-02-05,1.2087,1.2087,1.2087,1.2087
2009-02-06,1.1603,1.1603,1.1442,1.1603
2009-02-10,1.1361,1.1361,1.0878,1.0878
2009-02-11,1.0878,1.0878,1.0878,1.0878
2009-02-12,0.983,1.0878,0.983,1.0878
2009-02-13,1.0475,1.0475,1.0475,1.0475
2009-02-17,1.0072,1.0958,1.0072,1.0958
2009-02-18,0.7736,0.983,0.7736,0.983
2009-02-19,1.0475,1.0717,0.983,1.0717
2009-02-20,1.0797,1.0797,1.0797,1.0797
2009-02-23,1.0797,1.0797,1.0797,1.0797
2009-02-24,1.0797,1.0797,1.0797,1.0797
2009-02-26,1.0717,1.0717,1.0717,1.0717
2009-02-27,1.0717,1.0717,1.0072,1.0717
2009-03-02,1.0717,1.0717,1.0717,1.0717
2009-03-06,1.0394,1.0394,1.0394,1.0394
2009-03-09,1.0394,1.0394,1.0314,1.0394
2009-03-10,1.0394,1.0394,1.0394,1.0394
2009-03-11,0.9991,1.0475,0.9589,1.0475
2009-03-13,0.9267,1.0717,0.9267,1.0717
2009-03-16,1.0394,1.0717,1.0394,1.0717
2009-03-18,1.0717,1.0717,1.0717,1.0717
2009-03-19,1.0717,1.0717,1.0717,1.0717
2009-03-20,1.0717,1.0717,1.0636,1.0717
2009-03-23,1.0717,1.0717,0.8138,0.8702
2009-03-24,1.0717,1.1845,0.9267,1.1845
2009-03-25,1.4101,1.7727,1.3698,1.7727
2009-03-26,2.6671,3.07,2.6671,3.07
2009-03-27,4.0288,4.633,3.7871,4.069
2009-03-30,4.0288,4.7542,3.0458,4.343
2009-03-31,4.343,5.882,4.343,5.882
2009-04-01,8.0577,10.072,8.0577,10.072
2009-05-04,7.8964,7.8964,6.1239,6.1239
2009-05-05,5.157,7.413,4.6736,7.413
2009-05-06,8.968,9.863,8.968,9.863
2009-05-07,10.717,12.489,10.717,12.489
2009-05-08,13.698,15.068,13.537,15.068
2009-05-14,12.207,14.504,12.207,14.504
2009-05-15,12.731,12.731,11.458,11.458
2009-05-19,6.0352,8.3558,6.0352,6.0352
2009-05-20,6.0433,6.172,6.0433,6.172
2009-05-21,6.5993,6.5993,6.5668,6.5668
2009-05-22,5.9466,5.9466,5.2292,5.2292
2009-05-25,5.3179,5.3179,4.7703,4.7703
2009-05-26,3.9482,4.0288,3.9482,4.0288
2009-05-28,5.5598,5.5598,5.2377,5.2377
2009-05-29,4.7137,4.7137,4.7137,4.7137
2009-06-01,4.875,5.2292,4.875,5.2292
2009-06-02,5.6405,6.4461,5.6405,6.4461
2009-06-03,8.0577,8.0577,7.0908,8.0577
2009-06-04,9.4274,10.394,9.4274,10.394
2009-06-05,11.12,11.12,9.2581,9.2581
2009-06-08,8.8798,9.226,8.8798,9.226
2009-06-09,8.2992,8.2992,7.4936,7.4936
2009-06-10,7.0102,7.0102,6.8569,6.8569
2009-06-12,7.413,7.4936,7.413,7.4936
