<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2004-11-10,14.671,15.556,14.671,15.494
2004-11-12,15.494,16.316,15.494,15.62
2004-11-15,15.494,15.62,15.244,15.556
2004-11-16,15.494,15.556,15.431,15.494
2004-11-17,15.494,15.556,15.368,15.494
2004-11-18,15.494,15.556,15.431,15.494
2004-11-19,15.556,15.556,15.368,15.368
2004-11-22,15.306,15.368,15.048,15.244
2004-11-23,15.181,15.244,15.048,15.181
2004-11-24,15.181,15.181,15.048,15.181
2004-11-25,15.181,15.62,15.181,15.62
2004-11-26,15.556,15.62,15.431,15.62
2004-11-29,15.556,15.683,15.494,15.683
2004-11-30,15.683,15.87,15.62,15.808
2004-12-01,15.62,15.94,15.556,15.94
2004-12-02,15.87,16.191,15.87,16.128
2004-12-03,16.128,16.191,16.001,16.191
2004-12-06,16.064,16.128,15.87,16.064
2004-12-07,16.001,16.378,16.001,16.378
2004-12-08,16.191,16.316,16.128,16.253
2004-12-09,16.128,16.191,16.001,16.064
2004-12-10,16.001,16.253,16.001,16.128
2004-12-13,16.064,16.128,15.808,15.94
2004-12-14,15.87,16.064,15.808,15.94
2004-12-15,15.87,16.001,15.808,15.87
2004-12-16,15.87,16.128,15.808,16.064
2004-12-17,16.001,16.441,15.94,16.441
2004-12-20,16.441,17.075,16.441,17.012
2004-12-21,16.887,17.451,16.761,17.326
2004-12-22,17.388,18.023,16.887,17.326
2004-12-23,17.138,17.451,16.761,16.761
2004-12-24,16.761,17.012,16.698,17.012
2004-12-27,17.012,17.012,16.824,16.949
2004-12-28,16.949,16.949,16.698,16.761
2004-12-29,16.761,17.326,16.761,17.2
2004-12-30,17.263,17.708,17.263,17.521
2004-12-31,17.521,17.708,17.521,17.584
2005-01-03,17.708,18.147,17.646,17.96
2005-01-04,17.834,17.96,17.646,17.834
2005-01-05,17.708,17.834,17.326,17.326
2005-01-06,17.263,17.708,16.949,17.584
2005-01-07,17.521,17.896,17.451,17.896
2005-01-10,17.708,17.771,17.451,17.521
2005-01-11,17.584,17.646,17.2,17.584
2005-01-12,17.388,17.584,17.263,17.584
2005-01-13,17.584,17.708,17.451,17.646
2005-01-14,17.521,17.584,17.263,17.263
2005-01-17,17.326,17.451,17.075,17.326
2005-01-18,16.761,17.2,16.567,16.698
2005-01-19,16.503,17.075,16.316,17.075
2005-01-20,16.887,17.263,16.698,16.824
2005-01-21,16.698,16.824,16.441,16.567
2005-01-24,16.441,16.761,16.441,16.761
2005-01-25,16.761,17.138,16.698,17.075
2005-01-26,17.075,17.326,16.949,17.326
2005-01-27,17.2,17.326,17.012,17.012
2005-01-28,17.012,17.012,16.824,16.824
2005-01-31,16.887,16.887,16.698,16.761
2005-02-01,16.761,17.075,16.698,16.949
2005-02-02,16.949,16.949,16.567,16.63
2005-02-03,16.63,16.761,16.503,16.567
2005-02-04,16.63,17.075,16.63,17.012
2005-02-07,17.138,17.2,16.949,17.2
2005-02-08,17.2,17.2,17.075,17.138
2005-02-09,17.075,17.075,16.824,16.887
2005-02-10,16.824,16.887,16.567,16.698
2005-02-11,16.761,17.012,16.761,16.824
2005-02-14,16.887,17.012,16.824,16.887
2005-02-15,16.887,16.949,16.698,16.698
2005-02-16,16.824,17.075,16.698,16.887
2005-02-17,17.012,17.2,16.949,17.2
2005-02-18,17.075,17.584,17.012,17.451
2005-02-21,17.263,17.834,17.263,17.708
2005-02-22,17.771,17.834,17.451,17.708
2005-02-23,17.388,17.708,17.388,17.708
2005-02-24,17.646,17.896,17.584,17.708
2005-02-25,17.834,18.147,17.834,17.896
2005-02-28,18.023,18.147,17.451,17.708
2005-03-01,17.521,17.96,17.326,17.771
2005-03-02,17.521,17.646,17.075,17.138
2005-03-03,17.138,17.521,17.075,17.388
2005-03-04,17.326,17.708,17.326,17.708
2005-03-07,17.646,18.084,17.646,17.896
2005-03-08,17.708,17.96,17.584,17.771
2005-03-09,17.708,18.084,17.708,17.896
2005-03-10,17.708,17.834,17.646,17.708
2005-03-11,17.708,17.771,17.584,17.646
2005-03-14,17.521,17.708,17.388,17.388
2005-03-15,17.451,17.646,17.388,17.388
2005-03-16,17.326,17.388,16.824,16.824
2005-03-17,16.887,17.138,16.824,17.075
2005-03-18,17.075,17.2,16.949,17.012
2005-03-21,17.138,17.263,16.761,16.761
2005-03-22,16.824,17.075,16.824,17.075
2005-03-23,16.949,17.075,16.824,17.012
2005-03-24,17.012,17.075,16.824,16.824
2005-03-29,16.887,16.949,16.567,16.63
2005-03-30,16.887,17.2,16.887,17.2
2005-03-31,17.138,17.584,17.138,17.584
2005-04-01,17.388,17.521,17.075,17.075
2005-04-04,17.263,17.263,16.949,17.138
2005-04-05,17.012,17.2,16.824,17.2
2005-04-06,17.075,17.263,17.012,17.263
2005-04-07,17.263,17.326,17.012,17.138
2005-04-11,16.949,17.326,16.761,17.263
2005-04-12,17.138,17.2,17.012,17.2
2005-04-13,17.138,17.263,17.075,17.2
2005-04-14,17.012,17.263,17.012,17.075
2005-04-15,16.949,17.012,16.824,16.887
2005-04-18,16.761,16.761,16.567,16.63
2005-04-19,16.567,16.761,16.567,16.698
2005-04-20,16.698,16.761,16.191,16.378
2005-04-21,16.441,16.698,16.378,16.63
2005-04-22,16.63,16.949,16.63,16.761
2005-04-25,16.761,16.824,16.441,16.441
2005-04-26,16.441,16.63,16.316,16.378
2005-04-27,16.378,16.378,15.87,16.001
2005-04-28,16.001,16.128,15.87,15.87
2005-04-29,15.94,16.128,15.94,15.94
2005-05-02,16.064,16.191,16.064,16.064
2005-05-04,16.253,16.503,16.191,16.316
2005-05-05,16.378,16.698,16.378,16.63
2005-05-06,16.63,16.761,16.503,16.567
2005-05-09,16.567,16.698,16.441,16.63
2005-05-10,16.698,16.698,16.191,16.316
2005-05-11,16.191,16.567,16.128,16.441
2005-05-12,16.441,16.824,16.441,16.824
2005-05-13,16.761,16.949,16.698,16.761
2005-05-16,16.441,16.761,16.441,16.761
2005-05-17,16.567,16.887,16.567,16.887
2005-05-18,16.824,17.075,16.761,17.075
2005-05-19,17.012,17.075,16.824,16.887
2005-05-20,16.698,16.949,16.63,16.949
2005-05-23,16.824,16.949,16.824,16.949
2005-05-24,16.949,17.012,16.824,16.887
2005-05-25,16.887,17.012,16.824,16.887
2005-05-27,17.075,17.075,16.761,16.887
2005-05-30,16.887,16.887,16.761,16.761
2005-05-31,16.698,17.2,16.63,16.761
2005-06-01,16.824,16.824,16.567,16.698
2005-06-02,16.761,16.887,16.698,16.824
2005-06-03,16.824,16.887,16.761,16.824
2005-06-06,16.761,16.949,16.761,16.887
2005-06-07,16.887,17.012,16.824,16.949
2005-06-08,16.824,17.075,16.824,17.075
2005-06-09,16.949,17.138,16.887,17.138
2005-06-10,17.075,17.326,17.012,17.075
2005-06-13,17.075,17.584,17.012,17.451
2005-06-14,17.388,17.584,17.138,17.2
2005-06-15,17.2,17.326,17.138,17.263
2005-06-16,17.2,17.388,17.138,17.326
2005-06-17,17.2,17.451,17.2,17.451
2005-06-20,17.326,17.584,17.2,17.326
2005-06-21,17.388,17.388,17.263,17.263
2005-06-22,17.263,17.584,17.263,17.451
2005-06-23,17.451,17.521,17.2,17.388
2005-06-24,17.2,17.2,16.887,16.949
2005-06-27,16.949,17.075,16.698,16.761
2005-06-28,16.887,17.2,16.824,17.075
2005-06-29,17.075,17.138,17.012,17.075
2005-06-30,16.949,17.263,16.887,17.138
2005-07-01,17.075,17.2,17.075,17.2
2005-07-04,17.263,17.388,17.138,17.388
2005-07-05,17.326,17.451,17.075,17.263
2005-07-06,17.138,17.326,17.138,17.263
2005-07-07,17.138,17.263,16.63,17.138
2005-07-08,17.075,17.263,17.075,17.2
2005-07-11,17.2,17.263,17.138,17.2
2005-07-12,17.138,17.263,17.138,17.2
2005-07-13,17.2,17.584,17.138,17.584
2005-07-14,17.521,17.834,17.451,17.708
2005-07-15,17.708,17.896,17.646,17.708
2005-07-18,17.584,17.708,17.326,17.388
2005-07-19,17.388,17.451,17.263,17.326
2005-07-20,17.388,17.584,17.263,17.326
2005-07-21,17.388,17.451,17.138,17.138
2005-07-22,17.138,17.263,17.075,17.138
2005-07-25,17.138,17.326,17.075,17.263
2005-07-26,17.263,17.451,17.075,17.2
2005-07-27,17.2,17.263,17.138,17.2
2005-07-28,17.2,17.388,17.2,17.263
2005-07-29,17.451,17.834,17.451,17.646
2005-08-01,17.584,17.96,17.584,17.96
2005-08-02,17.96,18.023,17.834,17.96
2005-08-03,17.834,17.896,17.584,17.834
2005-08-04,17.646,17.834,17.646,17.646
2005-08-05,17.708,18.084,17.708,18.084
2005-08-08,18.084,18.718,18.084,18.531
2005-08-09,18.468,18.656,18.279,18.593
2005-08-10,18.656,18.907,18.279,18.341
2005-08-11,18.279,18.531,17.96,18.023
2005-08-12,18.023,18.279,18.023,18.147
2005-08-16,18.209,18.593,18.209,18.404
2005-08-17,18.6,18.663,18.272,18.468
2005-08-18,18.404,18.468,18.008,18.008
2005-08-19,18.078,18.334,18.078,18.078
2005-08-22,18.008,18.334,18.008,18.203
2005-08-23,18.203,18.272,18.008,18.203
2005-08-24,18.14,18.404,18.14,18.14
2005-08-25,18.14,18.272,18.14,18.203
2005-08-26,18.203,18.334,18.203,18.272
2005-08-29,18.203,18.334,18.14,18.334
2005-08-30,18.334,18.864,18.272,18.731
2005-08-31,18.864,19.191,18.663,18.864
2005-09-01,18.864,18.989,18.731,18.794
2005-09-02,18.731,18.927,18.663,18.927
