<TICKER>,<DATE>,<CLOSE>
PKP,2013-10-30,73.29
PKP,2013-10-31,73.282
PKP,2013-11-04,73.011
PKP,2013-11-05,72.785
PKP,2013-11-06,72.477
PKP,2013-11-07,72.243
PKP,2013-11-08,72.604
PKP,2013-11-12,73.282
PKP,2013-11-13,74.356
PKP,2013-11-14,74.049
PKP,2013-11-15,74.962
PKP,2013-11-18,75.585
PKP,2013-11-19,75.404
PKP,2013-11-20,74.501
PKP,2013-11-21,73.842
PKP,2013-11-22,74.41
PKP,2013-11-25,75.855
PKP,2013-11-26,75.575
PKP,2013-11-27,76.759
PKP,2013-11-28,77.887
PKP,2013-11-29,78.474
PKP,2013-12-02,77.391
PKP,2013-12-03,76.324
PKP,2013-12-04,75.864
PKP,2013-12-05,75.404
PKP,2013-12-06,75.539
PKP,2013-12-09,77.662
PKP,2013-12-10,77.662
PKP,2013-12-11,77.165
PKP,2013-12-12,74.952
PKP,2013-12-13,74.952
PKP,2013-12-16,75.855
PKP,2013-12-17,73.688
PKP,2013-12-18,74.952
PKP,2013-12-19,74.049
PKP,2013-12-20,74.32
PKP,2013-12-23,74.591
PKP,2013-12-27,75.25
PKP,2013-12-30,77.635
PKP,2014-01-02,78.05
PKP,2014-01-03,77.3
PKP,2014-01-07,76.307
PKP,2014-01-08,76.903
PKP,2014-01-09,76.767
PKP,2014-01-10,76.063
PKP,2014-01-13,77.553
PKP,2014-01-14,77.12
PKP,2014-01-15,77.526
PKP,2014-01-16,77.841
PKP,2014-01-17,79.323
PKP,2014-01-20,79.422
PKP,2014-01-21,80.505
PKP,2014-01-22,81.273
PKP,2014-01-23,82.177
PKP,2014-01-24,81.273
PKP,2014-01-27,81.174
PKP,2014-01-28,82.005
PKP,2014-01-29,82.177
PKP,2014-01-30,82.177
PKP,2014-01-31,81.607
PKP,2014-02-03,82.583
PKP,2014-02-04,82.619
PKP,2014-02-05,82.808
PKP,2014-02-06,84.569
PKP,2014-02-07,84.434
PKP,2014-02-10,84.434
PKP,2014-02-11,84.254
PKP,2014-02-12,84.778
PKP,2014-02-13,83.982
PKP,2014-02-14,83.531
PKP,2014-02-17,83.531
PKP,2014-02-18,82.628
PKP,2014-02-19,82.628
PKP,2014-02-20,82.718
PKP,2014-02-21,83.288
PKP,2014-02-24,83.079
PKP,2014-02-25,83.522
PKP,2014-02-26,82.538
PKP,2014-02-27,82.628
PKP,2014-02-28,82.628
PKP,2014-03-03,77.841
PKP,2014-03-04,80.009
PKP,2014-03-05,80.19
PKP,2014-03-06,81.228
PKP,2014-03-07,80.823
PKP,2014-03-10,79.603
PKP,2014-03-11,80.236
PKP,2014-03-12,79.918
PKP,2014-03-13,79.468
PKP,2014-03-14,79.286
PKP,2014-03-17,81.86
PKP,2014-03-18,82.609
PKP,2014-03-19,82.177
PKP,2014-03-20,82.718
PKP,2014-03-21,82.944
PKP,2014-03-24,82.447
PKP,2014-03-25,82.628
PKP,2014-03-26,82.989
PKP,2014-03-27,82.141
PKP,2014-03-28,82.24
PKP,2014-03-31,81.725
PKP,2014-04-01,81.634
PKP,2014-04-02,82.015
PKP,2014-04-03,82.9
PKP,2014-04-04,82.538
PKP,2014-04-07,82.177
PKP,2014-04-08,83.079
PKP,2014-04-09,84.786
PKP,2014-04-10,83.531
PKP,2014-04-11,82.149
PKP,2014-04-14,81.184
PKP,2014-04-15,80.027
PKP,2014-04-16,79.016
PKP,2014-04-17,79.892
PKP,2014-04-22,79.856
PKP,2014-04-23,79.639
PKP,2014-04-24,79.016
PKP,2014-04-25,79.332
PKP,2014-04-28,79.107
PKP,2014-04-29,75.847
PKP,2014-04-30,75.72
PKP,2014-05-02,75.449
PKP,2014-05-05,74.41
PKP,2014-05-06,74.943
PKP,2014-05-07,75.404
PKP,2014-05-08,75.693
PKP,2014-05-09,74.771
PKP,2014-05-12,74.049
PKP,2014-05-13,74.771
PKP,2014-05-14,74.673
PKP,2014-05-15,75.133
PKP,2014-05-16,74.074
PKP,2014-05-19,75.386
PKP,2014-05-20,75.377
PKP,2014-05-21,75.011
PKP,2014-05-22,75.555
PKP,2014-05-23,76.98
PKP,2014-05-26,77.458
PKP,2014-05-27,79.23
PKP,2014-05-28,78.246
PKP,2014-05-29,76.886
PKP,2014-05-30,76.418
PKP,2014-06-02,76.558
PKP,2014-06-03,77.449
PKP,2014-06-04,76.418
PKP,2014-06-05,77.355
PKP,2014-06-06,77.017
PKP,2014-06-09,78.283
PKP,2014-06-10,78.067
PKP,2014-06-11,77.542
PKP,2014-06-12,76.042
PKP,2014-06-13,76.23
PKP,2014-06-16,74.824
PKP,2014-06-17,74.074
PKP,2014-06-18,74.402
PKP,2014-06-20,75.058
PKP,2014-06-23,74.73
PKP,2014-06-24,74.542
