<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2004-02-27,1.5184,1.545,1.4519,1.4741
2004-03-01,1.5143,1.5228,1.4784,1.4963
2004-03-02,1.5092,1.5664,1.4878,1.54
2004-03-03,1.54,1.5536,1.5184,1.5314
2004-03-04,1.54,1.54,1.5049,1.5092
2004-03-05,1.5049,1.5184,1.4878,1.5049
2004-03-08,1.5314,1.5314,1.4698,1.4698
2004-03-09,1.4921,1.4921,1.4305,1.4519
2004-03-10,1.4519,1.4519,1.4305,1.4519
2004-03-11,1.4348,1.4348,1.3733,1.4084
2004-03-12,1.4084,1.4084,1.3596,1.4041
2004-03-15,1.3776,1.3998,1.3776,1.3955
2004-03-16,1.369,1.3776,1.3596,1.3638
2004-03-17,1.3955,1.4084,1.369,1.3733
2004-03-18,1.3776,1.4041,1.3776,1.3818
2004-03-19,1.3818,1.3818,1.3469,1.369
2004-03-22,1.3776,1.3776,1.3202,1.3381
2004-03-23,1.3245,1.3426,1.3118,1.3245
2004-03-24,1.3023,1.3426,1.2895,1.3118
2004-03-25,1.3118,1.3426,1.3118,1.3426
2004-03-26,1.3381,1.4348,1.3202,1.386
2004-03-29,1.369,1.3955,1.3638,1.386
2004-03-30,1.3733,1.3998,1.3638,1.3638
2004-03-31,1.3733,1.3818,1.3638,1.3733
2004-04-01,1.3818,1.3818,1.3638,1.369
2004-04-02,1.3955,1.3998,1.3733,1.3903
2004-04-05,1.3776,1.3903,1.3733,1.3733
2004-04-06,1.3776,1.386,1.3733,1.3818
2004-04-07,1.3955,1.3998,1.3733,1.3733
2004-04-08,1.3903,1.3998,1.3733,1.3998
2004-04-13,1.4041,1.4263,1.4041,1.4084
2004-04-14,1.4263,1.4348,1.4169,1.4169
2004-04-15,1.4348,1.54,1.4348,1.54
2004-04-16,1.5357,1.5357,1.4963,1.5143
2004-04-19,1.4784,1.5184,1.4784,1.4784
2004-04-20,1.4878,1.4878,1.4263,1.4476
2004-04-21,1.4169,1.4434,1.4084,1.4434
2004-04-22,1.4263,1.4263,1.4126,1.4263
2004-04-23,1.4263,1.4519,1.4211,1.4519
2004-04-26,1.4656,1.4741,1.4305,1.4519
2004-04-27,1.4348,1.54,1.4348,1.54
2004-04-28,1.6237,1.6237,1.4878,1.4878
2004-04-29,1.4741,1.4878,1.4656,1.4878
2004-04-30,1.4519,1.4963,1.4519,1.4963
2004-05-04,1.4963,1.5092,1.4741,1.5092
2004-05-05,1.5092,1.5314,1.4963,1.4963
2004-05-06,1.4963,1.5006,1.4963,1.4963
2004-05-07,1.4963,1.4963,1.4963,1.4963
2004-05-10,1.4741,1.4741,1.4126,1.4305
2004-05-11,1.4169,1.4305,1.4084,1.4084
2004-05-12,1.3903,1.4084,1.3903,1.4084
2004-05-14,1.3903,1.4126,1.3903,1.4084
2004-05-17,1.4084,1.4126,1.4084,1.4084
2004-05-18,1.4084,1.4698,1.4084,1.4698
2004-05-19,1.4519,1.4784,1.4519,1.457
2004-05-20,1.4519,1.4613,1.4519,1.4613
2004-05-21,1.4835,1.4835,1.457,1.457
2004-05-24,1.4835,1.4835,1.4519,1.4741
2004-05-25,1.4519,1.4963,1.4305,1.4519
2004-05-26,1.4305,1.4741,1.4305,1.4741
2004-05-27,1.4348,1.4613,1.4348,1.4613
2004-05-28,1.4519,1.4698,1.4391,1.4698
2004-05-31,1.4519,1.457,1.4519,1.4519
2004-06-01,1.4519,1.4519,1.4519,1.4519
2004-06-02,1.4741,1.4784,1.4741,1.4741
2004-06-03,1.4519,1.4698,1.4519,1.4698
2004-06-04,1.4835,1.4835,1.4519,1.4835
2004-06-07,1.457,1.457,1.4519,1.457
2004-06-08,1.4784,1.4963,1.4741,1.4963
2004-06-09,1.4878,1.4878,1.4741,1.4835
2004-06-11,1.4835,1.4835,1.4835,1.4835
2004-06-14,1.4835,1.4835,1.4348,1.4348
2004-06-15,1.4348,1.4613,1.4348,1.4391
2004-06-16,1.4741,1.4741,1.4741,1.4741
2004-06-17,1.4391,1.4391,1.4348,1.4348
2004-06-18,1.4305,1.4348,1.4305,1.4305
2004-06-21,1.4656,1.4656,1.4656,1.4656
2004-06-22,1.4656,1.4656,1.4476,1.4476
2004-06-23,1.4476,1.4656,1.4476,1.4656
2004-06-24,1.4348,1.4519,1.4348,1.4519
2004-06-25,1.4656,1.4656,1.4519,1.4519
2004-06-28,1.4519,1.4519,1.4519,1.4519
2004-06-29,1.4656,1.4656,1.4519,1.4519
2004-06-30,1.4348,1.4519,1.4348,1.4519
2004-07-01,1.457,1.457,1.4519,1.457
2004-07-02,1.4519,1.4519,1.4391,1.4476
2004-07-05,1.4391,1.4391,1.4211,1.4211
2004-07-07,1.4169,1.4169,1.4169,1.4169
2004-07-08,1.4263,1.4263,1.4263,1.4263
2004-07-09,1.4305,1.4519,1.4305,1.4348
2004-07-12,1.4169,1.4305,1.4126,1.4126
2004-07-13,1.4519,1.4519,1.4434,1.4476
2004-07-14,1.4476,1.4519,1.4476,1.4519
2004-07-15,1.4476,1.4476,1.4348,1.4348
2004-07-16,1.4519,1.4613,1.4476,1.4519
2004-07-19,1.457,1.457,1.457,1.457
2004-07-20,1.4613,1.4613,1.4613,1.4613
2004-07-21,1.4613,1.4784,1.457,1.4613
2004-07-22,1.4519,1.4613,1.4519,1.457
2004-07-23,1.4519,1.4656,1.4519,1.4613
2004-07-26,1.4519,1.4656,1.4519,1.457
2004-07-27,1.4656,1.4698,1.4613,1.4613
2004-07-28,1.4656,1.4741,1.4613,1.4656
2004-07-29,1.4613,1.4784,1.4613,1.4784
2004-07-30,1.4784,1.4784,1.4656,1.4784
2004-08-02,1.4963,1.4963,1.4656,1.4963
2004-08-03,1.4963,1.5184,1.4963,1.5143
2004-08-04,1.5314,1.5314,1.5049,1.5049
2004-08-05,1.5184,1.5184,1.4835,1.5184
2004-08-06,1.5092,1.5092,1.4741,1.4921
2004-08-09,1.4656,1.4656,1.4169,1.4519
2004-08-10,1.4519,1.4519,1.4519,1.4519
2004-08-11,1.4348,1.4348,1.3638,1.3903
2004-08-12,1.3955,1.3955,1.3903,1.3955
2004-08-13,1.386,1.386,1.386,1.386
2004-08-16,1.3903,1.3903,1.386,1.386
2004-08-17,1.386,1.386,1.386,1.386
2004-08-19,1.3818,1.3818,1.3381,1.3381
