<DATE>,<CLOSE>
1998-12-18,10.431
1998-12-21,10.328
1998-12-22,9.3051
1998-12-23,8.7986
1998-12-28,8.3952
1998-12-29,8.339
1998-12-30,8.142
1998-12-31,8.3952
1999-01-04,8.6485
1999-01-05,8.6485
1999-01-06,8.6485
1999-01-07,8.3952
1999-01-08,8.3952
1999-01-11,8.339
1999-01-12,8.339
1999-01-13,8.3952
1999-01-14,8.0387
1999-01-15,7.6261
1999-01-18,6.8663
1999-01-19,7.5323
1999-01-20,8.2358
1999-01-21,7.4291
1999-01-22,8.142
1999-01-25,7.8324
1999-01-26,7.1196
1999-01-27,7.6261
1999-01-28,7.8886
1999-01-29,7.8324
1999-02-01,7.9825
1999-02-02,8.142
1999-02-03,7.9356
1999-02-04,7.8886
1999-02-05,8.0387
1999-02-08,7.9356
1999-02-09,7.9825
1999-02-10,7.9825
1999-02-11,7.2228
1999-02-12,7.8886
1999-02-15,8.142
1999-02-16,8.2358
1999-02-17,8.3952
1999-02-18,8.6485
1999-02-19,9.512
1999-02-22,8.6485
1999-02-23,8.6485
1999-02-24,7.7855
1999-02-25,7.6824
1999-02-26,7.5792
1999-03-01,6.8663
1999-03-02,6.6131
1999-03-03,6.4066
1999-03-04,6.5098
1999-03-05,6.6131
1999-03-08,6.8663
1999-03-09,6.8194
1999-03-10,7.0164
1999-03-11,7.0727
1999-03-12,7.0727
1999-03-15,6.8663
1999-03-16,7.1196
1999-03-17,6.9695
1999-03-18,6.8663
1999-03-19,6.9695
1999-03-22,6.8663
1999-03-23,6.763
1999-03-24,6.9131
1999-03-25,6.2565
1999-03-26,6.8663
1999-03-29,7.0727
1999-03-30,7.4291
1999-03-31,7.4291
1999-04-01,7.1196
1999-04-06,7.1196
1999-04-07,6.4066
1999-04-08,7.0164
1999-04-09,7.5323
1999-04-12,7.1196
1999-04-13,7.1196
1999-04-14,7.1196
1999-04-15,7.2228
1999-04-16,7.3259
1999-04-19,7.2228
1999-04-20,7.3728
1999-04-21,7.1196
1999-04-22,7.2228
1999-04-23,7.1196
1999-04-26,7.1196
1999-04-27,6.4066
1999-04-28,7.0164
1999-04-29,7.6824
1999-04-30,8.3952
1999-05-04,8.142
1999-05-05,7.3259
1999-05-06,7.5792
1999-05-07,7.8324
1999-05-10,7.6261
1999-05-11,7.5323
1999-05-12,7.2228
1999-05-13,7.3259
1999-05-14,7.3259
1999-05-17,6.9695
1999-05-18,7.1196
1999-05-19,7.1196
1999-05-20,7.1196
1999-05-21,7.1196
1999-05-24,7.476
1999-05-25,7.5792
1999-05-26,7.6261
1999-05-27,7.5323
1999-05-28,7.6261
1999-05-31,7.1196
1999-06-01,7.1196
1999-06-02,7.1758
1999-06-07,7.2228
1999-06-08,7.1196
1999-06-09,7.2697
1999-06-10,7.2697
1999-06-11,7.2697
1999-06-14,7.5792
1999-06-15,7.1196
1999-06-16,7.3259
1999-06-17,7.3728
1999-06-18,7.3728
1999-06-21,7.3728
1999-06-22,7.3259
1999-06-23,7.1196
1999-06-24,7.2697
1999-06-25,7.2697
1999-06-28,7.2697
1999-06-29,7.2697
1999-06-30,7.1196
1999-07-01,7.1196
1999-07-02,7.1196
1999-07-05,7.2697
1999-07-06,7.3259
1999-07-07,7.3259
1999-07-08,7.2697
1999-07-09,7.2697
1999-07-12,7.2697
1999-07-13,7.1758
1999-07-14,7.1196
1999-07-15,7.1196
1999-07-16,7.1196
1999-07-19,7.1196
1999-07-20,7.2697
1999-07-21,7.2697
1999-07-22,7.2697
1999-07-23,7.2697
1999-07-26,7.2228
1999-07-27,7.2228
1999-07-28,7.2228
1999-07-29,7.2228
1999-07-30,7.2228
1999-08-02,7.0164
1999-08-03,6.6599
1999-08-04,7.0164
1999-08-05,6.9695
1999-08-06,6.8663
1999-08-09,6.9131
1999-08-10,6.6131
1999-08-11,6.8663
1999-08-12,6.8663
1999-08-13,6.9131
1999-08-16,7.0164
1999-08-17,7.1196
1999-08-18,7.0727
1999-08-19,7.1196
1999-08-20,7.1196
1999-08-23,6.4066
1999-08-24,6.6131
1999-08-25,6.8663
1999-08-26,7.0727
1999-08-27,7.2228
1999-08-30,7.2697
1999-08-31,7.2697
1999-09-01,7.3728
1999-09-02,7.2697
1999-09-03,7.6261
1999-09-06,7.4291
1999-09-07,7.3728
1999-09-08,7.3259
1999-09-09,7.3728
1999-09-10,7.2697
1999-09-13,7.3728
1999-09-14,7.3728
1999-09-15,6.6599
1999-09-16,6.8663
1999-09-17,6.8663
1999-09-20,6.8663
1999-09-21,6.8663
1999-09-22,6.6599
1999-09-23,6.6599
1999-09-24,6.6599
1999-09-27,6.6131
1999-09-28,7.2697
1999-09-29,7.2228
1999-09-30,7.1196
1999-10-01,7.2697
1999-10-04,7.3728
1999-10-05,7.3728
1999-10-06,7.3728
1999-10-07,7.3728
1999-10-08,7.3728
1999-10-11,7.1196
1999-10-12,6.4066
1999-10-13,6.6131
1999-10-14,6.6131
1999-10-15,6.5661
1999-10-18,6.4066
1999-10-19,6.538
1999-10-20,6.4066
1999-10-21,6.6131
1999-10-22,6.8663
1999-10-25,7.3728
1999-10-26,6.8663
1999-10-27,6.4066
1999-10-28,6.5098
1999-10-29,6.6131
1999-11-02,6.8663
1999-11-03,6.8663
1999-11-04,6.6131
1999-11-05,6.8663
1999-11-08,6.7162
1999-11-09,6.8194
1999-11-10,6.1533
1999-11-15,6.6131
1999-11-16,7.0164
1999-11-17,6.8663
1999-11-18,6.763
1999-11-19,6.763
1999-11-22,6.7162
1999-11-23,6.7162
1999-11-24,6.763
1999-11-25,6.763
1999-11-26,6.763
1999-11-29,6.6131
1999-11-30,6.5849
1999-12-01,6.6131
1999-12-02,6.4066
1999-12-03,6.5098
1999-12-06,6.6131
1999-12-07,6.8663
1999-12-08,6.9976
1999-12-09,6.9131
1999-12-10,7.1196
1999-12-13,7.5792
1999-12-14,7.4291
1999-12-15,7.1196
