<DATE>,<CLOSE>
1994-06-30,8.0641
1994-07-04,7.5772
1994-07-05,8.0641
1994-07-06,8.8672
1994-07-07,9.755
1994-07-11,10.73
1994-07-12,11.772
1994-07-13,12.908
1994-07-14,12.097
1994-07-18,13.309
1994-07-19,12.908
1994-07-20,12.181
1994-07-21,12.908
1994-07-25,11.61
1994-07-26,11.371
1994-07-27,11.934
1994-07-28,11.61
1994-08-01,11.695
1994-08-02,12.097
1994-08-03,12.583
1994-08-04,12.908
1994-08-08,12.908
1994-08-09,12.583
1994-08-10,12.259
1994-08-11,12.097
1994-08-16,12.583
1994-08-17,12.498
1994-08-18,12.335
1994-08-22,12.335
1994-08-23,11.772
1994-08-24,11.455
1994-08-25,11.293
1994-08-29,11.046
1994-08-30,11.293
1994-08-31,10.568
1994-09-01,10.32
1994-09-05,10.32
1994-09-06,9.3544
1994-09-07,8.5511
1994-09-08,9.3544
1994-09-12,10.003
1994-09-13,9.0299
1994-09-14,8.8672
1994-09-15,8.0641
1994-09-19,8.628
1994-09-20,8.8672
1994-09-21,8.1495
1994-09-22,8.8672
1994-09-26,8.7135
1994-09-27,8.628
1994-09-28,8.7135
1994-09-29,9.1917
1994-10-03,9.679
1994-10-04,10.166
1994-10-05,10.482
1994-10-06,10.08
1994-10-07,9.679
1994-10-10,9.3544
1994-10-11,9.0299
1994-10-12,9.0299
1994-10-13,8.8672
1994-10-14,9.0299
1994-10-17,8.8672
1994-10-18,9.0299
1994-10-19,9.4398
1994-10-20,9.3544
1994-10-21,8.4656
1994-10-24,8.3887
1994-10-25,8.0641
1994-10-26,7.7395
1994-10-27,7.5772
1994-10-28,7.261
1994-11-02,7.5772
1994-11-03,7.7395
1994-11-04,7.261
1994-11-07,7.3379
1994-11-08,7.4575
1994-11-09,7.4234
1994-11-10,7.261
1994-11-14,7.1756
1994-11-15,6.4494
1994-11-16,6.2104
1994-11-17,6.3726
1994-11-18,6.6119
1994-11-21,6.3726
1994-11-22,6.2104
1994-11-23,6.2104
1994-11-24,6.1335
1994-11-25,6.5351
1994-11-28,6.8511
1994-11-29,7.261
1994-11-30,7.9872
1994-12-01,7.9872
1994-12-02,7.1756
1994-12-05,7.7395
1994-12-06,6.9792
1994-12-07,7.0134
1994-12-08,6.3299
1994-12-09,6.1677
1994-12-12,6.6972
1994-12-13,6.2104
1994-12-14,6.2104
1994-12-15,6.4154
1994-12-16,6.7742
1994-12-19,6.9366
1994-12-20,6.5351
1994-12-21,6.5351
1994-12-22,6.6972
1994-12-23,6.8511
1994-12-27,6.7742
1994-12-28,6.6972
1994-12-29,6.5692
1995-01-02,6.9366
1995-01-03,7.4234
1995-01-04,6.9792
1995-01-05,7.1756
1995-01-06,6.7315
1995-01-09,6.9366
1995-01-10,6.8169
1995-01-11,6.6972
1995-01-12,6.9366
1995-01-13,7.0988
1995-01-16,7.0988
1995-01-17,6.9366
1995-01-18,6.7742
1995-01-19,6.7742
1995-01-20,6.7742
1995-01-23,6.6119
1995-01-24,6.2873
1995-01-25,6.2873
1995-01-26,6.2873
1995-01-27,6.2873
1995-01-30,5.8858
1995-01-31,5.6038
1995-02-01,5.9712
1995-02-02,5.7236
1995-02-03,5.3219
1995-02-06,5.8431
1995-02-07,5.9712
1995-02-08,5.9712
1995-02-09,6.048
1995-02-10,5.8089
1995-02-13,5.6893
1995-02-14,5.6466
1995-02-15,5.8089
1995-02-16,5.9712
1995-02-17,6.1335
1995-02-20,5.9712
1995-02-21,5.4075
1995-02-22,5.5611
1995-02-23,5.8089
1995-02-24,6.3726
1995-02-27,5.8089
1995-02-28,5.8089
1995-03-01,5.8089
1995-03-02,5.8089
1995-03-03,6.048
1995-03-06,6.2104
1995-03-07,6.2104
1995-03-08,6.2104
1995-03-09,6.1677
1995-03-10,6.048
1995-03-13,5.8089
1995-03-14,5.6893
1995-03-15,5.6466
1995-03-16,5.6038
1995-03-17,5.5611
1995-03-20,5.4843
1995-03-21,5.4075
1995-03-22,5.2451
1995-03-23,5.2451
1995-03-24,5.3219
1995-03-27,5.4075
1995-03-28,5.117
1995-03-29,5.1597
1995-03-30,5.2451
1995-03-31,5.4843
1995-04-03,5.5611
1995-04-04,5.6466
1995-04-05,5.7236
1995-04-06,5.8858
1995-04-07,5.8858
1995-04-10,6.2104
1995-04-11,6.2873
1995-04-12,6.2873
1995-04-13,6.048
1995-04-14,6.0908
1995-04-18,6.2104
1995-04-19,6.8169
1995-04-20,7.3379
1995-04-21,6.9792
1995-04-24,7.4234
1995-04-25,7.6627
1995-04-26,6.8938
1995-04-27,7.1756
1995-04-28,7.1415
1995-05-04,6.9366
1995-05-05,6.8511
1995-05-09,7.0561
1995-05-10,7.3379
1995-05-11,7.8249
1995-05-12,8.5511
1995-05-15,8.7908
1995-05-16,8.2264
1995-05-17,8.0641
1995-05-18,7.261
1995-05-19,7.261
1995-05-22,6.8511
1995-05-23,6.6119
1995-05-24,7.1756
1995-05-25,7.8249
1995-05-26,7.3379
1995-05-29,7.7053
1995-05-30,7.261
1995-05-31,6.9366
1995-06-01,6.5351
1995-06-02,6.4494
1995-06-05,6.4494
1995-06-06,7.0988
1995-06-07,7.4234
1995-06-08,7.0134
1995-06-09,7.1415
1995-06-12,7.0988
1995-06-13,7.0134
1995-06-14,6.8511
1995-06-16,6.6972
1995-06-19,6.5692
1995-06-20,6.6546
1995-06-21,6.8169
1995-06-22,6.6546
1995-06-23,6.6972
1995-06-26,7.0988
1995-06-27,7.3379
1995-06-28,6.8511
1995-06-29,7.1415
1995-06-30,7.1415
1995-07-03,7.261
1995-07-04,7.0988
1995-07-05,6.9792
1995-07-06,7.0134
1995-07-07,6.8938
1995-07-10,6.8511
1995-07-11,6.7742
1995-07-12,6.6546
1995-07-13,6.7315
1995-07-14,6.6972
1995-07-17,6.8511
1995-07-18,7.261
1995-07-19,6.9792
1995-07-20,6.8511
1995-07-21,6.8511
1995-07-24,6.6119
1995-07-25,6.7315
1995-07-26,6.7315
1995-07-27,7.0134
1995-07-28,6.8938
1995-07-31,6.2873
1995-08-01,6.4154
1995-08-02,6.4494
1995-08-03,6.3726
1995-08-04,6.2873
1995-08-07,6.3726
1995-08-08,6.3299
1995-08-09,6.3299
