<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-06-04,5.0179,5.0179,5.0179,5.0179
1998-06-05,5.4912,5.4912,5.4912,5.4912
1998-06-08,6.012,6.012,6.012,6.012
1998-06-09,5.6807,5.6807,5.6807,5.6807
1998-06-10,5.6807,5.6807,5.6807,5.6807
1998-06-15,5.1126,5.1126,5.1126,5.1126
1998-06-16,4.6013,4.6013,4.6013,4.6013
1998-06-17,4.9232,4.9232,4.9232,4.9232
1998-06-18,5.3019,5.3019,5.3019,5.3019
1998-06-19,5.586,5.586,5.586,5.586
1998-06-22,5.6807,5.6807,5.6807,5.6807
1998-06-23,5.9646,5.9646,5.9646,5.9646
1998-06-24,6.1067,6.1067,6.1067,6.1067
1998-06-25,6.3907,6.3907,6.3907,6.3907
1998-06-26,6.6747,6.6747,6.6747,6.6747
1998-06-29,7.3375,7.3375,7.3375,7.3375
1998-06-30,7.9529,7.9529,7.9529,7.9529
1998-07-01,7.7162,7.7162,7.7162,7.7162
1998-07-02,6.9588,6.9588,6.9588,6.9588
1998-07-03,7.6215,7.6215,7.6215,7.6215
1998-07-06,8.3789,8.3789,8.3789,8.3789
1998-07-07,7.7635,7.7635,7.7635,7.7635
1998-07-08,8.521,8.521,8.521,8.521
1998-07-09,8.9944,8.9944,8.9944,8.9944
1998-07-10,8.9944,8.9944,8.9944,8.9944
1998-07-13,8.9944,8.9944,8.9944,8.9944
1998-07-14,9.3729,9.3729,9.3729,9.3729
1998-07-15,10.272,10.272,10.272,10.272
1998-07-16,9.751,9.751,9.751,9.751
1998-07-17,10.699,10.699,10.699,10.699
1998-07-20,11.74,11.74,11.74,11.74
1998-07-21,11.125,11.125,11.125,11.125
1998-07-22,10.036,10.036,10.036,10.036
1998-07-23,9.0419,9.0419,9.0419,9.0419
1998-07-24,9.942,9.942,9.942,9.942
1998-07-27,10.699,10.699,10.699,10.699
1998-07-28,9.846,9.846,9.846,9.846
1998-07-29,10.414,10.414,10.414,10.414
1998-07-30,9.3729,9.3729,9.3729,9.3729
1998-07-31,8.4736,8.4736,8.4736,8.4736
1998-08-03,7.6689,7.6689,7.6689,7.6689
1998-08-04,8.4263,8.4263,8.4263,8.4263
1998-08-05,7.6215,7.6215,7.6215,7.6215
1998-08-06,6.8641,6.8641,6.8641,6.8641
1998-08-07,6.6274,6.6274,6.6274,6.6274
1998-08-10,6.0594,6.0594,6.0594,6.0594
1998-08-11,6.3907,6.3907,6.3907,6.3907
1998-08-12,6.8641,6.8641,6.8641,6.8641
1998-08-13,6.438,6.438,6.438,6.438
1998-08-14,6.0594,6.0594,6.0594,6.0594
1998-08-17,6.3907,6.3907,6.3907,6.3907
1998-08-18,6.6274,6.6274,6.6274,6.6274
1998-08-19,6.9114,6.9114,6.9114,6.9114
1998-08-20,6.7221,6.7221,6.7221,6.7221
1998-08-21,6.438,6.438,6.438,6.438
1998-08-24,6.3434,6.3434,6.3434,6.3434
1998-08-25,6.3434,6.3434,6.3434,6.3434
1998-08-26,5.7753,5.7753,5.7753,5.7753
1998-08-27,5.2073,5.2073,5.2073,5.2073
1998-08-28,4.6865,4.6865,4.6865,4.6865
1998-08-31,5.1126,5.1126,5.1126,5.1126
1998-09-01,4.6013,4.6013,4.6013,4.6013
1998-09-02,5.0179,5.0179,5.0179,5.0179
1998-09-03,5.4912,5.4912,5.4912,5.4912
1998-09-04,4.9706,4.9706,4.9706,4.9706
1998-09-07,5.1126,5.1126,5.1126,5.1126
1998-09-08,5.0179,5.0179,5.0179,5.0179
1998-09-09,4.5161,4.5161,4.5161,4.5161
1998-09-10,4.3646,4.3646,4.3646,4.3646
1998-09-11,4.3552,4.3552,4.3552,4.3552
1998-09-14,4.3552,4.3552,4.3552,4.3552
1998-09-15,4.1658,4.1658,4.1658,4.1658
1998-09-16,3.8818,3.8818,3.8818,3.8818
1998-09-17,3.7397,3.7397,3.7397,3.7397
1998-09-18,3.4558,3.4558,3.4558,3.4558
1998-09-21,3.1148,3.1148,3.1148,3.1148
1998-09-22,2.9824,2.9824,2.9824,2.9824
1998-09-23,3.1244,3.1244,3.1244,3.1244
1998-09-24,3.4367,3.4367,3.4367,3.4367
1998-09-25,3.5977,3.5977,3.5977,3.5977
1998-09-28,3.4084,3.4084,3.4084,3.4084
1998-09-29,3.2191,3.2191,3.2191,3.2191
1998-09-30,3.3137,3.3137,3.3137,3.3137
1998-10-01,3.2191,3.2191,3.2191,3.2191
1998-10-02,3.4558,3.4558,3.4558,3.4558
1998-10-05,3.4558,3.4558,3.4558,3.4558
1998-10-06,3.361,3.361,3.361,3.361
1998-10-07,3.4558,3.4558,3.4558,3.4558
1998-10-08,3.5977,3.5977,3.5977,3.5977
1998-10-09,3.7871,3.7871,3.7871,3.7871
1998-10-12,4.1185,4.1185,4.1185,4.1185
1998-10-13,4.1185,4.1185,4.1185,4.1185
1998-10-14,3.9859,3.9859,3.9859,3.9859
1998-10-15,3.9859,3.9859,3.9859,3.9859
1998-10-16,4.3835,4.3835,4.3835,4.3835
1998-10-19,4.3552,4.3552,4.3552,4.3552
1998-10-20,4.4498,4.4498,4.4498,4.4498
1998-10-21,4.4025,4.4025,4.4025,4.4025
1998-10-22,4.4498,4.4498,4.4498,4.4498
1998-10-23,4.8285,4.8285,4.8285,4.8285
1998-10-26,5.0652,5.0652,5.0652,5.0652
1998-10-27,4.8285,4.8285,4.8285,4.8285
1998-10-28,4.3457,4.3457,4.3457,4.3457
1998-10-29,4.7339,4.7339,4.7339,4.7339
1998-10-30,5.2073,5.2073,5.2073,5.2073
1998-11-02,5.2073,5.2073,5.2073,5.2073
1998-11-03,5.0652,5.0652,5.0652,5.0652
1998-11-04,5.0652,5.0652,5.0652,5.0652
1998-11-05,5.2073,5.2073,5.2073,5.2073
1998-11-06,5.7279,5.7279,5.7279,5.7279
1998-11-09,5.7279,5.7279,5.7279,5.7279
1998-11-10,5.8227,5.8227,5.8227,5.8227
1998-11-12,6.154,6.154,6.154,6.154
1998-11-13,6.0594,6.0594,6.0594,6.0594
1998-11-16,6.3907,6.3907,6.3907,6.3907
1998-11-17,6.3907,6.3907,6.3907,6.3907
1998-11-18,6.2013,6.2013,6.2013,6.2013
1998-11-19,6.5328,6.5328,6.5328,6.5328
1998-11-20,6.8167,6.8167,6.8167,6.8167
1998-11-23,6.6747,6.6747,6.6747,6.6747
1998-11-24,6.8167,6.8167,6.8167,6.8167
1998-11-25,6.5328,6.5328,6.5328,6.5328
1998-11-26,6.5328,6.5328,6.5328,6.5328
1998-11-27,6.6747,6.6747,6.6747,6.6747
1998-11-30,6.6274,6.6274,6.6274,6.6274
1998-12-01,6.9588,6.9588,6.9588,6.9588
1998-12-02,6.9588,6.9588,6.9588,6.9588
1998-12-03,6.9588,6.9588,6.9588,6.9588
1998-12-04,7.3848,7.3848,7.3848,7.3848
1998-12-07,7.7635,7.7635,7.7635,7.7635
1998-12-08,8.0476,8.0476,8.0476,8.0476
1998-12-09,8.0476,8.0476,8.0476,8.0476
1998-12-10,7.8582,7.8582,7.8582,7.8582
1998-12-11,8.1423,8.1423,8.1423,8.1423
1998-12-14,7.3375,7.3375,7.3375,7.3375
1998-12-15,7.5742,7.5742,7.5742,7.5742
1998-12-16,6.8167,6.8167,6.8167,6.8167
1998-12-17,6.154,6.154,6.154,6.154
1998-12-18,6.7221,6.7221,6.7221,6.7221
1998-12-21,7.3848,7.3848,7.3848,7.3848
1998-12-22,6.6747,6.6747,6.6747,6.6747
1998-12-23,7.2901,7.2901,7.2901,7.2901
1998-12-28,7.1008,7.1008,7.1008,7.1008
1998-12-29,6.438,6.438,6.438,6.438
1998-12-30,6.7695,6.7695,6.7695,6.7695
1998-12-31,6.5328,6.5328,6.5328,6.5328
1999-01-04,5.9174,5.9174,5.9174,5.9174
1999-01-05,6.0594,6.0594,6.0594,6.0594
1999-01-06,5.6807,5.6807,5.6807,5.6807
1999-01-07,5.4912,5.4912,5.4912,5.4912
1999-01-08,5.3966,5.3966,5.3966,5.3966
1999-01-11,5.6807,5.6807,5.6807,5.6807
1999-01-12,5.6807,5.6807,5.6807,5.6807
1999-01-13,5.3966,5.3966,5.3966,5.3966
1999-01-14,4.8759,4.8759,4.8759,4.8759
1999-01-15,4.7339,4.7339,4.7339,4.7339
1999-01-18,5.2073,5.2073,5.2073,5.2073
1999-01-19,5.6807,5.6807,5.6807,5.6807
1999-01-20,5.1126,5.1126,5.1126,5.1126
1999-01-21,5.4912,5.4912,5.4912,5.4912
1999-01-22,5.0179,5.0179,5.0179,5.0179
1999-01-25,5.0179,5.0179,5.0179,5.0179
1999-01-26,4.9232,4.9232,4.9232,4.9232
1999-01-27,5.0179,5.0179,5.0179,5.0179
1999-01-28,4.5161,4.5161,4.5161,4.5161
1999-01-29,4.7339,4.7339,4.7339,4.7339
1999-02-01,4.8759,4.8759,4.8759,4.8759
1999-02-02,4.6392,4.6392,4.6392,4.6392
1999-02-03,4.7339,4.7339,4.7339,4.7339
1999-02-04,4.6392,4.6392,4.6392,4.6392
1999-02-05,4.7339,4.7339,4.7339,4.7339
1999-02-08,4.7339,4.7339,4.7339,4.7339
1999-02-09,4.6392,4.6392,4.6392,4.6392
1999-02-10,4.7339,4.7339,4.7339,4.7339
1999-02-11,4.6392,4.6392,4.6392,4.6392
1999-02-12,4.7339,4.7339,4.7339,4.7339
1999-02-15,4.6392,4.6392,4.6392,4.6392
1999-02-16,4.6865,4.6865,4.6865,4.6865
1999-02-17,4.6392,4.6392,4.6392,4.6392
1999-02-18,4.6392,4.6392,4.6392,4.6392
1999-02-19,4.7339,4.7339,4.7339,4.7339
1999-02-22,4.7339,4.7339,4.7339,4.7339
1999-02-23,4.5918,4.5918,4.5918,4.5918
1999-02-24,4.5161,4.5161,4.5161,4.5161
1999-02-25,4.0711,4.0711,4.0711,4.0711
1999-02-26,4.1658,4.1658,4.1658,4.1658
1999-03-01,3.9764,3.9764,3.9764,3.9764
1999-03-02,3.8818,3.8818,3.8818,3.8818
1999-03-03,3.4936,3.4936,3.4936,3.4936
1999-03-04,3.7208,3.7208,3.7208,3.7208
1999-03-05,3.9764,3.9764,3.9764,3.9764
1999-03-08,4.1942,4.1942,4.1942,4.1942
1999-03-09,4.1658,4.1658,4.1658,4.1658
1999-03-10,4.0711,4.0711,4.0711,4.0711
1999-03-11,4.0238,4.0238,4.0238,4.0238
1999-03-12,4.0711,4.0711,4.0711,4.0711
1999-03-15,4.2605,4.2605,4.2605,4.2605
1999-03-16,4.2605,4.2605,4.2605,4.2605
1999-03-17,4.0711,4.0711,4.0711,4.0711
1999-03-18,3.7114,3.7114,3.7114,3.7114
1999-03-19,4.0616,4.0616,4.0616,4.0616
1999-03-22,3.8439,3.8439,3.8439,3.8439
1999-03-23,4.0711,4.0711,4.0711,4.0711
1999-03-24,3.9764,3.9764,3.9764,3.9764
1999-03-25,3.7871,3.7871,3.7871,3.7871
1999-03-26,3.9764,3.9764,3.9764,3.9764
1999-03-29,3.8818,3.8818,3.8818,3.8818
1999-03-30,3.9764,3.9764,3.9764,3.9764
1999-03-31,3.9764,3.9764,3.9764,3.9764
1999-04-01,3.8818,3.8818,3.8818,3.8818
1999-04-06,3.8344,3.8344,3.8344,3.8344
1999-04-07,3.9764,3.9764,3.9764,3.9764
1999-04-08,3.8912,3.8912,3.8912,3.8912
1999-04-09,3.967,3.967,3.967,3.967
1999-04-12,3.9764,3.9764,3.9764,3.9764
1999-04-13,4.0711,4.0711,4.0711,4.0711
1999-04-14,4.1847,4.1847,4.1847,4.1847
1999-04-15,4.2605,4.2605,4.2605,4.2605
1999-04-16,4.3835,4.3835,4.3835,4.3835
1999-04-19,4.5918,4.5918,4.5918,4.5918
1999-04-20,4.5918,4.5918,4.5918,4.5918
1999-04-21,4.6865,4.6865,4.6865,4.6865
1999-04-22,4.7812,4.7812,4.7812,4.7812
1999-04-23,4.8285,4.8285,4.8285,4.8285
1999-04-26,4.8285,4.8285,4.8285,4.8285
1999-04-27,4.7339,4.7339,4.7339,4.7339
1999-04-28,4.6392,4.6392,4.6392,4.6392
1999-04-29,4.4877,4.4877,4.4877,4.4877
1999-04-30,4.5918,4.5918,4.5918,4.5918
1999-05-04,4.7339,4.7339,4.7339,4.7339
1999-05-05,4.8285,4.8285,4.8285,4.8285
1999-05-06,4.6392,4.6392,4.6392,4.6392
1999-05-07,4.3552,4.3552,4.3552,4.3552
1999-05-10,4.4025,4.4025,4.4025,4.4025
1999-05-11,4.4025,4.4025,4.4025,4.4025
1999-05-12,4.3078,4.3078,4.3078,4.3078
1999-05-13,4.3078,4.3078,4.3078,4.3078
1999-05-14,4.3552,4.3552,4.3552,4.3552
1999-05-17,3.9197,3.9197,3.9197,3.9197
1999-05-18,4.0711,4.0711,4.0711,4.0711
1999-05-19,4.3268,4.3268,4.3268,4.3268
1999-05-20,4.3552,4.3552,4.3552,4.3552
1999-05-21,4.1847,4.1847,4.1847,4.1847
1999-05-24,4.3552,4.3552,4.3552,4.3552
1999-05-25,4.1942,4.1942,4.1942,4.1942
1999-05-26,4.2605,4.2605,4.2605,4.2605
1999-05-27,4.1658,4.1658,4.1658,4.1658
1999-05-28,4.1185,4.1185,4.1185,4.1185
1999-05-31,4.1185,4.1185,4.1185,4.1185
1999-06-01,4.1185,4.1185,4.1185,4.1185
1999-06-02,4.1753,4.1753,4.1753,4.1753
1999-06-07,4.1847,4.1847,4.1847,4.1847
1999-06-08,4.2605,4.2605,4.2605,4.2605
1999-06-09,4.3078,4.3078,4.3078,4.3078
1999-06-10,4.412,4.412,4.412,4.412
1999-06-11,4.4972,4.4972,4.4972,4.4972
1999-06-14,4.5824,4.5824,4.5824,4.5824
1999-06-15,4.4498,4.4498,4.4498,4.4498
1999-06-16,4.4972,4.4972,4.4972,4.4972
1999-06-17,4.4783,4.4783,4.4783,4.4783
1999-06-18,4.4498,4.4498,4.4498,4.4498
1999-06-21,4.4593,4.4593,4.4593,4.4593
1999-06-22,4.5066,4.5066,4.5066,4.5066
1999-06-23,4.5445,4.5445,4.5445,4.5445
1999-06-24,4.5918,4.5918,4.5918,4.5918
1999-06-25,4.1374,4.1374,4.1374,4.1374
1999-06-28,4.2983,4.2983,4.2983,4.2983
1999-06-29,4.1658,4.1658,4.1658,4.1658
1999-06-30,4.2605,4.2605,4.2605,4.2605
1999-07-01,4.3552,4.3552,4.3552,4.3552
1999-07-02,4.5445,4.5445,4.5445,4.5445
1999-07-05,4.5445,4.5445,4.5445,4.5445
1999-07-06,4.5445,4.5445,4.5445,4.5445
1999-07-07,4.5918,4.5918,4.5918,4.5918
1999-07-08,4.5918,4.5918,4.5918,4.5918
1999-07-09,4.5445,4.5445,4.5445,4.5445
1999-07-12,4.4972,4.4972,4.4972,4.4972
