<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1999-08-03,24.415,24.415,24.415,24.415
1999-08-04,24.415,24.415,24.415,24.415
1999-08-05,26.099,26.099,26.099,26.099
1999-08-06,25.257,25.257,25.257,25.257
1999-08-09,24.415,24.415,24.415,24.415
1999-09-09,20.206,20.206,20.206,20.206
1999-09-13,21.89,21.89,21.89,21.89
1999-09-20,20.627,20.627,20.627,20.627
1999-09-22,19.617,19.617,19.617,19.617
1999-09-24,19.364,19.364,19.364,19.364
1999-09-28,19.364,19.785,19.364,19.785
1999-09-29,19.364,19.364,19.364,19.364
1999-10-04,19.364,19.533,19.364,19.533
1999-10-07,18.437,18.522,18.437,18.522
1999-10-15,19.364,19.364,19.364,19.364
1999-10-21,18.522,18.522,18.522,18.522
1999-11-05,16.586,16.922,16.586,16.922
1999-11-22,16.922,16.922,16.922,16.922
1999-11-26,20.206,20.206,20.206,20.206
1999-11-29,22.311,22.732,22.311,22.732
1999-12-03,16.922,17.68,16.839,16.839
1999-12-06,16.922,16.922,16.922,16.922
1999-12-08,15.995,15.995,15.829,15.829
1999-12-10,15.995,15.995,15.995,15.995
1999-12-16,15.155,15.238,15.155,15.238
1999-12-23,15.913,15.913,15.913,15.913
2000-01-10,16.754,16.839,16.754,16.839
2000-01-18,15.995,15.995,15.995,15.995
2000-01-20,15.575,15.575,15.575,15.575
2000-01-21,15.155,15.575,15.155,15.575
2000-01-24,15.155,15.155,15.155,15.155
2000-01-27,15.155,15.155,15.155,15.155
2000-01-28,15.155,15.155,15.155,15.155
2000-02-01,15.155,15.155,15.155,15.155
2000-02-03,15.49,16.417,15.49,16.417
2000-02-04,15.744,15.744,15.155,15.66
2000-02-07,15.155,15.155,15.155,15.155
2000-02-08,15.155,15.155,15.155,15.155
2000-02-09,15.238,15.238,15.155,15.238
2000-02-10,15.66,15.66,15.66,15.66
2000-02-17,15.238,15.238,15.238,15.238
2000-02-21,15.155,15.155,15.155,15.155
2000-02-23,15.407,15.995,14.733,14.733
2000-02-29,15.913,17.344,15.575,17.344
2000-03-01,14.313,15.995,14.313,15.995
2000-03-02,15.995,15.995,15.744,15.913
2000-03-03,16.839,16.839,16.501,16.839
2000-03-06,16.839,17.68,16.839,17.68
2000-03-07,18.102,18.522,18.102,18.522
2000-03-08,17.765,17.765,16.839,17.511
2000-03-09,17.68,17.68,16.839,16.839
2000-03-10,17.26,17.26,17.26,17.26
2000-03-13,17.68,18.522,16.839,16.839
2000-03-14,18.102,18.102,17.68,17.68
2000-03-16,18.102,18.102,18.102,18.102
2000-03-17,18.102,18.102,18.102,18.102
2000-03-20,18.102,18.102,18.102,18.102
2000-03-21,17.765,17.765,17.765,17.765
2000-03-22,18.522,22.732,18.269,22.732
2000-03-23,18.943,21.469,18.943,20.29
2000-03-24,19.448,19.448,19.448,19.448
2000-03-27,20.206,20.206,20.206,20.206
2000-03-28,20.206,20.206,19.364,19.364
2000-03-29,19.869,19.869,19.364,19.364
2000-03-30,18.691,19.448,18.691,19.448
2000-03-31,18.943,18.943,17.68,17.68
2000-04-03,19.448,19.448,17.765,17.765
2000-04-04,18.943,19.785,17.848,18.017
2000-04-05,16.839,18.102,16.839,18.102
2000-04-06,17.26,17.26,17.26,17.26
2000-04-07,17.68,18.017,17.68,17.765
2000-04-10,17.68,18.102,17.68,17.765
2000-04-11,18.353,18.353,18.353,18.353
2000-04-12,18.943,18.943,18.522,18.522
2000-04-13,18.607,18.691,18.607,18.691
2000-04-17,18.522,18.522,17.68,17.68
2000-04-18,16.922,17.68,16.922,17.68
2000-04-19,18.775,19.027,17.68,17.68
2000-04-20,17.68,18.437,17.68,18.102
2000-04-25,18.102,18.775,17.932,18.775
2000-04-26,19.027,20.122,18.859,20.122
2000-04-27,20.88,22.479,19.785,20.206
2000-04-28,21.048,21.048,20.627,20.627
2000-05-05,20.627,21.048,20.627,21.048
