<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-10-15,50.82,50.82,50.82,50.82
1997-10-17,48.99,48.99,48.99,48.99
1997-10-20,47.16,47.16,47.16,47.16
1997-10-21,47.16,47.16,47.16,47.16
1997-10-22,46.695,46.695,46.695,46.695
1997-10-23,46.245,46.245,46.245,46.245
1997-10-24,45.325,45.325,45.325,45.325
1997-10-27,40.75,40.75,40.75,40.75
1997-10-28,37.085,37.085,37.085,37.085
1997-10-29,40.75,40.75,40.75,40.75
1997-10-30,40.75,40.75,40.75,40.75
1997-10-31,40.75,40.75,40.75,40.75
1997-11-03,44.865,44.865,44.865,44.865
1997-11-04,45.325,45.325,45.325,45.325
1997-11-05,46.245,46.245,46.245,46.245
1997-11-06,45.325,45.325,45.325,45.325
1997-11-07,44.415,44.415,44.415,44.415
1997-11-12,43.035,43.035,43.035,43.035
1997-11-13,41.665,41.665,41.665,41.665
1997-11-14,42.125,42.125,42.125,42.125
1997-11-17,44.415,44.415,44.415,44.415
1997-11-18,44.415,44.415,44.415,44.415
1997-11-19,43.495,43.495,43.495,43.495
1997-11-20,43.495,43.495,43.495,43.495
1997-11-21,44.415,44.415,44.415,44.415
1997-11-24,42.58,42.58,42.58,42.58
1997-11-25,41.665,41.665,41.665,41.665
1997-11-26,42.58,42.58,42.58,42.58
1997-11-27,41.205,41.205,41.205,41.205
1997-11-28,40.75,40.75,40.75,40.75
1997-12-01,43.035,43.035,43.035,43.035
1997-12-02,43.035,43.035,43.035,43.035
1997-12-03,43.035,43.035,43.035,43.035
1997-12-04,42.58,42.58,42.58,42.58
1997-12-05,42.58,42.58,42.58,42.58
1997-12-08,42.58,42.58,42.58,42.58
1997-12-09,42.58,42.58,42.58,42.58
1997-12-10,42.58,42.58,42.58,42.58
1997-12-11,41.665,41.665,41.665,41.665
1997-12-12,41.665,41.665,41.665,41.665
1997-12-15,41.665,41.665,41.665,41.665
1997-12-16,41.665,41.665,41.665,41.665
1997-12-17,41.665,41.665,41.665,41.665
1997-12-18,41.665,41.665,41.665,41.665
1997-12-19,41.205,41.205,41.205,41.205
1997-12-22,40.75,40.75,40.75,40.75
1997-12-23,39.835,39.835,39.835,39.835
1997-12-29,39.375,39.375,39.375,39.375
1997-12-30,39.835,39.835,39.835,39.835
1997-12-31,36.165,36.165,36.165,36.165
1998-01-05,38.46,38.46,38.46,38.46
1998-01-06,38,38,38,38
1998-01-07,38,38,38,38
1998-01-08,38.46,38.46,38.46,38.46
1998-01-09,38.46,38.46,38.46,38.46
1998-01-12,37.085,37.085,37.085,37.085
1998-01-13,37.085,37.085,37.085,37.085
1998-01-14,36.635,36.635,36.635,36.635
1998-01-15,35.71,35.71,35.71,35.71
1998-01-16,35.71,35.71,35.71,35.71
1998-01-19,38,38,38,38
1998-01-20,36.635,36.635,36.635,36.635
1998-01-21,37.085,37.085,37.085,37.085
1998-01-22,35.71,35.71,35.71,35.71
1998-01-23,35.71,35.71,35.71,35.71
1998-01-26,35.71,35.71,35.71,35.71
1998-01-27,35.71,35.71,35.71,35.71
1998-01-28,35.71,35.71,35.71,35.71
1998-01-29,36.635,36.635,36.635,36.635
1998-01-30,37.085,37.085,37.085,37.085
1998-02-02,38,38,38,38
1998-02-03,39.835,39.835,39.835,39.835
1998-02-04,38.915,38.915,38.915,38.915
1998-02-05,39.835,39.835,39.835,39.835
1998-02-06,40.29,40.29,40.29,40.29
1998-02-09,41.665,41.665,41.665,41.665
1998-02-10,41.665,41.665,41.665,41.665
1998-02-11,41.665,41.665,41.665,41.665
1998-02-12,40.75,40.75,40.75,40.75
1998-02-13,41.665,41.665,41.665,41.665
1998-02-16,41.665,41.665,41.665,41.665
1998-02-17,40.75,40.75,40.75,40.75
1998-02-18,38,38,38,38
1998-02-19,37.545,37.545,37.545,37.545
1998-02-20,37.085,37.085,37.085,37.085
1998-02-23,34.795,34.795,34.795,34.795
1998-02-24,35.71,35.71,35.71,35.71
1998-02-25,35.71,35.71,35.71,35.71
1998-02-26,36.635,36.635,36.635,36.635
1998-02-27,36.165,36.165,36.165,36.165
1998-03-02,37.085,37.085,37.085,37.085
1998-03-03,37.545,37.545,37.545,37.545
1998-03-04,36.635,36.635,36.635,36.635
1998-03-05,36.635,36.635,36.635,36.635
1998-03-06,36.635,36.635,36.635,36.635
1998-03-09,37.085,37.085,37.085,37.085
1998-03-10,37.545,37.545,37.545,37.545
1998-03-11,38.46,38.46,38.46,38.46
1998-03-12,38.46,38.46,38.46,38.46
1998-03-13,39.375,39.375,39.375,39.375
1998-03-16,39.835,39.835,39.835,39.835
1998-03-17,40.75,40.75,40.75,40.75
1998-03-18,40.75,40.75,40.75,40.75
1998-03-19,40.29,40.29,40.29,40.29
1998-03-20,38.915,38.915,38.915,38.915
1998-03-23,38.46,38.46,38.46,38.46
1998-03-24,38,38,38,38
1998-03-25,37.545,37.545,37.545,37.545
1998-03-26,37.085,37.085,37.085,37.085
1998-03-27,37.085,37.085,37.085,37.085
1998-03-30,37.085,37.085,37.085,37.085
1998-03-31,36.635,36.635,36.635,36.635
1998-04-01,36.635,36.635,36.635,36.635
1998-04-02,37.085,37.085,37.085,37.085
1998-04-06,37.085,37.085,37.085,37.085
1998-04-07,39.835,39.835,39.835,39.835
1998-04-08,38,38,38,38
1998-04-09,37.545,37.545,37.545,37.545
1998-04-14,37.085,37.085,37.085,37.085
1998-04-15,37.545,37.545,37.545,37.545
1998-04-16,38,38,38,38
1998-04-17,37.545,37.545,37.545,37.545
1998-04-20,37.545,37.545,37.545,37.545
1998-04-21,38,38,38,38
1998-04-22,37.545,37.545,37.545,37.545
1998-04-23,38,38,38,38
1998-04-24,38,38,38,38
1998-04-27,38,38,38,38
1998-04-28,37.085,37.085,37.085,37.085
1998-04-29,37.085,37.085,37.085,37.085
1998-04-30,36.165,36.165,36.165,36.165
1998-05-04,36.165,36.165,36.165,36.165
1998-05-05,32.51,32.51,32.51,32.51
1998-05-06,32.51,32.51,32.51,32.51
1998-05-07,31.135,31.135,31.135,31.135
1998-05-08,30.225,30.225,30.225,30.225
1998-05-11,30.225,30.225,30.225,30.225
1998-05-12,30.225,30.225,30.225,30.225
1998-05-13,30.675,30.675,30.675,30.675
1998-05-14,29.3,29.3,29.3,29.3
1998-05-15,28.385,28.385,28.385,28.385
1998-05-18,27.015,27.015,27.015,27.015
1998-05-19,24.73,24.73,24.73,24.73
1998-05-20,25.18,25.18,25.18,25.18
1998-05-21,25.18,25.18,25.18,25.18
1998-05-22,25.18,25.18,25.18,25.18
1998-05-25,25.635,25.635,25.635,25.635
1998-05-26,25.635,25.635,25.635,25.635
1998-05-27,24.73,24.73,24.73,24.73
1998-05-28,23.35,23.35,23.35,23.35
