<TICKER>,<DATE>,<CLOSE>
PZU,2010-05-12,18.423
PZU,2010-05-13,18.27
PZU,2010-05-14,18.168
PZU,2010-05-17,17.963
PZU,2010-05-18,18.064
PZU,2010-05-19,17.701
PZU,2010-05-20,16.939
PZU,2010-05-21,17.22
PZU,2010-05-24,17.527
PZU,2010-05-25,16.887
PZU,2010-05-26,18.117
PZU,2010-05-27,17.923
PZU,2010-05-28,17.912
PZU,2010-05-31,17.912
PZU,2010-06-01,17.84
PZU,2010-06-02,17.886
PZU,2010-06-04,17.502
PZU,2010-06-07,17.399
PZU,2010-06-08,17.349
PZU,2010-06-09,17.757
PZU,2010-06-10,17.912
PZU,2010-06-11,17.86
PZU,2010-06-14,17.998
PZU,2010-06-15,18.038
PZU,2010-06-16,18.034
PZU,2010-06-17,18.095
PZU,2010-06-18,18.295
PZU,2010-06-21,18.669
PZU,2010-06-22,18.423
PZU,2010-06-23,18.371
PZU,2010-06-24,18.168
PZU,2010-06-25,18.172
PZU,2010-06-28,18.013
PZU,2010-06-29,17.912
PZU,2010-06-30,17.912
PZU,2010-07-01,18.219
PZU,2010-07-02,18.117
PZU,2010-07-05,18.019
PZU,2010-07-06,18.351
PZU,2010-07-07,18.32
PZU,2010-07-08,18.368
PZU,2010-07-09,18.475
PZU,2010-07-12,19.037
PZU,2010-07-13,19.343
PZU,2010-07-14,18.935
PZU,2010-07-15,18.935
PZU,2010-07-16,18.833
PZU,2010-07-19,19.125
PZU,2010-07-20,18.94
PZU,2010-07-21,19.165
PZU,2010-07-22,19.549
PZU,2010-07-23,19.293
PZU,2010-07-26,19.866
PZU,2010-07-27,19.657
PZU,2010-07-28,19.402
PZU,2010-07-29,19.958
PZU,2010-07-30,20.162
PZU,2010-08-02,20.316
PZU,2010-08-03,20.418
PZU,2010-08-04,20.266
PZU,2010-08-05,20.343
PZU,2010-08-06,20.214
PZU,2010-08-09,19.549
PZU,2010-08-10,19.523
PZU,2010-08-11,19.293
PZU,2010-08-12,19.601
PZU,2010-08-13,19.851
PZU,2010-08-16,19.964
PZU,2010-08-17,19.702
PZU,2010-08-18,19.774
PZU,2010-08-19,19.699
PZU,2010-08-20,19.948
PZU,2010-08-23,20.558
PZU,2010-08-24,20.306
PZU,2010-08-25,19.98
PZU,2010-08-26,19.532
PZU,2010-08-27,19.67
PZU,2010-08-30,19.753
PZU,2010-08-31,19.879
PZU,2010-09-01,19.742
PZU,2010-09-02,19.721
PZU,2010-09-03,20.102
PZU,2010-09-06,20.348
PZU,2010-09-07,20.163
PZU,2010-09-08,20.795
PZU,2010-09-09,21.023
PZU,2010-09-10,20.848
PZU,2010-09-13,20.906
PZU,2010-09-14,21.091
PZU,2010-09-15,21.164
PZU,2010-09-16,20.954
PZU,2010-09-17,21.19
PZU,2010-09-20,21.368
PZU,2010-09-21,21.638
PZU,2010-09-22,21.638
PZU,2010-09-23,21.113
PZU,2010-09-24,20.795
PZU,2010-09-27,20.954
PZU,2010-09-28,21.011
PZU,2010-09-29,20.954
PZU,2010-09-30,21.586
PZU,2010-10-01,21.059
PZU,2010-10-04,21.348
PZU,2010-10-05,21.206
PZU,2010-10-06,21.201
PZU,2010-10-07,20.795
PZU,2010-10-08,20.665
PZU,2010-10-11,20.785
PZU,2010-10-12,20.638
PZU,2010-10-13,20.848
PZU,2010-10-14,20.296
PZU,2010-10-15,20.217
PZU,2010-10-18,20.323
PZU,2010-10-19,20.485
PZU,2010-10-20,20.296
PZU,2010-10-21,20.163
PZU,2010-10-22,20.058
PZU,2010-10-25,19.742
PZU,2010-10-26,19.48
PZU,2010-10-27,19.85
PZU,2010-10-28,20.111
PZU,2010-10-29,19.907
PZU,2010-11-02,20.033
PZU,2010-11-03,19.742
PZU,2010-11-04,19.796
PZU,2010-11-05,20.086
PZU,2010-11-08,20.159
PZU,2010-11-09,20.274
PZU,2010-11-10,19.985
PZU,2010-11-12,19.48
PZU,2010-11-15,19.075
PZU,2010-11-16,18.852
PZU,2010-11-17,19.427
PZU,2010-11-18,19.38
PZU,2010-11-19,19.233
PZU,2010-11-22,19.28
PZU,2010-11-23,18.818
PZU,2010-11-24,18.896
PZU,2010-11-25,18.889
PZU,2010-11-26,18.584
PZU,2010-11-29,18.48
PZU,2010-11-30,18.685
PZU,2010-12-01,19.085
PZU,2010-12-02,19.158
PZU,2010-12-03,19.105
PZU,2010-12-06,19.321
PZU,2010-12-07,19.374
PZU,2010-12-08,19.053
PZU,2010-12-09,18.954
PZU,2010-12-10,18.981
PZU,2010-12-13,19.137
PZU,2010-12-14,19.306
PZU,2010-12-15,19.269
PZU,2010-12-16,19.011
PZU,2010-12-17,18.9
PZU,2010-12-20,18.795
PZU,2010-12-21,18.795
PZU,2010-12-22,18.779
PZU,2010-12-23,18.785
PZU,2010-12-27,18.768
PZU,2010-12-28,18.716
PZU,2010-12-29,18.795
PZU,2010-12-30,18.733
PZU,2010-12-31,18.717
PZU,2011-01-03,19.059
PZU,2011-01-04,18.539
PZU,2011-01-05,18.48
PZU,2011-01-07,18.48
PZU,2011-01-10,18.037
PZU,2011-01-11,18.231
PZU,2011-01-12,18.111
PZU,2011-01-13,17.954
PZU,2011-01-14,17.954
PZU,2011-01-17,18.32
PZU,2011-01-18,18.688
PZU,2011-01-19,18.427
PZU,2011-01-20,18.421
PZU,2011-01-21,18.353
PZU,2011-01-24,18.32
PZU,2011-01-25,18.237
PZU,2011-01-26,18.342
PZU,2011-01-27,18.033
PZU,2011-01-28,18.216
PZU,2011-01-31,18.163
PZU,2011-02-01,18.163
PZU,2011-02-02,18.263
PZU,2011-02-03,18.8
PZU,2011-02-04,18.553
PZU,2011-02-07,18.584
PZU,2011-02-08,18.606
PZU,2011-02-09,18.427
PZU,2011-02-10,18.32
PZU,2011-02-11,18.374
PZU,2011-02-14,18.269
PZU,2011-02-15,18.19
PZU,2011-02-16,18.059
PZU,2011-02-17,17.768
PZU,2011-02-18,18.069
PZU,2011-02-21,18.163
PZU,2011-02-22,18.516
PZU,2011-02-23,18.427
PZU,2011-02-24,18.374
PZU,2011-02-25,18.316
PZU,2011-02-28,18.289
PZU,2011-03-01,18.074
PZU,2011-03-02,17.854
PZU,2011-03-03,18.311
PZU,2011-03-04,18.427
PZU,2011-03-07,18.4
PZU,2011-03-08,18.632
PZU,2011-03-09,18.231
PZU,2011-03-10,18.111
PZU,2011-03-11,18.006
PZU,2011-03-14,18.059
PZU,2011-03-15,18
PZU,2011-03-16,17.885
PZU,2011-03-17,18.48
PZU,2011-03-18,19.079
PZU,2011-03-21,18.874
PZU,2011-03-22,18.584
PZU,2011-03-23,18.754
PZU,2011-03-24,18.531
