<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-08-16,12.764,14.041,11.926,12.958
2007-08-17,13.234,14.112,12.449,13.537
2007-08-20,14.506,14.698,13.584,13.861
2007-08-21,14.054,14.054,12.894,13.537
2007-08-22,13.229,14.828,13.229,14.828
2007-08-23,14.698,14.698,14.254,14.698
2007-08-24,14.506,14.692,13.861,14.692
2007-08-27,14.409,14.828,14.409,14.57
2007-08-28,14.183,14.57,13.892,14.467
2007-08-29,13.577,14.428,13.577,14.183
2007-08-30,14.183,14.459,13.732,14.151
2007-08-31,13.861,14.183,13.732,14.054
2007-09-03,13.687,14.183,13.603,13.738
2007-09-04,14.176,14.183,13.868,14.022
2007-09-05,13.957,14.183,13.732,14.183
2007-09-06,14.171,14.171,14.119,14.119
2007-09-07,13.861,13.925,13.215,13.537
2007-09-10,13.537,13.537,13.241,13.254
2007-09-11,13.249,14.132,13.215,13.234
2007-09-12,13.215,13.847,13.215,13.847
2007-09-13,13.537,13.783,13.229,13.537
2007-09-14,13.222,13.835,13.222,13.319
2007-09-17,13.093,13.537,13.087,13.532
2007-09-18,13.087,13.537,13.087,13.532
2007-09-19,13.66,13.732,13.416,13.537
2007-09-20,13.537,13.537,13.286,13.474
2007-09-21,13.345,13.474,13.313,13.313
2007-09-24,13.345,13.351,12.262,13.215
2007-09-25,12.899,13.215,12.894,13.215
2007-09-26,13.537,13.537,12.965,13.215
2007-09-27,12.97,13.21,12.965,13.21
2007-09-28,12.894,13.145,12.829,13.145
2007-10-01,12.604,13.139,12.604,12.642
2007-10-02,12.674,12.868,12.506,12.824
2007-10-03,12.572,12.572,12.056,12.074
2007-10-04,11.998,12.629,11.998,12.629
2007-10-05,12.061,12.248,12.061,12.248
2007-10-08,12.248,12.248,12.248,12.248
2007-10-09,12.248,12.313,12.152,12.313
2007-10-10,12.248,13.151,12.248,12.848
2007-10-11,12.572,12.796,12.572,12.572
2007-10-12,12.217,12.733,12.217,12.635
2007-10-15,12.326,12.803,12.326,12.803
2007-10-16,12.32,12.623,12.32,12.623
2007-10-17,12.313,12.565,12.313,12.32
2007-10-18,12.32,12.565,12.32,12.345
2007-10-19,12.345,12.54,12.345,12.54
2007-10-22,12.475,12.475,12.377,12.475
2007-10-23,12.262,12.345,12.248,12.345
