<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2017-12-29,22.146,22.146,17.959,18.125
2018-01-03,18.145,18.145,17.178,17.568
2018-01-04,17.618,17.618,16.202,17.129
2018-01-05,17.959,17.959,17.852,17.852
2018-01-08,18.057,18.535,17.568,17.568
2018-01-09,17.373,17.373,17.139,17.139
2018-01-10,17.266,17.558,17.266,17.558
2018-01-11,17.813,17.813,17.178,17.568
2018-01-12,17.129,17.861,17.129,17.861
2018-01-15,18.447,18.447,17.959,18.203
2018-01-16,18.535,18.535,17.9,18.222
2018-01-17,18.222,18.222,17.822,17.959
2018-01-18,17.959,18.145,17.226,18.047
2018-01-19,18.047,18.047,17.861,17.959
2018-01-22,18.047,18.057,17.959,18.057
2018-01-23,17.959,18.173,17.861,18.057
2018-01-24,18.057,18.154,17.9,18.115
2018-01-25,18.115,19.521,17.94,19.364
2018-01-26,18.545,19.286,18.545,19.13
2018-01-29,18.622,19.13,18.622,19.13
2018-01-30,19.209,19.209,18.622,18.935
2018-01-31,18.72,19.364,18.72,18.935
2018-02-01,19.345,19.521,18.915,19.521
2018-02-02,19.521,19.521,19.521,19.521
2018-02-05,19.032,19.404,18.35,19.032
2018-02-06,18.545,18.837,17.081,18.837
2018-02-07,19.423,19.423,18.837,19.013
2018-02-08,18.817,19.032,18.057,19.032
2018-02-09,18.564,18.974,18.252,18.935
2018-02-12,19.013,19.032,18.994,19.032
2018-02-13,19.091,19.911,19.091,19.345
2018-02-14,19.618,19.813,19.521,19.716
2018-02-15,19.862,19.96,19.764,19.96
2018-02-16,19.96,20.009,19.716,19.911
2018-02-19,20.009,20.448,20.009,20.301
2018-02-20,20.301,20.301,19.911,20.301
2018-02-21,20.204,20.204,19.521,19.813
2018-02-22,19.96,19.96,18.74,19.813
2018-02-23,19.667,19.667,18.799,19.032
2018-02-26,19.227,19.716,19.227,19.521
2018-02-27,19.521,19.521,19.521,19.521
2018-02-28,19.091,19.423,18.603,19.423
