<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-05-10,6.8827,7.3341,6.5127,6.5496
2007-05-11,6.6237,7.1788,6.0687,6.9198
2007-05-14,7.3193,8.0446,7.1417,7.8449
2007-05-15,7.9189,9.4355,7.7708,8.8809
2007-05-16,8.9549,9.1765,8.4294,8.585
2007-05-17,8.8069,8.8069,8.2959,8.4879
2007-05-18,8.511,8.7178,8.3332,8.585
2007-05-21,8.9549,10.065,8.9549,9.658
2007-05-22,9.991,10.14,9.2878,9.3317
2007-05-23,9.946,9.954,9.3616,9.687
2007-05-24,9.622,9.622,9.2504,9.3616
2007-05-25,9.2812,9.3616,8.9549,9.0437
2007-05-28,9.184,9.3177,8.511,8.7552
2007-05-29,8.7178,9.1035,8.4736,9.0371
2007-05-30,8.8809,9.0437,8.7329,8.8595
2007-05-31,8.9913,9.1765,8.8443,8.9474
2007-06-01,9.0147,9.1035,8.7329,8.8809
2007-06-04,8.8809,8.9549,8.667,8.7401
2007-06-05,8.667,8.6732,8.4736,8.4959
2007-06-06,8.5476,8.585,8.1039,8.4371
2007-06-08,8.0372,8.3999,8.0372,8.3409
2007-06-11,8.511,8.8069,8.4069,8.7258
2007-06-12,8.7695,8.7695,8.3999,8.3999
2007-06-13,8.5699,8.5699,8.2889,8.3773
2007-06-14,8.3773,8.6296,8.3773,8.511
2007-06-15,8.511,8.511,8.2959,8.3929
2007-06-18,8.3852,8.4069,8.237,8.2889
2007-06-19,8.2889,8.2889,8.0446,8.0891
2007-06-20,8.2223,8.3999,8.1483,8.2889
2007-06-21,8.3184,9.4729,8.3184,9.2504
2007-06-22,9.3981,9.622,8.9549,9.2962
2007-06-25,9.2288,9.591,9.0661,9.584
2007-06-26,9.54,10.324,9.524,10.065
2007-06-27,10.065,10.286,9.843,10.065
2007-06-28,10.102,10.14,9.925,9.991
2007-06-29,9.998,9.998,9.71,9.806
2007-07-02,9.768,9.768,9.1765,9.3252
2007-07-03,9.51,9.658,9.3252,9.3841
2007-07-04,9.3841,9.4355,9.2588,9.3252
2007-07-05,9.3252,9.4355,8.9913,9.4355
2007-07-06,9.414,9.724,9.2504,9.651
2007-07-09,9.806,9.843,9.577,9.613
2007-07-10,9.4729,9.622,9.2653,9.577
2007-07-11,9.51,9.547,9.3317,9.4654
2007-07-12,9.2588,9.51,9.184,9.2214
2007-07-13,9.843,9.843,9.3027,9.3981
2007-07-16,9.2812,9.2878,8.895,8.9549
2007-07-17,8.9249,9.0736,8.8069,9.0661
2007-07-18,9.1765,9.2438,9.0661,9.0886
2007-07-19,9.1035,9.2504,9.1035,9.2504
2007-07-20,9.2504,9.3981,9.1475,9.3177
2007-07-23,9.2653,9.3616,9.184,9.2588
