<DATE>,<CLOSE>
2007-05-14,2159
2007-05-15,2060
2007-05-16,2020
2007-05-17,2020
2007-05-18,1945
2007-05-21,1937
2007-05-22,1920
2007-05-23,1920
2007-05-24,1928
2007-05-25,1902
2007-05-28,1920
2007-05-29,2040
2007-05-30,2047
2007-05-31,2150
2007-06-01,2145
2007-06-04,2095
2007-06-05,2045
2007-06-06,2010
2007-06-08,1961
2007-06-11,1974
2007-06-12,1953
2007-06-13,1950
2007-06-14,1900
2007-06-15,1900
2007-06-18,1880
2007-06-19,2000
2007-06-20,2000
2007-06-21,1980
2007-06-22,1981
2007-06-25,1940
2007-06-26,1973
2007-06-27,2000
2007-06-28,2000
2007-06-29,2000
2007-07-02,2000
2007-07-03,1960
2007-07-04,1995
2007-07-05,1990
2007-07-06,1964
2007-07-09,1870
2007-07-10,1930
2007-07-11,1930
2007-07-12,1930
2007-07-13,1900
2007-07-16,1860
2007-07-17,1860
2007-07-18,1860
2007-07-19,1900
2007-07-20,1930
2007-07-23,1900
2007-07-24,1890
2007-07-25,1890
2007-07-26,1890
2007-07-27,1880
2007-07-30,1900
2007-07-31,1875
2007-08-01,1898
2007-08-02,1851
2007-08-03,1862
2007-08-06,1835
2007-08-07,1850
2007-08-08,1850
2007-08-09,1829
2007-08-10,1715
2007-08-13,1740
2007-08-14,1765
2007-08-16,1738
2007-08-17,1700
2007-08-20,1715
2007-08-21,1725
2007-08-22,1700
2007-08-23,1700
2007-08-24,1745
2007-08-27,1678
2007-08-28,1645
2007-08-29,1644
2007-08-30,1645
2007-08-31,1700
2007-09-03,1699
2007-09-04,1720
2007-09-05,1700
2007-09-06,1700
2007-09-07,1700
2007-09-10,1700
2007-09-11,1779
2007-09-12,1779
2007-09-13,1770
2007-09-14,1770
2007-09-17,1789
2007-09-18,1779
2007-09-19,1851
2007-09-20,1860
2007-09-21,1860
2007-09-24,2000
2007-09-25,2110
2007-09-26,2149
2007-09-27,2110
2007-09-28,2140
2007-10-01,2100
2007-10-02,2130
2007-10-03,2130
2007-10-04,2180
2007-10-05,2189
2007-10-08,2178
2007-10-09,2100
2007-10-10,2062
2007-10-11,2120
2007-10-12,2075
2007-10-15,2119
2007-10-16,2125
2007-10-17,2125
2007-10-18,2120
2007-10-19,2129
2007-10-22,2100
2007-10-23,2065
2007-10-24,2060
2007-10-25,2080
2007-10-26,2089
2007-10-29,2114
2007-10-30,2120
2007-10-31,2100
2007-11-02,2121
2007-11-05,2127
2007-11-06,2125
2007-11-07,2000
2007-11-08,2089
2007-11-09,2089
2007-11-12,2045
2007-11-13,1990
2007-11-14,1999
2007-11-15,1900
2007-11-16,1850
2007-11-19,1950
2007-11-20,1800
2007-11-21,1640
2007-11-22,1751
2007-11-23,1840
2007-11-26,1665
2007-11-27,1600
2007-11-28,1701
2007-11-29,1600
2007-11-30,1750
2007-12-03,1900
2007-12-04,1948
2007-12-05,1975
2007-12-06,1987
2007-12-07,2000
2007-12-10,2000
2007-12-13,1848
2007-12-14,1820
2007-12-17,1800
2007-12-18,1794
2007-12-19,1760
2007-12-20,1700
2007-12-21,1670
2007-12-27,1768
2007-12-28,1740
2008-01-02,1799
2008-01-03,1798
2008-01-04,1800
2008-01-07,1646
2008-01-08,1790
2008-01-09,1799
2008-01-10,1824
2008-01-11,1810
2008-01-15,1790
2008-01-16,1690
2008-01-17,1799
2008-01-18,1790
2008-01-21,1800
2008-01-22,1750
2008-01-23,1775
2008-01-24,1779
2008-01-25,1800
2008-01-28,1795
2008-01-29,1795
2008-01-30,1700
2008-01-31,1700
2008-02-01,1700
2008-02-04,1700
2008-02-05,1680
2008-02-06,1700
2008-02-07,1750
2008-02-11,1660
2008-02-12,1650
2008-02-13,1650
2008-02-14,1630
2008-02-15,1620
2008-02-18,1630
2008-02-19,1640
2008-02-20,1653
2008-02-21,1585
2008-02-22,1592
2008-02-25,1600
2008-02-26,1619
2008-02-27,1638
2008-02-28,1600
2008-02-29,1620
2008-03-03,1590
2008-03-04,1630
2008-03-05,1600
2008-03-06,1600
2008-03-07,1600
2008-03-11,1600
2008-03-12,1599
2008-03-13,1600
2008-03-14,1600
2008-03-17,1600
2008-03-18,1600
2008-03-19,1515
2008-03-20,1599
2008-03-25,1599
2008-03-26,1598
2008-03-27,1503
2008-03-28,1594
2008-03-31,1595
2008-04-01,1518
2008-04-02,1456
2008-04-03,1415
2008-04-04,1428
2008-04-07,1450
2008-04-08,1465
2008-04-09,1465
2008-04-10,1421
2008-04-11,1454
2008-04-14,1340
2008-04-15,1420
2008-04-17,1410
2008-04-18,1399
2008-04-21,1390
2008-04-22,1389
2008-04-23,1392
2008-04-24,1394
2008-04-25,1450
2008-04-28,1458
2008-04-29,1460
2008-04-30,1450
2008-05-05,1477
2008-05-06,1495
2008-05-07,1540
2008-05-08,1647
2008-05-09,1650
2008-05-12,1650
2008-05-13,1630
2008-05-14,1630
2008-05-15,1600
2008-05-16,1600
2008-05-19,1590
2008-05-20,1590
2008-05-21,1540
2008-05-23,1519
2008-05-26,1520
2008-05-27,1530
2008-05-28,1534
2008-05-29,1518
2008-05-30,1527
2008-06-02,1490
2008-06-03,1539
2008-06-04,1533
2008-06-05,1531
2008-06-06,1530
2008-06-09,1529
2008-06-10,1430
2008-06-11,1469
2008-06-12,1450
2008-06-13,1468
2008-06-16,1450
2008-06-17,1450
2008-06-18,1400
2008-06-19,1435
2008-06-20,1400
2008-06-23,1346
2008-06-24,1346
2008-06-25,1280
2008-06-26,1235
2008-06-27,1250
2008-06-30,1094
2008-07-01,1161
2008-07-02,1170
2008-07-03,1165
2008-07-04,1165
2008-07-07,1188
2008-07-08,1149
2008-07-09,1149
2008-07-10,1119
2008-07-11,990
2008-07-14,987
2008-07-15,800
2008-07-16,800
2008-07-17,830
2008-07-18,877
2008-07-21,850
2008-07-22,847
2008-07-23,860
2008-07-24,880
2008-07-25,890
2008-07-28,900
2008-07-29,900
2008-07-30,899
2008-07-31,890
2008-08-01,898
2008-08-04,886
2008-08-05,845
2008-08-06,820
2008-08-07,829
2008-08-08,826
2008-08-11,790
2008-08-12,816
2008-08-13,760
2008-08-14,810
2008-08-18,800
2008-08-19,799
2008-08-20,789
2008-08-21,750
2008-08-22,700
2008-08-25,695
2008-08-26,699
2008-08-27,695
2008-08-28,700
2008-08-29,700
2008-09-01,700
2008-09-02,700
2008-09-03,710
2008-09-04,739
2008-09-05,711
2008-09-08,720
2008-09-09,729
2008-09-10,728
2008-09-11,731
2008-09-12,731
2008-09-15,725
2008-09-16,725
2008-09-17,692
2008-09-18,690
2008-09-19,700
2008-09-22,690
2008-09-23,674
