<TICKER>,<DATE>,<CLOSE>
RMK,1994-11-23,4.6615
RMK,1994-11-24,4.2885
RMK,1994-11-25,4.708
RMK,1994-11-28,5.1742
RMK,1994-11-29,5.687
RMK,1994-11-30,6.2464
RMK,1994-12-01,6.8523
RMK,1994-12-02,8.1109
RMK,1994-12-05,8.8567
RMK,1994-12-06,8.4838
RMK,1994-12-07,7.6448
RMK,1994-12-08,6.899
RMK,1994-12-09,7.5516
RMK,1994-12-12,7.9245
RMK,1994-12-13,7.2252
RMK,1994-12-14,7.2719
RMK,1994-12-15,7.0854
RMK,1994-12-16,7.5516
RMK,1994-12-19,7.4583
RMK,1994-12-20,7.1786
RMK,1994-12-21,7.2719
RMK,1994-12-22,7.4583
RMK,1994-12-23,7.7846
RMK,1994-12-27,7.738
RMK,1994-12-28,7.2719
RMK,1994-12-29,7.5516
RMK,1995-01-02,7.9245
RMK,1995-01-03,8.7169
RMK,1995-01-04,8.2974
RMK,1995-01-05,8.4838
RMK,1995-01-06,8.1576
RMK,1995-01-09,8.2041
RMK,1995-01-10,8.1576
RMK,1995-01-11,8.1109
RMK,1995-01-12,8.0177
RMK,1995-01-13,8.2974
RMK,1995-01-16,8.2974
RMK,1995-01-17,7.9245
RMK,1995-01-18,7.7846
RMK,1995-01-19,7.6914
RMK,1995-01-20,7.5516
RMK,1995-01-23,7.1786
RMK,1995-01-24,6.899
RMK,1995-01-25,7.0388
RMK,1995-01-26,6.899
RMK,1995-01-27,6.8057
RMK,1995-01-30,6.8523
RMK,1995-01-31,6.2464
RMK,1995-02-01,6.6193
RMK,1995-02-02,5.9666
RMK,1995-02-03,6.1531
RMK,1995-02-06,6.7591
RMK,1995-02-07,7.4117
RMK,1995-02-08,6.899
RMK,1995-02-09,7.3651
RMK,1995-02-10,6.9921
RMK,1995-02-13,6.899
RMK,1995-02-14,7.2719
RMK,1995-02-15,7.3651
RMK,1995-02-16,7.5516
RMK,1995-02-17,7.5516
RMK,1995-02-20,7.5516
RMK,1995-02-21,6.9921
RMK,1995-02-22,7.0854
RMK,1995-02-23,7.3651
RMK,1995-02-24,8.0643
RMK,1995-02-27,7.7846
RMK,1995-02-28,7.5516
RMK,1995-03-01,7.6914
RMK,1995-03-02,7.9245
RMK,1995-03-03,8.0643
RMK,1995-03-06,8.0177
RMK,1995-03-07,8.1576
RMK,1995-03-08,8.0643
RMK,1995-03-09,8.2041
RMK,1995-03-10,8.0177
RMK,1995-03-13,7.9711
RMK,1995-03-14,7.8779
RMK,1995-03-15,7.8312
RMK,1995-03-16,7.6448
RMK,1995-03-17,7.738
RMK,1995-03-20,7.6914
RMK,1995-03-21,7.2719
RMK,1995-03-22,7.2719
RMK,1995-03-23,7.1786
RMK,1995-03-24,7.2719
RMK,1995-03-27,7.505
RMK,1995-03-28,7.2719
RMK,1995-03-29,7.2252
RMK,1995-03-30,7.3185
RMK,1995-03-31,7.4583
RMK,1995-04-03,7.505
RMK,1995-04-04,7.738
RMK,1995-04-05,7.738
RMK,1995-04-06,8.0177
RMK,1995-04-07,8.2041
RMK,1995-04-10,8.95
RMK,1995-04-11,9.2297
RMK,1995-04-12,9.1365
RMK,1995-04-13,8.8567
RMK,1995-04-14,8.95
RMK,1995-04-18,9.696
RMK,1995-04-19,10.628
RMK,1995-04-20,10.628
RMK,1995-04-21,10.255
RMK,1995-04-24,11.281
RMK,1995-04-25,11.654
RMK,1995-04-26,10.908
RMK,1995-04-27,10.908
RMK,1995-04-28,10.908
RMK,1995-05-04,11.094
RMK,1995-05-05,10.628
RMK,1995-05-09,10.815
RMK,1995-05-10,10.908
RMK,1995-05-11,11.467
RMK,1995-05-12,12.306
RMK,1995-05-15,12.586
RMK,1995-05-16,12.027
RMK,1995-05-17,11.56
RMK,1995-05-18,11.188
RMK,1995-05-19,10.069
RMK,1995-05-22,9.4162
RMK,1995-05-23,8.9034
RMK,1995-05-24,9.789
RMK,1995-05-25,10.721
RMK,1995-05-26,10.628
RMK,1995-05-29,10.908
RMK,1995-05-30,9.882
RMK,1995-05-31,9.882
RMK,1995-06-01,9.2297
RMK,1995-06-02,9.603
RMK,1995-06-05,9.789
RMK,1995-06-06,10.069
RMK,1995-06-07,10.255
RMK,1995-06-08,10.255
RMK,1995-06-09,10.162
RMK,1995-06-12,9.976
RMK,1995-06-13,9.789
RMK,1995-06-14,9.789
RMK,1995-06-16,9.509
RMK,1995-06-19,9.509
RMK,1995-06-20,9.882
RMK,1995-06-21,10.255
RMK,1995-06-22,10.255
RMK,1995-06-23,10.535
RMK,1995-06-26,11.56
RMK,1995-06-27,11.654
RMK,1995-06-28,11.281
RMK,1995-06-29,11.747
RMK,1995-06-30,12.213
RMK,1995-07-03,12.586
RMK,1995-07-04,11.747
RMK,1995-07-05,11.654
RMK,1995-07-06,11.84
RMK,1995-07-07,11.467
RMK,1995-07-10,11.281
RMK,1995-07-11,10.815
RMK,1995-07-12,10.442
RMK,1995-07-13,10.815
RMK,1995-07-14,10.815
RMK,1995-07-17,11.747
RMK,1995-07-18,12.12
RMK,1995-07-19,12.306
RMK,1995-07-20,12.213
RMK,1995-07-21,12.12
RMK,1995-07-24,11.281
RMK,1995-07-25,11.094
RMK,1995-07-26,11.374
RMK,1995-07-27,12.213
RMK,1995-07-28,11.654
RMK,1995-07-31,10.721
RMK,1995-08-01,11.188
RMK,1995-08-02,11.374
RMK,1995-08-03,10.815
RMK,1995-08-04,11.094
RMK,1995-08-07,11.188
RMK,1995-08-08,11.094
RMK,1995-08-09,11.094
RMK,1995-08-10,11.654
RMK,1995-08-11,11.933
RMK,1995-08-16,11.84
RMK,1995-08-17,11.84
RMK,1995-08-18,11.84
RMK,1995-08-21,10.721
RMK,1995-08-22,10.628
RMK,1995-08-23,10.628
RMK,1995-08-24,10.721
RMK,1995-08-25,10.628
RMK,1995-08-28,10.628
RMK,1995-08-29,10.442
RMK,1995-08-30,10.069
RMK,1995-08-31,9.789
RMK,1995-09-01,9.603
RMK,1995-09-04,9.789
RMK,1995-09-05,10.348
RMK,1995-09-06,10.255
RMK,1995-09-07,9.789
RMK,1995-09-08,9.789
RMK,1995-09-11,10.255
RMK,1995-09-12,10.348
RMK,1995-09-13,9.882
RMK,1995-09-14,10.162
RMK,1995-09-15,9.976
RMK,1995-09-18,9.2297
RMK,1995-09-19,9.509
RMK,1995-09-20,10.348
RMK,1995-09-21,10.255
RMK,1995-09-22,10.162
RMK,1995-09-25,9.789
RMK,1995-09-26,9.882
RMK,1995-09-27,10.069
RMK,1995-09-28,10.162
RMK,1995-09-29,9.976
RMK,1995-10-02,10.255
RMK,1995-10-03,10.162
RMK,1995-10-04,10.069
RMK,1995-10-05,10.069
RMK,1995-10-06,10.162
RMK,1995-10-09,10.162
RMK,1995-10-10,9.882
