<TICKER>,<DATE>,<CLOSE>
RNK,2010-07-08,9.557
RNK,2010-07-09,9.61
RNK,2010-07-12,9.557
RNK,2010-07-13,9.521
RNK,2010-07-14,9.494
RNK,2010-07-15,9.4047
RNK,2010-07-16,9.36
RNK,2010-07-19,9.0206
RNK,2010-07-20,8.976
RNK,2010-07-21,8.976
RNK,2010-07-22,8.967
RNK,2010-07-23,8.967
RNK,2010-07-26,8.976
RNK,2010-07-27,8.967
RNK,2010-07-28,8.9224
RNK,2010-07-29,8.9403
RNK,2010-07-30,8.9403
RNK,2010-08-02,8.9492
RNK,2010-08-03,8.7617
RNK,2010-08-04,8.7527
RNK,2010-08-05,8.7437
RNK,2010-08-06,8.976
RNK,2010-08-09,8.9224
RNK,2010-08-10,8.7795
RNK,2010-08-11,8.6634
RNK,2010-08-12,8.5651
RNK,2010-08-13,8.976
RNK,2010-08-16,9.0028
RNK,2010-08-17,8.8867
RNK,2010-08-18,8.7974
RNK,2010-08-19,9.0028
RNK,2010-08-20,9.0028
RNK,2010-08-23,8.9938
RNK,2010-08-24,8.9938
RNK,2010-08-25,8.7974
RNK,2010-08-26,9.0028
RNK,2010-08-27,9.0028
RNK,2010-08-30,8.6902
RNK,2010-08-31,8.976
RNK,2010-09-01,8.8063
RNK,2010-09-02,8.7795
RNK,2010-09-03,9.0206
RNK,2010-09-06,8.833
RNK,2010-09-07,9.0028
RNK,2010-09-08,9.0028
RNK,2010-09-09,8.8599
RNK,2010-09-10,8.7527
RNK,2010-09-13,8.7974
RNK,2010-09-14,8.7974
RNK,2010-09-15,8.9313
RNK,2010-09-16,8.7527
RNK,2010-09-17,8.7527
RNK,2010-09-20,8.9135
RNK,2010-09-21,8.842
RNK,2010-09-22,8.976
RNK,2010-09-23,8.9313
RNK,2010-09-24,8.9313
RNK,2010-09-27,8.7348
RNK,2010-09-28,8.9313
RNK,2010-09-29,8.9313
RNK,2010-09-30,9.1546
RNK,2010-10-01,9.1546
RNK,2010-10-04,9.1546
RNK,2010-10-05,9.1546
RNK,2010-10-06,8.9313
RNK,2010-10-07,8.9313
RNK,2010-10-08,8.8242
RNK,2010-10-11,8.9313
RNK,2010-10-12,8.9313
RNK,2010-10-13,8.9313
RNK,2010-10-14,8.9313
RNK,2010-10-15,8.9313
RNK,2010-10-18,9.0563
RNK,2010-10-19,9.0206
RNK,2010-10-20,8.9849
RNK,2010-10-21,9.1099
RNK,2010-10-22,9.0206
RNK,2010-10-25,9.1546
RNK,2010-10-26,9.2707
RNK,2010-10-27,9.601
RNK,2010-10-28,9.726
RNK,2010-10-29,9.728
RNK,2010-11-02,9.628
RNK,2010-11-03,9.557
RNK,2010-11-04,9.548
RNK,2010-11-05,9.3332
RNK,2010-11-08,9.2886
RNK,2010-11-09,9.548
RNK,2010-11-10,9.53
RNK,2010-11-12,9.3779
RNK,2010-11-15,9.628
RNK,2010-11-16,9.646
RNK,2010-11-17,9.619
RNK,2010-11-18,9.485
RNK,2010-11-19,9.3779
RNK,2010-11-22,9.2796
RNK,2010-11-23,9.2796
RNK,2010-11-24,9.3332
RNK,2010-11-25,9.3779
RNK,2010-11-26,9.601
RNK,2010-11-29,9.601
RNK,2010-11-30,9.78
RNK,2010-12-01,9.735
RNK,2010-12-02,9.789
RNK,2010-12-03,9.646
RNK,2010-12-06,9.637
RNK,2010-12-07,9.646
RNK,2010-12-08,9.583
RNK,2010-12-09,9.646
RNK,2010-12-10,9.601
RNK,2010-12-13,9.4225
RNK,2010-12-14,9.4225
RNK,2010-12-15,9.4225
RNK,2010-12-16,9.539
RNK,2010-12-17,9.4672
RNK,2010-12-20,9.2796
RNK,2010-12-21,9.4762
RNK,2010-12-22,9.4582
RNK,2010-12-23,9.4582
RNK,2010-12-27,9.3779
RNK,2010-12-28,9.4582
RNK,2010-12-29,9.4621
RNK,2010-12-30,9.4895
RNK,2010-12-31,9.3065
RNK,2011-01-03,9.735
RNK,2011-01-04,9.735
RNK,2011-01-05,9.646
RNK,2011-01-07,9.735
RNK,2011-01-10,9.637
RNK,2011-01-11,9.3779
RNK,2011-01-12,9.637
RNK,2011-01-13,9.3689
RNK,2011-01-14,9.2707
RNK,2011-01-17,9.2618
RNK,2011-01-18,9.619
RNK,2011-01-19,9.637
RNK,2011-01-20,9.4225
RNK,2011-01-21,9.4225
RNK,2011-01-24,9.4404
RNK,2011-01-25,9.4225
RNK,2011-01-26,9.4136
RNK,2011-01-27,9.4136
RNK,2011-01-28,9.4225
RNK,2011-01-31,9.3065
RNK,2011-02-01,9.2529
RNK,2011-02-02,9.2618
RNK,2011-02-03,9.2618
RNK,2011-02-04,9.1099
RNK,2011-02-07,9.1099
RNK,2011-02-08,9.1099
RNK,2011-02-09,9.0653
RNK,2011-02-10,9.1099
RNK,2011-02-11,9.101
RNK,2011-02-14,8.9313
RNK,2011-02-15,9.0653
RNK,2011-02-16,9.0653
RNK,2011-02-17,8.9313
RNK,2011-02-18,9.0653
RNK,2011-02-21,9.101
RNK,2011-02-22,9.0921
