<TICKER>,<DATE>,<CLOSE>
RON,2007-11-05,3.8535
RON,2007-11-06,3.8874
RON,2007-11-07,3.786
RON,2007-11-08,3.752
RON,2007-11-09,3.752
RON,2007-11-12,3.752
RON,2007-11-13,3.8198
RON,2007-11-14,3.786
RON,2007-11-15,3.7183
RON,2007-11-16,3.5831
RON,2007-11-19,3.5156
RON,2007-11-20,3.4142
RON,2007-11-21,3.3803
RON,2007-11-22,3.4816
RON,2007-11-23,3.3803
RON,2007-11-26,3.2788
RON,2007-11-27,3.2788
RON,2007-11-28,3.2788
RON,2007-11-29,3.3465
RON,2007-11-30,3.3465
RON,2007-12-03,3.3126
RON,2007-12-04,3.3396
RON,2007-12-05,3.5493
RON,2007-12-06,3.5493
RON,2007-12-07,3.5156
RON,2007-12-10,3.2856
RON,2007-12-11,3.3465
RON,2007-12-12,3.4479
RON,2007-12-13,3.4479
RON,2007-12-14,3.387
RON,2007-12-17,3.3396
RON,2007-12-18,3.3126
RON,2007-12-19,3.2519
RON,2007-12-20,3.2519
RON,2007-12-21,3.1098
RON,2007-12-27,3.0423
RON,2007-12-28,3.2788
RON,2008-01-02,3.191
RON,2008-01-03,3.3126
RON,2008-01-04,3.2585
RON,2008-01-07,3.1437
RON,2008-01-08,3.1775
RON,2008-01-09,3.1098
RON,2008-01-10,3.0423
RON,2008-01-11,2.907
RON,2008-01-14,2.7042
RON,2008-01-15,2.6029
RON,2008-01-16,2.5014
RON,2008-01-17,2.5014
RON,2008-01-18,2.4676
RON,2008-01-22,2.3662
RON,2008-01-23,2.3662
RON,2008-01-24,2.4676
RON,2008-01-25,2.4338
RON,2008-01-28,2.3662
RON,2008-01-29,2.4338
RON,2008-01-30,2.4676
RON,2008-02-01,2.5825
RON,2008-02-04,2.6772
RON,2008-02-05,2.7786
RON,2008-02-06,2.6434
RON,2008-02-07,2.7042
RON,2008-02-08,2.6704
RON,2008-02-11,2.5892
RON,2008-02-12,2.5892
RON,2008-02-13,2.6029
RON,2008-02-14,2.5691
RON,2008-02-15,2.5691
RON,2008-02-18,2.5623
RON,2008-02-19,2.5691
RON,2008-02-20,2.5217
RON,2008-02-21,2.5217
RON,2008-02-27,2.5691
RON,2008-02-28,2.3731
RON,2008-02-29,2.3932
RON,2008-03-03,2.3932
RON,2008-03-04,2.4338
RON,2008-03-05,2.4338
RON,2008-03-06,2.4203
RON,2008-03-07,2.3798
RON,2008-03-10,2.3324
RON,2008-03-11,2.3053
RON,2008-03-12,2.3662
RON,2008-03-13,2.3932
RON,2008-03-14,2.3932
RON,2008-03-17,2.3798
RON,2008-03-18,2.2716
RON,2008-03-19,2.2986
RON,2008-03-20,2.3053
RON,2008-03-25,2.346
RON,2008-03-26,2.2648
RON,2008-03-27,2.1971
RON,2008-03-28,2.1702
RON,2008-03-31,2.0889
RON,2008-04-01,2.1296
RON,2008-04-02,2.1971
RON,2008-04-03,2.2445
RON,2008-04-04,2.2445
RON,2008-04-07,2.231
RON,2008-04-08,2.1634
RON,2008-04-09,2.1499
RON,2008-04-10,2.1499
RON,2008-04-11,2.1025
RON,2008-04-14,1.8929
RON,2008-04-15,1.8591
RON,2008-04-16,1.7645
RON,2008-04-17,1.8591
RON,2008-04-18,1.9268
RON,2008-04-21,1.9268
RON,2008-04-22,1.8591
RON,2008-04-23,1.8658
RON,2008-04-24,1.8051
RON,2008-04-25,1.8457
RON,2008-04-28,1.8658
RON,2008-04-29,1.8388
RON,2008-04-30,1.8388
RON,2008-05-05,1.8795
RON,2008-05-06,1.8321
RON,2008-05-07,1.8658
RON,2008-05-08,1.8591
RON,2008-05-09,1.8253
RON,2008-05-12,1.7915
RON,2008-05-13,1.7915
RON,2008-05-14,1.7511
RON,2008-05-15,1.6698
RON,2008-05-16,1.6497
