<DATE>,<CLOSE>
2011-07-14,3.8834
2011-07-15,3.9482
2011-07-18,3.8115
2011-07-19,3.9122
2011-07-20,3.8834
2011-07-21,3.8763
2011-07-22,3.7037
2011-07-25,3.6821
2011-07-26,3.8834
2011-07-27,3.8834
2011-07-28,3.8834
2011-07-29,3.8834
2011-08-01,3.9122
2011-08-02,3.9554
2011-08-03,3.8834
2011-08-04,3.8763
2011-08-05,3.6677
2011-08-08,3.5958
2011-08-09,3.5095
2011-08-10,3.2434
2011-08-11,3.4088
2011-08-12,3.5958
2011-08-16,3.5814
2011-08-17,3.5958
2011-08-18,3.7396
2011-08-19,3.7396
2011-08-22,3.7396
2011-08-23,3.8043
2011-08-24,3.79
2011-08-25,3.6677
2011-08-26,3.7971
2011-08-29,3.7684
2011-08-30,3.7971
2011-08-31,3.79
2011-09-01,3.7971
2011-09-02,3.7971
2011-09-05,3.7971
2011-09-06,3.7971
2011-09-07,3.5958
2011-09-08,3.5958
2011-09-09,3.5958
2011-09-12,3.8115
2011-09-13,3.7971
2011-09-14,3.79
2011-09-15,3.79
2011-09-16,3.7684
2011-09-19,3.7684
2011-09-20,3.7684
2011-09-21,3.7684
2011-09-22,3.5598
2011-09-23,3.5239
2011-09-27,3.7971
2011-09-28,3.7971
2011-09-29,3.7971
2011-09-30,3.7756
2011-10-03,3.7971
2011-10-04,3.7971
2011-10-05,3.941
2011-10-06,3.9194
2011-10-07,3.941
2011-10-10,3.941
2011-10-11,3.941
2011-10-12,3.941
2011-10-13,3.9194
2011-10-14,3.9194
2011-10-17,3.9194
2011-10-18,3.9194
2011-10-19,3.8834
2011-10-20,3.8834
2011-10-21,3.8834
2011-10-24,3.8834
2011-10-25,3.8834
2011-10-26,3.8834
2011-10-27,3.8834
2011-10-28,3.8834
2011-10-31,3.905
2011-11-02,3.905
2011-11-03,3.905
2011-11-04,3.905
2011-11-07,3.905
2011-11-08,3.7396
2011-11-09,3.905
2011-11-10,3.905
2011-11-14,3.905
2011-11-15,3.905
2011-11-16,3.8115
2011-11-17,3.9122
2011-11-18,3.9194
2011-11-21,3.9194
2011-11-22,3.9194
2011-11-23,3.9194
2011-11-24,3.8834
2011-11-25,3.8834
2011-11-28,3.8834
2011-11-29,3.8834
2011-11-30,3.8834
2011-12-01,3.8763
2011-12-02,3.8691
2011-12-05,3.8691
2011-12-06,3.8691
2011-12-07,3.8691
2011-12-08,3.8691
2011-12-09,3.8691
2011-12-12,3.8691
2011-12-13,3.8691
2011-12-14,3.8691
2011-12-15,3.8691
2011-12-16,3.8691
2011-12-19,3.8691
2011-12-20,3.8691
2011-12-21,3.8691
2011-12-22,3.8691
2011-12-23,3.8691
2011-12-27,3.8691
2011-12-28,3.8691
2011-12-29,3.8691
2011-12-30,3.8691
2012-01-02,3.9554
2012-01-03,3.9554
2012-01-04,3.9554
2012-01-05,3.9482
2012-01-09,3.9554
2012-01-10,3.9482
2012-01-11,3.9122
2012-01-12,3.9122
2012-01-13,3.9122
2012-01-16,3.9194
2012-01-17,3.9122
2012-01-18,3.8115
2012-01-19,3.8043
2012-01-20,3.7971
2012-01-23,3.7971
2012-01-24,3.6389
2012-01-25,3.6749
2012-01-26,3.7971
2012-01-27,3.7971
2012-01-30,3.8043
2012-01-31,3.7971
2012-02-01,3.7108
2012-02-02,3.7468
2012-02-03,3.9122
2012-02-06,3.9122
2012-02-07,3.9122
2012-02-08,3.8834
2012-02-09,3.8834
2012-02-10,3.8834
2012-02-13,3.8834
2012-02-14,3.8834
2012-02-15,3.8834
2012-02-16,3.6821
2012-02-17,3.8691
2012-02-20,3.8691
2012-02-21,3.6749
2012-02-22,3.8547
2012-02-23,3.8403
2012-02-24,3.8403
2012-02-27,3.8691
2012-02-28,3.8043
2012-02-29,3.8043
2012-03-01,3.6317
2012-03-02,3.8619
2012-03-05,3.7468
2012-03-06,3.8619
2012-03-07,3.8115
2012-03-08,3.8619
2012-03-09,3.8619
2012-03-12,3.8115
2012-03-13,3.8475
2012-03-14,3.6749
2012-03-15,3.8475
2012-03-16,3.8475
2012-03-19,3.8115
2012-03-20,3.7396
2012-03-21,3.8403
2012-03-22,3.8115
2012-03-23,3.8403
2012-03-26,3.8475
2012-03-27,3.8403
2012-03-28,3.8187
2012-03-29,3.8187
2012-03-30,3.7971
2012-04-02,3.7037
2012-04-03,3.7037
2012-04-04,3.6677
2012-04-05,3.4519
2012-04-10,3.7756
2012-04-11,3.7324
2012-04-12,3.7324
2012-04-13,3.7324
2012-04-16,3.567
2012-04-17,3.6821
2012-04-18,3.5958
2012-04-19,3.7756
2012-04-20,3.7756
2012-04-23,3.7756
2012-04-24,3.7756
2012-04-25,3.7756
2012-04-26,3.5598
2012-04-27,3.5742
2012-04-30,3.7756
2012-05-02,3.7756
2012-05-04,3.7756
2012-05-07,3.7756
2012-05-08,3.5598
2012-05-09,3.5598
2012-05-10,3.4519
2012-05-11,3.7756
2012-05-14,3.7756
2012-05-15,3.7756
2012-05-16,3.7756
2012-05-17,3.5239
2012-05-18,3.3872
2012-05-21,3.7756
2012-05-22,3.7756
2012-05-23,3.38
2012-05-24,3.38
2012-05-25,3.0708
2012-05-28,3.38
2012-05-29,3.2146
2012-05-30,2.8766
2012-05-31,3.2146
2012-06-01,3.1068
2012-06-04,2.9989
2012-06-05,3.0205
2012-06-06,3.2146
2012-06-08,3.2146
2012-06-11,3.2146
2012-06-12,3.2146
2012-06-13,3.2146
2012-06-14,3.2146
2012-06-15,3.2146
2012-06-18,3.2146
2012-06-19,3.2146
2012-06-20,3.2146
2012-06-21,3.2146
2012-06-22,3.2074
2012-06-25,3.2146
2012-06-26,3.2146
2012-06-27,3.2146
2012-06-28,2.8838
2012-06-29,2.9054
2012-07-02,2.927
2012-07-03,2.8766
2012-07-04,2.891
2012-07-05,2.9126
2012-07-06,2.9126
2012-07-09,2.9126
2012-07-10,2.9126
2012-07-11,2.9126
2012-07-12,3.3081
2012-07-13,3.4448
2012-07-16,3.1643
2012-07-17,3.4807
2012-07-18,3.5454
2012-07-19,3.4519
2012-07-20,3.3944
2012-07-23,3.2074
2012-07-24,3.1931
2012-07-25,3.0205
2012-07-26,3.1355
2012-07-27,3.3081
2012-07-30,3.0205
2012-07-31,3.0061
2012-08-01,3.0924
2012-08-02,2.891
2012-08-03,3.1068
2012-08-06,2.9126
2012-08-07,2.8263
2012-08-08,3.1068
2012-08-09,2.9054
2012-08-10,2.8622
2012-08-13,2.7688
2012-08-14,2.6249
2012-08-16,2.6249
2012-08-17,2.6249
2012-08-20,2.3229
2012-08-21,2.3588
2012-08-22,2.3301
2012-08-23,2.1719
2012-08-24,2.3301
2012-08-27,2.2653
2012-08-28,2.1934
2012-08-29,2.1862
2012-08-30,2.179
2012-08-31,2.1862
2012-09-03,2.1575
2012-09-04,1.9777
2012-09-05,2.215
2012-09-06,2.1215
2012-09-07,2.3301
2012-09-10,2.179
2012-09-11,2.2869
2012-09-12,2.179
2012-09-13,2.215
2012-09-14,2.2438
2012-09-17,2.3229
2012-09-18,2.3229
2012-09-19,2.3229
2012-09-20,2.3301
2012-09-21,2.215
2012-09-24,2.1431
2012-09-25,2.2294
2012-09-26,2.1719
2012-09-27,2.0856
2012-09-28,2.0856
2012-10-01,2.0856
2012-10-02,2.0856
2012-10-03,2.0856
2012-10-04,2.0856
2012-10-05,2.0712
2012-10-08,2.0784
2012-10-09,2.0568
2012-10-10,1.7979
2012-10-11,2.0784
2012-10-12,2.0784
2012-10-15,2.0496
2012-10-16,2.0784
2012-10-17,2.0712
2012-10-18,2.0712
2012-10-19,1.9201
2012-10-22,2.0136
2012-10-23,1.9777
2012-10-24,1.9633
2012-10-25,2.1719
2012-10-26,2.2797
2012-10-29,2.3732
2012-10-30,2.3732
2012-10-31,2.4739
2012-11-02,2.4811
2012-11-05,2.4092
2012-11-06,2.4739
2012-11-07,2.4811
2012-11-08,2.4739
2012-11-09,2.4739
2012-11-12,2.4739
2012-11-13,2.3732
2012-11-14,2.3732
2012-11-15,2.6465
2012-11-16,2.4595
2012-11-19,2.4595
2012-11-20,2.4451
2012-11-21,2.4451
2012-11-22,2.4451
2012-11-23,2.4451
2012-11-26,2.4595
2012-11-27,2.4451
2012-11-28,2.4451
2012-11-29,2.4451
2012-11-30,2.4451
2012-12-03,2.4451
2012-12-04,2.4595
2012-12-05,2.1575
2012-12-06,2.1575
2012-12-07,2.1575
2012-12-10,2.1575
2012-12-11,2.0136
2012-12-12,1.8698
2012-12-13,2.0136
2012-12-14,2.0136
2012-12-17,2.0136
2012-12-18,2.0136
2012-12-19,2.0136
2012-12-20,1.9417
2012-12-21,1.9777
2012-12-27,1.9777
2012-12-28,1.9705
2013-01-02,2.1575
2013-01-03,2.0136
2013-01-04,2.0136
2013-01-07,1.8554
2013-01-08,2.0136
2013-01-09,1.9345
2013-01-10,1.9345
2013-01-11,1.9345
2013-01-14,1.9345
2013-01-15,1.9345
2013-01-16,1.9058
2013-01-17,1.9345
2013-01-18,1.9345
2013-01-21,1.7979
2013-01-22,1.8267
2013-01-23,1.8267
2013-01-24,1.7979
2013-01-25,1.7116
2013-01-28,1.7619
2013-01-29,1.7619
2013-01-30,1.7619
2013-01-31,1.7619
2013-02-01,1.726
2013-02-04,1.726
2013-02-05,1.726
2013-02-06,1.69
2013-02-07,1.69
2013-02-08,1.69
2013-02-11,1.726
2013-02-12,1.726
2013-02-13,1.7116
2013-02-14,1.7116
2013-02-15,1.4743
2013-02-18,1.6541
2013-02-19,1.726
2013-02-20,1.9345
2013-02-21,2.3013
2013-02-22,2.3732
2013-02-25,2.3732
2013-02-26,2.1575
2013-02-27,2.0856
2013-02-28,2.4451
2013-03-01,2.2438
2013-03-04,2.2438
2013-03-05,2.1934
2013-03-06,2.1934
2013-03-07,2.1934
2013-03-08,2.1934
2013-03-11,2.1934
2013-03-12,2.1215
2013-03-13,2.1215
2013-03-14,1.9345
2013-03-15,2.1215
2013-03-18,2.0784
2013-03-19,2.0856
2013-03-20,2.0856
2013-03-21,2.0856
2013-03-22,2.0856
2013-03-25,1.9777
2013-03-26,1.9777
2013-03-27,1.8842
2013-03-28,2.0856
2013-04-02,2.0856
2013-04-03,2.0856
2013-04-04,2.0784
2013-04-05,2.0856
2013-04-08,2.0136
2013-04-09,2.0856
2013-04-10,2.0856
2013-04-11,2.0856
2013-04-12,2.0856
2013-04-15,2.0856
2013-04-17,2.0856
2013-04-18,2.4307
2013-04-19,2.3516
2013-04-22,2.3013
2013-04-23,2.3013
2013-04-24,2.0136
2013-04-25,2.0136
2013-04-26,2.1359
2013-04-29,2.1215
2013-04-30,2.1215
2013-05-02,2.0999
2013-05-06,2.0999
2013-05-07,2.0712
2013-05-08,2.0712
2013-05-09,2.0136
2013-05-10,2.0136
2013-05-13,1.9777
2013-05-14,1.9777
2013-05-15,1.7116
2013-05-16,1.9705
2013-05-17,1.9705
2013-05-20,1.9273
2013-05-21,1.9273
2013-05-22,1.8123
2013-05-23,1.8051
2013-05-24,1.7116
2013-05-27,1.7044
2013-05-28,1.7691
2013-05-29,1.7691
2013-05-31,1.7619
2013-06-03,1.7619
2013-06-04,1.5678
2013-06-05,1.5102
2013-06-06,1.69
2013-06-07,1.5965
2013-06-10,1.69
2013-06-11,1.69
2013-06-12,1.69
2013-06-13,1.69
2013-06-14,1.69
2013-06-17,1.726
2013-06-18,1.726
2013-06-19,1.726
2013-06-20,1.6541
2013-06-21,1.4383
2013-06-24,1.4383
2013-06-25,1.7188
2013-06-26,1.7188
2013-06-27,1.69
2013-06-28,1.69
2013-07-01,1.6613
2013-07-02,1.7691
2013-07-03,1.69
2013-07-04,1.7188
2013-07-05,1.7188
2013-07-08,1.6756
2013-07-09,1.7188
2013-07-10,1.6253
2013-07-11,1.6253
2013-07-12,1.6613
2013-07-15,1.7619
2013-07-16,1.5965
2013-07-17,1.5965
2013-07-18,1.5965
2013-07-19,1.5965
2013-07-22,1.5893
2013-07-23,1.7619
2013-07-24,1.7619
2013-07-25,1.7619
2013-07-26,1.7619
2013-07-29,1.7619
2013-07-30,1.7404
2013-07-31,1.7619
2013-08-01,1.6828
2013-08-02,1.6828
2013-08-05,1.7619
2013-08-06,1.7188
2013-08-07,1.7188
2013-08-08,1.7116
2013-08-09,1.7188
2013-08-12,1.7188
2013-08-13,1.7188
2013-08-14,1.7188
2013-08-16,1.6181
2013-08-19,1.6181
2013-08-20,1.726
2013-08-21,1.726
2013-08-22,1.6972
2013-08-23,1.6972
2013-08-26,1.7188
2013-08-27,1.7188
2013-08-28,1.7188
2013-08-29,1.7188
2013-08-30,1.7188
2013-09-02,1.6325
2013-09-03,1.5821
2013-09-04,1.7188
2013-09-05,1.7188
2013-09-06,1.6469
2013-09-09,1.5678
2013-09-10,1.5678
2013-09-11,1.5678
2013-09-12,1.7116
2013-09-13,1.5678
2013-09-16,1.4239
2013-09-17,1.5318
2013-09-18,1.6037
2013-09-19,1.7188
2013-09-20,1.7619
2013-09-23,1.7691
2013-09-24,2.064
2013-09-25,2.1215
2013-09-26,2.1503
2013-09-27,2.1503
2013-09-30,2.1503
2013-10-01,2.1503
2013-10-02,2.1503
2013-10-03,2.1503
2013-10-04,2.1503
2013-10-07,2.1215
2013-10-08,2.1143
2013-10-09,1.841
2013-10-10,2.2653
2013-10-11,2.5099
2013-10-14,2.6177
2013-10-15,2.6609
2013-10-16,2.7328
2013-10-17,2.6609
2013-10-18,2.8119
2013-10-21,2.5602
2013-10-22,2.5962
2013-10-23,2.5674
2013-10-24,2.8838
2013-10-25,3.3081
2013-10-28,3.38
2013-10-29,3.3441
2013-10-30,3.2794
2013-10-31,3.3009
2013-11-04,3.3009
2013-11-05,3.3009
2013-11-06,3.3585
2013-11-07,3.38
2013-11-08,3.3513
2013-11-12,3.2362
2013-11-13,3.2218
2013-11-14,2.8766
2013-11-15,3.1571
2013-11-18,3.1643
2013-11-19,3.1139
2013-11-20,3.1715
2013-11-21,3.3728
2013-11-22,3.8978
2013-11-25,4.1711
2013-11-26,4.9046
2013-11-27,5.7748
2013-11-28,5.7461
2013-11-29,5.4656
2013-12-02,5.4872
2013-12-03,5.2786
2013-12-04,5.7532
2013-12-05,5.7532
2013-12-06,5.8611
2013-12-09,5.7532
2013-12-10,5.7964
2013-12-11,5.7461
2013-12-12,5.7173
2013-12-13,5.6957
2013-12-16,5.6094
2013-12-17,5.6094
2013-12-18,5.6094
2013-12-19,5.8252
2013-12-20,5.7532
2013-12-23,5.818
2013-12-27,5.818
2013-12-30,5.969
2014-01-02,6.609
2014-01-03,6.6162
2014-01-07,7.6231
2014-01-08,7.4073
2014-01-09,7.2922
2014-01-10,7.2419
2014-01-13,7.2635
2014-01-14,7.3354
2014-01-15,7.1916
2014-01-16,7.3354
2014-01-17,7.4073
2014-01-20,7.3354
2014-01-21,7.3498
2014-01-22,7.1916
2014-01-23,6.983
2014-01-24,7.3498
2014-01-27,7.2203
2014-01-28,7.1916
2014-01-29,7.2275
2014-01-30,7.2275
2014-01-31,7.2275
2014-02-03,7.2131
2014-02-04,6.9039
2014-02-05,6.9758
2014-02-06,7.1556
2014-02-07,7.2131
2014-02-10,7.1916
2014-02-11,7.1844
2014-02-12,7.1916
2014-02-13,7.1484
2014-02-14,7.17
2014-02-17,7.1196
2014-02-18,6.9758
2014-02-19,6.7673
2014-02-20,6.6738
2014-02-21,6.832
2014-02-24,7.0477
2014-02-25,6.9758
2014-02-26,6.832
2014-02-27,6.7097
2014-02-28,6.9758
2014-03-03,6.7457
2014-03-04,6.6881
2014-03-05,6.6522
2014-03-06,6.681
2014-03-07,6.6162
2014-03-10,6.4724
2014-03-11,6.5443
2014-03-12,6.7313
2014-03-13,6.796
2014-03-14,6.7241
2014-03-17,6.7601
2014-03-18,6.8248
2014-03-19,6.7744
2014-03-20,7.9107
2014-03-21,8.486
2014-03-24,8.7737
2014-03-25,8.522
2014-03-26,8.9175
2014-03-27,9.0614
2014-03-28,10.356
2014-03-31,10.464
2014-04-01,11.471
2014-04-02,11.435
2014-04-03,11.147
2014-04-04,11.003
2014-04-07,10.996
2014-04-08,10.572
2014-04-09,10.068
2014-04-10,10.284
2014-04-11,10.032
2014-04-14,9.845
2014-04-15,11.075
2014-04-16,10.931
2014-04-17,11.341
2014-04-22,11.578
2014-04-23,11.399
2014-04-24,11.355
2014-04-25,11.492
2014-04-28,11.039
2014-04-29,11.284
