<TICKER>,<DATE>,<CLOSE>
RWL,2004-11-30,8.9324
RWL,2004-12-01,9.642
RWL,2004-12-02,9.4456
RWL,2004-12-03,9.3665
RWL,2004-12-06,9.4051
RWL,2004-12-07,9.2883
RWL,2004-12-08,9.4456
RWL,2004-12-09,9.2091
RWL,2004-12-10,9.2091
RWL,2004-12-13,8.9724
RWL,2004-12-14,8.9724
RWL,2004-12-15,8.9324
RWL,2004-12-16,9.0515
RWL,2004-12-17,9.2091
RWL,2004-12-20,9.2477
RWL,2004-12-21,9.524
RWL,2004-12-22,9.2883
RWL,2004-12-23,9.4456
RWL,2004-12-27,9.3665
RWL,2004-12-28,9.4842
RWL,2004-12-29,9.4456
RWL,2004-12-30,9.4051
RWL,2004-12-31,9.4842
RWL,2005-01-03,9.4456
RWL,2005-01-04,9.4842
RWL,2005-01-05,9.917
RWL,2005-01-06,9.957
RWL,2005-01-07,9.957
RWL,2005-01-10,9.917
RWL,2005-01-11,9.957
RWL,2005-01-12,9.957
RWL,2005-01-13,9.917
RWL,2005-01-14,9.957
RWL,2005-01-17,9.957
RWL,2005-01-18,9.957
RWL,2005-01-19,9.917
RWL,2005-01-20,9.838
RWL,2005-01-21,9.917
RWL,2005-01-24,9.917
RWL,2005-01-25,9.917
RWL,2005-01-26,9.995
RWL,2005-01-27,9.995
RWL,2005-01-28,9.917
RWL,2005-01-31,10.23
RWL,2005-02-01,10.23
RWL,2005-02-02,10.35
RWL,2005-02-03,10.39
RWL,2005-02-04,10.39
RWL,2005-02-07,10.309
RWL,2005-02-08,10.39
RWL,2005-02-09,10.39
RWL,2005-02-10,10.23
RWL,2005-02-11,10.309
RWL,2005-02-14,10.468
RWL,2005-02-15,10.429
RWL,2005-02-16,10.547
RWL,2005-02-17,10.899
RWL,2005-02-18,11.019
RWL,2005-02-21,11.254
RWL,2005-02-22,11.373
RWL,2005-02-23,12.16
RWL,2005-02-24,12.121
RWL,2005-02-25,11.964
RWL,2005-02-28,11.333
RWL,2005-03-01,11.531
RWL,2005-03-02,11.491
RWL,2005-03-03,11.531
RWL,2005-03-04,11.491
RWL,2005-03-07,11.216
RWL,2005-03-08,11.412
RWL,2005-03-09,11.412
RWL,2005-03-10,11.294
RWL,2005-03-11,11.254
RWL,2005-03-15,10.979
RWL,2005-03-16,10.743
RWL,2005-03-17,10.979
RWL,2005-03-21,10.703
RWL,2005-03-22,10.899
RWL,2005-03-23,10.94
RWL,2005-03-24,10.899
RWL,2005-03-29,10.862
RWL,2005-03-30,10.862
RWL,2005-03-31,11.176
RWL,2005-04-01,10.979
RWL,2005-04-04,10.94
RWL,2005-04-05,10.979
RWL,2005-04-06,10.979
RWL,2005-04-07,11.019
RWL,2005-04-11,11.058
RWL,2005-04-12,10.862
RWL,2005-04-13,11.176
RWL,2005-04-14,11.137
RWL,2005-04-15,11.294
RWL,2005-04-18,11.216
RWL,2005-04-19,11.216
RWL,2005-04-20,11.019
RWL,2005-04-21,11.019
RWL,2005-04-22,10.979
RWL,2005-04-25,10.979
RWL,2005-04-26,10.899
RWL,2005-04-27,10.979
RWL,2005-04-28,10.783
RWL,2005-04-29,11.019
RWL,2005-05-04,11.019
RWL,2005-05-05,10.899
RWL,2005-05-06,10.822
RWL,2005-05-09,10.94
RWL,2005-05-10,11.019
RWL,2005-05-11,10.899
RWL,2005-05-16,11.333
RWL,2005-05-17,10.94
RWL,2005-05-18,11.019
RWL,2005-05-19,11.254
RWL,2005-05-20,11.019
RWL,2005-05-23,10.94
RWL,2005-05-24,11.019
RWL,2005-05-25,10.899
RWL,2005-05-27,11.019
RWL,2005-05-30,11.097
RWL,2005-05-31,11.176
RWL,2005-06-01,11.176
RWL,2005-06-02,11.254
RWL,2005-06-03,11.254
RWL,2005-06-06,11.216
RWL,2005-06-07,11.216
RWL,2005-06-08,11.137
RWL,2005-06-09,11.137
RWL,2005-06-10,10.979
RWL,2005-06-13,11.097
RWL,2005-06-14,11.097
RWL,2005-06-15,11.097
RWL,2005-06-17,11.097
RWL,2005-06-20,11.019
RWL,2005-06-21,11.019
RWL,2005-06-22,11.097
RWL,2005-06-23,11.137
RWL,2005-06-24,11.137
RWL,2005-06-27,11.137
RWL,2005-06-28,11.216
RWL,2005-06-29,11.216
RWL,2005-06-30,11.254
RWL,2005-07-01,11.412
RWL,2005-07-04,11.648
RWL,2005-07-05,11.806
RWL,2005-07-06,11.884
RWL,2005-07-07,11.806
RWL,2005-07-08,11.806
RWL,2005-07-11,11.806
RWL,2005-07-12,11.964
RWL,2005-07-13,11.884
RWL,2005-07-15,11.688
RWL,2005-07-18,11.806
RWL,2005-07-20,11.884
RWL,2005-07-21,11.964
RWL,2005-07-22,12.357
RWL,2005-07-25,12.789
RWL,2005-07-26,13.615
RWL,2005-07-27,13.695
RWL,2005-07-28,13.38
RWL,2005-07-29,13.144
RWL,2005-08-01,12.671
RWL,2005-08-02,12.909
RWL,2005-08-03,12.751
RWL,2005-08-04,13.066
RWL,2005-08-05,13.261
RWL,2005-08-08,13.223
RWL,2005-08-09,13.261
RWL,2005-08-10,13.223
RWL,2005-08-11,13.261
RWL,2005-08-12,13.38
RWL,2005-08-16,13.538
RWL,2005-08-17,13.38
RWL,2005-08-18,13.38
RWL,2005-08-19,13.459
RWL,2005-08-22,13.066
RWL,2005-08-23,13.459
RWL,2005-08-24,12.987
RWL,2005-08-26,12.829
RWL,2005-08-29,13.223
RWL,2005-08-30,13.223
RWL,2005-08-31,13.223
RWL,2005-09-01,13.223
RWL,2005-09-02,13.182
RWL,2005-09-05,12.829
RWL,2005-09-07,13.182
RWL,2005-09-08,13.182
RWL,2005-09-09,12.987
RWL,2005-09-12,13.182
RWL,2005-09-13,12.987
RWL,2005-09-14,12.946
RWL,2005-09-15,12.909
RWL,2005-09-16,13.223
RWL,2005-09-19,13.261
RWL,2005-09-20,13.303
RWL,2005-09-21,13.38
RWL,2005-09-22,13.417
RWL,2005-09-23,14.952
RWL,2005-09-26,14.638
RWL,2005-09-27,15.032
RWL,2005-09-28,15.269
RWL,2005-09-29,15.466
RWL,2005-09-30,16.055
RWL,2005-10-03,16.687
RWL,2005-10-04,16.135
RWL,2005-10-05,16.055
RWL,2005-10-06,15.742
RWL,2005-10-07,15.426
RWL,2005-10-10,15.229
RWL,2005-10-11,15.032
RWL,2005-10-12,15.032
RWL,2005-10-13,14.952
RWL,2005-10-14,15.032
RWL,2005-10-17,15.032
RWL,2005-10-18,14.994
RWL,2005-10-19,15.111
RWL,2005-10-20,15.349
RWL,2005-10-21,15.505
RWL,2005-10-24,15.742
RWL,2005-10-25,15.349
RWL,2005-10-26,15.349
RWL,2005-10-27,15.349
RWL,2005-10-28,15.349
RWL,2005-10-31,15.349
RWL,2005-11-02,15.584
RWL,2005-11-03,16.055
RWL,2005-11-04,16.135
RWL,2005-11-07,15.977
RWL,2005-11-08,15.742
RWL,2005-11-09,15.742
RWL,2005-11-10,15.742
RWL,2005-11-14,16.528
RWL,2005-11-15,17.552
RWL,2005-11-16,18.102
RWL,2005-11-17,20.778
RWL,2005-11-18,22.824
RWL,2005-11-21,22.746
RWL,2005-11-22,21.8
RWL,2005-11-23,21.408
RWL,2005-11-24,21.25
RWL,2005-11-25,21.408
RWL,2005-11-28,21.879
RWL,2005-11-29,21.879
RWL,2005-11-30,21.014
RWL,2005-12-01,20.464
RWL,2005-12-02,20.385
RWL,2005-12-05,20.149
RWL,2005-12-06,19.756
RWL,2005-12-07,21.014
RWL,2005-12-08,20.464
RWL,2005-12-09,20.7
RWL,2005-12-12,20.464
RWL,2005-12-13,20.464
RWL,2005-12-14,20.07
RWL,2005-12-15,20.543
RWL,2005-12-16,21.487
RWL,2005-12-19,21.487
RWL,2005-12-20,21.25
RWL,2005-12-21,21.879
RWL,2005-12-22,21.958
RWL,2005-12-23,23.296
RWL,2005-12-27,24.399
RWL,2005-12-28,24.399
RWL,2005-12-29,24.399
RWL,2005-12-30,24.399
RWL,2006-01-02,24.714
RWL,2006-01-03,25.658
RWL,2006-01-04,25.814
RWL,2006-01-05,25.971
RWL,2006-01-06,25.344
RWL,2006-01-09,25.422
RWL,2006-01-10,25.814
RWL,2006-01-11,25.971
RWL,2006-01-12,26.129
RWL,2006-01-13,25.971
RWL,2006-01-16,25.971
RWL,2006-01-17,25.971
RWL,2006-01-18,25.579
RWL,2006-01-19,25.971
RWL,2006-01-20,25.658
RWL,2006-01-23,24.872
RWL,2006-01-24,25.344
RWL,2006-01-25,24.714
RWL,2006-01-26,24.714
RWL,2006-01-27,24.084
RWL,2006-01-30,24.557
RWL,2006-01-31,24.557
RWL,2006-02-01,24.872
RWL,2006-02-02,27.783
RWL,2006-02-03,26.051
RWL,2006-02-06,25.894
RWL,2006-02-07,25.186
RWL,2006-02-08,25.971
RWL,2006-02-09,25.894
RWL,2006-02-10,26.287
RWL,2006-02-13,26.051
RWL,2006-02-14,26.76
RWL,2006-02-15,27.389
RWL,2006-02-16,27.074
RWL,2006-02-17,27.94
RWL,2006-02-20,27.783
RWL,2006-02-21,27.153
RWL,2006-02-22,27.546
RWL,2006-02-23,27.074
RWL,2006-02-24,27.153
RWL,2006-02-27,27.94
RWL,2006-02-28,27.94
RWL,2006-03-01,27.546
RWL,2006-03-02,28.964
RWL,2006-03-03,30.38
RWL,2006-03-06,30.301
RWL,2006-03-07,28.964
RWL,2006-03-08,29.514
RWL,2006-03-09,29.514
RWL,2006-03-10,29.201
RWL,2006-03-13,29.436
RWL,2006-03-14,28.727
RWL,2006-03-15,28.412
RWL,2006-03-16,29.201
RWL,2006-03-17,29.122
