<DATE>,<CLOSE>
2000-01-03,21.716
2000-01-04,21.485
2000-01-05,21.068
2000-01-07,21.615
2000-01-10,21.32
2000-01-11,20.715
2000-01-12,20.44
2000-01-13,20.259
2000-01-14,20.655
2000-01-17,19.915
2000-01-18,19.018
2000-01-19,18.951
2000-01-20,19.302
2000-01-21,18.678
2000-01-24,18.859
2000-01-25,19.073
2000-01-26,19.477
2000-01-27,19.442
2000-01-28,18.773
2000-01-31,19.014
2000-02-01,19.258
2000-02-02,19.256
2000-02-03,19.565
2000-02-04,19.498
2000-02-07,20.132
2000-02-08,20.404
2000-02-09,20.163
2000-02-10,19.695
2000-02-11,18.582
2000-02-14,19.394
2000-02-15,19.743
2000-02-16,20.676
2000-02-17,20.615
2000-02-18,20.097
2000-02-21,20.408
2000-02-22,20.413
2000-02-23,20.828
2000-02-24,20.159
2000-02-25,20.167
2000-02-28,20
2000-02-29,20.044
2000-03-01,19.88
2000-03-02,20.164
2000-03-03,19.882
2000-03-06,19.76
2000-03-07,19.667
2000-03-08,19.975
2000-03-09,19.98
2000-03-10,20.291
2000-03-14,20.362
2000-03-15,20.678
2000-03-16,20.986
2000-03-17,21.445
2000-03-20,21.377
2000-03-21,20.995
2000-03-22,20.638
2000-03-23,20.433
2000-03-24,20.743
2000-03-27,20.444
2000-03-28,20.832
2000-03-29,20.545
2000-03-30,20.613
2000-03-31,20.283
2000-04-03,20.511
2000-04-04,20.925
2000-04-05,20.736
2000-04-06,19.836
2000-04-07,20.176
2000-04-10,20.56
2000-04-11,20.34
2000-04-12,20.374
2000-04-13,20.902
2000-04-14,21.009
2000-04-17,20.697
2000-04-18,20.45
2000-04-19,20.134
2000-04-20,20.717
2000-04-25,20.759
2000-04-26,20.831
2000-04-27,20.345
2000-04-28,21.371
2000-05-02,21.879
2000-05-03,20.687
2000-05-04,21.266
2000-05-05,21.135
2000-05-08,20.663
2000-05-10,19.589
2000-05-11,19.929
2000-05-12,20.064
2000-05-15,19.657
2000-05-16,19.716
2000-05-17,19.101
2000-05-18,19.31
2000-05-19,19.156
2000-05-22,18.998
2000-05-23,19.057
2000-05-24,19.06
2000-05-25,19.832
2000-05-26,19.767
2000-05-30,19.82
2000-05-31,19.795
2000-06-01,20.461
2000-06-02,20.461
2000-06-05,20.391
2000-06-06,20.28
2000-06-07,20.549
2000-06-08,20.968
2000-06-09,20.56
2000-06-12,20.286
2000-06-13,20.432
2000-06-14,20.599
2000-06-15,20.81
2000-06-16,21.258
2000-06-20,20.549
2000-06-21,20.133
2000-06-22,20.731
2000-06-23,20.48
2000-06-26,20.826
2000-06-27,20.81
2000-06-28,20.812
2000-06-29,20.704
2000-06-30,21.185
2000-07-03,20.738
2000-07-04,21.253
2000-07-05,20.89
2000-07-06,21.166
2000-07-10,21.24
2000-07-11,21.004
2000-07-12,20.763
2000-07-13,20.873
2000-07-14,21.063
2000-07-17,20.639
2000-07-18,20.64
2000-07-19,20.676
2000-07-20,20.725
2000-07-21,20.595
2000-07-25,20.743
2000-07-26,20.894
2000-07-28,20.579
2000-07-31,20.691
2000-08-01,20.618
2000-08-02,20.803
2000-08-03,20.733
2000-08-04,20.725
2000-08-07,21.128
2000-08-08,21.129
2000-08-09,21.154
2000-08-10,21.147
2000-08-11,21.575
2000-08-14,21.656
2000-08-15,22.06
2000-08-16,22.541
2000-08-17,22.402
2000-08-18,22.754
2000-08-21,22.309
2000-08-22,22.166
2000-08-23,22.265
2000-08-24,21.788
2000-08-25,22.13
2000-08-28,21.874
2000-08-29,21.31
2000-08-30,21.871
2000-08-31,21.738
2000-09-01,21.651
2000-09-04,21.186
2000-09-05,21.303
2000-09-06,21.171
2000-09-07,21.584
2000-09-08,21.116
2000-09-11,21.54
2000-09-12,21.701
2000-09-13,21.717
2000-09-14,22.386
2000-09-15,22.37
2000-09-18,21.907
2000-09-19,22.109
2000-09-20,21.854
2000-09-21,21.81
2000-09-22,23.082
2000-09-25,22.838
2000-09-26,22.996
2000-09-27,22.792
2000-09-28,23.056
2000-09-29,22.993
2000-10-02,22.951
2000-10-03,22.939
2000-10-04,22.355
2000-10-05,22.923
2000-10-06,22.548
2000-10-09,21.916
2000-10-10,22.538
2000-10-11,21.579
2000-10-13,21.21
2000-10-16,20.944
2000-10-17,21.39
2000-10-18,20.66
2000-10-19,21.114
2000-10-20,21.319
2000-10-23,20.702
2000-10-24,21.541
2000-10-25,21.018
2000-10-26,19.843
2000-10-27,20.529
2000-10-30,20.462
2000-11-02,21.793
2000-11-03,21.589
2000-11-06,21.465
2000-11-07,21.559
2000-11-08,21.038
2000-11-09,20.784
2000-11-10,20.566
2000-11-13,20.728
2000-11-14,21.439
2000-11-15,21.513
2000-11-16,21.067
2000-11-17,20.305
2000-11-20,18.89
2000-11-21,18.71
2000-11-22,18.181
2000-11-23,18.485
