<DATE>,<CLOSE>
2010-05-25,18.3
2010-05-26,19.5
2010-05-27,19.3
2010-05-28,19.3
2010-05-31,18.9
2010-06-01,18.6
2010-06-02,22.7
2010-06-04,22
2010-06-07,21.8
2010-06-08,21.4
2010-06-09,21
2010-06-10,20.6
2010-06-11,19.8
2010-06-14,19.8
2010-06-15,19.2
2010-06-16,19.1
2010-06-17,19
2010-06-18,18.9
2010-06-21,18.9
2010-06-22,18.1
2010-06-23,17.2
2010-06-24,17.3
2010-06-25,17.8
2010-06-28,17.3
2010-06-29,16.6
2010-06-30,16.3
2010-07-01,16.6
2010-07-02,17
2010-07-05,16.9
2010-07-06,17.3
2010-07-07,17
2010-07-08,17
2010-07-09,17.2
2010-07-12,17.1
2010-07-13,16.7
2010-07-14,16.8
2010-07-15,16.7
2010-07-16,17
2010-07-19,17.2
2010-07-20,17
2010-07-21,17.1
2010-07-22,17.9
2010-07-23,18.3
2010-07-26,19.3
2010-07-27,18.8
2010-07-28,18.4
2010-07-29,18.5
2010-07-30,18.1
2010-08-02,18.5
2010-08-03,18.5
2010-08-04,18.3
2010-08-05,18.5
2010-08-06,18.1
2010-08-09,18
2010-08-10,17.6
2010-08-11,17.4
2010-08-12,17.6
2010-08-13,17.5
2010-08-16,17.3
2010-08-17,17.1
2010-08-18,16.9
2010-08-19,16.3
2010-08-20,16.2
2010-08-23,16.5
2010-08-24,16.1
2010-08-25,16
2010-08-26,16
2010-08-27,16.1
2010-08-30,16
2010-08-31,15.8
2010-09-01,16
2010-09-02,15.7
2010-09-03,15.9
2010-09-06,16.8
2010-09-07,16.4
2010-09-08,16.4
2010-09-09,16.4
2010-09-10,16.3
2010-09-13,16.9
2010-09-14,17.4
2010-09-15,16.9
2010-09-16,16.6
2010-09-17,16.7
2010-09-20,16.3
2010-09-21,16.1
2010-09-22,16.2
2010-09-23,16.1
2010-09-24,15.8
2010-09-27,15.6
2010-09-28,14.7
2010-09-29,15
2010-09-30,15.2
2010-10-01,15.6
2010-10-04,16.5
2010-10-05,17.3
2010-10-06,16.8
2010-10-07,16.8
2010-10-08,17.3
2010-10-11,17.3
2010-10-12,17.8
2010-10-13,18
2010-10-14,17.7
2010-10-15,17.7
2010-10-18,17.2
2010-10-19,16.7
2010-10-20,16.9
2010-10-21,16.9
2010-10-22,17.2
2010-10-25,16.9
2010-10-26,17
2010-10-27,17.3
2010-10-28,16.9
2010-10-29,16.9
2010-11-02,16.7
2010-11-03,16.5
2010-11-04,16.3
2010-11-05,16.3
2010-11-08,16.5
2010-11-09,16.8
2010-11-10,17.3
2010-11-12,17.1
2010-11-15,16.8
2010-11-16,16.5
2010-11-17,16.3
2010-11-18,16.5
2010-11-19,16.7
2010-11-22,16.6
2010-11-23,16.2
2010-11-24,16.2
2010-11-25,16.2
2010-11-26,16.2
2010-11-29,15.9
2010-11-30,16
2010-12-01,15.6
2010-12-02,15.5
2010-12-03,15.2
2010-12-06,15.4
2010-12-07,16.5
2010-12-08,16.6
2010-12-09,16.4
2010-12-10,16.4
2010-12-13,16
2010-12-14,15.6
2010-12-15,15.8
2010-12-16,15.5
2010-12-17,15.7
2010-12-20,15.3
2010-12-21,15.5
2010-12-22,15.3
2010-12-23,15.2
2010-12-27,14.9
2010-12-28,15.1
2010-12-29,15.1
2010-12-30,15.5
2010-12-31,15.8
2011-01-03,15.4
2011-01-04,15.4
2011-01-05,15.2
2011-01-07,15.1
2011-01-10,15.8
2011-01-11,15.4
2011-01-12,15.4
2011-01-13,15.3
2011-01-14,15.3
2011-01-17,17
2011-01-18,16.6
2011-01-19,16
2011-01-20,16.1
2011-01-21,16.6
2011-01-24,17
2011-01-25,16.5
2011-01-26,16.5
2011-01-27,16.8
2011-01-28,17
2011-01-31,16.8
2011-02-01,18.9
2011-02-02,17.8
2011-02-03,21.9
2011-02-04,20.8
2011-02-07,21
2011-02-08,18
2011-02-09,17.6
2011-02-10,18.9
2011-02-11,18.9
2011-02-14,18.1
2011-02-15,18.1
2011-02-16,17.9
2011-02-17,17.9
2011-02-18,18.5
2011-02-21,17.9
2011-02-22,17.9
2011-02-23,17.8
2011-02-24,17.9
2011-02-25,18.1
2011-02-28,18.2
2011-03-01,18
2011-03-02,18
2011-03-03,18.1
2011-03-04,18.4
2011-03-07,18.5
2011-03-08,18.7
2011-03-09,18.6
2011-03-10,18.3
2011-03-11,17.9
2011-03-14,17.9
2011-03-15,17.4
2011-03-16,17.1
2011-03-17,17.4
2011-03-18,17.3
2011-03-21,17.9
2011-03-22,17.6
2011-03-23,17.5
2011-03-24,17.4
2011-03-25,17.5
2011-03-28,17.5
2011-03-29,17.5
2011-03-30,17.7
2011-03-31,17.8
2011-04-01,17.8
2011-04-04,17.5
2011-04-05,17.6
2011-04-06,17.5
2011-04-07,17
2011-04-08,17
2011-04-11,17
2011-04-12,16.8
2011-04-13,16.8
2011-04-14,16.5
2011-04-15,17.1
2011-04-18,17
2011-04-19,17
2011-04-20,18
2011-04-21,18
2011-04-26,18.2
2011-04-27,18
2011-04-28,18
2011-04-29,18.2
2011-05-02,18
2011-05-04,17.8
2011-05-05,18.5
2011-05-06,18.5
2011-05-09,17.8
2011-05-10,17.2
2011-05-11,17.3
2011-05-12,16.9
2011-05-13,17.2
2011-05-16,17.2
2011-05-17,17.1
2011-05-18,17.5
2011-05-19,17.1
2011-05-20,17
2011-05-23,17.1
2011-05-24,17
2011-05-25,16.8
2011-05-26,16.8
2011-05-27,16.9
2011-05-30,17
2011-05-31,17.2
2011-06-01,17.2
2011-06-02,17.4
2011-06-03,17.7
2011-06-06,17.7
2011-06-07,17.9
2011-06-08,18
2011-06-09,17.8
2011-06-10,17.7
2011-06-13,17.8
2011-06-14,17.8
2011-06-15,17.8
2011-06-16,17.7
2011-06-17,18.1
2011-06-20,17.9
2011-06-21,17.9
2011-06-22,17.9
2011-06-24,17.7
2011-06-27,17.4
2011-06-28,17.5
2011-06-29,17.7
2011-06-30,17.6
2011-07-01,17.6
2011-07-04,17.6
2011-07-05,17.7
2011-07-06,17.4
2011-07-07,17.4
2011-07-08,17.4
2011-07-11,17.3
2011-07-12,17.1
2011-07-13,17.1
2011-07-14,17.1
2011-07-15,17.3
2011-07-18,17.2
2011-07-19,17.2
2011-07-20,17.1
2011-07-21,17.2
2011-07-22,17.2
2011-07-25,17.1
2011-07-26,17.4
2011-07-27,16.8
2011-07-28,17
2011-07-29,16.8
2011-08-01,17.1
2011-08-02,17.1
2011-08-03,16.2
2011-08-04,14.9
2011-08-05,14.2
2011-08-08,12.7
2011-08-09,12.5
2011-08-10,11.3
2011-08-11,12.2
2011-08-12,12.8
2011-08-16,13.4
2011-08-17,13.3
2011-08-18,11.3
2011-08-19,11.6
2011-08-22,12
2011-08-23,11.9
