<TICKER>,<DATE>,<CLOSE>
SES,2013-05-22,11.1
SES,2013-05-23,11
SES,2013-05-24,11
SES,2013-05-27,10.8
SES,2013-05-29,10.8
SES,2013-06-03,10.8
SES,2013-06-04,10.8
SES,2013-06-10,10.8
SES,2013-06-13,10.8
SES,2013-06-14,10.8
SES,2013-06-17,10.8
SES,2013-06-18,10.8
SES,2013-06-19,10.8
SES,2013-06-21,10.8
SES,2013-06-24,10.8
SES,2013-06-25,10.8
SES,2013-06-26,10.8
SES,2013-06-27,10.5
SES,2013-06-28,10.6
SES,2013-07-02,10.5
SES,2013-07-03,10.1
SES,2013-07-04,10
SES,2013-07-05,10
SES,2013-07-08,9.5
SES,2013-07-09,9.99
SES,2013-07-12,10
SES,2013-07-15,10
SES,2013-07-16,10
SES,2013-07-17,10
SES,2013-07-19,10
SES,2013-07-22,10
SES,2013-07-25,10
SES,2013-07-26,10
SES,2013-07-30,10
SES,2013-07-31,10
SES,2013-08-01,10
SES,2013-08-02,10
SES,2013-08-05,10
SES,2013-08-06,10
SES,2013-08-07,10
SES,2013-08-08,10
SES,2013-08-09,10
SES,2013-08-12,10
SES,2013-08-13,10
SES,2013-08-14,10
SES,2013-08-16,10
SES,2013-08-19,10
SES,2013-08-21,10
SES,2013-08-22,10
SES,2013-08-23,10
SES,2013-08-26,10
SES,2013-08-27,10
SES,2013-08-28,10
SES,2013-08-29,10
SES,2013-08-30,10
SES,2013-09-02,10
SES,2013-09-03,10
SES,2013-09-04,10
SES,2013-09-05,10
SES,2013-09-06,10
SES,2013-09-09,10
SES,2013-09-10,10
SES,2013-09-11,10
SES,2013-09-12,10
SES,2013-09-13,10
SES,2013-09-16,10
SES,2013-09-17,10
SES,2013-09-18,10
SES,2013-09-19,10
SES,2013-09-20,10
SES,2013-09-23,10
SES,2013-09-24,10
SES,2013-09-25,9.99
SES,2013-09-26,10
SES,2013-09-27,10
SES,2013-09-30,10
SES,2013-10-01,10
SES,2013-10-02,10
SES,2013-10-03,10
SES,2013-10-04,10
SES,2013-10-07,10
SES,2013-10-09,10
SES,2013-10-10,10
SES,2013-10-11,10
