<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1999-10-01,0.5806,0.5806,0.5499,0.5499
1999-10-07,0.47497,0.47497,0.47497,0.47497
1999-10-08,0.47497,0.47497,0.47497,0.47497
1999-10-18,0.48375,0.48375,0.48375,0.48375
1999-10-26,0.48375,0.48375,0.48375,0.48375
1999-10-28,0.45296,0.45296,0.45296,0.45296
1999-10-29,0.45296,0.45296,0.45296,0.45296
1999-11-01,0.45296,0.45296,0.45296,0.45296
1999-11-02,0.45296,0.5013,0.45296,0.5013
1999-11-05,0.45296,0.45296,0.45296,0.45296
1999-11-11,0.41788,0.41788,0.41788,0.41788
1999-11-15,0.42226,0.42226,0.42226,0.42226
1999-11-16,0.42226,0.42673,0.42226,0.42673
1999-11-17,0.47497,0.47497,0.47497,0.47497
1999-11-18,0.47497,0.47941,0.47497,0.47941
1999-11-19,0.47497,0.47497,0.47497,0.47497
1999-11-25,0.45296,0.45296,0.45296,0.45296
1999-11-29,0.43977,0.43977,0.43977,0.43977
1999-11-30,0.45296,0.45296,0.45296,0.45296
1999-12-02,0.4442,0.4442,0.4442,0.4442
1999-12-03,0.42226,0.42226,0.42226,0.42226
1999-12-06,0.42226,0.47497,0.40027,0.47497
1999-12-07,0.40027,0.40027,0.40027,0.40027
1999-12-08,0.47497,0.47497,0.47497,0.47497
1999-12-09,0.47497,0.47497,0.39151,0.47497
1999-12-10,0.40027,0.40027,0.40027,0.40027
1999-12-14,0.40466,0.40466,0.40466,0.40466
1999-12-15,0.40027,0.40027,0.40027,0.40027
1999-12-16,0.40027,0.40027,0.40027,0.40027
1999-12-17,0.40027,0.41342,0.39151,0.39151
1999-12-22,0.39151,0.39151,0.39151,0.39151
1999-12-27,0.39151,0.39151,0.39151,0.39151
1999-12-29,0.39151,0.39151,0.39151,0.39151
1999-12-30,0.40466,0.40466,0.40466,0.40466
2000-01-03,0.40466,0.45296,0.40027,0.45296
2000-01-04,0.40466,0.40466,0.40466,0.40466
2000-01-07,0.41342,0.47062,0.41342,0.47062
2000-01-10,0.47062,0.47497,0.41788,0.41788
2000-01-11,0.47941,0.47941,0.47941,0.47941
2000-01-12,0.41788,0.41788,0.41788,0.41788
2000-01-17,0.41788,0.47497,0.41788,0.47497
2000-01-18,0.43103,0.43103,0.43103,0.43103
2000-01-19,0.42673,0.42673,0.42673,0.42673
2000-01-20,0.42673,0.42673,0.42673,0.42673
2000-01-21,0.42673,0.42673,0.42673,0.42673
2000-01-24,0.48375,0.5895,0.48375,0.5895
2000-01-25,0.519,0.519,0.45738,0.45738
2000-01-27,0.6246,0.6246,0.6246,0.6246
2000-01-28,0.6334,0.6686,0.6334,0.6334
2000-02-02,0.5586,0.5586,0.5586,0.5586
2000-02-03,0.5586,0.5586,0.5586,0.5586
2000-02-04,0.6334,0.6334,0.6334,0.6334
2000-02-07,0.6334,0.7169,0.5718,0.7169
2000-02-08,0.5806,0.5806,0.5806,0.5806
2000-02-09,0.5981,0.7169,0.5981,0.7169
2000-02-10,0.6334,0.6334,0.6025,0.6334
2000-02-11,0.6553,0.6861,0.6553,0.6861
2000-02-15,0.7169,0.7389,0.7169,0.7389
2000-02-16,0.7389,0.7609,0.6334,0.6861
2000-02-17,0.6773,0.6773,0.6773,0.6773
2000-02-18,0.7916,0.7916,0.7916,0.7916
2000-02-23,0.6334,0.6334,0.6334,0.6334
2000-02-25,0.6334,0.7301,0.6334,0.6334
2000-02-28,0.6334,0.7081,0.6334,0.7081
2000-02-29,0.7081,0.7212,0.6334,0.6334
2000-03-01,0.6113,0.6113,0.6113,0.6113
2000-03-02,0.6113,0.6113,0.6113,0.6113
2000-03-03,0.7301,0.7301,0.7301,0.7301
2000-03-06,0.7212,0.7212,0.6334,0.6334
2000-03-07,0.6334,0.7212,0.6334,0.7212
2000-03-09,0.6861,0.6861,0.6861,0.6861
2000-03-10,0.6113,0.6113,0.6113,0.6113
2000-03-14,0.6246,0.6334,0.6246,0.6246
2000-03-17,0.6422,0.6861,0.6422,0.6422
2000-03-20,0.6553,0.6553,0.6553,0.6553
2000-03-23,0.6553,0.7169,0.6553,0.7169
2000-03-24,0.7169,0.7169,0.6553,0.7169
2000-03-28,0.6642,0.6642,0.6642,0.6642
2000-03-30,0.6642,0.6642,0.6642,0.6642
2000-03-31,0.6642,0.6642,0.6642,0.6642
2000-04-04,0.6642,0.6642,0.6642,0.6642
2000-04-05,0.6642,0.6642,0.6642,0.6642
2000-04-06,0.6642,0.6642,0.6642,0.6642
2000-04-10,0.7169,0.7169,0.7169,0.7169
2000-04-11,0.6642,0.6642,0.6642,0.6642
2000-04-17,0.6113,0.6113,0.6113,0.6113
2000-04-19,0.6334,0.6334,0.6334,0.6334
2000-04-24,0.6334,0.6949,0.6334,0.6949
2000-04-25,0.6334,0.6334,0.6334,0.6334
2000-04-27,0.6334,0.6334,0.6334,0.6334
2000-04-28,0.6334,0.6334,0.6334,0.6334
2000-05-02,0.6334,0.6334,0.6334,0.6334
2000-05-04,0.6069,0.6069,0.6069,0.6069
2000-05-05,0.6113,0.6113,0.6113,0.6113
2000-05-09,0.6113,0.6113,0.6113,0.6113
2000-05-10,0.6113,0.6113,0.6113,0.6113
2000-05-12,0.6113,0.6642,0.6113,0.6113
2000-05-15,0.6113,0.6113,0.5586,0.5586
2000-05-17,0.5366,0.5366,0.5366,0.5366
2000-05-23,0.5366,0.5366,0.5366,0.5366
2000-05-24,0.5499,0.5499,0.5499,0.5499
2000-05-25,0.5366,0.5366,0.5366,0.5366
2000-05-26,0.5366,0.5366,0.47497,0.47497
2000-05-30,0.47941,0.47941,0.47941,0.47941
2000-06-09,0.5806,0.5806,0.5806,0.5806
2000-06-12,0.47497,0.47497,0.47497,0.47497
2000-06-13,0.49698,0.49698,0.49698,0.49698
2000-06-15,0.5542,0.5542,0.5542,0.5542
2000-06-16,0.5542,0.5542,0.49698,0.49698
2000-07-04,0.47497,0.47497,0.47497,0.47497
2000-07-05,0.47941,0.47941,0.47941,0.47941
2000-07-06,0.47497,0.47497,0.47497,0.47497
2000-07-07,0.49698,0.49698,0.49698,0.49698
2000-07-17,0.47497,0.47497,0.47497,0.47497
2000-07-18,0.47497,0.47497,0.47497,0.47497
2000-07-20,0.47497,0.47497,0.47497,0.47497
2000-07-21,0.47497,0.47497,0.47497,0.47497
2000-07-24,0.5499,0.5499,0.5499,0.5499
2000-07-31,0.5499,0.5499,0.5499,0.5499
2000-08-01,0.47497,0.47497,0.47497,0.47497
2000-08-02,0.47497,0.5542,0.47497,0.5542
2000-08-03,0.47497,0.47497,0.47497,0.47497
2000-08-08,0.48375,0.48375,0.48375,0.48375
2000-08-09,0.48375,0.48375,0.48375,0.48375
2000-08-14,0.48375,0.48375,0.48375,0.48375
2000-08-15,0.48375,0.48375,0.48375,0.48375
2000-08-16,0.47941,0.47941,0.47941,0.47941
2000-08-21,0.47497,0.47497,0.47497,0.47497
2000-08-22,0.47497,0.47497,0.47497,0.47497
2000-08-28,0.46627,0.46627,0.45296,0.46627
2000-08-31,0.4442,0.4442,0.4442,0.4442
2000-09-05,0.4442,0.4442,0.4442,0.4442
2000-09-21,0.4442,0.4442,0.4442,0.4442
2000-09-22,0.4442,0.4442,0.4442,0.4442
2000-09-28,0.49698,0.49698,0.49698,0.49698
2000-10-02,0.49698,0.49698,0.4442,0.4442
2000-10-03,0.4442,0.4442,0.4442,0.4442
2000-10-06,0.4442,0.49698,0.4442,0.4442
2000-10-09,0.4442,0.4442,0.4442,0.4442
2000-10-10,0.4442,0.4442,0.4442,0.4442
2000-10-12,0.4442,0.4442,0.4442,0.4442
2000-10-20,0.43103,0.43103,0.43103,0.43103
2000-10-23,0.4442,0.45296,0.4442,0.45296
2000-11-01,0.47497,0.47497,0.47497,0.47497
2000-11-07,0.47497,0.47497,0.47497,0.47497
2000-11-08,0.47497,0.47497,0.47497,0.47497
2000-11-09,0.48375,0.48375,0.48375,0.48375
2000-11-10,0.5278,0.5278,0.5278,0.5278
2000-11-13,0.48375,0.48375,0.48375,0.48375
2000-11-14,0.48375,0.49698,0.48375,0.49698
2000-11-17,0.5278,0.5586,0.5278,0.5278
2000-11-20,0.5454,0.5454,0.5454,0.5454
2000-11-21,0.5059,0.5059,0.5059,0.5059
2000-11-22,0.5059,0.5059,0.5059,0.5059
2000-11-23,0.5059,0.5542,0.5059,0.5059
2000-11-24,0.5059,0.5278,0.5059,0.5278
2000-11-27,0.5851,0.5851,0.5851,0.5851
2000-12-01,0.5542,0.5542,0.5542,0.5542
2000-12-04,0.5586,0.5586,0.5586,0.5586
2000-12-07,0.6553,0.6553,0.6553,0.6553
2000-12-08,0.6596,0.7477,0.6596,0.7477
2000-12-11,0.7477,0.7916,0.7081,0.7916
2000-12-12,0.7916,0.8136,0.6861,0.6861
2000-12-13,0.7389,0.8444,0.7389,0.8444
2000-12-14,0.7389,0.7389,0.7389,0.7389
2000-12-15,0.7389,0.7389,0.7389,0.7389
2000-12-19,0.6642,0.7389,0.6642,0.7389
2000-12-20,0.6861,0.6861,0.6861,0.6861
2000-12-21,0.8136,0.8136,0.6861,0.6861
2000-12-22,0.7389,0.7916,0.7389,0.7389
2000-12-27,0.7389,0.7433,0.6861,0.7433
2000-12-28,0.7433,0.8444,0.6861,0.7389
2000-12-29,0.8136,0.8136,0.8136,0.8136
2001-01-02,0.6861,0.6861,0.6861,0.6861
2001-01-03,0.7389,0.7389,0.7389,0.7389
2001-01-04,0.7389,0.8226,0.7389,0.8226
2001-01-08,0.7389,0.7389,0.7389,0.7389
2001-01-10,0.7477,0.8226,0.7477,0.7477
2001-01-12,0.8226,0.8444,0.8226,0.8444
2001-01-15,0.8226,0.8226,0.8226,0.8226
2001-01-19,0.7828,0.7828,0.7609,0.7828
2001-01-22,0.7653,0.7653,0.7389,0.7653
2001-01-24,0.7653,0.7653,0.7653,0.7653
2001-01-26,0.7389,0.7389,0.7389,0.7389
2001-01-30,0.7389,0.7389,0.7389,0.7389
2001-02-02,0.7389,0.8751,0.7389,0.7389
2001-02-06,0.7389,0.7389,0.7389,0.7389
2001-02-08,0.7389,0.8226,0.7389,0.8226
2001-02-12,0.8226,0.8226,0.7389,0.8226
2001-02-13,0.8226,0.8226,0.8226,0.8226
2001-02-14,0.7389,0.7389,0.7389,0.7389
2001-02-15,0.8444,0.8444,0.8444,0.8444
2001-02-16,0.7389,0.7389,0.7389,0.7389
2001-02-21,0.8093,0.8093,0.8093,0.8093
2001-02-22,0.7301,0.7301,0.7125,0.7125
2001-02-23,0.8136,0.8136,0.8136,0.8136
2001-02-26,0.7389,0.7389,0.7389,0.7389
2001-02-28,0.7916,0.7916,0.7916,0.7916
2001-03-01,0.7916,0.7916,0.7916,0.7916
2001-03-02,0.7389,0.7389,0.7389,0.7389
2001-03-05,0.7389,0.8004,0.7301,0.7301
2001-03-06,0.7301,0.7301,0.7301,0.7301
2001-03-08,0.7389,0.7389,0.7389,0.7389
2001-03-09,0.7301,0.7301,0.7301,0.7301
2001-03-12,0.7301,0.7828,0.6949,0.7828
2001-03-13,0.7389,0.7389,0.6861,0.6861
2001-03-14,0.7081,0.7081,0.7081,0.7081
2001-03-16,0.6949,0.6949,0.6949,0.6949
2001-03-20,0.6861,0.6861,0.6861,0.6861
2001-03-21,0.6861,0.6861,0.6861,0.6861
2001-03-23,0.6861,0.7916,0.6861,0.6861
2001-03-26,0.6861,0.6861,0.6861,0.6861
2001-03-27,0.6861,0.6861,0.6861,0.6861
2001-03-28,0.7389,0.7389,0.7389,0.7389
2001-04-02,0.7389,0.7389,0.7389,0.7389
2001-04-03,0.7345,0.7345,0.6334,0.7345
2001-04-06,0.6334,0.6334,0.6334,0.6334
2001-04-19,0.6334,0.6334,0.6334,0.6334
2001-04-20,0.6334,0.6949,0.5499,0.6949
2001-04-26,0.5806,0.5806,0.5806,0.5806
2001-04-30,0.5806,0.5806,0.5806,0.5806
2001-05-08,0.5895,0.5895,0.5806,0.5806
2001-05-10,0.5806,0.5806,0.5806,0.5806
2001-05-17,0.6334,0.6334,0.6334,0.6334
2001-05-18,0.5806,0.5806,0.5806,0.5806
2001-05-21,0.5366,0.5806,0.5366,0.5806
2001-05-22,0.5806,0.5806,0.5366,0.5366
2001-05-25,0.5366,0.5366,0.5278,0.5366
2001-05-28,0.5278,0.5278,0.5278,0.5278
2001-06-01,0.5278,0.5542,0.5278,0.5542
2001-06-07,0.5806,0.5806,0.5806,0.5806
2001-06-12,0.5278,0.5278,0.5278,0.5278
2001-06-13,0.5278,0.5278,0.5278,0.5278
2001-06-15,0.5278,0.5278,0.5278,0.5278
2001-06-18,0.5278,0.5321,0.5278,0.5321
2001-06-19,0.5321,0.5321,0.5321,0.5321
2001-06-20,0.5278,0.5278,0.5278,0.5278
2001-06-25,0.5278,0.5278,0.5278,0.5278
2001-06-26,0.5806,0.5806,0.5806,0.5806
