<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2006-06-08,28,29.2,28,28.1
2006-06-09,28.6,29.1,27.9,28
2006-06-12,28,28,26.5,27.1
2006-06-13,26,26.6,26,26.4
2006-06-14,26.5,27.1,26.5,27
2006-06-16,27.6,28.3,27.6,28
2006-06-19,28.3,28.3,27.5,27.9
2006-06-20,27.8,28.1,27.5,28
2006-06-21,28,28.1,27.9,28
2006-06-22,28.1,28.2,27.9,27.9
2006-06-23,28,28,27.8,28
2006-06-26,28.1,28.1,27.9,28
2006-06-27,27.2,28.2,27.2,28.1
2006-06-28,28.1,28.1,27.5,28
2006-06-29,28,28,28,28
2006-06-30,28,28.1,28,28
2006-07-03,28,28,27.5,28
2006-07-04,28,28.1,27.6,28
2006-07-05,28,28,27.8,28
2006-07-06,28,28,27.5,27.9
2006-07-07,27.9,28,27.7,28
2006-07-10,27.8,27.8,27.6,27.8
2006-07-11,27.6,27.6,27.5,27.5
2006-07-12,27.6,28,27.6,27.6
2006-07-13,27.6,27.8,27.5,27.6
2006-07-14,27.2,27.9,27.2,27.8
2006-07-17,27.8,28.2,27.7,28
2006-07-18,28,28.1,27.9,27.9
2006-07-19,27.9,28,27.2,28
2006-07-20,28,28,27.7,27.8
2006-07-21,27.4,28,27.4,28
2006-07-24,27.9,28.2,27.9,28.1
2006-07-25,28,28.3,28,28.3
2006-07-26,28.3,29,28.2,29
2006-07-27,29.1,31.2,29.1,30
2006-07-28,30.4,30.4,29.1,30.2
2006-07-31,30,30.5,29.8,30.1
2006-08-01,30,30.1,29,30
2006-08-02,30.1,30.2,29.5,30
2006-08-03,30.5,31.4,29.6,29.8
2006-08-04,30.2,31,30.2,31
2006-08-07,31.4,31.9,31,31.8
2006-08-08,31.9,32,31.5,31.8
2006-08-09,31.5,32.5,31.5,32.3
2006-08-10,32.1,32.4,31.4,31.8
2006-08-11,31.5,31.9,31.4,31.6
2006-08-14,31.6,32.1,30.1,31.8
2006-08-16,32,32,31.3,31.9
2006-08-17,31.5,31.5,31,31.2
2006-08-18,31.8,31.8,31,31.3
2006-08-21,30.6,31.2,30.2,31
2006-08-22,30.7,31.7,30.7,31.7
2006-08-23,30.8,31.3,30.7,31.3
2006-08-24,31,31,30.7,31
2006-08-25,30.6,31.3,30.6,30.8
2006-08-28,31,31,30.4,31
2006-08-29,31,31.3,30.6,31
2006-08-30,31,31.1,31,31.1
2006-08-31,31.3,31.3,31,31.2
2006-09-01,31,31,30.6,31
2006-09-04,31.15,31.15,30.21,30.75
2006-09-05,30.3,31,30.3,31
2006-09-06,30.99,31,30.55,31
2006-09-07,30.8,31.1,30.69,31
2006-09-08,31,31.9,31,31.6
2006-09-11,31.6,31.6,31,31.2
2006-09-12,31.5,33,31.13,32.49
2006-09-13,32.99,32.99,32.05,32.55
2006-09-14,32.5,32.5,32.4,32.4
2006-09-15,32.55,32.9,32.15,32.3
2006-09-18,32.15,32.15,32.12,32.12
2006-09-19,32.1,32.1,32,32
2006-09-20,32.1,32.9,32,32.88
2006-09-21,32.97,32.97,32.4,32.7
2006-09-22,32.1,32.38,31.9,32.38
2006-09-25,32,32.2,31.8,32.1
2006-09-26,32.1,32.65,32,32.65
2006-09-27,32.1,32.1,32,32
2006-09-28,31.6,32.01,31.52,32
2006-09-29,32.09,32.45,31.4,32
2006-10-02,31.9,32.2,31.9,32.2
2006-10-03,32.5,32.5,31,32.18
2006-10-04,32,32.2,32,32
2006-10-05,32,32.2,31.55,31.8
2006-10-06,31.95,31.95,31.5,31.9
2006-10-09,31.3,32.18,31.2,32.18
