<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1995-10-27,11.74,11.74,11.74,11.74
1995-10-30,11.11,11.11,11.11,11.11
1995-10-31,10.62,10.62,10.62,10.62
1995-11-02,11.06,11.06,11.06,11.06
1995-11-03,12.23,12.23,12.23,12.23
1995-11-06,13.06,13.06,13.06,13.06
1995-11-07,12.87,12.87,12.87,12.87
1995-11-08,13.55,13.55,13.55,13.55
1995-11-09,13.36,13.36,13.36,13.36
1995-11-10,12.97,12.97,12.97,12.97
1995-11-13,12.77,12.77,12.77,12.77
1995-11-14,13.16,13.16,13.16,13.16
1995-11-15,13.21,13.21,13.21,13.21
1995-11-16,13.21,13.21,13.21,13.21
1995-11-17,13.21,13.21,13.21,13.21
1995-11-20,11.89,11.89,11.89,11.89
1995-11-21,12.28,12.28,12.28,12.28
1995-11-22,12.72,12.72,12.72,12.72
1995-11-23,13.01,13.01,13.01,13.01
1995-11-24,12.92,12.92,12.92,12.92
1995-11-27,12.92,12.92,12.92,12.92
1995-11-28,12.77,12.77,12.77,12.77
1995-11-29,12.77,12.77,12.77,12.77
1995-11-30,12.77,12.77,12.77,12.77
1995-12-01,12.72,12.72,12.72,12.72
1995-12-04,12.82,12.82,12.82,12.82
1995-12-05,13.16,13.16,13.16,13.16
1995-12-06,12.97,12.97,12.97,12.97
1995-12-07,13.06,13.06,13.06,13.06
1995-12-08,12.92,12.92,12.92,12.92
1995-12-11,13.31,13.31,13.31,13.31
1995-12-12,13.46,13.46,13.46,13.46
1995-12-13,13.46,13.46,13.46,13.46
1995-12-14,13.7,13.7,13.7,13.7
1995-12-15,14.63,14.63,14.63,14.63
1995-12-18,14.43,14.43,14.43,14.43
1995-12-19,13.85,13.85,13.85,13.85
1995-12-20,12.48,12.48,12.48,12.48
1995-12-21,12.87,12.87,12.87,12.87
1995-12-22,13.21,13.21,13.21,13.21
1995-12-27,13.75,13.75,13.75,13.75
1995-12-28,13.65,13.65,13.65,13.65
1995-12-29,13.65,13.65,13.65,13.65
1996-01-02,14.04,14.04,14.04,14.04
1996-01-03,14.19,14.19,14.19,14.19
1996-01-04,14.53,14.53,14.53,14.53
1996-01-05,15.27,15.27,15.27,15.27
1996-01-08,15.07,15.07,15.07,15.07
1996-01-09,15.2,15.2,15.2,15.2
1996-01-10,15.02,15.02,15.02,15.02
1996-01-11,14.92,14.92,14.92,14.92
1996-01-12,14.63,14.63,14.63,14.63
1996-01-15,14.53,14.53,14.53,14.53
1996-01-16,14.53,14.53,14.53,14.53
1996-01-17,14.53,14.53,14.53,14.53
1996-01-18,14.34,14.34,14.34,14.34
1996-01-19,14.04,14.04,14.04,14.04
1996-01-22,14.73,14.73,14.73,14.73
1996-01-23,15.02,15.02,15.02,15.02
1996-01-24,15.36,15.36,15.36,15.36
1996-01-25,16.15,16.15,16.15,16.15
1996-01-26,15.95,15.95,15.95,15.95
1996-01-29,16.1,16.1,16.1,16.1
1996-01-30,16.1,16.1,16.1,16.1
1996-01-31,17.27,17.27,17.27,17.27
1996-02-01,16.64,16.64,16.64,16.64
1996-02-02,17.27,17.27,17.27,17.27
1996-02-05,17.27,17.27,17.27,17.27
1996-02-06,17.61,17.61,17.61,17.61
1996-02-07,17.61,17.61,17.61,17.61
1996-02-08,18.25,18.25,18.25,18.25
1996-02-09,19.23,19.23,19.23,19.23
1996-02-12,21.04,21.04,21.04,21.04
1996-02-13,20.84,20.84,20.84,20.84
1996-02-14,20.55,20.55,20.55,20.55
1996-02-15,20.26,20.26,20.26,20.26
1996-02-16,19.86,19.86,19.86,19.86
1996-02-19,20.06,20.06,20.06,20.06
1996-02-20,19.57,19.57,19.57,19.57
1996-02-21,21.23,21.23,21.23,21.23
1996-02-22,21.53,21.53,21.53,21.53
1996-02-23,21.23,21.23,21.23,21.23
1996-02-26,22.02,22.02,22.02,22.02
1996-02-27,22.7,22.7,22.7,22.7
1996-02-28,24.76,24.76,24.76,24.76
1996-02-29,27.2,27.2,27.2,27.2
1996-03-01,27.4,27.4,27.4,27.4
1996-03-04,24.76,24.76,24.76,24.76
1996-03-05,26.42,26.42,26.42,26.42
1996-03-06,25.64,25.64,25.64,25.64
1996-03-07,25.64,25.64,25.64,25.64
1996-03-08,25.64,25.64,25.64,25.64
1996-03-11,24.76,24.76,24.76,24.76
1996-03-12,24.76,24.76,24.76,24.76
1996-03-13,25.15,25.15,25.15,25.15
1996-03-14,25.25,25.25,25.25,25.25
1996-03-15,25.44,25.44,25.44,25.44
1996-03-18,27.89,27.89,27.89,27.89
1996-03-19,29.06,29.06,29.06,29.06
1996-03-20,28.38,28.38,28.38,28.38
1996-03-21,28.18,28.18,28.18,28.18
1996-03-22,28.08,28.08,28.08,28.08
1996-03-25,27.11,27.11,27.11,27.11
1996-03-26,27.4,27.4,27.4,27.4
1996-03-27,27.69,27.69,27.69,27.69
1996-03-28,27.4,27.4,27.4,27.4
1996-03-29,27.69,27.69,27.69,27.69
1996-04-01,27.69,27.69,27.69,27.69
1996-04-02,27.69,27.69,27.69,27.69
1996-04-03,27.59,27.59,27.59,27.59
1996-04-04,27.4,27.4,27.4,27.4
1996-04-05,27.89,27.89,27.89,27.89
1996-04-09,28.08,28.08,28.08,28.08
1996-04-10,28.38,28.38,28.38,28.38
1996-04-11,28.18,28.18,28.18,28.18
1996-04-12,28.38,28.38,28.38,28.38
1996-04-15,28.67,28.67,28.67,28.67
1996-04-16,30.34,30.34,30.34,30.34
1996-04-17,32.59,32.59,32.59,32.59
1996-04-18,29.36,29.36,29.36,29.36
1996-04-19,32.1,32.1,32.1,32.1
1996-04-22,35.23,35.23,35.23,35.23
1996-04-23,35.91,35.91,35.91,35.91
1996-04-24,35.52,35.52,35.52,35.52
1996-04-25,34.54,34.54,34.54,34.54
1996-04-26,33.07,33.07,33.07,33.07
1996-04-29,35.91,35.91,35.91,35.91
1996-04-30,39.44,39.44,39.44,39.44
1996-05-06,40.32,40.32,40.32,40.32
1996-05-07,44.23,44.23,44.23,44.23
1996-05-08,44.03,44.03,44.03,44.03
1996-05-09,46.29,46.29,46.29,46.29
1996-05-10,44.72,44.72,44.72,44.72
1996-05-13,47.26,47.26,47.26,47.26
1996-05-14,46.68,46.68,46.68,46.68
1996-05-15,47.26,47.26,47.26,47.26
1996-05-16,47.26,47.26,47.26,47.26
1996-05-17,47.26,47.26,47.26,47.26
1996-05-20,47.26,47.26,47.26,47.26
1996-05-21,47.26,47.26,47.26,47.26
1996-05-22,47.26,47.26,47.26,47.26
1996-05-23,42.57,42.57,42.57,42.57
1996-05-24,43.06,43.06,43.06,43.06
1996-05-27,44.03,44.03,44.03,44.03
1996-05-28,44.03,44.03,44.03,44.03
1996-05-29,44.23,44.23,44.23,44.23
1996-05-30,44.03,44.03,44.03,44.03
1996-05-31,44.72,44.72,44.72,44.72
1996-06-03,44.72,44.72,44.72,44.72
1996-06-04,48.93,48.93,48.93,48.93
1996-06-05,48.93,48.93,48.93,48.93
1996-06-07,51.57,51.57,51.57,51.57
1996-06-10,56.56,56.56,56.56,56.56
1996-06-11,59.69,59.69,59.69,59.69
1996-06-12,60.38,60.38,60.38,60.38
1996-06-13,60.38,60.38,60.38,60.38
1996-06-14,59.01,59.01,59.01,59.01
1996-06-17,58.71,58.71,58.71,58.71
1996-06-18,55.48,55.48,55.48,55.48
1996-06-19,59.2,59.2,59.2,59.2
1996-06-20,58.71,58.71,58.71,58.71
1996-06-21,56.46,56.46,56.46,56.46
1996-06-24,56.46,56.46,56.46,56.46
1996-06-25,56.46,56.46,56.46,56.46
1996-06-26,55.09,55.09,55.09,55.09
1996-06-27,60.38,60.38,60.38,60.38
1996-06-28,55.48,55.48,55.48,55.48
1996-07-01,55.48,55.48,55.48,55.48
1996-07-02,55.48,55.48,55.48,55.48
1996-07-03,55.48,55.48,55.48,55.48
1996-07-04,60.96,60.96,60.96,60.96
1996-07-05,58.71,58.71,58.71,58.71
1996-07-08,55.29,55.29,55.29,55.29
1996-07-09,56.76,56.76,56.76,56.76
1996-07-10,55.78,55.78,55.78,55.78
1996-07-11,54.8,54.8,54.8,54.8
1996-07-12,53.82,53.82,53.82,53.82
1996-07-15,53.82,53.82,53.82,53.82
1996-07-16,50.4,50.4,50.4,50.4
1996-07-17,48.34,48.34,48.34,48.34
1996-07-18,46.87,46.87,46.87,46.87
1996-07-19,46.87,46.87,46.87,46.87
1996-07-22,45.89,45.89,45.89,45.89
1996-07-23,45.5,45.5,45.5,45.5
1996-07-24,45.21,45.21,45.21,45.21
1996-07-25,45.4,45.4,45.4,45.4
1996-07-26,45.4,45.4,45.4,45.4
1996-07-29,47.85,47.85,47.85,47.85
1996-07-30,47.95,47.95,47.95,47.95
1996-07-31,48.93,48.93,48.93,48.93
1996-08-01,48.93,48.93,48.93,48.93
1996-08-02,46.19,46.19,46.19,46.19
1996-08-05,49.91,49.91,49.91,49.91
1996-08-06,48.93,48.93,48.93,48.93
1996-08-07,49.42,49.42,49.42,49.42
1996-08-08,48.34,48.34,48.34,48.34
1996-08-09,48.44,48.44,48.44,48.44
1996-08-12,47.85,47.85,47.85,47.85
1996-08-13,48.05,48.05,48.05,48.05
1996-08-14,48.24,48.24,48.24,48.24
1996-08-16,48.24,48.24,48.24,48.24
1996-08-19,48.83,48.83,48.83,48.83
1996-08-20,48.93,48.93,48.93,48.93
1996-08-21,49.42,49.42,49.42,49.42
1996-08-22,50.4,50.4,50.4,50.4
1996-08-23,50.4,50.4,50.4,50.4
1996-08-26,50.4,50.4,50.4,50.4
1996-08-27,49.42,49.42,49.42,49.42
1996-08-28,49.91,49.91,49.91,49.91
1996-08-29,49.42,49.42,49.42,49.42
1996-08-30,49.42,49.42,49.42,49.42
1996-09-02,50.88,50.88,50.88,50.88
1996-09-03,51.37,51.37,51.37,51.37
1996-09-04,50.88,50.88,50.88,50.88
1996-09-05,50.4,50.4,50.4,50.4
1996-09-06,48.93,48.93,48.93,48.93
1996-09-09,48.93,48.93,48.93,48.93
1996-09-10,48.44,48.44,48.44,48.44
1996-09-11,48.93,48.93,48.93,48.93
1996-09-12,49.42,49.42,49.42,49.42
1996-09-13,50.4,50.4,50.4,50.4
1996-09-16,52.35,52.35,52.35,52.35
1996-09-17,54.8,54.8,54.8,54.8
1996-09-18,55.29,55.29,55.29,55.29
1996-09-19,53.33,53.33,53.33,53.33
1996-09-20,52.35,52.35,52.35,52.35
1996-09-23,52.35,52.35,52.35,52.35
1996-09-24,52.84,52.84,52.84,52.84
1996-09-25,52.35,52.35,52.35,52.35
1996-09-26,50.88,50.88,50.88,50.88
1996-09-27,50.88,50.88,50.88,50.88
1996-09-30,51.86,51.86,51.86,51.86
1996-10-01,51.86,51.86,51.86,51.86
1996-10-02,52.84,52.84,52.84,52.84
