<DATE>,<CLOSE>
2008-04-03,48.555
2008-04-04,48.555
2008-04-07,44.631
2008-04-08,44.631
2008-04-10,45.269
2008-04-11,45.269
2008-04-15,48.996
2008-04-18,48.996
2008-04-21,49.045
2008-04-22,49.045
2008-04-23,48.8
2008-04-24,49.879
2008-04-25,49.536
2008-04-28,49.291
2008-04-29,49.291
2008-04-30,49.241
2008-05-05,49.045
2008-05-06,47.035
2008-05-07,49.045
2008-05-08,46.985
2008-05-09,49.291
2008-05-12,49.438
2008-05-13,46.618
2008-05-14,49.438
2008-05-15,49.388
2008-05-16,49.388
2008-05-19,46.691
2008-05-20,46.348
2008-05-21,46.519
2008-05-23,47.083
2008-05-26,47.083
2008-05-27,47.083
2008-05-28,47.083
2008-05-29,47.083
2008-05-30,47.083
2008-06-02,49.045
2008-06-03,48.31
2008-06-04,47.451
2008-06-05,48.31
2008-06-06,47.083
2008-06-09,46.593
2008-06-10,44.729
2008-06-11,48.064
2008-06-12,45.073
2008-06-13,47.574
2008-06-16,47.574
2008-06-17,46.298
2008-06-18,45.122
2008-06-19,46.372
2008-06-20,44.68
2008-06-23,46.176
2008-06-24,42.841
2008-06-25,44.018
2008-06-26,43.16
2008-06-27,44.68
2008-06-30,42.667
2008-07-01,44.435
2008-07-02,46.593
2008-07-03,43.724
2008-07-04,45.465
2008-07-07,45.465
2008-07-08,46.103
2008-07-09,44.754
2008-07-10,44.974
2008-07-11,42.792
2008-07-14,46.103
2008-07-15,44.631
2008-07-16,43.552
2008-07-17,42.67
2008-07-18,38.501
2008-07-21,41.689
2008-07-22,41.689
2008-07-23,41.689
2008-07-24,40.708
2008-07-25,40.708
2008-07-28,40.708
2008-07-29,40.708
2008-07-30,40.217
2008-07-31,40.705
2008-08-01,38.795
2008-08-04,38.108
2008-08-05,39.481
2008-08-06,35.901
2008-08-07,36.784
2008-08-08,38.255
2008-08-11,35.656
2008-08-12,37.765
2008-08-13,37.765
2008-08-14,37.765
2008-08-18,38.231
2008-08-19,37.765
2008-08-20,36.755
2008-08-21,36.755
2008-08-22,38.308
2008-08-25,36.755
2008-08-26,36.755
2008-08-27,36.73
2008-08-28,36.755
2008-08-29,36.755
2008-09-01,36.238
2008-09-02,36.238
2008-09-03,34.685
2008-09-04,36.212
2008-09-05,36.212
2008-09-08,35.617
2008-09-09,35.202
2008-09-10,34.685
2008-09-11,35.564
2008-09-12,36.289
2008-09-15,36.238
2008-09-16,36.238
2008-09-17,36.238
2008-09-18,35.202
2008-09-19,35.875
2008-09-22,36.238
2008-09-23,36.238
2008-09-24,36.238
2008-09-25,36.238
2008-09-26,35.72
2008-09-29,34.607
2008-09-30,34.581
2008-10-01,34.685
2008-10-02,35.202
2008-10-03,35.202
2008-10-06,34.685
2008-10-07,35.15
2008-10-08,35.202
2008-10-09,35.202
2008-10-10,35.202
2008-10-13,35.202
2008-10-14,34.659
2008-10-15,34.478
2008-10-16,34.943
2008-10-17,34.685
2008-10-20,35.202
2008-10-21,34.633
2008-10-22,35.202
2008-10-23,35.202
2008-10-24,35.176
2008-10-27,35.176
2008-10-28,35.176
2008-10-29,35.099
2008-10-30,35.176
2008-10-31,35.176
2008-11-03,35.176
2008-11-04,34.685
2008-11-05,33.261
2008-11-06,33.287
2008-11-07,33.908
2008-11-10,34.659
2008-11-12,34.943
2008-11-13,33.986
2008-11-14,35.176
2008-11-17,34.685
2008-11-18,35.176
2008-11-19,35.176
2008-11-20,34.219
2008-11-21,35.176
2008-11-24,35.176
2008-11-25,33.338
2008-11-26,34.167
2008-11-28,33.131
2008-12-01,32.873
2008-12-02,32.873
2008-12-03,32.873
2008-12-04,32.873
2008-12-05,32.614
2008-12-08,32.873
2008-12-09,32.821
2008-12-10,32.873
2008-12-11,32.614
2008-12-12,32.588
2008-12-15,32.614
2008-12-16,33.131
2008-12-17,33.08
2008-12-18,33.131
2008-12-19,33.131
2008-12-22,33.131
2008-12-29,33.106
2008-12-30,33.106
2008-12-31,33.106
2009-01-05,31.165
2009-01-06,33.131
2009-01-07,33.131
2009-01-08,33.106
2009-01-09,32.873
2009-01-12,33.131
2009-01-13,33.131
2009-01-14,33.131
2009-01-15,33.131
2009-01-16,33.131
2009-01-19,33.131
2009-01-20,33.131
2009-01-21,33.131
2009-01-22,33.131
2009-01-23,33.131
2009-01-26,33.649
2009-01-27,33.649
2009-01-28,33.649
2009-01-29,33.649
2009-01-30,33.649
2009-02-02,33.649
2009-02-03,33.649
2009-02-04,33.649
2009-02-05,33.649
2009-02-06,33.649
2009-02-09,33.649
2009-02-10,33.649
2009-02-11,33.649
2009-02-12,33.131
2009-02-13,33.131
2009-02-16,32.252
2009-02-17,33.649
2009-02-18,33.649
