<DATE>,<CLOSE>
2003-12-29,14.954
2003-12-30,16.234
2003-12-31,15.844
2004-01-02,15.902
2004-01-05,15.62
2004-01-06,15.62
2004-01-07,15.676
2004-01-08,15.396
2004-01-09,15.172
2004-01-12,15.062
2004-01-13,15.062
2004-01-14,14.895
2004-01-15,14.671
2004-01-16,14.338
2004-01-19,14.448
2004-01-20,14.895
2004-01-21,14.839
2004-01-22,15.062
2004-01-23,15.12
2004-01-26,15.396
2004-01-27,15.345
2004-01-28,15.005
2004-01-29,14.895
2004-01-30,15.005
2004-02-02,15.345
2004-02-03,15.062
2004-02-04,15.172
2004-02-05,15.229
2004-02-06,15.62
2004-02-09,15.844
2004-02-10,15.735
2004-02-11,15.676
2004-02-12,15.735
2004-02-13,15.563
2004-02-16,15.676
2004-02-17,15.787
2004-02-18,15.735
2004-02-19,15.62
2004-02-20,15.62
2004-02-23,15.62
2004-02-24,15.396
2004-02-25,15.229
2004-02-26,15.511
2004-02-27,15.676
2004-03-01,15.902
2004-03-02,15.787
2004-03-03,15.953
2004-03-04,15.953
2004-03-05,15.844
2004-03-08,15.676
2004-03-09,15.787
2004-03-10,15.902
2004-03-11,15.676
2004-03-12,15.902
2004-03-15,15.676
2004-03-16,15.62
2004-03-17,16.46
2004-03-18,16.682
2004-03-19,16.175
2004-03-22,16.292
2004-03-23,16.567
2004-03-24,16.849
2004-03-25,16.79
2004-03-26,16.907
2004-03-29,17.464
2004-03-30,17.739
2004-03-31,17.573
2004-04-01,17.682
2004-04-02,18.021
2004-04-05,18.412
2004-04-06,19.026
2004-04-07,19.026
2004-04-08,19.468
2004-04-13,19.584
2004-04-14,19.079
2004-04-15,19.526
2004-04-16,19.301
2004-04-19,19.135
2004-04-20,19.193
2004-04-21,19.079
2004-04-22,18.911
2004-04-23,19.079
2004-04-26,19.026
2004-04-27,19.193
2004-04-28,19.135
2004-04-29,19.135
2004-04-30,19.026
2004-05-04,19.301
2004-05-05,19.135
2004-05-06,18.802
2004-05-07,18.637
2004-05-10,17.682
2004-05-11,17.297
2004-05-12,17.297
2004-05-13,17.297
2004-05-14,17.406
2004-05-17,18.071
2004-05-18,18.637
2004-05-19,18.637
2004-05-20,18.637
2004-05-21,18.802
2004-05-24,18.464
2004-05-25,18.464
2004-05-26,18.687
2004-05-27,18.52
2004-05-28,18.802
2004-05-31,18.802
2004-06-01,18.802
2004-06-02,19.193
2004-06-03,18.969
2004-06-04,19.193
2004-06-07,18.969
2004-06-08,18.969
2004-06-09,18.687
2004-06-11,18.853
2004-06-14,18.802
2004-06-15,18.637
2004-06-16,18.687
2004-06-17,18.412
2004-06-18,18.412
2004-06-21,18.579
2004-06-22,18.579
2004-06-23,18.412
2004-06-24,18.464
2004-06-25,19.079
2004-06-28,19.245
2004-06-29,19.417
2004-06-30,19.301
2004-07-01,19.026
2004-07-02,19.301
2004-07-05,19.245
2004-07-06,19.245
2004-07-07,18.969
2004-07-08,19.301
2004-07-09,19.193
2004-07-12,18.802
2004-07-13,19.079
2004-07-14,19.079
2004-07-15,18.802
2004-07-16,19.079
2004-07-19,19.026
2004-07-20,18.969
2004-07-21,19.245
2004-07-22,19.193
2004-07-23,19.359
2004-07-26,19.301
2004-07-27,18.969
2004-07-28,18.802
2004-07-29,18.412
2004-07-30,18.296
2004-08-02,18.187
2004-08-03,18.412
2004-08-04,18.245
2004-08-05,17.855
2004-08-06,17.24
2004-08-09,16.907
2004-08-10,16.959
2004-08-11,16.46
2004-08-12,16.567
2004-08-13,16.401
2004-08-16,16.567
2004-08-17,16.624
2004-08-18,16.734
2004-08-19,16.734
2004-08-20,17.016
2004-08-23,16.959
2004-08-24,17.297
2004-08-25,17.182
2004-08-26,17.24
2004-08-27,17.124
2004-08-30,17.573
2004-08-31,17.515
2004-09-01,17.406
2004-09-02,17.297
2004-09-03,16.849
2004-09-06,17.182
2004-09-07,17.297
2004-09-08,17.406
2004-09-09,17.464
2004-09-10,17.573
2004-09-13,17.573
2004-09-14,17.349
2004-09-15,17.124
2004-09-16,17.016
2004-09-17,17.573
2004-09-20,17.182
2004-09-21,17.016
2004-09-22,16.907
2004-09-23,16.79
2004-09-24,16.682
2004-09-27,17.016
2004-09-28,16.79
2004-09-29,16.79
2004-09-30,16.849
2004-10-01,16.79
2004-10-04,16.79
2004-10-05,16.624
2004-10-06,16.682
2004-10-07,16.344
2004-10-08,16.068
2004-10-11,15.902
2004-10-12,15.902
2004-10-13,16.175
2004-10-14,16.068
2004-10-15,16.344
2004-10-18,16.01
2004-10-19,15.676
2004-10-20,15.844
2004-10-21,15.787
2004-10-22,15.844
2004-10-25,15.511
2004-10-26,15.345
2004-10-27,15.229
2004-10-28,15.396
2004-10-29,15.454
2004-11-02,15.511
2004-11-03,15.844
2004-11-04,15.735
2004-11-05,15.62
2004-11-08,15.676
2004-11-09,15.735
2004-11-10,15.62
2004-11-12,15.62
2004-11-15,15.511
2004-11-16,15.787
2004-11-17,15.735
2004-11-18,15.787
2004-11-19,15.735
2004-11-22,15.62
2004-11-23,15.62
2004-11-24,15.563
2004-11-25,15.511
2004-11-26,15.511
2004-11-29,15.62
2004-11-30,15.62
2004-12-01,15.563
2004-12-02,15.345
2004-12-03,15.676
2004-12-06,16.01
2004-12-07,15.735
2004-12-08,15.286
2004-12-09,14.839
2004-12-10,14.839
2004-12-13,14.895
2004-12-14,14.895
2004-12-15,15.286
2004-12-16,15.62
2004-12-17,15.172
2004-12-20,15.454
2004-12-21,15.345
2004-12-22,15.229
2004-12-23,15.396
2004-12-24,15.286
2004-12-27,15.062
2004-12-28,15.005
