<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1999-01-11,0.78,0.78,0.78,0.78
1999-01-12,0.76,0.76,0.76,0.76
1999-01-13,0.68,0.68,0.68,0.68
1999-01-14,0.62,0.62,0.62,0.62
1999-01-15,0.56,0.56,0.56,0.56
1999-01-18,0.62,0.62,0.62,0.62
1999-01-19,0.62,0.62,0.62,0.62
1999-01-20,0.6,0.6,0.6,0.6
1999-01-21,0.58,0.58,0.58,0.58
1999-01-22,0.56,0.56,0.56,0.56
1999-01-25,0.56,0.56,0.56,0.56
1999-01-26,0.58,0.58,0.58,0.58
1999-01-27,0.6,0.6,0.6,0.6
1999-01-28,0.6,0.6,0.6,0.6
1999-01-29,0.6,0.6,0.6,0.6
1999-02-01,0.54,0.54,0.54,0.54
1999-02-02,0.58,0.58,0.58,0.58
1999-02-03,0.58,0.58,0.58,0.58
1999-02-04,0.56,0.56,0.56,0.56
1999-02-05,0.52,0.52,0.52,0.52
1999-02-08,0.52,0.52,0.52,0.52
1999-02-09,0.54,0.54,0.54,0.54
1999-02-10,0.54,0.54,0.54,0.54
1999-02-11,0.56,0.56,0.56,0.56
1999-02-12,0.54,0.54,0.54,0.54
1999-02-15,0.54,0.54,0.54,0.54
1999-02-16,0.54,0.54,0.54,0.54
1999-02-17,0.54,0.54,0.54,0.54
1999-02-18,0.54,0.54,0.54,0.54
1999-02-19,0.54,0.54,0.54,0.54
1999-02-22,0.54,0.54,0.54,0.54
1999-02-23,0.54,0.54,0.54,0.54
1999-02-24,0.54,0.54,0.54,0.54
1999-02-25,0.54,0.54,0.54,0.54
1999-02-26,0.54,0.54,0.54,0.54
1999-03-01,0.54,0.54,0.54,0.54
1999-03-02,0.52,0.52,0.52,0.52
1999-03-03,0.54,0.54,0.54,0.54
1999-03-04,0.54,0.54,0.54,0.54
1999-03-05,0.56,0.56,0.56,0.56
1999-03-08,0.58,0.58,0.58,0.58
1999-03-09,0.6,0.6,0.6,0.6
1999-03-10,0.6,0.6,0.6,0.6
1999-03-11,0.62,0.62,0.62,0.62
1999-03-12,0.68,0.68,0.68,0.68
1999-03-15,0.74,0.74,0.74,0.74
1999-03-16,0.7,0.7,0.7,0.7
1999-03-17,0.72,0.72,0.72,0.72
1999-03-18,0.7,0.7,0.7,0.7
1999-03-19,0.64,0.64,0.64,0.64
1999-03-22,0.64,0.64,0.64,0.64
1999-03-23,0.58,0.58,0.58,0.58
1999-03-24,0.6,0.6,0.6,0.6
1999-03-25,0.62,0.62,0.62,0.62
1999-03-26,0.62,0.62,0.62,0.62
1999-03-29,0.62,0.62,0.62,0.62
1999-03-30,0.6,0.6,0.6,0.6
1999-03-31,0.6,0.6,0.6,0.6
1999-04-01,0.58,0.58,0.58,0.58
1999-04-06,0.58,0.58,0.58,0.58
1999-04-07,0.58,0.58,0.58,0.58
1999-04-08,0.58,0.58,0.58,0.58
1999-04-09,0.6,0.6,0.6,0.6
1999-04-12,0.62,0.62,0.62,0.62
1999-04-13,0.64,0.64,0.64,0.64
1999-04-14,0.64,0.64,0.64,0.64
1999-04-15,0.64,0.64,0.64,0.64
1999-04-16,0.62,0.62,0.62,0.62
1999-04-19,0.64,0.64,0.64,0.64
1999-04-20,0.64,0.64,0.64,0.64
1999-04-21,0.6,0.6,0.6,0.6
1999-04-22,0.64,0.64,0.64,0.64
1999-04-23,0.66,0.66,0.66,0.66
1999-04-26,0.66,0.66,0.66,0.66
1999-04-27,0.66,0.66,0.66,0.66
1999-04-28,0.66,0.66,0.66,0.66
1999-04-29,0.66,0.66,0.66,0.66
1999-04-30,0.68,0.68,0.68,0.68
1999-05-04,0.7,0.7,0.7,0.7
1999-05-05,0.7,0.7,0.7,0.7
1999-05-06,0.7,0.7,0.7,0.7
1999-05-07,0.74,0.74,0.74,0.74
1999-05-10,0.82,0.82,0.82,0.82
1999-05-11,0.84,0.84,0.84,0.84
1999-05-12,0.82,0.82,0.82,0.82
1999-05-13,0.74,0.74,0.74,0.74
1999-05-14,0.7,0.7,0.7,0.7
1999-05-17,0.7,0.7,0.7,0.7
1999-05-18,0.74,0.74,0.74,0.74
1999-05-19,0.74,0.74,0.74,0.74
1999-05-20,0.74,0.74,0.74,0.74
1999-05-21,0.76,0.76,0.76,0.76
1999-05-24,0.74,0.74,0.74,0.74
1999-05-25,0.74,0.74,0.74,0.74
1999-05-26,0.74,0.74,0.74,0.74
1999-05-27,0.76,0.76,0.76,0.76
1999-05-28,0.76,0.76,0.76,0.76
1999-05-31,0.78,0.78,0.78,0.78
1999-06-01,0.8,0.8,0.8,0.8
1999-06-02,0.8,0.8,0.8,0.8
1999-06-07,0.82,0.82,0.82,0.82
1999-06-08,0.82,0.82,0.82,0.82
1999-06-09,0.8,0.8,0.8,0.8
1999-06-10,0.8,0.8,0.8,0.8
1999-06-11,0.8,0.8,0.8,0.8
1999-06-14,0.8,0.8,0.8,0.8
1999-06-15,0.78,0.78,0.78,0.78
1999-06-16,0.74,0.74,0.74,0.74
1999-06-17,0.76,0.76,0.76,0.76
1999-06-18,0.78,0.78,0.78,0.78
1999-06-21,0.76,0.76,0.76,0.76
1999-06-22,0.74,0.74,0.74,0.74
1999-06-23,0.7,0.7,0.7,0.7
1999-06-24,0.7,0.7,0.7,0.7
1999-06-25,0.7,0.7,0.7,0.7
1999-06-28,0.72,0.72,0.72,0.72
1999-06-29,0.72,0.72,0.72,0.72
1999-06-30,0.7,0.7,0.7,0.7
1999-07-01,0.68,0.68,0.68,0.68
1999-07-02,0.7,0.7,0.7,0.7
1999-07-05,0.7,0.7,0.7,0.7
1999-07-06,0.68,0.68,0.68,0.68
1999-07-07,0.68,0.68,0.68,0.68
1999-07-08,0.7,0.7,0.7,0.7
1999-07-09,0.7,0.7,0.7,0.7
1999-07-12,0.7,0.7,0.7,0.7
1999-07-13,0.7,0.7,0.7,0.7
1999-07-14,0.68,0.68,0.68,0.68
1999-07-15,0.68,0.68,0.68,0.68
1999-07-16,0.66,0.66,0.66,0.66
1999-07-19,0.66,0.66,0.66,0.66
1999-07-20,0.68,0.68,0.68,0.68
1999-07-21,0.68,0.68,0.68,0.68
1999-07-22,0.64,0.64,0.64,0.64
1999-07-23,0.66,0.66,0.66,0.66
1999-07-26,0.66,0.66,0.66,0.66
1999-07-27,0.66,0.66,0.66,0.66
1999-07-28,0.66,0.66,0.66,0.66
1999-07-29,0.64,0.64,0.64,0.64
1999-07-30,0.66,0.66,0.66,0.66
1999-08-02,0.66,0.66,0.66,0.66
1999-08-03,0.66,0.66,0.66,0.66
1999-08-04,0.66,0.66,0.66,0.66
1999-08-05,0.66,0.66,0.66,0.66
1999-08-06,0.66,0.66,0.66,0.66
1999-08-09,0.66,0.66,0.66,0.66
1999-08-10,0.66,0.66,0.66,0.66
1999-08-11,0.66,0.66,0.66,0.66
1999-08-12,0.68,0.68,0.68,0.68
1999-08-13,0.66,0.66,0.66,0.66
1999-08-16,0.66,0.66,0.66,0.66
1999-08-17,0.66,0.66,0.66,0.66
1999-08-18,0.66,0.66,0.66,0.66
1999-08-19,0.66,0.66,0.66,0.66
1999-08-20,0.66,0.66,0.66,0.66
1999-08-23,0.66,0.66,0.66,0.66
1999-08-24,0.66,0.66,0.66,0.66
1999-08-25,0.66,0.66,0.66,0.66
1999-08-26,0.68,0.68,0.68,0.68
1999-08-27,0.68,0.68,0.68,0.68
1999-08-30,0.68,0.68,0.68,0.68
1999-08-31,0.68,0.68,0.68,0.68
1999-09-01,0.68,0.68,0.68,0.68
1999-09-02,0.7,0.7,0.7,0.7
1999-09-03,0.7,0.7,0.7,0.7
1999-09-06,0.7,0.7,0.7,0.7
1999-09-07,0.72,0.72,0.72,0.72
1999-09-08,0.68,0.68,0.68,0.68
1999-09-09,0.68,0.68,0.68,0.68
1999-09-10,0.7,0.7,0.7,0.7
1999-09-13,0.7,0.7,0.7,0.7
1999-09-14,0.68,0.68,0.68,0.68
1999-09-15,0.66,0.66,0.66,0.66
1999-09-16,0.66,0.66,0.66,0.66
1999-09-17,0.68,0.68,0.68,0.68
1999-09-20,0.68,0.68,0.68,0.68
1999-09-21,0.66,0.66,0.66,0.66
1999-09-22,0.64,0.64,0.64,0.64
1999-09-23,0.62,0.62,0.62,0.62
1999-09-24,0.62,0.62,0.62,0.62
1999-09-27,0.62,0.62,0.62,0.62
1999-09-28,0.62,0.62,0.62,0.62
1999-09-29,0.6,0.6,0.6,0.6
1999-09-30,0.56,0.56,0.56,0.56
1999-10-01,0.58,0.58,0.58,0.58
1999-10-04,0.6,0.6,0.6,0.6
1999-10-05,0.62,0.62,0.62,0.62
1999-10-06,0.68,0.68,0.68,0.68
1999-10-07,0.68,0.68,0.68,0.68
1999-10-08,0.7,0.7,0.7,0.7
1999-10-11,0.72,0.72,0.72,0.72
1999-10-12,0.72,0.72,0.72,0.72
1999-10-13,0.72,0.72,0.72,0.72
1999-10-14,0.7,0.7,0.7,0.7
1999-10-15,0.7,0.7,0.7,0.7
1999-10-18,0.66,0.66,0.66,0.66
1999-10-19,0.7,0.7,0.7,0.7
1999-10-20,0.7,0.7,0.7,0.7
1999-10-21,0.74,0.74,0.74,0.74
1999-10-22,0.7,0.7,0.7,0.7
1999-10-25,0.7,0.7,0.7,0.7
1999-10-26,0.7,0.7,0.7,0.7
1999-10-27,0.7,0.7,0.7,0.7
1999-10-28,0.7,0.7,0.7,0.7
1999-10-29,0.7,0.7,0.7,0.7
1999-11-02,0.7,0.7,0.7,0.7
1999-11-03,0.7,0.7,0.7,0.7
1999-11-04,0.7,0.7,0.7,0.7
1999-11-05,0.68,0.68,0.68,0.68
1999-11-08,0.66,0.66,0.66,0.66
1999-11-09,0.7,0.7,0.7,0.7
1999-11-10,0.7,0.7,0.7,0.7
1999-11-15,0.68,0.68,0.68,0.68
1999-11-16,0.68,0.68,0.68,0.68
1999-11-17,0.7,0.7,0.7,0.7
1999-11-18,0.7,0.7,0.7,0.7
1999-11-19,0.7,0.7,0.7,0.7
1999-11-22,0.74,0.74,0.74,0.74
1999-11-23,0.72,0.72,0.72,0.72
1999-11-24,0.7,0.7,0.7,0.7
1999-11-25,0.7,0.7,0.7,0.7
1999-11-26,0.7,0.7,0.7,0.7
1999-11-29,0.7,0.7,0.7,0.7
1999-11-30,0.7,0.7,0.7,0.7
1999-12-01,0.74,0.74,0.74,0.74
1999-12-02,0.74,0.74,0.74,0.74
1999-12-03,0.72,0.72,0.72,0.72
1999-12-06,0.68,0.68,0.68,0.68
1999-12-07,0.72,0.72,0.72,0.72
1999-12-08,0.74,0.74,0.74,0.74
1999-12-09,0.7,0.7,0.7,0.7
1999-12-10,0.72,0.72,0.72,0.72
1999-12-13,0.72,0.72,0.72,0.72
1999-12-14,0.72,0.72,0.72,0.72
1999-12-15,0.72,0.72,0.72,0.72
1999-12-16,0.72,0.72,0.72,0.72
1999-12-17,0.72,0.72,0.72,0.72
1999-12-20,0.72,0.72,0.72,0.72
1999-12-21,0.74,0.74,0.74,0.74
1999-12-22,0.72,0.72,0.72,0.72
1999-12-23,0.74,0.74,0.74,0.74
1999-12-27,0.76,0.76,0.76,0.76
1999-12-28,0.82,0.82,0.82,0.82
1999-12-29,0.78,0.78,0.78,0.78
2000-01-03,0.82,0.82,0.82,0.82
2000-01-04,0.78,0.78,0.78,0.78
2000-01-05,0.78,0.78,0.78,0.78
2000-01-06,0.8,0.8,0.8,0.8
2000-01-07,0.8,0.8,0.8,0.8
2000-01-10,0.82,0.82,0.82,0.82
2000-01-11,0.9,0.9,0.9,0.9
2000-01-12,0.84,0.84,0.84,0.84
2000-01-13,0.88,0.88,0.88,0.88
2000-01-14,0.86,0.86,0.86,0.86
2000-01-17,0.9,0.9,0.9,0.9
2000-01-18,0.88,0.88,0.88,0.88
2000-01-19,0.82,0.82,0.82,0.82
2000-01-20,0.86,0.86,0.86,0.86
2000-01-21,0.88,0.88,0.88,0.88
2000-01-24,0.86,0.86,0.86,0.86
2000-01-25,0.84,0.84,0.84,0.84
2000-01-26,0.86,0.86,0.86,0.86
2000-01-27,0.88,0.88,0.88,0.88
2000-01-28,0.9,0.9,0.9,0.9
2000-01-31,0.88,0.88,0.88,0.88
2000-02-01,0.94,0.94,0.94,0.94
2000-02-02,0.94,0.94,0.94,0.94
2000-02-03,0.94,0.94,0.94,0.94
2000-02-04,1,1,1,1
2000-02-07,1,1,1,1
2000-02-08,0.98,0.98,0.98,0.98
2000-02-09,0.98,0.98,0.98,0.98
2000-02-10,0.94,0.94,0.94,0.94
2000-02-11,0.94,0.94,0.94,0.94
2000-02-14,0.86,0.86,0.86,0.86
2000-02-15,0.94,0.94,0.94,0.94
2000-02-16,0.92,0.92,0.92,0.92
2000-02-17,0.94,0.94,0.94,0.94
2000-02-18,1,1,1,1
2000-02-21,0.94,0.94,0.94,0.94
2000-02-22,0.94,0.94,0.94,0.94
2000-02-23,0.94,0.94,0.94,0.94
2000-02-24,0.96,0.96,0.96,0.96
2000-02-25,0.96,0.96,0.96,0.96
2000-02-28,0.96,0.96,0.96,0.96
2000-02-29,0.86,0.86,0.86,0.86
2000-03-01,0.96,0.96,0.96,0.96
2000-03-02,0.94,0.94,0.94,0.94
2000-03-03,0.94,0.94,0.94,0.94
2000-03-06,0.94,0.94,0.94,0.94
2000-03-07,0.96,0.96,0.96,0.96
2000-03-08,0.94,0.94,0.94,0.94
2000-03-09,0.94,0.94,0.94,0.94
2000-03-10,0.94,0.94,0.94,0.94
2000-03-13,0.92,0.92,0.92,0.92
2000-03-14,0.94,0.94,0.94,0.94
2000-03-15,0.94,0.94,0.94,0.94
2000-03-16,0.94,0.94,0.94,0.94
2000-03-17,1,1,1,1
2000-03-20,1,1,1,1
2000-03-21,1,1,1,1
2000-03-22,1,1,1,1
2000-03-23,0.98,0.98,0.98,0.98
2000-03-24,0.98,0.98,0.98,0.98
2000-03-27,1,1,1,1
2000-03-28,1,1,1,1
2000-03-29,1.02,1.02,1.02,1.02
2000-03-30,1.02,1.02,1.02,1.02
2000-03-31,1.02,1.02,1.02,1.02
2000-04-03,1.02,1.02,1.02,1.02
2000-04-04,1,1,1,1
2000-04-05,1,1,1,1
2000-04-06,0.98,0.98,0.98,0.98
2000-04-07,0.96,0.96,0.96,0.96
2000-04-10,0.96,0.96,0.96,0.96
2000-04-11,0.96,0.96,0.96,0.96
2000-04-12,0.96,0.96,0.96,0.96
2000-04-13,0.96,0.96,0.96,0.96
2000-04-14,0.94,0.94,0.94,0.94
2000-04-17,0.9,0.9,0.9,0.9
2000-04-18,0.96,0.96,0.96,0.96
2000-04-19,0.96,0.96,0.96,0.96
2000-04-20,0.96,0.96,0.96,0.96
2000-04-25,0.98,0.98,0.98,0.98
2000-04-26,1,1,1,1
2000-04-27,1.1,1.1,1.1,1.1
2000-04-28,1.06,1.06,1.06,1.06
2000-05-04,1.04,1.04,1.04,1.04
2000-05-05,1,1,1,1
2000-05-08,1,1,1,1
2000-05-09,1,1,1,1
2000-05-10,1,1,1,1
2000-05-11,1,1,1,1
2000-05-12,1.02,1.02,1.02,1.02
2000-05-15,1.02,1.02,1.02,1.02
2000-05-16,1.02,1.02,1.02,1.02
2000-05-17,1,1,1,1
2000-05-18,1,1,1,1
2000-05-19,1,1,1,1
2000-05-22,1.02,1.02,1.02,1.02
2000-05-23,1.02,1.02,1.02,1.02
2000-05-24,1.02,1.02,1.02,1.02
2000-05-25,1.06,1.06,1.06,1.06
2000-05-26,1.04,1.04,1.04,1.04
2000-05-29,1.04,1.04,1.04,1.04
2000-05-30,1.04,1.04,1.04,1.04
2000-05-31,1.08,1.08,1.08,1.08
2000-06-01,1.08,1.08,1.08,1.08
2000-06-02,1.08,1.08,1.08,1.08
2000-06-05,1.08,1.08,1.08,1.08
2000-06-06,1.1,1.1,1.1,1.1
2000-06-07,1.02,1.02,1.02,1.02
2000-06-08,1.04,1.04,1.04,1.04
2000-06-09,1.02,1.02,1.02,1.02
2000-06-12,1,1,1,1
2000-06-13,0.98,0.98,0.98,0.98
2000-06-14,0.96,0.96,0.96,0.96
2000-06-15,0.96,0.96,0.96,0.96
2000-06-16,0.96,0.96,0.96,0.96
2000-06-19,0.9,0.9,0.9,0.9
2000-06-20,0.9,0.9,0.9,0.9
2000-06-21,0.9,0.9,0.9,0.9
2000-06-23,0.9,0.9,0.9,0.9
2000-06-26,0.88,0.88,0.88,0.88
2000-06-27,0.88,0.88,0.88,0.88
2000-06-28,0.88,0.88,0.88,0.88
2000-06-29,0.9,0.9,0.9,0.9
2000-06-30,0.9,0.9,0.9,0.9
2000-07-03,0.9,0.9,0.9,0.9
2000-07-04,0.9,0.9,0.9,0.9
2000-07-05,0.92,0.92,0.92,0.92
2000-07-06,0.94,0.94,0.94,0.94
2000-07-07,0.94,0.94,0.94,0.94
2000-07-10,0.86,0.86,0.86,0.86
2000-07-11,0.88,0.88,0.88,0.88
2000-07-12,0.9,0.9,0.9,0.9
2000-07-13,0.88,0.88,0.88,0.88
2000-07-14,0.9,0.9,0.9,0.9
2000-07-17,0.9,0.9,0.9,0.9
2000-07-18,0.88,0.88,0.88,0.88
2000-07-19,0.88,0.88,0.88,0.88
2000-07-20,0.9,0.9,0.9,0.9
2000-07-21,0.9,0.9,0.9,0.9
2000-07-24,0.9,0.9,0.9,0.9
2000-07-25,0.9,0.9,0.9,0.9
2000-07-26,0.9,0.9,0.9,0.9
2000-07-27,0.9,0.9,0.9,0.9
2000-07-28,0.9,0.9,0.9,0.9
2000-07-31,0.9,0.9,0.9,0.9
2000-08-01,0.96,0.96,0.96,0.96
2000-08-02,0.96,0.96,0.96,0.96
2000-08-03,1,1,1,1
2000-08-04,1,1,1,1
2000-08-07,0.98,0.98,0.98,0.98
2000-08-08,0.96,0.96,0.96,0.96
2000-08-09,0.96,0.96,0.96,0.96
2000-08-10,0.96,0.96,0.96,0.96
2000-08-11,0.96,0.96,0.96,0.96
2000-08-14,0.94,0.94,0.94,0.94
2000-08-16,0.94,0.94,0.94,0.94
2000-08-17,0.94,0.94,0.94,0.94
2000-08-18,0.94,0.94,0.94,0.94
2000-08-21,0.9,0.9,0.9,0.9
2000-08-22,0.92,0.92,0.92,0.92
2000-08-23,0.94,0.94,0.94,0.94
