<TICKER>,<DATE>,<CLOSE>
SLV,2011-07-14,1.5165
SLV,2011-07-15,1.5418
SLV,2011-07-18,1.4885
SLV,2011-07-19,1.5278
SLV,2011-07-20,1.5165
SLV,2011-07-21,1.5138
SLV,2011-07-22,1.4464
SLV,2011-07-25,1.4379
SLV,2011-07-26,1.5165
SLV,2011-07-27,1.5165
SLV,2011-07-28,1.5165
SLV,2011-07-29,1.5165
SLV,2011-08-01,1.5278
SLV,2011-08-02,1.5447
SLV,2011-08-03,1.5165
SLV,2011-08-04,1.5138
SLV,2011-08-05,1.4323
SLV,2011-08-08,1.4042
SLV,2011-08-09,1.3705
SLV,2011-08-10,1.2666
SLV,2011-08-11,1.3312
SLV,2011-08-12,1.4042
SLV,2011-08-16,1.3986
SLV,2011-08-17,1.4042
SLV,2011-08-18,1.4604
SLV,2011-08-19,1.4604
SLV,2011-08-22,1.4604
SLV,2011-08-23,1.4857
SLV,2011-08-24,1.4801
SLV,2011-08-25,1.4323
SLV,2011-08-26,1.4828
SLV,2011-08-29,1.4716
SLV,2011-08-30,1.4828
SLV,2011-08-31,1.4801
SLV,2011-09-01,1.4828
SLV,2011-09-02,1.4828
SLV,2011-09-05,1.4828
SLV,2011-09-06,1.4828
SLV,2011-09-07,1.4042
SLV,2011-09-08,1.4042
SLV,2011-09-09,1.4042
SLV,2011-09-12,1.4885
SLV,2011-09-13,1.4828
SLV,2011-09-14,1.4801
SLV,2011-09-15,1.4801
SLV,2011-09-16,1.4716
SLV,2011-09-19,1.4716
SLV,2011-09-20,1.4716
SLV,2011-09-21,1.4716
SLV,2011-09-22,1.3902
SLV,2011-09-23,1.3762
SLV,2011-09-27,1.4828
SLV,2011-09-28,1.4828
SLV,2011-09-29,1.4828
SLV,2011-09-30,1.4744
SLV,2011-10-03,1.4828
SLV,2011-10-04,1.4828
SLV,2011-10-05,1.539
SLV,2011-10-06,1.5306
SLV,2011-10-07,1.539
SLV,2011-10-10,1.539
SLV,2011-10-11,1.539
SLV,2011-10-12,1.539
SLV,2011-10-13,1.5306
SLV,2011-10-14,1.5306
SLV,2011-10-17,1.5306
SLV,2011-10-18,1.5306
SLV,2011-10-19,1.5165
SLV,2011-10-20,1.5165
SLV,2011-10-21,1.5165
SLV,2011-10-24,1.5165
SLV,2011-10-25,1.5165
SLV,2011-10-26,1.5165
SLV,2011-10-27,1.5165
SLV,2011-10-28,1.5165
SLV,2011-10-31,1.525
SLV,2011-11-02,1.525
SLV,2011-11-03,1.525
SLV,2011-11-04,1.525
SLV,2011-11-07,1.525
SLV,2011-11-08,1.4604
SLV,2011-11-09,1.525
SLV,2011-11-10,1.525
SLV,2011-11-14,1.525
SLV,2011-11-15,1.525
SLV,2011-11-16,1.4885
SLV,2011-11-17,1.5278
SLV,2011-11-18,1.5306
SLV,2011-11-21,1.5306
SLV,2011-11-22,1.5306
SLV,2011-11-23,1.5306
SLV,2011-11-24,1.5165
SLV,2011-11-25,1.5165
SLV,2011-11-28,1.5165
SLV,2011-11-29,1.5165
SLV,2011-11-30,1.5165
SLV,2011-12-01,1.5138
SLV,2011-12-02,1.511
SLV,2011-12-05,1.511
SLV,2011-12-06,1.511
SLV,2011-12-07,1.511
SLV,2011-12-08,1.511
SLV,2011-12-09,1.511
SLV,2011-12-12,1.511
SLV,2011-12-13,1.511
SLV,2011-12-14,1.511
