<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2004-12-16,24,24.27,22.89,23.01
2004-12-17,22.17,22.47,20.25,20.52
2004-12-20,20.94,21.21,20.1,20.52
2004-12-21,20.37,20.52,19.98,19.98
2004-12-22,19.98,19.98,18.15,18.45
2004-12-23,17.88,18.57,16.77,18.45
2004-12-24,18.45,18.45,17.76,18.3
2004-12-27,18.15,18.87,18.15,18.72
2004-12-28,18.87,19.68,18.72,19.41
2004-12-29,19.68,19.68,18.99,19.26
2004-12-30,18.87,18.99,18.87,18.87
2004-12-31,18.87,19.14,18.45,18.45
2005-01-03,18.57,19.56,18.57,19.56
2005-01-04,19.68,19.98,19.26,19.68
2005-01-05,19.98,20.25,19.56,20.1
2005-01-06,20.25,20.25,19.26,19.98
2005-01-07,19.41,19.83,19.26,19.41
2005-01-10,19.26,19.26,19.14,19.14
2005-01-11,19.14,19.26,18.87,19.26
2005-01-12,18.87,18.87,18.45,18.87
2005-01-13,18.87,18.87,17.19,17.19
2005-01-14,18.03,18.72,17.76,18.57
2005-01-17,18.57,18.57,17.88,17.88
2005-01-18,18.57,18.57,18.3,18.3
2005-01-19,18.03,18.15,18.03,18.15
2005-01-20,18.03,18.03,18.03,18.03
2005-01-21,18.3,18.3,18.3,18.3
2005-01-25,17.46,18.15,17.46,17.76
2005-01-26,17.76,17.88,17.76,17.88
2005-01-27,18.03,18.3,18.03,18.3
2005-01-28,18.45,19.68,18.45,19.41
2005-01-31,19.41,19.68,19.14,19.41
2005-02-01,19.14,19.14,19.14,19.14
2005-02-02,18.87,19.41,18.87,19.14
2005-02-03,18.45,19.41,18.45,19.41
2005-02-04,19.14,19.14,19.14,19.14
2005-02-07,18.72,19.14,18.57,19.14
2005-02-08,18.45,19.68,18.45,19.68
2005-02-09,19.14,19.41,19.14,19.14
2005-02-10,18.45,18.99,18.3,18.99
2005-02-11,18.99,19.98,18.99,19.98
2005-02-14,20.37,21.63,20.37,20.94
2005-02-15,20.79,20.79,20.67,20.79
2005-02-16,20.67,20.79,20.67,20.79
2005-02-17,20.52,20.79,20.52,20.67
2005-02-18,21.06,21.9,20.79,21.06
2005-02-21,21.63,22.17,21.06,22.17
2005-02-22,21.9,22.32,21.9,22.17
2005-02-23,21.9,21.9,21.06,21.48
2005-02-24,21.36,21.36,20.79,20.79
2005-02-25,20.79,20.79,20.79,20.79
2005-02-28,20.79,20.79,20.52,20.52
2005-03-01,20.52,21.06,20.52,21.06
2005-03-02,21.48,21.48,21.06,21.36
2005-03-03,22.17,22.47,22.05,22.17
2005-03-04,22.17,22.32,22.17,22.17
2005-03-07,21.78,21.78,21.78,21.78
2005-03-08,21.78,21.78,21.78,21.78
2005-03-09,21.48,21.48,21.36,21.36
2005-03-10,20.94,21.63,20.94,21.36
2005-03-11,20.94,21.63,20.94,21.63
2005-03-14,21.63,21.78,21.63,21.78
2005-03-16,21.78,21.78,21.63,21.63
2005-03-17,21.06,21.06,21.06,21.06
2005-03-18,21.36,21.36,21.36,21.36
2005-03-21,21.36,22.47,21.36,22.47
2005-03-22,22.17,22.17,21.9,21.9
2005-03-23,21.9,22.47,21.63,22.17
2005-03-24,21.78,21.78,21.78,21.78
2005-03-29,22.32,23.01,22.32,22.89
2005-03-30,22.74,23.01,22.17,22.47
2005-03-31,22.47,22.47,22.05,22.17
2005-04-01,22.74,22.74,22.59,22.59
2005-04-04,22.74,22.74,21.9,21.9
2005-04-05,21.9,21.9,21.9,21.9
2005-04-07,21.9,21.9,21.9,21.9
2005-04-11,21.63,21.63,21.63,21.63
2005-04-12,20.94,20.94,20.79,20.79
2005-04-13,21.9,21.9,19.68,20.25
2005-04-14,20.94,22.17,20.94,21.9
2005-04-15,21.9,22.17,21.9,22.17
2005-04-18,20.94,22.17,20.79,22.17
2005-04-19,21.9,22.05,21.9,22.05
2005-04-20,21.21,22.89,21.21,22.89
2005-04-21,22.74,22.74,22.05,22.32
2005-04-22,22.59,22.59,22.17,22.17
2005-04-25,22.17,22.17,22.17,22.17
2005-04-26,22.59,22.74,22.59,22.74
2005-04-27,22.59,22.59,22.59,22.59
2005-04-28,22.59,22.59,22.59,22.59
2005-05-04,21.9,21.9,21.21,21.48
2005-05-05,21.63,21.9,21.63,21.9
2005-05-06,21.48,21.9,21.48,21.9
2005-05-10,20.25,21.48,19.98,21.48
2005-05-11,20.37,21.21,19.41,21.21
2005-05-12,20.67,21.36,20.67,21.36
2005-05-17,20.25,20.25,20.25,20.25
2005-05-18,21.21,21.21,20.37,20.94
2005-05-19,21.06,21.06,21.06,21.06
2005-05-20,20.94,20.94,20.79,20.94
2005-05-23,20.79,20.79,19.98,20.79
2005-05-30,20.79,21.36,20.79,21.36
2005-05-31,20.25,20.79,20.25,20.79
2005-06-01,20.79,20.94,20.79,20.94
2005-06-02,20.94,21.48,20.94,21.48
2005-06-03,21.48,21.78,21.48,21.48
2005-06-06,22.17,22.47,22.17,22.17
2005-06-07,22.05,22.47,22.05,22.17
2005-06-09,21.06,21.36,20.79,20.79
2005-06-13,21.06,21.06,20.79,20.79
2005-06-15,20.79,20.79,20.79,20.79
2005-06-16,21.48,21.63,21.48,21.63
2005-06-20,20.94,20.94,20.79,20.79
2005-06-21,20.94,20.94,20.94,20.94
2005-06-22,20.94,21.06,20.94,21.06
2005-06-23,21.06,21.06,20.79,20.79
2005-06-24,20.79,20.79,20.79,20.79
2005-06-27,20.79,20.79,20.79,20.79
2005-06-28,20.52,20.52,20.52,20.52
2005-06-29,21.21,21.21,20.25,20.25
2005-07-01,20.25,20.25,19.98,19.98
2005-07-04,21.63,21.63,21.63,21.63
2005-07-06,20.37,20.37,20.37,20.37
2005-07-07,20.25,20.52,19.98,20.52
2005-07-08,20.67,20.67,20.67,20.67
2005-07-11,19.98,20.79,19.98,20.79
2005-07-12,20.79,21.36,20.79,20.79
2005-07-13,21.06,21.36,21.06,21.36
2005-07-14,21.36,23.01,21.36,22.59
2005-07-15,22.32,22.59,22.17,22.17
2005-07-18,21.21,22.59,21.21,22.47
2005-07-20,23.16,23.58,23.01,23.28
2005-07-21,22.59,22.89,22.17,22.89
2005-07-22,21.9,22.74,21.36,22.17
2005-07-25,22.74,23.01,22.74,23.01
2005-07-26,23.01,23.16,23.01,23.16
2005-07-27,23.01,23.16,23.01,23.16
2005-07-28,23.16,23.16,22.17,22.17
2005-07-29,22.17,22.17,22.17,22.17
2005-08-02,22.89,23.16,22.89,23.16
2005-08-03,23.16,23.28,23.16,23.16
2005-08-04,23.16,23.16,23.16,23.16
2005-08-05,23.28,24.39,23.28,24.12
2005-08-08,24.54,24.81,24.54,24.81
2005-08-09,24.27,24.96,24.27,24.96
2005-08-10,24.96,24.96,24.27,24.27
2005-08-12,24.27,24.27,24.27,24.27
2005-08-16,24.27,24.27,24.27,24.27
2005-08-17,24.27,24.27,24.27,24.27
2005-08-18,24.27,24.27,24.27,24.27
2005-08-19,24.27,24.27,24.27,24.27
2005-08-22,24.27,24.27,24.27,24.27
2005-08-23,24.27,24.27,24.27,24.27
2005-08-25,23.58,23.58,23.28,23.28
2005-08-29,23.28,23.58,23.28,23.58
2005-08-30,23.58,24.27,23.58,23.85
2005-08-31,23.28,23.7,23.28,23.7
2005-09-01,23.58,23.58,23.28,23.28
2005-09-02,23.58,23.58,23.58,23.58
2005-09-05,23.58,23.58,23.58,23.58
2005-09-06,23.58,24.27,23.58,24.27
2005-09-07,24.54,24.96,24.54,24.54
2005-09-08,24.96,25.5,24.81,25.5
2005-09-09,25.11,25.5,25.11,25.23
2005-09-14,24.27,24.81,24.12,24.81
2005-09-15,24.81,25.11,24.81,24.96
2005-09-16,24.96,25.23,24.96,25.23
2005-09-19,25.5,26.34,24.96,26.34
2005-09-20,26.61,26.61,26.19,26.49
2005-09-21,26.34,26.49,26.07,26.49
2005-09-22,26.61,29.13,26.61,28.56
2005-09-23,27.87,28.56,27.87,28.56
2005-09-26,28.56,30.21,28.56,29.25
2005-09-27,28.83,28.83,28.71,28.83
2005-09-28,28.98,28.98,28.29,28.29
2005-09-30,28.29,28.83,28.29,28.83
2005-10-03,29.13,29.94,28.29,29.94
2005-10-04,30.21,30.21,29.4,29.4
2005-10-05,29.67,29.67,29.4,29.4
2005-10-06,28.29,29.67,28.29,29.13
2005-10-07,28.98,28.98,28.56,28.56
2005-10-10,28.56,28.56,28.29,28.29
2005-10-11,28.29,28.83,28.29,28.83
2005-10-12,28.83,28.83,28.83,28.83
2005-10-13,27.72,28.71,27.45,28.71
2005-10-14,28.41,28.41,27.72,28.41
2005-10-17,28.71,28.71,27.03,28.14
2005-10-18,27.72,28.14,26.61,26.76
2005-10-19,26.76,26.91,25.38,26.07
2005-10-20,26.49,28.71,24.69,24.69
2005-10-21,25.38,26.61,24.69,25.38
2005-10-24,25.23,26.76,25.23,26.76
2005-10-25,27.18,27.18,27.03,27.03
2005-10-26,27.18,27.18,25.92,27.03
2005-10-27,27.18,27.18,27.18,27.18
2005-10-28,27.03,27.03,25.92,26.76
2005-10-31,26.76,27.03,25.5,25.8
2005-11-02,26.76,26.76,24.96,24.96
2005-11-03,25.65,27.03,25.65,25.8
2005-11-04,26.49,26.49,25.11,26.34
2005-11-07,26.34,26.34,26.34,26.34
2005-11-08,26.34,26.34,25.11,25.11
2005-11-09,25.5,25.5,24.39,24.69
2005-11-10,25.92,25.92,25.23,25.23
2005-11-14,25.23,25.23,25.23,25.23
2005-11-15,25.5,25.5,25.5,25.5
2005-11-16,25.5,25.5,24.69,25.5
2005-11-17,25.5,25.5,24.39,25.5
2005-11-18,24.39,24.39,24.39,24.39
2005-11-21,24.96,24.96,24.96,24.96
2005-11-22,24.96,24.96,24.96,24.96
2005-11-23,24.96,24.96,23.85,24.54
2005-11-24,24.96,24.96,24.39,24.39
2005-11-25,25.5,25.5,23.85,23.85
2005-11-28,23.28,23.58,23.28,23.58
2005-11-29,24.12,25.11,24.12,24.81
2005-11-30,24.96,25.38,24.96,25.38
2005-12-01,25.5,26.07,25.23,26.07
2005-12-02,26.07,26.07,25.23,25.92
2005-12-05,26.07,26.07,25.23,25.23
2005-12-06,24.69,24.69,24.69,24.69
2005-12-07,25.23,25.23,25.23,25.23
2005-12-08,24.96,24.96,24.69,24.69
2005-12-09,25.5,25.5,25.5,25.5
2005-12-12,25.5,25.5,25.5,25.5
2005-12-13,25.5,25.5,24.69,24.69
2005-12-14,25.11,25.11,25.11,25.11
2005-12-15,25.11,25.23,24.69,25.23
2005-12-16,25.23,25.23,24.39,25.23
2005-12-19,25.23,25.23,24.39,24.39
2005-12-21,25.23,25.23,25.23,25.23
2005-12-22,25.23,25.23,25.23,25.23
2005-12-23,25.23,25.23,25.23,25.23
2005-12-27,25.23,25.23,25.23,25.23
2005-12-28,25.23,25.23,25.23,25.23
2005-12-29,24.39,24.39,24.12,24.39
2005-12-30,24.96,24.96,24.96,24.96
2006-01-02,24.27,24.27,23.58,23.58
2006-01-03,26.07,27.72,24.69,25.23
2006-01-04,25.23,25.23,24.96,24.96
2006-01-05,24.96,24.96,24.39,24.39
2006-01-06,24.39,24.96,24.39,24.96
