<TICKER>,<DATE>,<CLOSE>
SME,1998-11-04,1.5566
SME,1998-11-05,2.0007
SME,1998-11-06,1.9567
SME,1998-11-09,1.6006
SME,1998-11-10,1.6686
SME,1998-11-12,1.6446
SME,1998-11-16,1.6006
SME,1998-11-17,1.6006
SME,1998-11-19,1.5566
SME,1998-11-20,1.3326
SME,1998-11-23,1.3326
SME,1998-11-24,1.3326
SME,1998-11-26,1.2885
SME,1998-11-27,1.3326
SME,1998-11-30,1.2685
SME,1998-12-03,1.2685
SME,1998-12-08,1.2005
SME,1998-12-09,1.6446
SME,1998-12-10,1.0244
SME,1998-12-11,1.0244
SME,1998-12-17,1.1124
SME,1998-12-18,1.1124
SME,1998-12-22,1.1564
SME,1998-12-23,1.1365
SME,1998-12-29,1.1564
SME,1998-12-31,1.2005
SME,1999-01-05,1.0684
SME,1999-01-07,1.1124
SME,1999-01-08,1.3285
SME,1999-01-11,1.2044
SME,1999-01-12,1.4446
SME,1999-01-15,1.4686
SME,1999-01-18,1.4966
SME,1999-01-19,1.5526
SME,1999-01-20,1.6887
SME,1999-01-21,1.7768
SME,1999-01-25,1.6887
SME,1999-01-26,1.7327
SME,1999-01-29,1.5166
SME,1999-02-02,1.7327
SME,1999-02-04,1.7125
SME,1999-02-08,1.6887
SME,1999-02-10,1.6887
SME,1999-02-11,1.6887
SME,1999-02-12,1.7125
SME,1999-02-16,1.6887
SME,1999-02-17,1.6887
SME,1999-02-18,1.5366
SME,1999-02-22,1.6966
SME,1999-02-26,1.7047
SME,1999-03-01,1.7125
SME,1999-03-02,1.7125
SME,1999-03-03,1.7125
SME,1999-03-04,1.6927
SME,1999-03-10,1.7125
SME,1999-03-11,1.6446
SME,1999-03-12,1.6446
SME,1999-03-15,1.7086
SME,1999-03-16,1.6247
SME,1999-03-19,1.6286
SME,1999-03-22,1.6446
SME,1999-03-23,1.6446
SME,1999-03-24,1.6446
SME,1999-03-30,1.5566
SME,1999-03-31,1.5566
SME,1999-04-01,1.5566
SME,1999-04-07,1.5325
SME,1999-04-12,1.6446
SME,1999-04-13,1.6446
SME,1999-04-14,1.6887
SME,1999-04-15,1.6887
SME,1999-04-16,1.7768
