<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-01-16,3.0158,3.0158,3.0158,3.0158
1997-01-17,3.29,3.29,3.29,3.29
1997-01-20,3.1257,3.1257,3.1257,3.1257
1997-01-21,3.0158,3.0158,3.0158,3.0158
1997-01-22,3.0431,3.0431,3.0431,3.0431
1997-01-23,3.1257,3.1257,3.1257,3.1257
1997-01-24,3.1257,3.1257,3.1257,3.1257
1997-01-27,3.1257,3.1257,3.1257,3.1257
1997-01-28,3.0705,3.0705,3.0705,3.0705
1997-01-29,2.9608,2.9608,2.9608,2.9608
1997-01-30,2.9335,2.9335,2.9335,2.9335
1997-01-31,2.9061,2.9061,2.9061,2.9061
1997-02-03,3.0158,3.0158,3.0158,3.0158
1997-02-04,3.0705,3.0705,3.0705,3.0705
1997-02-05,3.0158,3.0158,3.0158,3.0158
1997-02-06,3.0978,3.0978,3.0978,3.0978
1997-02-07,3.1529,3.1529,3.1529,3.1529
1997-02-10,3.1803,3.1803,3.1803,3.1803
1997-02-11,3.1803,3.1803,3.1803,3.1803
1997-02-12,3.2628,3.2628,3.2628,3.2628
1997-02-13,3.3173,3.3173,3.3173,3.3173
1997-02-14,3.4818,3.4818,3.4818,3.4818
1997-02-17,3.5089,3.5089,3.5089,3.5089
1997-02-18,3.7559,3.7559,3.7559,3.7559
1997-02-19,3.7836,3.7836,3.7836,3.7836
1997-02-20,3.5642,3.5642,3.5642,3.5642
1997-02-21,3.5916,3.5916,3.5916,3.5916
1997-02-24,3.4818,3.4818,3.4818,3.4818
1997-02-25,3.427,3.427,3.427,3.427
1997-02-26,3.4818,3.4818,3.4818,3.4818
1997-02-27,3.3447,3.3447,3.3447,3.3447
1997-02-28,3.3998,3.3998,3.3998,3.3998
1997-03-03,3.3998,3.3998,3.3998,3.3998
1997-03-04,3.3998,3.3998,3.3998,3.3998
1997-03-05,3.427,3.427,3.427,3.427
1997-03-06,3.5369,3.5369,3.5369,3.5369
1997-03-07,3.6187,3.6187,3.6187,3.6187
1997-03-10,3.5089,3.5089,3.5089,3.5089
1997-03-11,3.427,3.427,3.427,3.427
1997-03-12,3.3718,3.3718,3.3718,3.3718
1997-03-13,3.3447,3.3447,3.3447,3.3447
1997-03-14,3.2628,3.2628,3.2628,3.2628
