<DATE>,<CLOSE>
2011-09-29,4.0108
2011-09-30,3.0672
2011-10-03,2.674
2011-10-04,2.3592
2011-10-05,3.539
2011-10-06,3.6176
2011-10-07,3.539
2011-10-10,2.5952
2011-10-11,3.0672
2011-10-12,2.5952
2011-10-13,2.5952
2011-10-14,2.7526
2011-10-17,2.3592
2011-10-18,2.438
2011-10-19,2.7526
2011-10-20,2.3592
2011-10-21,2.0446
2011-10-24,2.3592
2011-10-25,2.202
2011-10-26,1.966
2011-10-27,1.8875
2011-10-28,2.202
2011-10-31,2.0446
2011-11-02,2.0446
2011-11-04,1.8875
2011-11-07,1.8875
2011-11-08,2.0446
2011-11-09,1.966
2011-11-10,2.0446
2011-11-14,2.1234
2011-11-15,2.2806
2011-11-16,2.2806
2011-11-17,2.1234
2011-11-21,2.1234
2011-11-22,2.1234
2011-11-23,2.1234
2011-11-24,2.1234
2011-11-25,2.0446
2011-11-28,2.0446
2011-11-29,1.966
2011-11-30,1.5729
2011-12-01,1.7302
2011-12-02,1.966
2011-12-05,1.966
2011-12-13,2.2806
2011-12-15,1.8875
2011-12-16,2.0446
2011-12-21,2.0446
2011-12-22,1.966
2011-12-23,2.0446
2011-12-27,1.966
2011-12-30,2.0446
2012-01-03,2.1234
2012-01-10,2.0446
2012-01-16,2.1234
2012-01-19,2.0446
2012-01-23,2.1234
2012-01-25,1.8088
2012-01-26,2.0446
2012-01-30,1.8088
2012-01-31,1.8088
2012-02-01,1.966
2012-02-02,1.8088
2012-02-06,1.966
2012-02-17,1.966
2012-02-29,1.6515
2012-03-01,1.8875
2012-03-05,1.6515
2012-03-06,1.5729
2012-03-07,1.3369
2012-03-08,1.3369
2012-03-13,1.6515
2012-03-14,1.6515
2012-03-20,1.6515
2012-03-22,1.6515
2012-03-27,1.5729
2012-04-03,1.4942
2012-04-12,1.3369
2012-04-13,1.4942
2012-04-20,1.5729
2012-05-10,1.5729
2012-05-15,1.5729
2012-05-23,1.4156
2012-06-06,1.4156
2012-06-28,1.5729
2012-06-29,1.6515
2012-07-02,1.8088
2012-07-03,1.4942
2012-07-04,1.7302
2012-07-05,2.0446
2012-07-06,2.8312
2012-07-11,2.674
2012-07-12,2.3592
2012-07-13,2.5166
2012-07-16,2.3592
2012-07-17,2.3592
2012-07-19,2.3592
2012-07-24,2.1234
2012-07-25,2.2806
2012-07-30,2.3592
2012-08-02,2.438
2012-08-06,2.202
2012-08-09,2.2806
2012-08-10,2.1234
2012-08-27,2.3592
2012-09-07,2.2806
2012-09-12,2.202
2012-09-13,2.3592
2012-09-19,2.3592
2012-09-25,1.966
2012-09-28,1.966
2012-10-01,1.966
2012-10-02,1.5729
2012-10-03,1.7302
2012-10-09,1.4942
2012-10-10,1.6515
2012-10-11,1.7302
2012-10-12,1.7302
2012-10-15,1.7302
2012-10-16,1.8088
2012-10-17,1.7302
2012-10-18,1.8875
2012-10-19,1.8875
2012-10-22,1.8875
2012-10-23,1.966
2012-10-25,2.0446
2012-10-26,1.8875
2012-10-29,1.8088
2012-10-30,1.8875
2012-10-31,1.8875
2012-11-02,1.8875
2012-11-06,1.8875
2012-11-07,1.966
2012-11-08,1.966
2012-11-09,1.7302
2012-11-13,1.7302
2012-11-14,1.8088
2012-11-16,1.8088
2012-11-19,1.6515
2012-11-20,1.5729
2012-11-22,1.6515
2012-11-23,1.6515
2012-11-29,1.6515
2012-11-30,1.6515
2012-12-03,1.4942
2012-12-04,1.5729
2012-12-05,1.4942
2012-12-06,1.4156
2012-12-10,1.5729
2012-12-11,1.5729
2012-12-12,1.7302
2012-12-13,1.6515
2012-12-14,1.6515
2012-12-17,1.5729
2012-12-18,1.7302
2012-12-19,1.8088
2012-12-20,1.8088
2012-12-21,1.8875
2012-12-28,1.8875
2013-01-02,2.202
2013-01-03,1.966
2013-01-04,1.8875
2013-01-07,1.8875
2013-01-08,1.8875
2013-01-09,2.202
2013-01-10,2.202
2013-01-11,2.1234
2013-01-14,2.202
2013-01-15,2.1234
2013-01-16,2.1234
2013-01-17,2.202
2013-01-18,2.202
2013-01-22,2.1234
2013-01-23,2.1234
2013-01-24,2.1234
2013-01-25,2.202
2013-01-28,2.202
2013-01-29,2.202
2013-01-30,2.202
2013-02-04,2.202
2013-02-08,2.0446
2013-02-11,2.1234
2013-02-12,2.1234
2013-02-13,2.0446
2013-02-14,1.966
2013-02-15,1.966
2013-02-19,1.966
2013-02-20,1.966
2013-02-21,1.8875
2013-02-22,2.0446
2013-02-25,2.0446
2013-03-01,2.1234
2013-03-04,2.1234
2013-03-05,2.202
2013-03-06,2.1234
2013-03-07,2.0446
2013-03-08,2.1234
2013-03-12,2.0446
2013-03-13,2.0446
2013-03-14,2.0446
2013-03-15,2.202
2013-03-18,2.202
2013-03-19,2.1234
2013-03-20,2.0446
2013-03-21,1.966
2013-03-22,2.1234
2013-03-25,2.1234
2013-03-26,1.8875
2013-03-27,1.8875
2013-03-28,1.8875
2013-04-08,1.966
2013-04-10,2.1234
2013-04-17,2.1234
2013-04-22,2.0446
2013-04-25,2.0446
2013-05-06,2.0446
2013-05-07,2.0446
2013-05-08,1.966
2013-05-09,1.966
2013-05-10,1.966
2013-05-13,1.966
2013-05-14,1.8088
2013-05-16,1.6515
2013-05-17,1.7302
2013-06-05,1.7302
2013-06-06,1.8088
2013-06-13,1.8088
2013-06-14,1.8088
2013-06-17,1.8875
2013-06-24,1.8875
2013-06-28,1.966
2013-07-01,1.8088
2013-07-05,1.7302
2013-07-08,1.8088
2013-07-16,1.7302
2013-07-18,1.7302
2013-07-22,1.7302
2013-07-23,1.7302
2013-08-01,1.6515
2013-08-05,1.8088
2013-08-08,1.8088
2013-08-09,1.8088
2013-08-14,1.7302
2013-08-19,1.7302
2013-08-21,1.8088
2013-08-23,1.7302
2013-08-28,1.6515
2013-08-30,1.8088
2013-09-02,1.8088
2013-09-03,1.966
2013-09-09,1.966
2013-09-13,1.8088
2013-09-19,1.7302
2013-10-04,1.7302
2013-10-15,1.6515
2013-10-23,1.6515
2013-10-24,1.5729
2013-10-30,1.4156
2013-11-04,1.4942
2013-11-08,1.4156
2013-11-12,1.4156
2013-11-13,1.4942
2013-11-19,1.4156
2013-11-21,1.4156
2013-11-22,1.4156
2013-11-26,1.4156
2013-12-02,1.4942
2013-12-09,1.4942
2013-12-12,1.4942
2013-12-18,1.4942
2013-12-19,1.4942
2013-12-27,1.4942
2013-12-30,1.5729
2014-01-07,1.6515
2014-01-08,1.5729
2014-01-09,1.7302
2014-01-22,1.7302
2014-02-04,1.5729
2014-02-05,1.4942
2014-02-10,1.4942
