<DATE>,<CLOSE>
2008-06-23,4.575
2008-06-24,4.6315
2008-06-25,4.6814
2008-06-27,4.575
2008-07-01,4.3869
2008-07-02,4.3869
2008-07-03,4.293
2008-07-07,4.3243
2008-07-08,4.6001
2008-07-09,4.5061
2008-07-11,4.481
2008-07-15,4.2618
2008-07-16,4.2618
2008-07-22,4.5061
2008-07-24,4.9511
2008-07-25,4.7128
2008-07-29,4.7128
2008-07-30,4.2618
2008-07-31,4.6126
2008-08-05,4.4496
2008-08-11,4.4935
2008-08-12,4.6315
2008-08-18,4.4496
2008-08-20,4.4496
2008-08-22,4.6252
2008-08-25,4.6252
2008-08-29,4.7128
2008-09-02,4.7128
2008-09-05,4.6942
2008-09-08,4.6001
2008-09-09,4.6001
2008-09-12,4.4183
2008-09-15,4.5123
2008-09-16,4.5123
2008-09-17,4.3869
2008-09-18,4.2992
2008-09-19,4.2115
2008-09-22,4.2992
2008-09-23,4.2992
2008-09-25,4.2053
2008-09-30,4.5061
2008-10-02,4.293
2008-10-03,4.1425
2008-10-06,4.0925
2008-10-08,3.9295
2008-10-10,3.7414
2008-10-13,3.6725
2008-10-14,3.6162
2008-10-16,3.4532
2008-10-17,3.3028
2008-10-23,3.0459
2008-10-27,3.071
2008-10-29,2.8515
2008-10-31,3.2588
2008-11-03,3.8855
2008-11-04,3.6975
2008-11-05,3.7728
2008-11-07,4.0674
2008-11-10,3.6663
2008-11-12,3.9169
2008-11-13,3.8795
2008-11-19,3.7602
2008-11-24,3.6035
2008-11-25,3.3215
2008-11-27,3.1334
2008-11-28,3.6035
2008-12-02,3.5096
2008-12-05,3.1586
2008-12-08,3.1586
2008-12-10,3.1837
2008-12-11,3.0083
2008-12-15,2.9454
2008-12-23,2.8202
2008-12-29,2.8452
2009-01-05,2.5694
2009-01-06,2.5758
2009-01-07,2.5444
2009-01-09,2.5444
2009-01-12,2.4128
2009-01-13,2.6322
2009-01-15,2.5694
2009-01-16,2.4441
2009-01-19,2.6322
2009-01-20,2.6948
2009-01-21,2.6948
2009-01-23,2.6948
2009-01-26,2.5068
2009-02-03,2.6948
2009-02-05,2.4253
2009-02-10,2.4253
2009-02-23,2.5694
2009-02-26,2.5068
2009-02-27,2.3314
2009-03-03,2.5633
2009-03-04,2.3501
2009-03-05,2.4066
2009-03-12,2.1935
2009-03-16,2.3124
2009-03-18,2.1559
2009-03-19,2.1559
2009-03-23,2.0493
2009-03-24,1.9553
2009-03-25,1.9615
2009-03-26,1.974
2009-03-27,2.0493
2009-03-30,1.9553
2009-03-31,1.9553
2009-04-01,1.8487
2009-04-02,1.8487
2009-04-03,1.8487
2009-04-06,1.8802
2009-04-07,1.8802
2009-04-08,1.949
2009-04-09,1.9992
2009-04-14,2.0493
2009-04-15,2.2873
2009-04-16,2.3
2009-04-17,2.1935
2009-04-20,2.1306
2009-04-21,2.1306
2009-04-22,2.1244
2009-04-23,2.0681
2009-04-24,1.9929
2009-04-27,2.0054
2009-04-28,2.0242
2009-04-29,1.974
2009-04-30,1.9615
2009-05-04,1.9992
2009-05-05,1.8802
2009-05-06,1.924
2009-05-07,1.924
2009-05-08,2.0054
2009-05-11,1.9176
2009-05-12,2.0054
2009-05-13,2.0493
2009-05-14,2.2061
2009-05-15,2.0242
2009-05-18,2.0368
2009-05-19,2.0242
2009-05-20,2.0242
2009-05-21,2.0054
2009-05-22,1.974
2009-05-25,1.9428
2009-05-26,1.974
2009-05-27,2.018
2009-05-29,1.974
2009-06-01,1.9867
2009-06-02,1.949
2009-06-03,1.9302
2009-06-04,1.9428
2009-06-05,1.9428
2009-06-08,1.924
2009-06-09,1.9679
2009-06-10,1.9679
2009-06-15,1.9051
2009-06-19,1.9428
2009-06-22,1.8802
2009-06-23,1.9553
2009-06-24,1.9615
2009-06-25,1.9615
2009-06-29,1.9679
2009-06-30,2.0681
2009-07-01,2.0681
2009-07-02,2.1872
2009-07-03,2.2937
2009-07-06,2.1935
2009-07-07,2.2185
2009-07-08,2.1621
2009-07-09,2.1935
2009-07-10,2.0807
2009-07-13,2.1182
2009-07-14,2.0681
2009-07-15,2.1182
2009-07-16,2.1809
2009-07-17,2.1684
2009-07-20,2.1559
2009-07-21,2.1621
2009-07-22,2.1559
2009-07-23,2.1559
2009-07-24,2.1872
2009-07-27,2.2124
2009-07-28,2.1997
2009-07-30,2.7639
2009-07-31,3.002
2009-08-03,2.983
2009-08-04,2.8892
2009-08-05,2.9643
2009-08-06,3.2464
2009-08-07,3.2277
2009-08-10,3.2149
2009-08-11,3.2025
2009-08-12,3.1962
2009-08-13,3.3653
2009-08-14,3.3529
2009-08-17,3.2025
2009-08-18,3.1962
2009-08-19,3.1774
2009-08-20,3.1334
2009-08-21,3.2277
2009-08-24,3.2149
2009-08-25,3.2277
2009-08-26,3.3215
2009-08-27,3.2277
2009-08-28,3.5096
2009-08-31,3.4469
2009-09-01,3.3843
2009-09-02,3.403
2009-09-03,3.3215
2009-09-04,3.2086
2009-09-07,3.2901
2009-09-08,3.1334
2009-09-09,3.071
2009-09-10,3.071
2009-09-14,3.071
2009-09-15,3.1774
2009-09-16,3.403
2009-09-17,3.3653
2009-09-18,3.4469
2009-09-21,3.635
2009-09-22,3.7602
2009-09-23,3.8543
2009-09-24,3.8479
2009-09-25,3.7602
2009-09-28,3.6099
2009-09-29,3.4469
2009-09-30,3.729
2009-10-01,3.6975
2009-10-08,3.6975
2009-10-09,3.6975
2009-10-12,3.5096
2009-10-13,3.5721
2009-10-14,3.5096
2009-10-15,3.5096
2009-10-16,3.5096
2009-10-19,3.2588
2009-10-20,3.2588
2009-10-21,3.3215
2009-10-28,3.2588
2009-10-30,3.146
2009-11-02,3.146
2009-11-04,3.2525
2009-11-06,3.2588
2009-11-09,3.2588
2009-11-10,3.4469
2009-11-12,3.4532
2009-11-13,3.4532
2009-11-16,3.3969
2009-11-17,3.4469
2009-11-19,3.4407
2009-11-20,3.2588
2009-11-23,3.3778
2009-11-24,3.3529
2009-11-25,3.3778
2009-11-27,3.3778
2009-11-30,3.4469
2009-12-02,3.5784
2009-12-03,3.5784
2009-12-04,3.5096
2009-12-07,3.5096
2009-12-10,3.5974
2009-12-14,3.5096
2009-12-16,3.5096
2009-12-17,3.5096
2009-12-18,3.3906
2009-12-21,3.3969
2009-12-22,3.4093
2009-12-28,3.4093
2009-12-29,3.4469
2009-12-30,3.5847
2010-01-04,3.5096
2010-01-05,3.566
2010-01-06,3.5096
2010-01-07,3.5535
2010-01-08,3.5597
2010-01-11,3.6287
2010-01-12,3.6287
2010-01-15,3.635
2010-01-18,3.8855
2010-01-19,3.8795
2010-01-20,3.8855
2010-01-21,3.8543
2010-01-22,3.8795
2010-01-27,3.9107
2010-01-28,3.9107
2010-01-29,3.9137
2010-02-01,3.6537
2010-02-02,3.6725
2010-02-10,3.729
2010-02-15,3.7477
2010-02-16,3.7602
2010-02-17,3.8919
2010-02-18,3.8855
2010-02-19,3.8855
2010-02-22,3.9169
2010-02-23,3.9484
2010-02-24,3.6975
2010-02-25,3.6975
2010-02-26,3.8855
2010-03-01,3.9985
2010-03-03,3.8855
2010-03-04,3.7602
2010-03-05,3.9044
2010-03-08,3.7602
2010-03-09,3.9169
2010-03-10,3.9358
2010-03-11,4.0108
2010-03-12,4.0736
2010-03-15,3.9484
2010-03-16,4.1552
2010-03-17,4.293
2010-03-18,4.3493
2010-03-19,4.4496
2010-03-22,4.4496
2010-03-24,4.4433
2010-03-25,4.5123
2010-03-26,4.669
2010-03-29,4.669
2010-03-30,4.669
2010-03-31,4.6723
2010-04-01,4.7004
2010-04-06,4.7254
2010-04-07,4.7004
2010-04-08,4.669
2010-04-09,4.7505
2010-04-12,4.7505
2010-04-13,5.0764
2010-04-14,5.139
2010-04-15,5.139
2010-04-16,5.5149
2010-04-19,5.6404
2010-04-20,5.327
2010-04-21,5.1704
2010-04-26,5.6277
2010-04-27,5.3333
2010-04-28,5.327
2010-04-29,5.1453
2010-05-04,4.8884
2010-05-05,4.6252
2010-05-06,4.3869
2010-05-07,4.3557
2010-05-10,4.7004
2010-05-13,4.976
2010-05-14,4.6377
2010-05-17,4.7944
2010-05-18,4.7629
2010-05-20,4.7379
2010-05-21,4.7067
2010-05-24,4.619
2010-05-25,4.8132
2010-05-26,4.7944
2010-05-27,4.8256
2010-05-28,4.6564
2010-05-31,4.5383
2010-06-01,4.1989
2010-06-02,4.2491
2010-06-04,4.1364
2010-06-07,4.2554
2010-06-08,4.2618
2010-06-09,4.2618
2010-06-10,4.3243
2010-06-11,4.3869
2010-06-14,4.3869
2010-06-15,4.5436
2010-06-16,4.481
2010-06-17,4.481
2010-06-18,4.4872
2010-06-21,4.5562
2010-06-22,4.5562
2010-06-23,4.5375
2010-06-24,4.5499
2010-06-25,4.5575
2010-06-28,4.5319
2010-06-29,4.362
2010-06-30,4.2621
2010-07-01,4.2642
2010-07-02,4.5383
2010-07-05,4.5128
2010-07-06,4.4746
2010-07-08,4.3407
2010-07-12,4.481
2010-07-14,4.6275
2010-07-15,4.6275
2010-07-19,4.3407
2010-07-22,4.3407
2010-07-23,4.347
2010-07-26,4.4619
2010-07-27,4.4619
2010-07-29,4.4491
2010-07-30,4.4299
2010-08-02,4.379
2010-08-03,4.3344
2010-08-04,4.3918
2010-08-06,4.4236
2010-08-16,4.4171
2010-08-17,4.1686
2010-08-18,4.1686
2010-08-19,4.1686
2010-08-20,4.2579
2010-08-24,4.2705
2010-08-25,4.277
2010-08-26,4.1559
2010-08-27,4.1559
2010-08-30,4.003
2010-08-31,4.142
2010-09-01,4.1432
2010-09-02,4.2197
2010-09-06,4.1943
2010-09-07,4.0793
2010-09-08,4.073
2010-09-09,4.0539
2010-09-10,3.92
2010-09-13,3.9837
2010-09-14,4.1432
2010-09-15,4.2834
2010-09-16,4.277
2010-09-17,4.2642
2010-09-20,4.2451
2010-09-21,4.3026
2010-09-22,4.3026
2010-09-23,4.1559
2010-09-24,4.3216
2010-09-27,4.347
2010-09-30,4.3026
2010-10-01,4.2962
2010-10-04,4.2962
2010-10-05,4.2962
2010-10-06,4.2898
2010-10-11,4.0665
2010-10-12,4.2451
2010-10-13,4.3853
2010-10-14,4.4363
2010-10-15,4.4363
2010-10-18,4.4363
2010-10-19,4.3089
2010-10-20,4.2068
2010-10-22,4.1432
2010-10-25,4.1432
2010-10-27,4.1814
2010-10-29,4.2687
2010-11-02,4.3153
2010-11-04,4.2898
2010-11-05,4.3026
2010-11-08,4.3026
2010-11-09,4.2962
2010-11-10,4.4556
2010-11-12,4.4746
2010-11-15,4.5256
2010-11-16,4.5256
2010-11-17,4.5892
2010-11-18,4.6402
2010-11-19,4.6402
2010-11-26,4.6022
2010-12-01,4.6468
2010-12-03,4.4363
2010-12-06,4.4299
2010-12-07,4.4619
2010-12-08,4.5892
2010-12-09,4.5892
2010-12-14,4.6468
2010-12-22,4.7805
2010-12-23,4.7169
2010-12-28,4.7488
2010-12-29,4.8424
2010-12-30,4.869
2010-12-31,4.909
2011-01-03,4.9143
2011-01-04,4.9399
2011-01-05,4.7805
2011-01-11,4.7805
2011-01-14,4.7169
2011-01-17,4.653
2011-01-19,4.653
2011-01-24,4.653
2011-01-25,4.7169
2011-01-26,4.7169
2011-01-27,4.7805
2011-01-28,4.7488
2011-01-31,4.749
2011-02-01,4.7805
2011-02-02,4.7805
2011-02-03,4.7805
2011-02-04,4.7741
2011-02-07,4.7741
2011-02-08,4.7805
2011-02-09,4.7805
2011-02-10,4.7805
2011-02-11,4.5892
2011-02-14,4.5319
2011-02-15,4.5256
2011-02-16,4.4937
2011-02-17,4.3661
2011-02-18,4.3982
2011-02-21,4.7423
2011-02-28,4.5956
2011-03-09,4.4299
2011-03-10,4.5256
2011-03-11,4.5256
2011-03-15,4.3982
2011-03-16,4.5766
2011-03-17,4.5555
2011-03-18,4.5575
2011-03-21,4.6849
2011-03-23,4.8252
2011-03-24,4.7996
2011-03-25,4.7488
2011-03-28,4.7551
2011-03-30,4.7423
2011-03-31,4.6423
2011-04-01,4.7232
2011-04-04,4.6912
2011-04-05,4.6556
2011-04-06,4.6595
2011-04-08,4.7423
