<DATE>,<CLOSE>
2005-11-24,5.872
2005-11-25,5.8801
2005-11-28,5.8143
2005-11-29,5.8391
2005-11-30,5.8225
2005-12-01,5.7981
2005-12-02,5.7732
2005-12-05,5.7323
2005-12-06,5.6831
2005-12-07,5.675
2005-12-08,5.6911
2005-12-09,5.716
2005-12-12,5.5598
2005-12-13,5.5269
2005-12-14,5.3955
2005-12-15,5.4201
2005-12-16,5.4201
2005-12-19,5.6255
2005-12-20,5.5434
2005-12-21,5.6174
2005-12-22,5.5598
2005-12-23,5.5352
2005-12-27,5.5762
2005-12-28,5.634
2006-01-03,5.6009
2006-01-04,5.5598
2006-01-05,5.5105
2006-01-06,5.5682
2006-01-09,5.5518
2006-01-10,5.5762
2006-01-11,5.6419
2006-01-12,5.716
2006-01-13,5.6995
2006-01-16,5.716
2006-01-17,5.7981
2006-01-18,5.8225
2006-01-19,5.8143
2006-01-20,5.7898
2006-01-23,5.8064
2006-01-24,5.7981
2006-01-25,5.7898
2006-01-26,5.8064
2006-01-27,5.8309
2006-01-30,5.8309
2006-01-31,5.9376
2006-02-01,5.9622
2006-02-02,6.0444
2006-02-03,6.0526
2006-02-06,5.995
2006-02-07,6.0608
2006-02-08,6.0936
2006-02-09,6.0444
2006-02-10,6.0444
2006-02-13,6.1182
2006-02-14,6.1265
2006-02-15,6.1265
2006-02-16,6.1759
2006-02-17,6.184
2006-02-20,6.2497
2006-02-21,6.3317
2006-02-22,6.4222
2006-02-23,6.3236
2006-02-24,6.3317
2006-02-27,6.373
2006-02-28,6.373
2006-03-01,6.3894
2006-03-02,6.3645
2006-03-06,6.5372
2006-03-07,6.6768
2006-03-08,6.8328
2006-03-09,6.6603
2006-03-10,6.6848
2006-03-13,6.7426
2006-03-14,6.6521
2006-03-15,6.6275
2006-03-16,6.6439
2006-03-17,6.6275
2006-03-20,6.6439
2006-03-21,6.6768
2006-03-22,6.6275
2006-03-23,6.5946
2006-03-24,6.5782
2006-03-27,6.6932
2006-03-28,6.6603
2006-03-29,6.7178
2006-03-30,6.7178
2006-03-31,6.6932
2006-04-03,6.726
2006-04-04,6.8328
2006-04-05,6.8492
2006-04-06,6.9725
2006-04-07,7.0217
2006-04-10,7.1776
2006-04-11,7.2518
2006-04-12,7.2434
2006-04-13,7.2025
2006-04-14,7.2518
2006-04-17,7.112
2006-04-18,7.0711
2006-04-19,6.997
2006-04-20,6.956
2006-04-21,6.9725
2006-04-25,6.9725
2006-04-26,7.0299
2006-04-27,7.0381
2006-04-28,6.9888
2006-05-02,6.9067
2006-05-03,6.8574
2006-05-04,6.8164
2006-05-05,6.841
2006-05-08,6.8492
2006-05-09,6.9642
2006-05-10,6.997
2006-05-11,7.0381
2006-05-12,7.0874
2006-05-15,7.1695
2006-05-16,7.112
2006-05-17,7.2353
2006-05-18,7.2434
2006-05-19,7.194
2006-05-22,7.1695
2006-05-23,7.0545
2006-05-25,6.9888
2006-05-26,6.9395
2006-05-29,6.9642
2006-05-30,6.7754
2006-05-31,7.0381
2006-06-01,7.0381
2006-06-02,7.1368
2006-06-05,7.186
2006-06-06,7.2353
2006-06-07,7.194
2006-06-08,7.1284
2006-06-09,7.1284
2006-06-12,7.194
2006-06-13,7.2598
2006-06-14,7.301
2006-06-15,7.375
2006-06-16,7.375
2006-06-19,7.3666
2006-06-20,7.3257
2006-06-21,7.3338
2006-06-22,7.375
2006-06-23,7.4077
2006-06-26,7.4406
2006-06-27,7.3994
2006-06-28,7.3829
2006-06-29,7.457
2006-06-30,7.3174
2006-07-03,7.35
2006-07-04,7.2927
2006-07-05,7.3584
2006-07-06,7.301
2006-07-07,7.301
2006-07-10,7.3829
2006-07-11,7.3174
2006-07-12,7.3421
2006-07-13,7.3257
2006-07-14,7.2927
2006-07-17,7.3584
2006-07-18,7.3584
2006-07-19,7.2188
2006-07-20,7.4322
2006-07-21,7.7937
2006-07-24,7.9087
2006-07-25,7.9252
2006-07-26,7.8922
2006-07-27,7.7854
2006-07-28,7.8841
2006-07-31,7.7937
2006-08-01,7.7033
2006-08-02,7.7361
2006-08-03,7.6706
2006-08-07,7.9497
2006-08-08,8.0893
2006-08-09,7.9991
2006-08-10,8.0154
2006-08-11,7.9497
2006-08-14,8.0236
2006-08-15,7.9252
2006-08-16,8.0893
2006-08-17,8.3603
2006-08-18,8.3113
2006-08-21,8.2618
2006-08-22,8.3934
2006-08-23,8.2453
2006-08-24,8.377
2006-08-25,8.3269
2006-08-28,8.5653
2006-08-29,8.5078
2006-08-30,8.5326
2006-08-31,8.5165
2006-09-01,8.467
2006-09-04,8.4257
2006-09-05,8.3848
2006-09-07,8.4345
2006-09-08,8.3269
2006-09-11,8.3191
2006-09-12,8.2781
2006-09-13,8.2289
2006-09-14,8.3113
2006-09-15,8.2618
2006-09-18,8.3191
2006-09-19,8.3603
2006-09-20,8.3358
2006-09-21,8.3603
2006-09-25,8.4179
2006-09-26,8.4345
2006-09-27,8.4757
2006-09-28,8.5415
2006-09-29,8.6718
2006-10-02,8.7057
2006-10-03,8.6891
2006-10-04,8.6479
2006-10-05,8.6479
2006-10-06,8.6311
2006-10-09,8.6639
2006-10-10,8.6311
2006-10-11,8.6551
2006-10-12,8.9595
2006-10-13,9.0832
2006-10-16,9.1229
2006-10-17,9.2309
2006-10-18,9.4521
2006-10-19,9.4043
2006-10-20,9.4451
2006-10-23,9.715
2006-10-24,9.854
2006-10-25,10.044
2006-10-26,10.085
2006-10-27,10.307
2006-10-30,10.921
2006-10-31,10.545
2006-11-01,10.856
2006-11-02,10.792
2006-11-03,10.667
2006-11-06,10.611
2006-11-07,10.53
2006-11-08,10.348
2006-11-09,10.265
2006-11-10,10.282
2006-11-13,10.217
2006-11-14,9.986
2006-11-15,10.012
2006-11-16,9.912
2006-11-17,10.012
2006-11-20,10.207
2006-11-21,10.257
2006-11-22,10.241
2006-11-23,10.291
2006-11-24,10.348
2006-11-27,10.184
2006-11-28,10.282
2006-11-29,10.176
2006-11-30,10.159
2006-12-01,10.02
2006-12-04,10.102
2006-12-05,9.971
2006-12-06,10.109
2006-12-07,10.142
2006-12-08,10.339
2006-12-11,10.224
2006-12-12,10.109
2006-12-13,10.109
2006-12-14,10.085
2006-12-15,10.168
2006-12-18,10.202
2006-12-19,10.249
2006-12-20,10.282
2006-12-21,10.324
2006-12-22,10.396
2007-01-03,10.463
2007-01-04,10.816
2007-01-05,11.013
2007-01-08,11.316
2007-01-09,11.644
2007-01-10,11.801
2007-01-11,11.727
2007-01-12,11.637
2007-01-15,11.753
2007-01-16,11.817
2007-01-17,11.785
2007-01-18,11.654
2007-01-19,11.612
2007-01-22,12.13
2007-01-23,12.492
2007-01-24,12.59
2007-01-25,12.277
2007-01-26,12.531
2007-01-29,12.597
2007-01-30,12.622
2007-01-31,12.369
2007-02-01,12.385
2007-02-02,12.411
2007-02-05,12.113
2007-02-06,12.121
2007-02-07,12.252
2007-02-08,12.195
2007-02-09,12.179
2007-02-12,12.105
2007-02-13,11.539
2007-02-14,11.588
2007-02-15,11.718
2007-02-16,11.727
2007-02-19,11.644
2007-02-20,11.654
2007-02-21,11.506
2007-02-22,11.563
2007-02-23,11.383
2007-02-26,11.423
2007-02-27,11.612
2007-02-28,11.547
2007-03-01,11.514
2007-03-02,11.531
2007-03-05,11.496
2007-03-06,11.243
2007-03-07,11.251
2007-03-08,11.218
2007-03-09,11.145
2007-03-12,11.184
2007-03-13,11.29
2007-03-14,11.226
2007-03-15,11.203
2007-03-16,11.211
2007-03-19,11.111
2007-03-20,11.029
2007-03-21,11.137
2007-03-22,11.119
2007-03-23,11.137
2007-03-26,11.085
2007-03-27,11.169
2007-03-28,11.103
2007-03-29,11.111
2007-03-30,11.374
2007-04-02,11.063
2007-04-03,11.184
2007-04-04,11.193
2007-04-05,11.184
2007-04-06,11.177
2007-04-10,11.152
