<TICKER>,<DATE>,<CLOSE>
SPL,1993-06-22,5.3408
SPL,1993-06-24,4.8771
SPL,1993-06-28,4.8771
SPL,1993-06-29,5.1612
SPL,1993-07-01,5.3408
SPL,1993-07-05,5.5877
SPL,1993-07-06,5.6176
SPL,1993-07-08,5.0565
SPL,1993-07-12,5.1612
SPL,1993-07-13,5.1238
SPL,1993-07-15,5.0565
SPL,1993-07-19,5.0565
SPL,1993-07-20,4.9817
SPL,1993-07-22,5.0939
SPL,1993-07-26,5.0939
SPL,1993-07-27,5.019
SPL,1993-07-29,5.0939
SPL,1993-08-02,5.1612
SPL,1993-08-03,5.1612
SPL,1993-08-05,5.1238
SPL,1993-08-09,5.6176
SPL,1993-08-10,6.186
SPL,1993-08-12,6.8219
SPL,1993-08-16,7.4577
SPL,1993-08-17,8.2062
SPL,1993-08-19,8.9834
SPL,1993-08-23,9.791
SPL,1993-08-24,10.712
SPL,1993-08-26,11.812
SPL,1993-08-30,10.644
SPL,1993-08-31,9.619
SPL,1993-09-02,10.502
SPL,1993-09-06,11.489
SPL,1993-09-07,10.323
SPL,1993-09-09,9.897
SPL,1993-09-13,9.791
SPL,1993-09-14,9.897
SPL,1993-09-16,10.217
SPL,1993-09-20,9.1927
SPL,1993-09-21,8.2728
SPL,1993-09-23,7.4577
SPL,1993-09-27,6.8592
SPL,1993-09-28,7.5324
SPL,1993-09-30,8.2062
SPL,1993-10-04,8.9834
SPL,1993-10-05,9.4029
SPL,1993-10-07,9.4029
SPL,1993-10-11,9.972
SPL,1993-10-12,10.57
SPL,1993-10-14,10.57
SPL,1993-10-18,11.421
SPL,1993-10-19,10.995
SPL,1993-10-21,10.397
SPL,1993-10-26,9.972
SPL,1993-10-28,10.57
SPL,1993-11-02,10.57
SPL,1993-11-04,10.644
SPL,1993-11-08,10.217
SPL,1993-11-09,9.972
SPL,1993-11-10,10.57
SPL,1993-11-15,10.921
SPL,1993-11-16,10.817
SPL,1993-11-18,9.725
SPL,1993-11-22,9.725
SPL,1993-11-23,10.323
SPL,1993-11-25,10.397
SPL,1993-11-29,10.397
SPL,1993-11-30,10.502
SPL,1993-12-02,10.644
SPL,1993-12-06,11.736
SPL,1993-12-07,12.162
SPL,1993-12-09,12.088
SPL,1993-12-13,12.446
SPL,1993-12-14,12.446
SPL,1993-12-16,12.761
SPL,1993-12-20,13.681
SPL,1993-12-21,13.966
SPL,1993-12-23,14.497
SPL,1993-12-27,15.199
SPL,1993-12-28,13.681
SPL,1993-12-30,15.056
SPL,1994-01-03,15.977
SPL,1994-01-04,16.613
SPL,1994-01-06,16.687
SPL,1994-01-10,17.324
SPL,1994-01-11,18.738
SPL,1994-01-13,20.577
SPL,1994-01-17,22.553
SPL,1994-01-18,24.82
SPL,1994-01-20,27.22
SPL,1994-01-24,26.659
SPL,1994-01-25,27.361
SPL,1994-01-27,30.124
SPL,1994-01-31,27.077
SPL,1994-02-01,24.467
SPL,1994-02-03,22.059
SPL,1994-02-07,24.251
SPL,1994-02-08,25.882
SPL,1994-02-10,25.312
SPL,1994-02-14,25.882
SPL,1994-02-15,27.011
SPL,1994-02-17,27.361
SPL,1994-02-21,27.22
SPL,1994-02-22,26.023
SPL,1994-02-24,27.361
SPL,1994-02-28,28.072
SPL,1994-03-01,28.072
SPL,1994-03-03,27.361
SPL,1994-03-07,27.361
SPL,1994-03-08,27.361
SPL,1994-03-10,27.58
SPL,1994-03-14,27.856
SPL,1994-03-15,27.361
SPL,1994-03-17,26.659
SPL,1994-03-21,23.966
SPL,1994-03-22,21.849
SPL,1994-03-24,23.966
SPL,1994-03-28,22.059
SPL,1994-03-29,19.8
SPL,1994-03-31,17.892
SPL,1994-04-05,17.959
SPL,1994-04-07,18.453
SPL,1994-04-08,17.533
SPL,1994-04-11,15.836
SPL,1994-04-12,14.279
SPL,1994-04-14,14.279
SPL,1994-04-18,15.199
SPL,1994-04-19,16.687
SPL,1994-04-21,20.085
SPL,1994-04-25,19.725
SPL,1994-04-26,17.817
SPL,1994-04-28,16.052
SPL,1994-05-05,17.608
SPL,1994-05-06,15.836
SPL,1994-05-09,15.836
SPL,1994-05-10,16.195
SPL,1994-05-12,16.687
SPL,1994-05-16,18.453
SPL,1994-05-17,18.101
SPL,1994-05-19,19.8
SPL,1994-05-23,20.862
SPL,1994-05-24,21.281
SPL,1994-05-26,21.138
SPL,1994-05-30,21.281
SPL,1994-05-31,21.138
SPL,1994-06-01,19.165
SPL,1994-06-06,19.165
SPL,1994-06-07,17.817
SPL,1994-06-09,16.052
SPL,1994-06-13,14.497
SPL,1994-06-14,13.008
SPL,1994-06-16,14.279
SPL,1994-06-20,12.939
SPL,1994-06-21,12.162
SPL,1994-06-23,12.162
SPL,1994-06-27,13.366
SPL,1994-06-28,13.254
SPL,1994-06-30,12.939
SPL,1994-07-04,13.614
SPL,1994-07-05,14.497
SPL,1994-07-06,15.836
SPL,1994-07-07,15.977
SPL,1994-07-11,16.687
SPL,1994-07-12,18.453
SPL,1994-07-13,19.165
SPL,1994-07-14,17.959
SPL,1994-07-18,19.725
SPL,1994-07-19,20.436
SPL,1994-07-20,18.453
SPL,1994-07-21,18.806
SPL,1994-07-25,18.806
SPL,1994-07-26,19.658
SPL,1994-07-27,19.658
SPL,1994-07-28,19.658
SPL,1994-08-01,19.516
SPL,1994-08-02,19.165
SPL,1994-08-03,19.448
SPL,1994-08-04,19.725
SPL,1994-08-08,19.725
