<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-10-14,2.84,2.84,2.84,2.84
1998-10-15,2.572,2.572,2.572,2.572
1998-10-16,2.322,2.322,2.322,2.322
1998-10-19,2.304,2.304,2.304,2.304
1998-10-20,2.322,2.322,2.322,2.322
1998-10-21,2.456,2.456,2.456,2.456
1998-10-22,2.226,2.226,2.226,2.226
1998-10-23,2.188,2.188,2.188,2.188
1998-10-26,2.304,2.304,2.304,2.304
1998-10-27,2.304,2.304,2.304,2.304
1998-10-28,2.246,2.246,2.246,2.246
1998-10-29,2.208,2.208,2.208,2.208
1998-10-30,2.4,2.4,2.4,2.4
1998-11-02,2.36,2.36,2.36,2.36
1998-11-03,2.4,2.4,2.4,2.4
1998-11-04,2.4,2.4,2.4,2.4
1998-11-05,2.38,2.38,2.38,2.38
1998-11-06,2.456,2.456,2.456,2.456
1998-11-09,2.456,2.456,2.456,2.456
1998-11-10,2.322,2.322,2.322,2.322
1998-11-12,2.322,2.322,2.322,2.322
1998-11-13,2.264,2.264,2.264,2.264
1998-11-16,2.304,2.304,2.304,2.304
1998-11-17,2.188,2.188,2.188,2.188
1998-11-18,2.208,2.208,2.208,2.208
1998-11-19,2.112,2.112,2.112,2.112
1998-11-20,2.15,2.15,2.15,2.15
1998-11-23,2.226,2.226,2.226,2.226
1998-11-24,2.112,2.112,2.112,2.112
1998-11-25,1.996,1.996,1.996,1.996
1998-11-26,1.958,1.958,1.958,1.958
1998-11-27,2.034,2.034,2.034,2.034
1998-11-30,2.168,2.168,2.168,2.168
1998-12-01,2.016,2.016,2.016,2.016
1998-12-02,2.072,2.072,2.072,2.072
1998-12-03,2.072,2.072,2.072,2.072
1998-12-04,2.072,2.072,2.072,2.072
1998-12-07,2.054,2.054,2.054,2.054
1998-12-08,2.054,2.054,2.054,2.054
1998-12-09,2.016,2.016,2.016,2.016
1998-12-10,2.072,2.072,2.072,2.072
1998-12-11,1.996,1.996,1.996,1.996
1998-12-14,1.938,1.938,1.938,1.938
1998-12-15,1.746,1.746,1.746,1.746
1998-12-16,1.9,1.9,1.9,1.9
1998-12-17,1.9,1.9,1.9,1.9
1998-12-18,1.718,1.718,1.718,1.718
1998-12-21,1.88,1.88,1.88,1.88
1998-12-22,1.92,1.92,1.92,1.92
1998-12-23,1.92,1.92,1.92,1.92
1998-12-28,1.88,1.88,1.88,1.88
1998-12-29,1.92,1.92,1.92,1.92
1998-12-30,1.92,1.92,1.92,1.92
1998-12-31,1.824,1.824,1.824,1.824
1999-01-04,1.824,1.824,1.824,1.824
1999-01-05,1.824,1.824,1.824,1.824
1999-01-06,1.91,1.91,1.91,1.91
1999-01-07,1.91,1.91,1.91,1.91
1999-01-08,1.91,1.91,1.91,1.91
1999-01-11,1.88,1.88,1.88,1.88
1999-01-12,1.766,1.766,1.766,1.766
1999-01-13,1.766,1.766,1.766,1.766
1999-01-14,1.728,1.728,1.728,1.728
1999-01-15,1.728,1.728,1.728,1.728
1999-01-18,1.804,1.804,1.804,1.804
1999-01-19,1.804,1.804,1.804,1.804
1999-01-20,1.776,1.776,1.776,1.776
1999-01-21,1.632,1.632,1.632,1.632
1999-01-22,1.708,1.708,1.708,1.708
1999-01-25,1.698,1.698,1.698,1.698
1999-01-26,1.698,1.698,1.698,1.698
1999-01-27,1.708,1.708,1.708,1.708
1999-01-28,1.67,1.67,1.67,1.67
1999-01-29,1.67,1.67,1.67,1.67
1999-02-01,1.728,1.728,1.728,1.728
1999-02-02,1.708,1.708,1.708,1.708
1999-02-03,1.708,1.708,1.708,1.708
1999-02-04,1.728,1.728,1.728,1.728
1999-02-05,1.708,1.708,1.708,1.708
1999-02-08,1.65,1.65,1.65,1.65
1999-02-09,1.66,1.66,1.66,1.66
1999-02-10,1.728,1.728,1.728,1.728
1999-02-11,1.728,1.728,1.728,1.728
1999-02-12,1.708,1.708,1.708,1.708
1999-02-15,1.69,1.69,1.69,1.69
1999-02-16,1.718,1.718,1.718,1.718
1999-02-17,1.728,1.728,1.728,1.728
1999-02-18,1.698,1.698,1.698,1.698
1999-02-19,1.708,1.708,1.708,1.708
1999-02-22,1.68,1.68,1.68,1.68
1999-02-23,1.632,1.632,1.632,1.632
1999-02-24,1.612,1.612,1.612,1.612
1999-02-25,1.594,1.594,1.594,1.594
1999-02-26,1.44,1.44,1.44,1.44
1999-03-01,1.344,1.344,1.344,1.344
1999-03-02,1.402,1.402,1.402,1.402
1999-03-03,1.402,1.402,1.402,1.402
1999-03-04,1.354,1.354,1.354,1.354
1999-03-05,1.382,1.382,1.382,1.382
1999-03-08,1.382,1.382,1.382,1.382
1999-03-09,1.402,1.402,1.402,1.402
1999-03-10,1.41,1.41,1.41,1.41
1999-03-11,1.44,1.44,1.44,1.44
1999-03-12,1.45,1.45,1.45,1.45
1999-03-15,1.458,1.458,1.458,1.458
1999-03-16,1.382,1.382,1.382,1.382
1999-03-17,1.382,1.382,1.382,1.382
1999-03-18,1.402,1.402,1.402,1.402
1999-03-19,1.362,1.362,1.362,1.362
1999-03-22,1.362,1.362,1.362,1.362
1999-03-23,1.344,1.344,1.344,1.344
1999-03-24,1.344,1.344,1.344,1.344
1999-03-25,1.344,1.344,1.344,1.344
1999-03-26,1.362,1.362,1.362,1.362
1999-03-29,1.372,1.372,1.372,1.372
1999-03-30,1.372,1.372,1.372,1.372
1999-03-31,1.382,1.382,1.382,1.382
1999-04-01,1.372,1.372,1.372,1.372
1999-04-06,1.402,1.402,1.402,1.402
1999-04-07,1.402,1.402,1.402,1.402
1999-04-08,1.41,1.41,1.41,1.41
1999-04-09,1.41,1.41,1.41,1.41
1999-04-12,1.41,1.41,1.41,1.41
1999-04-13,1.41,1.41,1.41,1.41
1999-04-14,1.41,1.41,1.41,1.41
1999-04-15,1.41,1.41,1.41,1.41
1999-04-16,1.41,1.41,1.41,1.41
1999-04-19,1.402,1.402,1.402,1.402
1999-04-20,1.402,1.402,1.402,1.402
1999-04-21,1.536,1.536,1.536,1.536
1999-04-22,1.69,1.69,1.69,1.69
1999-04-23,1.632,1.632,1.632,1.632
1999-04-26,1.67,1.67,1.67,1.67
1999-04-27,1.65,1.65,1.65,1.65
1999-04-28,1.67,1.67,1.67,1.67
1999-04-29,1.65,1.65,1.65,1.65
1999-04-30,1.65,1.65,1.65,1.65
1999-05-04,1.69,1.69,1.69,1.69
1999-05-05,1.718,1.718,1.718,1.718
1999-05-06,1.738,1.738,1.738,1.738
1999-05-07,1.746,1.746,1.746,1.746
1999-05-10,1.92,1.92,1.92,1.92
1999-05-11,1.92,1.92,1.92,1.92
1999-05-12,1.92,1.92,1.92,1.92
1999-05-13,1.824,1.824,1.824,1.824
1999-05-14,1.842,1.842,1.842,1.842
1999-05-17,1.88,1.88,1.88,1.88
1999-05-18,1.862,1.862,1.862,1.862
1999-05-19,1.862,1.862,1.862,1.862
1999-05-20,1.92,1.92,1.92,1.92
1999-05-21,1.89,1.89,1.89,1.89
1999-05-24,1.92,1.92,1.92,1.92
1999-05-25,1.9,1.9,1.9,1.9
1999-05-26,1.92,1.92,1.92,1.92
1999-05-27,1.92,1.92,1.92,1.92
1999-05-28,1.9,1.9,1.9,1.9
1999-05-31,1.91,1.91,1.91,1.91
1999-06-01,1.89,1.89,1.89,1.89
1999-06-02,1.9,1.9,1.9,1.9
1999-06-07,1.92,1.92,1.92,1.92
1999-06-08,1.91,1.91,1.91,1.91
1999-06-09,1.92,1.92,1.92,1.92
1999-06-10,2.016,2.016,2.016,2.016
1999-06-11,2.054,2.054,2.054,2.054
1999-06-14,1.92,1.92,1.92,1.92
1999-06-15,1.976,1.976,1.976,1.976
1999-06-16,1.976,1.976,1.976,1.976
1999-06-17,1.92,1.92,1.92,1.92
1999-06-18,1.938,1.938,1.938,1.938
1999-06-21,1.958,1.958,1.958,1.958
1999-06-22,1.996,1.996,1.996,1.996
1999-06-23,1.92,1.92,1.92,1.92
1999-06-24,1.976,1.976,1.976,1.976
1999-06-25,1.958,1.958,1.958,1.958
1999-06-28,1.958,1.958,1.958,1.958
1999-06-29,1.958,1.958,1.958,1.958
1999-06-30,1.958,1.958,1.958,1.958
1999-07-01,1.976,1.976,1.976,1.976
1999-07-02,1.958,1.958,1.958,1.958
1999-07-05,2.016,2.016,2.016,2.016
1999-07-06,2.016,2.016,2.016,2.016
1999-07-07,2.016,2.016,2.016,2.016
1999-07-08,2.072,2.072,2.072,2.072
1999-07-09,2.112,2.112,2.112,2.112
1999-07-12,2.208,2.208,2.208,2.208
1999-07-13,2.284,2.284,2.284,2.284
1999-07-14,2.13,2.13,2.13,2.13
1999-07-15,2.208,2.208,2.208,2.208
1999-07-16,2.208,2.208,2.208,2.208
1999-07-19,2.246,2.246,2.246,2.246
1999-07-20,2.284,2.284,2.284,2.284
1999-07-21,2.208,2.208,2.208,2.208
1999-07-22,2.188,2.188,2.188,2.188
1999-07-23,2.15,2.15,2.15,2.15
1999-07-26,2.208,2.208,2.208,2.208
1999-07-27,2.168,2.168,2.168,2.168
1999-07-28,2.112,2.112,2.112,2.112
1999-07-29,2.112,2.112,2.112,2.112
1999-07-30,2.112,2.112,2.112,2.112
1999-08-02,2.072,2.072,2.072,2.072
1999-08-03,2.072,2.072,2.072,2.072
1999-08-04,2.112,2.112,2.112,2.112
1999-08-05,2.072,2.072,2.072,2.072
1999-08-06,2.072,2.072,2.072,2.072
1999-08-09,2.072,2.072,2.072,2.072
1999-08-10,2.092,2.092,2.092,2.092
1999-08-11,2.054,2.054,2.054,2.054
1999-08-12,2.034,2.034,2.034,2.034
1999-08-13,2.034,2.034,2.034,2.034
1999-08-16,2.034,2.034,2.034,2.034
1999-08-17,2.054,2.054,2.054,2.054
1999-08-18,2.092,2.092,2.092,2.092
1999-08-19,2.112,2.112,2.112,2.112
1999-08-20,2.15,2.15,2.15,2.15
1999-08-23,2.13,2.13,2.13,2.13
1999-08-24,2.13,2.13,2.13,2.13
1999-08-25,2.112,2.112,2.112,2.112
1999-08-26,2.112,2.112,2.112,2.112
1999-08-27,2.112,2.112,2.112,2.112
1999-08-30,2.13,2.13,2.13,2.13
1999-08-31,2.092,2.092,2.092,2.092
1999-09-01,2.092,2.092,2.092,2.092
1999-09-02,2.112,2.112,2.112,2.112
1999-09-03,2.092,2.092,2.092,2.092
1999-09-06,2.112,2.112,2.112,2.112
1999-09-07,2.112,2.112,2.112,2.112
1999-09-08,2.092,2.092,2.092,2.092
1999-09-09,2.092,2.092,2.092,2.092
1999-09-10,2.072,2.072,2.072,2.072
1999-09-13,2.072,2.072,2.072,2.072
1999-09-14,2.072,2.072,2.072,2.072
1999-09-15,1.872,1.872,1.872,1.872
1999-09-16,1.92,1.92,1.92,1.92
1999-09-17,2.016,2.016,2.016,2.016
1999-09-20,2.016,2.016,2.016,2.016
1999-09-21,1.976,1.976,1.976,1.976
1999-09-22,1.958,1.958,1.958,1.958
1999-09-23,1.786,1.786,1.786,1.786
1999-09-24,1.824,1.824,1.824,1.824
1999-09-27,1.824,1.824,1.824,1.824
1999-09-28,1.824,1.824,1.824,1.824
1999-09-29,1.786,1.786,1.786,1.786
1999-09-30,1.786,1.786,1.786,1.786
1999-10-01,1.766,1.766,1.766,1.766
1999-10-04,1.728,1.728,1.728,1.728
1999-10-05,1.766,1.766,1.766,1.766
1999-10-06,1.824,1.824,1.824,1.824
1999-10-07,1.824,1.824,1.824,1.824
1999-10-08,1.842,1.842,1.842,1.842
1999-10-11,1.88,1.88,1.88,1.88
1999-10-12,1.92,1.92,1.92,1.92
1999-10-13,1.862,1.862,1.862,1.862
1999-10-14,1.92,1.92,1.92,1.92
1999-10-15,1.92,1.92,1.92,1.92
1999-10-18,1.88,1.88,1.88,1.88
1999-10-19,1.842,1.842,1.842,1.842
1999-10-20,1.824,1.824,1.824,1.824
1999-10-21,1.92,1.92,1.92,1.92
1999-10-22,1.9,1.9,1.9,1.9
1999-10-25,1.9,1.9,1.9,1.9
1999-10-26,1.88,1.88,1.88,1.88
1999-10-27,1.862,1.862,1.862,1.862
1999-10-28,1.88,1.88,1.88,1.88
1999-10-29,1.862,1.862,1.862,1.862
1999-11-02,1.88,1.88,1.88,1.88
1999-11-03,1.862,1.862,1.862,1.862
1999-11-04,1.872,1.872,1.872,1.872
1999-11-05,1.862,1.862,1.862,1.862
1999-11-08,1.804,1.804,1.804,1.804
1999-11-09,1.824,1.824,1.824,1.824
1999-11-10,1.842,1.842,1.842,1.842
1999-11-15,1.862,1.862,1.862,1.862
1999-11-16,1.862,1.862,1.862,1.862
1999-11-17,1.91,1.91,1.91,1.91
1999-11-18,1.88,1.88,1.88,1.88
1999-11-19,1.92,1.92,1.92,1.92
1999-11-22,1.938,1.938,1.938,1.938
1999-11-23,1.958,1.958,1.958,1.958
1999-11-24,2.016,2.016,2.016,2.016
1999-11-25,2.054,2.054,2.054,2.054
1999-11-26,2.072,2.072,2.072,2.072
1999-11-29,2.054,2.054,2.054,2.054
1999-11-30,2.034,2.034,2.034,2.034
1999-12-01,2.016,2.016,2.016,2.016
1999-12-02,2.016,2.016,2.016,2.016
1999-12-03,2.016,2.016,2.016,2.016
1999-12-06,1.976,1.976,1.976,1.976
1999-12-07,1.958,1.958,1.958,1.958
1999-12-08,2.016,2.016,2.016,2.016
1999-12-09,2.016,2.016,2.016,2.016
1999-12-10,2.016,2.016,2.016,2.016
1999-12-13,2.054,2.054,2.054,2.054
1999-12-14,2.072,2.072,2.072,2.072
1999-12-15,2.034,2.034,2.034,2.034
1999-12-16,2.034,2.034,2.034,2.034
1999-12-17,2.054,2.054,2.054,2.054
1999-12-20,2.13,2.13,2.13,2.13
1999-12-21,2.168,2.168,2.168,2.168
1999-12-22,2.208,2.208,2.208,2.208
1999-12-23,2.304,2.304,2.304,2.304
1999-12-27,2.304,2.304,2.304,2.304
1999-12-28,2.4,2.4,2.4,2.4
1999-12-29,2.39,2.39,2.39,2.39
2000-01-03,2.496,2.496,2.496,2.496
2000-01-04,2.534,2.534,2.534,2.534
2000-01-05,2.322,2.322,2.322,2.322
2000-01-06,2.342,2.342,2.342,2.342
2000-01-07,2.4,2.4,2.4,2.4
2000-01-10,2.572,2.572,2.572,2.572
2000-01-11,2.438,2.438,2.438,2.438
2000-01-12,2.438,2.438,2.438,2.438
2000-01-13,2.552,2.552,2.552,2.552
2000-01-14,2.668,2.668,2.668,2.668
2000-01-17,2.84,2.84,2.84,2.84
2000-01-18,2.784,2.784,2.784,2.784
2000-01-19,2.688,2.688,2.688,2.688
2000-01-20,2.592,2.592,2.592,2.592
2000-01-21,2.648,2.648,2.648,2.648
2000-01-24,2.61,2.61,2.61,2.61
2000-01-25,2.496,2.496,2.496,2.496
2000-01-26,2.496,2.496,2.496,2.496
2000-01-27,2.534,2.534,2.534,2.534
2000-01-28,2.534,2.534,2.534,2.534
2000-01-31,2.496,2.496,2.496,2.496
2000-02-01,2.534,2.534,2.534,2.534
2000-02-02,2.592,2.592,2.592,2.592
2000-02-03,2.706,2.706,2.706,2.706
2000-02-04,2.822,2.822,2.822,2.822
2000-02-07,2.918,2.918,2.918,2.918
2000-02-08,3.11,3.11,3.11,3.11
2000-02-09,3.282,3.282,3.282,3.282
2000-02-10,3.244,3.244,3.244,3.244
2000-02-11,3.398,3.398,3.398,3.398
2000-02-14,3.262,3.262,3.262,3.262
2000-02-15,3.34,3.34,3.34,3.34
2000-02-16,3.34,3.34,3.34,3.34
2000-02-17,3.34,3.34,3.34,3.34
2000-02-18,3.398,3.398,3.398,3.398
2000-02-21,3.302,3.302,3.302,3.302
2000-02-22,3.398,3.398,3.398,3.398
2000-02-23,3.436,3.436,3.436,3.436
2000-02-24,3.494,3.494,3.494,3.494
2000-02-25,3.742,3.742,3.742,3.742
2000-02-28,3.838,3.838,3.838,3.838
2000-02-29,4.012,4.012,4.012,4.012
2000-03-01,4.222,4.222,4.222,4.222
2000-03-02,4.414,4.414,4.414,4.414
2000-03-03,4.146,4.146,4.146,4.146
2000-03-06,4.396,4.396,4.396,4.396
2000-03-07,4.184,4.184,4.184,4.184
2000-03-08,3.772,3.772,3.772,3.772
2000-03-09,3.934,3.934,3.934,3.934
2000-03-10,3.838,3.838,3.838,3.838
2000-03-13,3.58,3.58,3.58,3.58
2000-03-14,3.55,3.55,3.55,3.55
2000-03-15,3.628,3.628,3.628,3.628
2000-03-16,3.628,3.628,3.628,3.628
2000-03-17,3.934,3.934,3.934,3.934
2000-03-20,3.878,3.878,3.878,3.878
2000-03-21,3.724,3.724,3.724,3.724
2000-03-22,3.686,3.686,3.686,3.686
2000-03-23,3.704,3.704,3.704,3.704
2000-03-24,3.704,3.704,3.704,3.704
2000-03-27,3.686,3.686,3.686,3.686
2000-03-28,3.646,3.646,3.646,3.646
2000-03-29,3.454,3.454,3.454,3.454
2000-03-30,3.32,3.32,3.32,3.32
2000-03-31,3.244,3.244,3.244,3.244
2000-04-03,3.224,3.224,3.224,3.224
2000-04-04,3.224,3.224,3.224,3.224
2000-04-05,3.302,3.302,3.302,3.302
2000-04-06,3.55,3.55,3.55,3.55
2000-04-07,3.742,3.742,3.742,3.742
2000-04-10,3.838,3.838,3.838,3.838
2000-04-11,3.628,3.628,3.628,3.628
2000-04-12,3.484,3.484,3.484,3.484
2000-04-13,3.474,3.474,3.474,3.474
2000-04-14,3.474,3.474,3.474,3.474
2000-04-17,3.186,3.186,3.186,3.186
2000-04-18,3.416,3.416,3.416,3.416
2000-04-19,3.454,3.454,3.454,3.454
2000-04-20,3.454,3.454,3.454,3.454
2000-04-25,3.454,3.454,3.454,3.454
2000-04-26,3.398,3.398,3.398,3.398
2000-04-27,3.454,3.454,3.454,3.454
2000-04-28,3.454,3.454,3.454,3.454
2000-05-04,3.464,3.464,3.464,3.464
2000-05-05,3.446,3.446,3.446,3.446
2000-05-08,3.436,3.436,3.436,3.436
2000-05-09,3.398,3.398,3.398,3.398
2000-05-10,3.302,3.302,3.302,3.302
2000-05-11,3.262,3.262,3.262,3.262
2000-05-12,3.378,3.378,3.378,3.378
2000-05-15,3.454,3.454,3.454,3.454
2000-05-16,3.454,3.454,3.454,3.454
2000-05-17,3.55,3.55,3.55,3.55
2000-05-18,3.512,3.512,3.512,3.512
2000-05-19,3.532,3.532,3.532,3.532
2000-05-22,3.474,3.474,3.474,3.474
2000-05-23,3.474,3.474,3.474,3.474
2000-05-24,3.55,3.55,3.55,3.55
2000-05-25,3.57,3.57,3.57,3.57
2000-05-26,3.59,3.59,3.59,3.59
2000-05-29,3.628,3.628,3.628,3.628
2000-05-30,3.646,3.646,3.646,3.646
2000-05-31,3.742,3.742,3.742,3.742
2000-06-01,3.82,3.82,3.82,3.82
2000-06-02,3.782,3.782,3.782,3.782
2000-06-05,3.724,3.724,3.724,3.724
2000-06-06,3.55,3.55,3.55,3.55
2000-06-07,3.55,3.55,3.55,3.55
2000-06-08,3.838,3.838,3.838,3.838
2000-06-09,3.838,3.838,3.838,3.838
2000-06-12,3.838,3.838,3.838,3.838
2000-06-13,3.878,3.878,3.878,3.878
2000-06-14,3.916,3.916,3.916,3.916
2000-06-15,4.222,4.222,4.222,4.222
2000-06-16,4.204,4.204,4.204,4.204
2000-06-19,4.03,4.03,4.03,4.03
2000-06-20,4.318,4.318,4.318,4.318
2000-06-21,3.934,3.934,3.934,3.934
2000-06-23,3.82,3.82,3.82,3.82
2000-06-26,4.05,4.05,4.05,4.05
2000-06-27,4.03,4.03,4.03,4.03
2000-06-28,4.126,4.126,4.126,4.126
2000-06-29,3.858,3.858,3.858,3.858
2000-06-30,4.012,4.012,4.012,4.012
2000-07-03,3.934,3.934,3.934,3.934
2000-07-04,3.878,3.878,3.878,3.878
2000-07-05,3.934,3.934,3.934,3.934
2000-07-06,3.934,3.934,3.934,3.934
2000-07-07,3.878,3.878,3.878,3.878
2000-07-10,3.878,3.878,3.878,3.878
2000-07-11,3.858,3.858,3.858,3.858
2000-07-12,3.82,3.82,3.82,3.82
2000-07-13,3.742,3.742,3.742,3.742
2000-07-14,3.762,3.762,3.762,3.762
2000-07-17,3.8,3.8,3.8,3.8
2000-07-18,3.82,3.82,3.82,3.82
2000-07-19,3.896,3.896,3.896,3.896
2000-07-20,3.916,3.916,3.916,3.916
2000-07-21,3.724,3.724,3.724,3.724
2000-07-24,3.57,3.57,3.57,3.57
2000-07-25,3.454,3.454,3.454,3.454
2000-07-26,3.302,3.302,3.302,3.302
2000-07-27,3.224,3.224,3.224,3.224
2000-07-28,3.224,3.224,3.224,3.224
2000-07-31,3.206,3.206,3.206,3.206
2000-08-01,3.168,3.168,3.168,3.168
2000-08-02,3.168,3.168,3.168,3.168
2000-08-03,3.196,3.196,3.196,3.196
