<TICKER>,<DATE>,<CLOSE>
SWG,2007-12-05,35.468
SWG,2007-12-06,36.557
SWG,2007-12-07,36.593
SWG,2007-12-10,36.647
SWG,2007-12-11,38.098
SWG,2007-12-12,40.004
SWG,2007-12-13,41.364
SWG,2007-12-14,41.364
SWG,2007-12-17,40.819
SWG,2007-12-18,40.819
SWG,2007-12-19,39.913
SWG,2007-12-20,38.461
SWG,2007-12-21,40.004
SWG,2007-12-27,41.274
SWG,2007-12-28,41.637
SWG,2008-01-02,41.637
SWG,2008-01-03,40.819
SWG,2008-01-07,40.367
SWG,2008-01-09,39.459
SWG,2008-01-10,39.459
SWG,2008-01-11,39.459
SWG,2008-01-15,38.552
SWG,2008-01-16,34.924
SWG,2008-01-17,34.47
SWG,2008-01-18,35.83
SWG,2008-01-21,35.83
SWG,2008-01-22,35.377
SWG,2008-01-23,37.191
SWG,2008-01-24,37.646
SWG,2008-01-25,37.646
SWG,2008-01-28,38.098
SWG,2008-01-29,39.006
SWG,2008-01-30,39.142
SWG,2008-01-31,39.006
SWG,2008-02-01,39.913
SWG,2008-02-04,39.913
SWG,2008-02-05,40.811
SWG,2008-02-06,39.913
SWG,2008-02-07,40.276
SWG,2008-02-08,39.913
SWG,2008-02-11,39.903
SWG,2008-02-12,39.187
SWG,2008-02-13,40.819
SWG,2008-02-14,40.819
SWG,2008-02-15,40.811
SWG,2008-02-18,41.718
SWG,2008-02-19,40.819
SWG,2008-02-20,41.092
SWG,2008-02-21,41.728
SWG,2008-02-22,41.999
SWG,2008-02-26,41.817
SWG,2008-02-27,41.728
SWG,2008-02-28,40.819
SWG,2008-02-29,39.006
SWG,2008-03-03,39.05
SWG,2008-03-04,38.461
SWG,2008-03-07,38.098
SWG,2008-03-10,39.006
SWG,2008-03-11,38.961
SWG,2008-03-12,38.552
SWG,2008-03-13,38.897
SWG,2008-03-14,38.97
SWG,2008-03-17,37.735
SWG,2008-03-18,38.098
SWG,2008-03-19,36.375
SWG,2008-03-20,36.285
SWG,2008-03-25,37.646
