<TICKER>,<DATE>,<CLOSE>
TAR,2013-06-18,9.4025
TAR,2013-06-19,9.0706
TAR,2013-06-20,9.0706
TAR,2013-06-21,9.4721
TAR,2013-06-24,9.4199
TAR,2013-06-25,9.3677
TAR,2013-06-26,9.332
TAR,2013-06-27,9.332
TAR,2013-06-28,9.585
TAR,2013-07-01,9.332
TAR,2013-07-02,9.4277
TAR,2013-07-04,9.1317
TAR,2013-07-05,9.1144
TAR,2013-07-08,9.0184
TAR,2013-07-09,8.9837
TAR,2013-07-10,9.245
TAR,2013-07-11,10.205
TAR,2013-07-12,10.205
TAR,2013-07-15,10.614
TAR,2013-07-16,10.554
TAR,2013-07-17,10.292
TAR,2013-07-18,9.978
TAR,2013-07-19,10.239
TAR,2013-07-22,11.095
TAR,2013-07-23,11.47
TAR,2013-07-24,11.661
TAR,2013-07-25,12.097
TAR,2013-07-26,12.211
TAR,2013-07-29,12.114
TAR,2013-07-30,12.123
TAR,2013-07-31,11.949
TAR,2013-08-01,11.853
TAR,2013-08-02,12.167
TAR,2013-08-05,12.551
TAR,2013-08-06,12.551
TAR,2013-08-07,12.769
TAR,2013-08-08,13.196
TAR,2013-08-09,13.432
TAR,2013-08-12,13.24
TAR,2013-08-13,13.414
TAR,2013-08-14,13.083
TAR,2013-08-16,12.211
TAR,2013-08-19,11.993
TAR,2013-08-20,12.036
TAR,2013-08-21,12.194
TAR,2013-08-22,12.211
TAR,2013-08-23,12.201
TAR,2013-08-26,12.08
TAR,2013-08-27,11.949
TAR,2013-08-28,11.425
TAR,2013-08-29,10.998
TAR,2013-08-30,10.85
TAR,2013-09-02,11.373
TAR,2013-09-03,11.408
TAR,2013-09-04,11.208
TAR,2013-09-05,10.902
TAR,2013-09-06,11.164
TAR,2013-09-09,11.819
TAR,2013-09-10,12.123
TAR,2013-09-11,12.036
TAR,2013-09-12,11.861
TAR,2013-09-13,11.914
TAR,2013-09-16,11.6
TAR,2013-09-17,11.758
TAR,2013-09-18,11.418
TAR,2013-09-19,11.338
TAR,2013-09-20,11.25
TAR,2013-09-23,11.033
TAR,2013-09-24,11.243
TAR,2013-09-25,11.383
TAR,2013-09-26,11.6
TAR,2013-09-27,11.758
TAR,2013-09-30,11.687
TAR,2013-10-01,11.706
TAR,2013-10-02,11.774
TAR,2013-10-03,11.774
TAR,2013-10-04,11.774
TAR,2013-10-07,11.731
TAR,2013-10-08,11.513
TAR,2013-10-09,11.338
TAR,2013-10-10,11.6
TAR,2013-10-11,11.861
TAR,2013-10-14,11.774
TAR,2013-10-15,11.6
TAR,2013-10-16,11.556
TAR,2013-10-17,12.071
TAR,2013-10-18,12.402
TAR,2013-10-21,12.385
TAR,2013-10-22,12.69
TAR,2013-10-23,12.908
TAR,2013-10-24,13.31
TAR,2013-10-25,13.292
TAR,2013-10-28,13.258
TAR,2013-10-29,13.258
TAR,2013-10-30,13.083
TAR,2013-10-31,13.493
TAR,2013-11-04,13.694
TAR,2013-11-05,13.519
TAR,2013-11-06,13.519
TAR,2013-11-07,13.083
TAR,2013-11-08,13.083
TAR,2013-11-12,12.996
TAR,2013-11-13,12.908
TAR,2013-11-14,13.013
TAR,2013-11-15,13.013
TAR,2013-11-18,13.022
TAR,2013-11-19,13.083
TAR,2013-11-20,13.213
TAR,2013-11-21,13.083
TAR,2013-11-22,13.213
TAR,2013-11-25,13.127
TAR,2013-11-26,12.743
TAR,2013-11-27,12.612
TAR,2013-11-28,12.655
TAR,2013-11-29,12.9
TAR,2013-12-02,12.655
TAR,2013-12-03,12.62
TAR,2013-12-04,12.647
TAR,2013-12-05,12.428
TAR,2013-12-06,12.56
TAR,2013-12-09,12.655
TAR,2013-12-10,12.472
TAR,2013-12-11,12.289
TAR,2013-12-12,12.281
TAR,2013-12-13,12.263
TAR,2013-12-16,11.993
TAR,2013-12-17,12.001
TAR,2013-12-18,11.731
TAR,2013-12-19,12.036
TAR,2013-12-20,12.114
TAR,2013-12-23,12.637
TAR,2013-12-27,12.647
TAR,2013-12-30,12.9
TAR,2014-01-02,12.76
TAR,2014-01-03,12.76
TAR,2014-01-07,12.595
TAR,2014-01-08,12.385
TAR,2014-01-09,12.542
TAR,2014-01-10,12.437
TAR,2014-01-13,12.376
TAR,2014-01-14,12.341
TAR,2014-01-15,12.341
TAR,2014-01-16,12.289
TAR,2014-01-17,12.123
TAR,2014-01-20,12.088
TAR,2014-01-21,12.211
TAR,2014-01-22,12.534
TAR,2014-01-23,12.524
TAR,2014-01-24,12.42
TAR,2014-01-27,12.045
TAR,2014-01-28,12.123
TAR,2014-01-29,11.958
TAR,2014-01-30,12.201
TAR,2014-01-31,12.281
TAR,2014-02-03,12.499
TAR,2014-02-04,12.516
TAR,2014-02-05,12.482
TAR,2014-02-06,12.472
TAR,2014-02-07,12.637
TAR,2014-02-10,12.307
TAR,2014-02-11,13.118
TAR,2014-02-12,13.292
TAR,2014-02-13,13.065
TAR,2014-02-14,13.258
TAR,2014-02-17,12.996
TAR,2014-02-18,13.127
TAR,2014-02-19,12.725
TAR,2014-02-20,12.516
TAR,2014-02-21,12.472
TAR,2014-02-24,12.437
TAR,2014-02-25,12.69
TAR,2014-02-26,12.603
TAR,2014-02-27,12.612
TAR,2014-02-28,12.385
TAR,2014-03-03,11.626
TAR,2014-03-04,12.062
TAR,2014-03-05,12.211
TAR,2014-03-06,12.298
TAR,2014-03-07,12.201
TAR,2014-03-10,12.289
TAR,2014-03-11,12.368
TAR,2014-03-12,11.932
TAR,2014-03-13,11.706
TAR,2014-03-14,10.457
TAR,2014-03-17,10.379
TAR,2014-03-18,10.642
TAR,2014-03-19,10.789
TAR,2014-03-20,10.737
TAR,2014-03-21,10.554
TAR,2014-03-24,10.78
TAR,2014-03-25,10.902
TAR,2014-03-26,10.92
