<TICKER>,<DATE>,<CLOSE>
TEN,2018-05-11,59.747
TEN,2018-05-14,64.276
TEN,2018-05-15,59.747
TEN,2018-05-16,61.356
TEN,2018-05-17,56.855
TEN,2018-05-18,56.855
TEN,2018-05-21,58.59
TEN,2018-05-22,59.612
TEN,2018-05-23,58.783
TEN,2018-05-24,58.773
TEN,2018-05-25,58.311
TEN,2018-05-28,61.674
TEN,2018-05-29,64.931
TEN,2018-05-30,60.228
TEN,2018-06-01,61.674
TEN,2018-06-04,67.167
TEN,2018-06-05,75.156
TEN,2018-06-06,76.418
TEN,2018-06-07,79.984
TEN,2018-06-08,79.839
TEN,2018-06-11,76.505
TEN,2018-06-12,77.468
TEN,2018-06-13,76.389
TEN,2018-06-14,79.502
TEN,2018-06-15,79.02
TEN,2018-06-18,77.931
TEN,2018-06-19,75.647
TEN,2018-06-20,74.192
TEN,2018-06-21,70.347
TEN,2018-06-22,70.338
TEN,2018-06-25,74.847
TEN,2018-06-26,74.192
TEN,2018-06-27,72.419
TEN,2018-06-28,74.183
TEN,2018-06-29,73.238
TEN,2018-07-02,75.165
TEN,2018-07-03,74.587
TEN,2018-07-04,74.684
TEN,2018-07-05,77.574
TEN,2018-07-06,77.131
TEN,2018-07-09,76.9
TEN,2018-07-10,82.489
TEN,2018-07-11,82.393
TEN,2018-07-12,82.652
TEN,2018-07-13,82.393
TEN,2018-07-16,82.402
TEN,2018-07-17,81.622
TEN,2018-07-18,80.465
TEN,2018-07-19,79.984
TEN,2018-07-20,81.323
TEN,2018-07-23,83.386
TEN,2018-07-24,84.079
TEN,2018-07-25,91.548
TEN,2018-07-26,95.402
TEN,2018-07-27,102.05
TEN,2018-07-30,101.67
TEN,2018-07-31,98.293
TEN,2018-08-01,98.853
TEN,2018-08-02,99.061
TEN,2018-08-03,97.811
TEN,2018-08-06,95.884
TEN,2018-08-07,96.173
TEN,2018-08-08,102.9
TEN,2018-08-09,109.85
TEN,2018-08-10,109.38
TEN,2018-08-13,112.75
TEN,2018-08-14,118.05
TEN,2018-08-16,120.93
TEN,2018-08-17,118.53
TEN,2018-08-20,116.12
TEN,2018-08-21,116.6
TEN,2018-08-22,114.79
TEN,2018-08-23,112.65
TEN,2018-08-24,113.71
TEN,2018-08-27,115.64
TEN,2018-08-28,101.92
TEN,2018-08-29,106.01
TEN,2018-08-30,103.11
TEN,2018-08-31,97.619
TEN,2018-09-03,81.91
TEN,2018-09-04,86.517
TEN,2018-09-05,88.175
TEN,2018-09-06,85.283
TEN,2018-09-07,85.283
TEN,2018-09-10,89.62
TEN,2018-09-11,84.224
TEN,2018-09-12,82.894
TEN,2018-09-13,85.505
TEN,2018-09-14,86.44
TEN,2018-09-17,98.773
TEN,2018-09-18,98.293
TEN,2018-09-19,92.993
TEN,2018-09-20,94.824
TEN,2018-09-21,96.366
TEN,2018-09-24,89.62
TEN,2018-09-25,94.101
