<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-02-16,5.9493,5.9493,5.9493,5.9493
1998-02-17,6.3756,6.3756,6.3756,6.3756
1998-02-18,6.8645,6.8645,6.8645,6.8645
1998-02-19,7.2282,7.2282,7.2282,7.2282
1998-02-20,6.9837,6.9837,6.9837,6.9837
1998-02-23,6.5573,6.5573,6.5573,6.5573
1998-02-24,6.8019,6.8019,6.8019,6.8019
1998-02-25,6.6202,6.6202,6.6202,6.6202
1998-02-26,6.3756,6.3756,6.3756,6.3756
1998-02-27,6.6202,6.6202,6.6202,6.6202
1998-03-02,6.6202,6.6202,6.6202,6.6202
1998-03-03,6.7392,6.7392,6.7392,6.7392
1998-03-04,6.4947,6.4947,6.4947,6.4947
1998-03-05,6.2564,6.2564,6.2564,6.2564
1998-03-06,6.2564,6.2564,6.2564,6.2564
1998-03-09,6.4947,6.4947,6.4947,6.4947
1998-03-10,6.4947,6.4947,6.4947,6.4947
1998-03-11,6.3756,6.3756,6.3756,6.3756
1998-03-12,6.1938,6.1938,6.1938,6.1938
1998-03-13,6.3756,6.3756,6.3756,6.3756
1998-03-16,6.4947,6.4947,6.4947,6.4947
1998-03-17,6.6202,6.6202,6.6202,6.6202
1998-03-18,6.4382,6.4382,6.4382,6.4382
1998-03-19,6.4382,6.4382,6.4382,6.4382
1998-03-20,6.5573,6.5573,6.5573,6.5573
1998-03-23,6.6765,6.6765,6.6765,6.6765
1998-03-24,6.6765,6.6765,6.6765,6.6765
1998-03-25,6.8645,6.8645,6.8645,6.8645
1998-03-26,6.6765,6.6765,6.6765,6.6765
1998-03-27,6.0119,6.0119,6.0119,6.0119
1998-03-30,6.4382,6.4382,6.4382,6.4382
1998-03-31,6.3756,6.3756,6.3756,6.3756
1998-04-01,6.3756,6.3756,6.3756,6.3756
1998-04-02,6.131,6.131,6.131,6.131
1998-04-06,6.3756,6.3756,6.3756,6.3756
1998-04-07,6.4382,6.4382,6.4382,6.4382
1998-04-08,6.3128,6.3128,6.3128,6.3128
1998-04-09,6.3128,6.3128,6.3128,6.3128
1998-04-14,6.3756,6.3756,6.3756,6.3756
1998-04-15,6.4947,6.4947,6.4947,6.4947
1998-04-16,6.3756,6.3756,6.3756,6.3756
1998-04-17,6.2564,6.2564,6.2564,6.2564
1998-04-20,6.3128,6.3128,6.3128,6.3128
1998-04-21,6.3128,6.3128,6.3128,6.3128
1998-04-22,6.2564,6.2564,6.2564,6.2564
