<DATE>,<CLOSE>
2000-11-20,14.479
2000-11-21,14.43
2000-11-22,14.187
2000-11-23,13.801
2000-11-24,14.187
2000-11-27,14.138
2000-11-28,13.85
2000-11-29,13.367
2000-11-30,12.45
2000-12-01,12.45
2000-12-04,12.162
2000-12-05,12.5
2000-12-06,13.417
2000-12-07,13.513
2000-12-08,13.367
2000-12-11,13.466
2000-12-12,13.466
2000-12-13,13.08
2000-12-14,13.27
2000-12-15,13.03
2000-12-18,12.304
2000-12-19,12.982
2000-12-20,12.549
2000-12-21,12.694
2000-12-22,12.836
2000-12-27,13.03
2000-12-28,13.03
2000-12-29,12.933
2001-01-03,12.162
2001-01-04,12.304
2001-01-05,12.304
2001-01-08,11.968
2001-01-09,11.968
2001-01-10,11.582
2001-01-11,11.582
2001-01-12,11.295
2001-01-15,10.426
2001-01-16,10.232
2001-01-17,11.582
2001-01-18,12.017
2001-01-19,12.065
2001-01-22,11.919
2001-01-23,11.387
2001-01-24,11.871
2001-01-25,11.582
2001-01-26,11.582
2001-01-29,10.953
2001-01-30,10.906
2001-01-31,11.387
2001-02-01,11.099
2001-02-02,11.196
2001-02-05,11.099
2001-02-06,10.906
2001-02-07,10.763
2001-02-08,10.377
2001-02-09,10.714
2001-02-12,10.813
2001-02-13,11.099
2001-02-14,11.099
2001-02-15,11.968
2001-02-16,11.196
2001-02-19,12.017
2001-02-20,11.63
2001-02-21,10.861
2001-02-22,10.906
2001-02-23,11.099
2001-02-26,11.149
2001-02-27,11.149
2001-02-28,11.149
2001-03-01,11.246
2001-03-02,10.861
2001-03-05,11.099
2001-03-06,11.099
2001-03-07,11.099
2001-03-08,11.099
2001-03-09,11.099
2001-03-12,10.666
2001-03-13,10.763
2001-03-14,10.666
2001-03-15,11.342
2001-03-16,11.099
2001-03-19,11.099
2001-03-20,11.196
2001-03-21,11.099
2001-03-22,10.861
2001-03-23,11.149
2001-03-26,11.582
2001-03-27,11.534
2001-03-28,11.484
2001-03-29,11.099
2001-03-30,11.68
2001-04-02,11.821
2001-04-03,11.342
2001-04-04,11.196
2001-04-05,11.387
2001-04-06,11.582
2001-04-09,11.968
2001-04-10,12.212
2001-04-11,12.261
2001-04-12,12.304
2001-04-17,12.114
2001-04-18,12.5
2001-04-19,12.933
2001-04-20,13.9
2001-04-23,12.646
2001-04-24,12.982
2001-04-25,12.646
2001-04-26,12.646
2001-04-27,12.787
2001-04-30,12.787
2001-05-02,12.787
2001-05-07,12.739
2001-05-08,12.549
2001-05-09,12.45
2001-05-10,13.27
2001-05-11,13.27
2001-05-14,13.27
2001-05-15,13.03
2001-05-16,13.222
2001-05-17,13.03
2001-05-18,13.03
2001-05-21,13.27
2001-05-22,13.03
2001-05-23,13.222
2001-05-24,12.933
2001-05-25,13.27
2001-05-28,13.222
2001-05-29,13.513
2001-05-31,13.513
2001-06-01,13.752
2001-06-04,13.513
2001-06-05,13.513
2001-06-06,13.562
2001-06-07,13.27
2001-06-08,13.03
2001-06-11,12.787
2001-06-12,13.03
2001-06-13,13.27
2001-06-15,13.178
2001-06-19,13.03
2001-06-20,12.787
2001-06-21,12.836
2001-06-22,13.03
2001-06-25,13.178
2001-06-27,13.03
2001-06-28,13.03
2001-06-29,13.367
2001-07-02,13.03
2001-07-03,12.883
2001-07-04,12.549
2001-07-05,12.549
2001-07-06,13.03
2001-07-11,12.787
2001-07-12,11.968
2001-07-13,12.114
2001-07-16,11.68
2001-07-17,11.582
2001-07-24,10.666
2001-07-25,10.134
2001-07-26,9.218
2001-07-27,9.0713
2001-07-30,8.7347
2001-07-31,8.0122
2001-08-01,8.0122
2001-08-03,8.3249
2001-08-06,8.2032
2001-08-07,8.5437
2001-08-08,7.9384
2001-08-09,8.2032
2001-08-14,7.6271
2001-08-16,7.3838
2001-08-17,7.2369
2001-08-20,7.4809
2001-08-21,7.1887
2001-08-22,7.36
2001-08-27,7.6717
2001-08-29,7.4324
2001-08-30,7.3838
2001-08-31,7.3838
2001-09-03,7.3346
2001-09-04,7.1447
2001-09-07,6.7545
2001-09-10,6.3206
2001-09-11,6.0326
2001-09-12,5.9348
2001-09-14,5.2621
2001-09-17,5.5254
2001-09-18,5.1645
2001-09-19,5.1645
2001-09-20,5.1645
2001-09-21,5.5498
2001-09-25,5.5011
2001-09-26,4.8279
2001-09-27,4.4865
2001-09-28,4.1014
2001-10-01,4.3451
2001-10-02,4.6085
2001-10-03,4.5598
2001-10-04,4.6817
2001-10-05,4.8279
2001-10-09,5.2132
2001-10-10,4.9207
2001-10-11,5.0669
2001-10-12,5.3548
2001-10-15,5.5498
2001-10-16,6.418
2001-10-17,6.7101
2001-10-18,7.1447
2001-10-19,6.7545
2001-10-22,6.6615
2001-10-23,6.8514
2001-10-25,6.6615
2001-10-26,6.418
2001-10-29,6.4666
2001-10-31,6.6615
2001-11-02,6.1544
2001-11-05,5.8619
2001-11-06,5.9107
2001-11-07,5.4765
2001-11-08,5.7692
2001-11-09,5.7448
2001-11-12,5.8375
2001-11-13,6.1544
2001-11-14,6.2279
2001-11-15,6.515
2001-11-16,6.252
2001-11-21,5.8131
2001-11-22,5.8131
2001-11-23,6.0326
2001-11-26,5.984
2001-11-28,6.2712
2001-11-29,6.3691
2001-11-30,6.1786
2001-12-03,5.8131
2001-12-04,5.7935
2001-12-06,5.7935
2001-12-07,5.8862
2001-12-10,5.6961
2001-12-11,6.0818
2001-12-13,5.8862
2001-12-14,5.6961
2001-12-17,5.3108
2001-12-18,5.623
2001-12-19,5.3108
2001-12-20,5.0669
2001-12-31,5.0182
2002-01-03,5.0669
2002-01-04,5.2621
2002-01-07,5.5498
2002-01-08,5.7448
2002-01-09,6.0326
2002-01-10,5.7935
2002-01-11,5.7448
2002-01-14,5.7935
2002-01-15,6.0818
2002-01-16,6.0326
2002-01-17,6.1786
2002-01-18,5.8375
2002-01-21,5.8862
2002-01-22,6.1544
2002-01-23,6.2712
2002-01-24,6.515
2002-01-25,6.515
2002-01-28,6.1302
2002-01-29,6.2712
2002-01-30,6.2712
2002-01-31,6.515
2002-02-01,6.7101
2002-02-06,6.4666
2002-02-11,6.1786
2002-02-13,6.4423
2002-02-19,6.2712
2002-02-20,6.2712
2002-02-22,5.9348
2002-02-25,6.0326
2002-02-26,6.0326
2002-02-27,5.9348
2002-02-28,6.2712
2002-03-05,6.2712
2002-03-06,6.1302
2002-03-08,6.2712
2002-03-14,6.2712
2002-03-20,6.2279
2002-03-25,6.0082
2002-03-26,5.8862
2002-03-27,5.5498
2002-03-28,5.5498
2002-04-02,5.5742
2002-04-03,5.4522
2002-04-04,5.1159
2002-04-05,4.633
2002-04-09,5.0669
2002-04-11,5.3108
2002-04-12,4.4865
2002-04-15,4.2476
2002-04-16,4.1257
2002-04-17,4.3451
2002-04-18,4.3696
2002-04-19,4.3696
2002-04-22,4.4378
2002-04-23,4.6085
2002-04-24,4.5841
2002-04-25,4.5841
2002-04-26,4.6817
2002-04-29,4.8035
2002-04-30,4.7547
2002-05-02,4.5841
2002-05-07,5.1645
2002-05-08,5.1645
2002-05-09,5.7448
2002-05-10,5.5498
2002-05-13,5.5498
2002-05-14,5.7692
2002-05-15,5.3108
2002-05-16,5.6717
2002-05-17,5.3548
2002-05-20,5.4765
2002-05-21,5.3548
2002-05-23,5.5011
2002-05-24,5.5498
2002-05-27,5.5498
2002-05-28,5.3792
2002-05-31,5.4522
2002-06-03,5.5498
2002-06-04,5.5498
2002-06-05,5.7448
2002-06-06,5.7448
2002-06-07,5.5984
2002-06-11,5.5984
2002-06-12,5.5742
2002-06-13,5.6474
2002-06-14,5.5498
2002-06-17,5.5498
2002-06-18,5.6961
2002-06-19,5.6961
2002-06-20,5.6961
2002-06-24,5.7935
2002-06-26,5.7692
2002-06-27,5.6961
2002-06-28,5.5498
2002-07-01,5.5498
2002-07-02,5.5498
2002-07-04,5.7448
2002-07-05,5.984
2002-07-08,6.1302
2002-07-09,6.0818
2002-07-11,5.984
2002-07-18,5.9348
2002-07-19,5.8862
2002-07-22,5.8862
2002-07-23,5.7935
2002-07-25,5.5498
2002-07-26,5.8862
2002-07-29,5.5498
2002-07-30,5.7205
2002-07-31,4.872
2002-08-01,4.4134
2002-08-02,4.5353
2002-08-05,4.5353
2002-08-06,5.0182
2002-08-07,4.8279
2002-08-08,5.0182
2002-08-09,4.7793
2002-08-12,5.0426
2002-08-13,5.3792
2002-08-14,5.4522
2002-08-16,5.3108
2002-08-19,5.3108
2002-08-20,5.5498
2002-08-21,5.3303
2002-08-22,5.3108
2002-08-26,5.7448
2002-08-27,5.7448
2002-08-28,5.5498
2002-08-29,5.5254
2002-09-02,5.5498
2002-09-03,5.1645
2002-09-04,5.2864
2002-09-05,4.633
2002-09-06,4.872
2002-09-10,4.872
2002-09-11,4.9696
2002-09-12,4.8279
2002-09-13,4.7304
2002-09-16,4.8279
2002-09-17,4.8279
2002-09-18,4.7304
2002-09-19,4.7061
2002-09-20,4.7304
2002-09-24,4.633
2002-09-25,4.633
2002-09-30,4.7793
2002-10-02,4.633
2002-10-03,4.633
2002-10-04,4.5841
2002-10-07,4.4378
2002-10-08,4.4378
2002-10-09,4.4378
2002-10-10,4.5353
2002-10-11,4.5598
2002-10-15,4.5841
2002-10-16,4.6817
2002-10-17,4.7793
2002-10-18,5.0182
2002-10-21,4.9696
2002-10-22,5.0182
2002-10-23,5.2132
2002-10-24,5.3108
2002-10-25,5.4522
2002-10-28,5.8862
2002-10-29,5.6961
2002-10-30,5.7205
2002-10-31,5.5498
2002-11-04,5.6717
2002-11-05,5.6961
2002-11-06,5.9348
2002-11-07,6.4666
2002-11-08,6.418
2002-11-12,6.418
2002-11-13,6.7788
2002-11-14,7.2369
2002-11-15,7.2369
2002-11-18,7.3838
2002-11-19,7.2857
2002-11-20,7.1447
2002-11-21,7.4324
2002-11-22,7.4809
2002-11-25,7.7199
2002-11-26,7.5301
2002-11-27,7.7199
2002-11-28,7.4809
2002-11-29,7.2369
2002-12-02,7.4809
2002-12-03,7.5786
2002-12-04,7.2857
2002-12-05,7.2369
2002-12-06,6.9979
2002-12-09,7.1689
2002-12-10,7.3107
2002-12-11,7.3346
2002-12-12,7.2369
2002-12-13,7.2369
2002-12-17,6.9979
2002-12-18,6.9739
2002-12-19,6.9979
2002-12-20,7.1689
2002-12-23,6.7545
2002-12-27,7.0468
2002-12-30,6.4666
2002-12-31,6.1302
2003-01-02,6.3691
2003-01-03,6.6615
2003-01-06,6.4666
2003-01-07,6.7295
2003-01-08,6.8514
2003-01-09,6.9005
2003-01-10,6.8029
2003-01-13,7.0717
2003-01-14,7.1447
2003-01-15,7.1689
2003-01-16,7.1887
2003-01-17,7.1447
2003-01-20,7.2369
2003-01-21,7.4324
2003-01-22,7.4809
2003-01-23,7.6271
2003-01-24,7.6955
2003-01-27,7.5786
2003-01-28,7.4809
2003-01-29,7.4324
2003-01-30,7.4077
2003-01-31,7.4324
2003-02-03,7.4809
2003-02-04,7.4809
2003-02-05,7.5301
2003-02-06,7.6955
2003-02-07,7.6717
2003-02-12,7.5301
2003-02-13,7.3346
2003-02-14,7.4324
