<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-02-12,153.05,153.05,153.05,153.05
2010-02-18,152.26,152.26,152.26,152.26
2010-02-19,151.78,152.37,151.78,151.82
2010-02-22,151.06,151.06,150.9,150.9
2010-02-23,152.63,152.63,152.59,152.63
2010-02-24,152.75,152.75,151.97,151.97
2010-02-25,152.12,152.12,152.12,152.12
2010-02-26,150.53,150.91,150.53,150.91
2010-03-01,149.76,149.96,149.76,149.96
2010-03-02,149.57,149.57,149.57,149.57
2010-03-03,148.94,148.94,148.94,148.94
2010-03-04,148.66,148.66,148.66,148.66
2010-03-05,147.43,147.43,147.43,147.43
2010-03-08,147.03,147.03,147.03,147.03
2010-03-09,147.08,147.08,147.08,147.08
2010-03-10,150.13,150.13,150.13,150.13
2010-03-11,150.94,150.94,150.94,150.94
2010-03-12,150.34,150.34,150.34,150.34
2010-03-15,150.56,150.56,150.56,150.56
2010-03-16,149.84,149.84,149.84,149.84
2010-03-17,149.29,149.29,149.29,149.29
2010-03-18,149.8,149.8,149.8,149.8
2010-03-19,150.36,150.36,150.36,150.36
2010-03-22,150.45,150.45,150.07,150.07
2010-03-23,149.88,149.88,149.88,149.88
2010-03-24,149.9,149.9,149.9,149.9
2010-03-25,149.59,149.59,149.59,149.59
2010-03-26,150.55,150.55,150.55,150.55
2010-03-29,149.73,149.73,149.73,149.73
2010-03-30,149.23,149.23,149.23,149.23
2010-03-31,148.74,148.74,148.74,148.74
2010-04-01,149.33,149.33,149.33,149.33
2010-04-07,148.7,148.7,147.58,147.58
2010-04-08,149.48,149.48,149.48,149.48
2010-04-09,150.39,150.39,150.39,150.39
2010-04-12,150.15,150.15,150.15,150.15
2010-04-13,151.28,151.28,149.77,149.77
2010-04-14,149.3,149.3,149.3,149.3
2010-04-15,149.15,149.15,149.15,149.15
2010-04-16,151.36,151.36,151.36,151.36
2010-04-19,151.34,151.92,151.34,151.34
2010-04-20,150.6,151.73,150.6,151.73
2010-04-21,151.16,151.16,151.16,151.16
2010-04-22,152.81,152.81,151.86,151.86
2010-04-23,151.93,151.93,151.93,151.93
2010-04-26,150.48,150.48,150.48,150.48
2010-04-27,152.25,152.25,152.25,152.25
2010-04-28,152.25,152.25,152.25,152.25
2010-04-29,152.81,152.81,152.81,152.81
2010-04-30,153.22,153.41,153.22,153.41
2010-05-03,153.65,153.65,153.65,153.65
2010-05-04,155.47,155.86,155.47,155.86
2010-05-05,158.33,158.33,158.33,158.33
2010-05-06,161.82,162.44,160.81,161.82
2010-05-07,161.7,161.7,160.48,160.48
2010-05-10,156.86,156.86,156.47,156.86
2010-05-11,156.16,156.16,155.38,155.38
2010-05-12,154.85,154.85,154.85,154.85
2010-05-13,153.21,153.21,152.83,152.83
2010-05-14,155.43,155.43,155.23,155.23
2010-05-17,156.42,156.42,156.23,156.23
2010-05-18,156.29,156.49,156.29,156.49
2010-05-19,160.73,160.73,159.53,159.53
2010-05-20,163.41,163.41,161.37,161.78
2010-05-21,161.99,161.99,160.78,160.78
2010-05-24,159.38,159.38,159.38,159.38
2010-05-25,162.49,162.49,162.49,162.49
2010-05-26,159.97,159.97,159.97,159.97
2010-05-27,158.88,158.92,158.52,158.92
2010-05-28,159.5,159.5,159.5,159.5
2010-05-31,159.03,159.03,159.03,159.03
2010-06-01,158.96,159.76,158.96,159.76
2010-06-02,159.19,159.99,159.19,159.99
2010-06-03,160.23,160.23,159.83,159.83
2010-06-04,162.09,162.09,161.88,161.88
2010-06-07,161.92,161.92,160.7,160.7
2010-06-08,161.21,161.21,161.21,161.21
2010-06-09,159.94,160.35,159.94,160.35
2010-06-10,159.33,159.33,159.33,159.33
2010-06-11,160.26,160.26,159.86,160.26
2010-06-14,158.5,158.5,158.18,158.18
2010-06-15,158.96,158.96,158.16,158.16
2010-06-16,157.96,158.03,157.96,157.96
2010-06-17,158.4,158.4,158.4,158.4
2010-06-18,157.52,157.52,157.52,157.52
2010-06-21,157.54,157.54,157.54,157.54
2010-06-22,157.73,157.93,157.73,157.93
2010-06-23,158.38,158.57,158.38,158.57
2010-06-24,160.57,160.57,160.57,160.57
2010-06-25,160.28,160.28,160.07,160.28
2010-06-28,161.5,161.5,160.61,160.61
2010-06-29,161.29,161.29,161.29,161.29
2010-06-30,160.95,160.95,160.95,160.95
2010-07-01,162.61,162.61,162.54,162.54
2010-07-02,161.92,161.92,161.72,161.72
2010-07-06,159.95,159.95,159.91,159.91
2010-07-07,159.52,159.52,159.52,159.52
2010-07-08,159,159,159,159
2010-07-09,158.47,158.47,158.47,158.47
2010-07-12,158.38,158.86,158.38,158.86
2010-07-13,158.64,158.64,158.64,158.64
2010-07-14,158.42,158.42,158.42,158.42
2010-07-15,158.63,158.63,158.55,158.55
2010-07-16,160.34,160.34,160.34,160.34
2010-07-19,160.81,160.81,160.81,160.81
2010-07-20,160.2,160.41,160.2,160.41
2010-07-21,159.85,159.85,159.65,159.65
2010-07-22,159.23,159.31,159.04,159.04
2010-07-23,159.29,159.29,158.3,158.3
2010-07-26,157.8,157.8,157.2,157.2
2010-07-27,155.95,156.73,155.95,155.95
2010-07-28,156.17,156.17,155.78,156.17
2010-07-29,156.9,156.9,156.9,156.9
2010-07-30,156.95,156.95,155.97,156.56
2010-08-02,155.42,155.42,155.02,155.02
2010-08-03,155.89,156.68,155.89,156.68
2010-08-04,155.89,155.89,155.89,155.89
2010-08-05,156.27,156.27,156.27,156.27
2010-08-06,156.09,156.13,156.09,156.13
2010-08-09,155.16,155.16,155.16,155.16
2010-08-10,156,156.12,155.96,155.96
2010-08-11,157.25,157.25,157.06,157.06
2010-08-12,156.74,156.74,156.74,156.74
2010-08-13,156.48,156.48,156.14,156.48
2010-08-16,155.51,155.55,155.51,155.51
2010-08-17,154.34,154.34,154.34,154.34
2010-08-18,153.91,153.91,153.76,153.91
2010-08-19,156.11,156.11,155.33,155.33
2010-08-20,155.58,155.58,155.58,155.58
2010-08-23,157.06,157.06,157.06,157.06
2010-08-24,157.1,157.1,156.94,156.94
2010-08-25,156.66,156.81,156.66,156.81
2010-08-26,155.99,155.99,155.99,155.99
2010-08-27,155.55,155.75,155.4,155.75
2010-08-30,156.65,156.65,156.26,156.53
2010-08-31,156.72,156.72,156.53,156.72
2010-09-02,155.55,155.55,155.48,155.48
2010-09-03,154.81,154.81,154.81,154.81
2010-09-06,155.38,155.38,154.42,154.61
2010-09-07,154.9,155.02,154.9,155.02
2010-09-08,155.16,155.16,154.59,154.66
2010-09-09,154.69,154.69,154.61,154.61
2010-09-10,154.72,154.72,154.72,154.72
2010-09-13,154.33,154.33,154.33,154.33
2010-09-14,154.02,154.21,154.02,154.21
2010-09-16,155.07,155.45,155.07,155.45
2010-09-17,156.07,156.07,155.99,155.99
2010-09-20,155.5,155.5,155.5,155.5
2010-09-21,155.89,155.89,155.89,155.89
2010-09-22,155.35,155.35,155.35,155.35
2010-09-23,155.65,155.65,155.65,155.65
2010-09-24,155.26,155.88,155.26,155.88
2010-09-27,156.66,156.66,156.66,156.66
2010-09-28,156.8,156.8,156.8,156.8
2010-09-29,156.38,156.77,156.38,156.77
2010-09-30,156.96,157.35,156.96,156.96
2010-10-01,155.48,155.48,155.48,155.48
2010-10-04,156.42,156.42,156.03,156.03
2010-10-05,155.77,155.77,155.77,155.77
