<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2016-07-12,57.213,57.213,46.188,55.258
2016-07-13,54.361,65.233,52.454,58.176
2016-07-14,50.556,59.13,50.556,56.259
2016-07-18,51.5,57.213,50.556,57.213
2016-07-21,54.552,59.13,52.549,59.13
2016-07-22,59.082,59.13,56.841,59.13
2016-07-25,59.13,59.13,55.315,59.111
2016-07-26,58.176,58.176,57.222,57.222
2016-07-29,57.413,57.413,57.413,57.413
2016-08-01,55.696,55.696,55.696,55.696
2016-08-02,57.699,57.699,57.699,57.699
2016-08-03,55.696,57.699,55.696,57.699
2016-08-08,57.604,59.13,57.604,59.13
2016-08-09,59.13,59.13,56.269,58.653
2016-08-10,58.653,59.13,58.653,58.653
2016-08-11,58.653,58.653,58.653,58.653
2016-08-12,58.176,58.176,58.176,58.176
2016-08-16,58.824,58.824,58.824,58.824
2016-08-24,58.557,58.557,58.557,58.557
2016-08-25,58.653,58.653,58.653,58.653
2016-08-26,58.624,58.624,57.175,58.176
2016-08-29,58.643,58.939,57.222,57.222
2016-08-30,58.844,58.844,58.844,58.844
2016-08-31,58.653,58.653,58.176,58.176
2016-09-01,58.605,58.605,58.176,58.548
2016-09-02,58.462,58.462,57.222,57.222
2016-09-05,58.557,58.557,57.651,57.651
2016-09-06,58.414,58.414,57.222,57.222
2016-09-07,57.222,57.222,57.222,57.222
2016-09-08,58.176,58.176,58.176,58.176
2016-09-09,57.175,57.175,57.175,57.175
2016-09-14,55.029,58.176,53.407,58.176
2016-09-16,56.555,56.745,56.555,56.745
2016-09-19,53.884,56.745,53.884,56.745
2016-09-20,56.688,56.688,53.217,56.507
2016-09-21,55.982,55.982,55.887,55.887
2016-09-22,56.545,56.545,56.545,56.545
2016-09-23,56.259,56.259,56.259,56.259
2016-09-29,56.249,56.736,56.249,56.736
2016-09-30,56.736,56.736,56.736,56.736
2016-10-05,56.602,56.602,54.094,56.173
2016-10-06,53.789,56.269,53.789,56.269
2016-10-10,55.982,58.557,55.935,57.079
2016-10-11,57.127,57.127,56.078,56.078
2016-10-12,56.078,56.269,49.116,56.269
2016-10-13,51.452,56.173,51.452,51.977
2016-10-18,52.473,54.266,52.406,52.406
2016-10-19,53.312,53.312,52.454,52.597
2016-10-20,52.549,52.549,52.549,52.549
2016-10-21,52.931,55.219,52.444,52.444
2016-10-24,55.267,55.315,50.642,55.315
2016-10-25,55.219,55.219,55.219,55.219
2016-11-10,51.5,55.124,51.5,54.838
2016-11-14,54.743,54.743,54.743,54.743
2016-11-17,54.743,54.743,54.743,54.743
2016-11-23,54.361,54.361,54.361,54.361
2016-11-28,54.743,54.743,54.743,54.743
2016-12-05,54.733,54.743,53.312,54.743
2016-12-08,50.794,54.743,50.794,54.743
2016-12-13,54.352,54.352,54.352,54.352
2016-12-15,54.266,54.361,54.266,54.361
2016-12-16,54.743,54.743,54.352,54.352
