<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2008-09-12,2.9216,4.5559,2.885,4.1541
2008-09-15,4.574,4.8389,3.9258,4.1541
2008-09-16,4.3823,4.5649,4.1997,4.3823
2008-09-17,4.4736,4.4736,4.4736,4.4736
2008-09-18,4.3823,4.5649,4.3823,4.5649
2008-09-19,4.6015,4.7019,4.6015,4.7019
2008-09-22,4.6562,5.1128,4.6562,4.7932
2008-09-23,4.7658,4.8389,4.7658,4.8389
2008-09-24,4.8845,4.8845,4.8845,4.8845
2008-09-25,4.8206,4.9484,4.8206,4.9484
2008-09-26,5.1128,5.9344,5.1128,5.2954
2008-09-29,5.2954,5.2954,5.0671,5.2954
2008-09-30,5.2954,5.3501,5.0671,5.3501
2008-10-01,5.3501,5.3501,4.9758,4.9758
2008-10-02,5.1128,5.3501,5.1128,5.2041
2008-10-03,5.2041,5.3501,5.2041,5.341
2008-10-06,5.2954,5.3867,5.2954,5.3867
2008-10-07,5.3867,5.3867,5.3867,5.3867
2008-10-08,5.2954,5.4323,5.2954,5.4323
2008-10-09,5.3867,5.4597,5.0671,5.2041
2008-10-10,5.2041,5.2041,5.1584,5.1584
2008-10-13,5.1584,5.1584,5.1584,5.1584
2008-10-14,5.2041,5.2041,5.2041,5.2041
2008-10-15,5.1584,5.1584,5.1584,5.1584
2008-10-16,5.1584,5.1584,5.1584,5.1584
2008-10-17,5.1584,5.1584,5.1584,5.1584
2008-10-20,5.1584,5.1584,5.1584,5.1584
2008-10-21,5.2041,5.2041,5.2041,5.2041
2008-10-22,5.2041,5.2041,5.2041,5.2041
2008-10-23,5.2041,5.4231,5.2041,5.4231
2008-10-28,5.414,5.414,5.414,5.414
2008-10-29,5.414,5.414,5.2041,5.2041
2008-10-30,5.2041,5.2041,5.2041,5.2041
2008-10-31,5.2041,5.2497,5.2041,5.2497
2008-11-03,5.2497,5.2497,5.2497,5.2497
2008-11-04,5.414,5.4323,5.414,5.4323
2008-11-05,5.4231,5.4231,5.341,5.341
2008-11-06,5.341,5.341,5.341,5.341
2008-11-07,5.341,5.341,5.1128,5.1128
2008-11-10,5.1128,5.1128,5.1128,5.1128
2008-11-14,5.1128,5.1128,5.1128,5.1128
