<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-10-01,0.84,0.84,0.84,0.84
2012-10-02,1,1,1,1
2012-10-03,1.2,1.44,1,1.44
2012-10-04,1.72,2.1,1.72,2.1
2012-10-05,2.52,3.02,2.52,3.02
2012-10-08,3.31,4.76,3.31,4.2
2012-10-09,4.4,5,3.01,5
2012-10-10,5,5.35,4.4,5.35
2012-10-11,5.3,6.42,4.65,6.42
2012-10-12,6.41,6.42,5.2,6
2012-10-15,6,6,5.05,5.71
2012-10-16,5.7,5.7,4.8,5.65
2012-10-17,6,6,5.4,5.75
2012-10-18,5.2,5.99,4.57,5.99
2012-10-19,5.99,5.99,5.3,5.3
2012-10-22,5,5.45,5,5.45
2012-10-23,5,5.7,5,5.5
2012-10-24,5.5,5.5,5,5.34
2012-10-25,5.16,5.3,5,5.25
2012-10-26,5.01,5.1,5.01,5.1
2012-10-29,5.2,5.25,5.2,5.25
2012-10-30,5.25,6,5.12,6
2012-10-31,6,6.21,6,6.21
2012-11-02,6.25,7,6.01,6.01
2012-11-05,6.01,6.01,5.01,5.04
2012-11-06,5.05,5.25,5.05,5.25
2012-11-07,5.21,5.21,5.21,5.21
2012-11-08,5.21,5.4,5.21,5.4
2012-11-09,5.45,5.45,5.45,5.45
2012-11-12,5.45,5.45,5.45,5.45
2012-11-13,5.53,5.53,5.53,5.53
2012-11-14,5.6,5.6,5.6,5.6
2012-11-15,5.65,5.65,5.65,5.65
2012-11-16,5.9,6.63,5.9,6.63
2012-11-19,6.63,6.63,6.63,6.63
2012-11-20,6.63,6.63,6.63,6.63
2012-11-21,6.63,6.63,6.63,6.63
2012-11-22,6.77,6.77,6.19,6.19
2012-11-23,6.25,6.55,6.25,6.55
2012-11-26,6.55,6.55,6.55,6.55
2012-11-27,6.55,6.55,6.55,6.55
2012-11-28,6.55,6.55,6.55,6.55
2012-11-29,6.55,6.55,6.5,6.5
2012-11-30,6.55,6.55,6.55,6.55
2012-12-03,6.55,6.55,6.55,6.55
2012-12-04,6.5,6.5,6.5,6.5
2012-12-05,6.5,7.31,6.5,6.81
2012-12-06,6.8,6.8,6.8,6.8
2012-12-07,6.81,6.85,6.8,6.85
2012-12-10,6.9,6.9,6.9,6.9
2012-12-11,6.9,6.99,6.9,6.99
2012-12-12,6.99,7.1,6.63,7.1
2012-12-13,7.1,7.13,7.1,7.12
2012-12-14,7.12,7.6,7.12,7.6
2012-12-17,8,8.5,8,8.3
2012-12-18,8.21,8.21,8.2,8.2
2012-12-19,8.2,8.2,8.2,8.2
2012-12-20,8.2,8.2,8,8
2012-12-21,8,8,8,8
2012-12-27,8,8,8,8
2012-12-28,8,8,8,8
2013-01-02,8.25,8.25,8.25,8.25
2013-01-03,8.25,8.6,8.25,8.6
2013-01-04,8.7,8.7,8.6,8.6
2013-01-07,8.7,10,8.5,8.5
2013-01-08,8.61,8.65,8.6,8.6
2013-01-09,8.6,8.6,8.6,8.6
2013-01-10,8.6,9,8.6,9
2013-01-11,9.1,9.65,9.1,9.65
2013-01-14,9.7,9.7,9.7,9.7
2013-01-15,9.8,9.8,9.7,9.7
2013-01-16,9.71,9.72,9.71,9.72
2013-01-17,9.72,9.72,9.72,9.72
2013-01-18,9.9,9.9,9.8,9.8
2013-01-21,10,10.7,10,10.7
2013-01-22,11.3,11.3,10.7,10.7
2013-01-23,10.61,10.61,10.61,10.61
2013-01-24,10.62,10.7,10.62,10.62
2013-01-25,11,11,10.63,10.63
