<TICKER>,<DATE>,<CLOSE>
TSG,2009-07-08,9.0971
TSG,2009-07-09,9.546
TSG,2009-07-10,9.86
TSG,2009-07-13,10.531
TSG,2009-07-14,10.397
TSG,2009-07-15,10.317
TSG,2009-07-16,10.442
TSG,2009-07-17,10.397
TSG,2009-07-20,10.353
TSG,2009-07-21,10.397
TSG,2009-07-22,10.397
TSG,2009-07-23,9.904
TSG,2009-07-24,9.86
TSG,2009-07-27,9.86
TSG,2009-07-28,9.86
TSG,2009-07-29,10.308
TSG,2009-07-30,9.85
TSG,2009-07-31,9.85
TSG,2009-08-04,9.86
TSG,2009-08-05,10.317
TSG,2009-08-07,9.77
TSG,2009-08-10,9.77
TSG,2009-08-11,9.814
TSG,2009-08-12,9.814
TSG,2009-08-13,10.576
TSG,2009-08-14,10.576
TSG,2009-08-17,10.308
TSG,2009-08-18,10.308
TSG,2009-08-19,10.308
TSG,2009-08-20,10.128
TSG,2009-08-21,10.308
TSG,2009-08-24,10.801
TSG,2009-08-25,10.801
TSG,2009-08-26,10.979
TSG,2009-08-27,10.756
TSG,2009-08-28,11.607
TSG,2009-08-31,11.562
TSG,2009-09-01,11.115
TSG,2009-09-02,10.936
TSG,2009-09-03,10.936
TSG,2009-09-04,10.576
TSG,2009-09-07,10.397
TSG,2009-09-08,10.953
TSG,2009-09-09,11.115
TSG,2009-09-10,10.936
TSG,2009-09-11,11.832
TSG,2009-09-14,11.204
TSG,2009-09-15,11.159
TSG,2009-09-16,10.854
TSG,2009-09-17,11.472
TSG,2009-09-18,11.393
TSG,2009-09-21,11.921
TSG,2009-09-22,12.279
TSG,2009-09-23,12.011
TSG,2009-09-24,12.459
TSG,2009-09-25,14.341
TSG,2009-09-28,14.162
TSG,2009-09-29,13.983
TSG,2009-09-30,13.804
TSG,2009-10-01,13.804
TSG,2009-10-02,14.297
TSG,2009-10-05,14.072
TSG,2009-10-06,13.444
TSG,2009-10-07,13.444
TSG,2009-10-08,13.176
TSG,2009-10-09,13.444
TSG,2009-10-12,12.996
TSG,2009-10-13,12.988
TSG,2009-10-14,12.817
TSG,2009-10-15,12.817
TSG,2009-10-16,13.266
TSG,2009-10-19,12.638
TSG,2009-10-20,12.996
TSG,2009-10-21,12.548
TSG,2009-10-22,12.504
TSG,2009-10-23,12.548
TSG,2009-10-26,13.436
TSG,2009-10-27,12.996
TSG,2009-10-28,13.427
TSG,2009-10-29,12.817
TSG,2009-10-30,12.817
TSG,2009-11-02,12.655
TSG,2009-11-03,12.692
TSG,2009-11-04,12.728
TSG,2009-11-05,12.548
TSG,2009-11-06,12.459
TSG,2009-11-09,12.504
TSG,2009-11-10,12.504
TSG,2009-11-12,13.266
TSG,2009-11-13,12.584
TSG,2009-11-16,13.266
TSG,2009-11-17,12.996
TSG,2009-11-18,12.728
TSG,2009-11-20,12.728
TSG,2009-11-23,12.728
TSG,2009-11-24,12.548
TSG,2009-11-25,12.907
TSG,2009-11-26,13.176
TSG,2009-11-30,12.602
TSG,2009-12-01,13.176
TSG,2009-12-02,13.176
TSG,2009-12-03,13.176
TSG,2009-12-04,13.041
TSG,2009-12-07,13.4
TSG,2009-12-08,13.087
TSG,2009-12-10,12.862
TSG,2009-12-11,12.996
TSG,2009-12-15,12.548
TSG,2009-12-16,12.558
TSG,2009-12-17,12.952
TSG,2009-12-18,12.898
TSG,2009-12-21,12.548
TSG,2009-12-22,12.486
TSG,2009-12-23,12.495
TSG,2009-12-28,12.988
TSG,2009-12-29,12.996
TSG,2009-12-30,12.988
TSG,2009-12-31,12.988
TSG,2010-01-04,12.728
TSG,2010-01-05,12.548
TSG,2010-01-06,12.907
TSG,2010-01-07,12.728
TSG,2010-01-08,12.728
TSG,2010-01-12,12.548
TSG,2010-01-13,12.548
TSG,2010-01-14,13.166
TSG,2010-01-15,13.221
TSG,2010-01-18,13.221
TSG,2010-01-19,13.13
TSG,2010-01-20,13.221
TSG,2010-01-21,13.221
TSG,2010-01-22,12.907
TSG,2010-01-25,12.773
TSG,2010-01-26,12.548
TSG,2010-01-27,12.548
TSG,2010-01-28,12.548
TSG,2010-02-01,12.638
TSG,2010-02-02,12.638
TSG,2010-02-03,12.548
TSG,2010-02-04,12.548
TSG,2010-02-05,12.548
TSG,2010-02-08,12.459
TSG,2010-02-09,12.504
TSG,2010-02-10,12.548
TSG,2010-02-11,12.459
TSG,2010-02-12,12.369
TSG,2010-02-15,12.459
TSG,2010-02-16,12.369
TSG,2010-02-17,12.459
TSG,2010-02-18,12.459
TSG,2010-02-19,12.459
TSG,2010-02-22,12.459
TSG,2010-02-23,12.459
TSG,2010-02-24,12.414
TSG,2010-02-25,12.54
TSG,2010-02-26,12.54
TSG,2010-03-01,12.54
TSG,2010-03-02,12.54
TSG,2010-03-03,12.19
TSG,2010-03-04,12.235
TSG,2010-03-05,12.459
TSG,2010-03-08,12.459
TSG,2010-03-09,12.244
TSG,2010-03-10,12.53
TSG,2010-03-11,12.522
TSG,2010-03-12,12.522
TSG,2010-03-15,12.512
TSG,2010-03-16,12.495
TSG,2010-03-17,12.504
TSG,2010-03-18,12.495
TSG,2010-03-19,12.504
TSG,2010-03-22,12.504
TSG,2010-03-23,12.504
TSG,2010-03-24,12.504
TSG,2010-03-25,12.495
TSG,2010-03-26,12.495
TSG,2010-03-29,12.486
TSG,2010-03-30,12.119
TSG,2010-03-31,12.459
TSG,2010-04-01,12.45
TSG,2010-04-06,12.1
TSG,2010-04-07,12.45
TSG,2010-04-08,11.948
TSG,2010-04-09,12.1
TSG,2010-04-12,12.1
TSG,2010-04-13,12.011
TSG,2010-04-14,11.921
TSG,2010-04-15,11.921
TSG,2010-04-16,11.921
TSG,2010-04-19,11.661
TSG,2010-04-20,11.832
TSG,2010-04-21,11.832
TSG,2010-04-22,11.769
TSG,2010-04-23,12.145
TSG,2010-04-26,11.876
TSG,2010-04-27,11.921
TSG,2010-04-28,11.786
TSG,2010-04-29,11.786
TSG,2010-04-30,11.849
TSG,2010-05-04,11.965
TSG,2010-05-05,12.414
TSG,2010-05-06,12.414
TSG,2010-05-07,12.548
TSG,2010-05-10,12.773
TSG,2010-05-11,13.221
TSG,2010-05-12,12.979
TSG,2010-05-13,12.979
TSG,2010-05-14,13.714
TSG,2010-05-17,13.705
TSG,2010-05-18,13.534
TSG,2010-05-19,13.534
TSG,2010-05-20,13.444
TSG,2010-05-21,13.534
TSG,2010-05-24,13.176
TSG,2010-05-25,12.728
TSG,2010-05-26,13.176
TSG,2010-05-27,13.176
TSG,2010-05-28,13.804
TSG,2010-05-31,14.359
TSG,2010-06-01,14.699
TSG,2010-06-02,14.655
TSG,2010-06-07,14.341
TSG,2010-06-08,14.52
TSG,2010-06-09,14.297
TSG,2010-06-10,14.081
TSG,2010-06-11,14.072
TSG,2010-06-14,13.893
TSG,2010-06-15,14.341
TSG,2010-06-16,14.251
TSG,2010-06-17,14.655
TSG,2010-06-18,14.655
TSG,2010-06-21,14.341
TSG,2010-06-22,14.144
TSG,2010-06-23,13.983
TSG,2010-06-24,14.251
TSG,2010-06-25,13.983
TSG,2010-06-28,13.355
TSG,2010-06-29,13.848
TSG,2010-06-30,13.893
TSG,2010-07-01,13.534
TSG,2010-07-05,13.552
TSG,2010-07-06,13.83
TSG,2010-07-07,13.973
TSG,2010-07-08,13.623
TSG,2010-07-09,13.444
TSG,2010-07-12,13.355
TSG,2010-07-13,13.31
TSG,2010-07-14,13.427
TSG,2010-07-15,13.444
TSG,2010-07-16,14.251
TSG,2010-07-19,14.162
TSG,2010-07-20,14.072
