<DATE>,<CLOSE>
2006-09-13,8.4358
2006-09-14,8.1967
2006-09-15,8.0767
2006-09-18,7.9449
2006-09-19,7.6577
2006-09-20,7.837
2006-09-21,7.8073
2006-09-22,7.9506
2006-09-25,8.1243
2006-09-26,8.0285
2006-09-27,7.7301
2006-09-28,7.9506
2006-09-29,7.8073
2006-10-02,7.7775
2006-10-03,7.7358
2006-10-04,7.7116
2006-10-05,7.628
2006-10-06,7.837
2006-10-09,7.9087
2006-10-10,7.8669
2006-10-11,7.8966
2006-10-12,7.8073
2006-10-13,7.7478
2006-10-16,7.7775
2006-10-17,7.8315
2006-10-18,7.8669
2006-10-19,8.0888
2006-10-20,8.3762
2006-10-23,8.352
2006-10-24,8.2559
2006-10-25,8.2386
2006-10-26,8.4289
2006-10-27,8.4358
2006-10-30,8.4653
2006-10-31,8.4653
2006-11-02,8.4653
2006-11-03,8.7283
2006-11-06,8.9446
2006-11-07,8.7109
2006-11-08,8.6744
2006-11-09,8.6443
2006-11-10,8.8177
2006-11-13,8.7356
2006-11-14,8.7283
2006-11-15,8.4289
2006-11-16,8.3762
2006-11-17,8.3762
2006-11-20,8.4834
2006-11-21,8.5007
2006-11-22,8.6028
2006-11-23,8.7045
2006-11-24,8.9089
2006-11-27,8.9145
2006-11-28,8.9145
2006-11-29,9.129
2006-11-30,9.751
2006-12-01,10.53
2006-12-04,10.259
2006-12-05,9.884
2006-12-06,9.692
2006-12-07,9.686
2006-12-08,9.812
2006-12-11,9.751
2006-12-12,9.3639
2006-12-13,9.2728
2006-12-14,9.0331
2006-12-15,9.0331
2006-12-18,8.9747
2006-12-19,8.0767
2006-12-20,8.2923
2006-12-21,8.4653
2006-12-22,8.5129
2006-12-27,9.1951
2006-12-28,9.1769
2006-12-29,9.0212
2007-01-02,9.2258
2007-01-03,9.0212
2007-01-04,8.9674
2007-01-05,8.8843
2007-01-08,8.8542
2007-01-09,8.9145
2007-01-10,8.9747
2007-01-11,9.0577
2007-01-12,9.0696
2007-01-15,9.3869
2007-01-16,9.3332
2007-01-17,9.536
2007-01-18,9.602
2007-01-19,9.542
2007-01-22,9.507
2007-01-23,9.3265
2007-01-24,9.2728
2007-01-25,9.2133
2007-01-26,9.0869
2007-01-29,9.003
2007-01-30,8.9382
2007-01-31,8.8542
2007-02-01,8.9145
2007-02-02,8.9555
2007-02-05,9.0933
2007-02-06,8.9747
2007-02-07,8.9747
2007-02-08,9.2133
2007-02-09,9.1529
2007-02-12,8.7939
2007-02-13,8.621
2007-02-14,8.5189
2007-02-15,8.5249
2007-02-16,8.6744
2007-02-19,8.9628
2007-02-20,9.1721
2007-02-21,9.1529
2007-02-22,8.9674
2007-02-23,8.7648
2007-02-26,8.9747
2007-02-27,8.5249
2007-02-28,8.5734
2007-03-01,8.5734
2007-03-02,8.6149
2007-03-05,8.3165
2007-03-06,8.3701
2007-03-07,8.6443
2007-03-08,8.7283
2007-03-09,8.6744
2007-03-12,8.699
2007-03-13,8.6028
2007-03-14,8.6443
2007-03-15,8.5543
2007-03-16,8.8012
2007-03-19,8.9747
2007-03-20,8.9747
2007-03-21,9.1529
2007-03-22,9.0331
2007-03-23,9.1529
2007-03-26,9.0988
2007-03-27,9.2133
2007-03-28,9.2431
2007-03-29,9.2728
2007-03-30,9.2728
2007-04-02,9.2431
2007-04-03,9.2133
2007-04-04,9.064
2007-04-05,9.2133
2007-04-10,9.0933
2007-04-11,9.0933
2007-04-12,9.0933
2007-04-13,9.003
2007-04-16,9.0331
2007-04-17,8.9446
2007-04-18,9.0933
2007-04-19,9.1529
2007-04-20,9.2133
2007-04-23,9.1529
2007-04-24,9.0331
2007-04-25,9.1232
2007-04-26,9.1529
2007-04-27,9.2728
2007-04-30,9.781
2007-05-02,9.859
2007-05-04,9.943
2007-05-07,10.008
2007-05-08,9.901
2007-05-09,10.099
2007-05-10,9.997
2007-05-11,9.812
2007-05-14,9.692
2007-05-15,10.082
2007-05-16,9.769
2007-05-17,9.812
2007-05-18,9.8
2007-05-21,9.722
2007-05-22,9.751
2007-05-23,9.751
2007-05-24,9.781
2007-05-25,9.829
2007-05-28,9.8
2007-05-29,9.812
2007-05-30,9.841
2007-05-31,9.931
2007-06-01,9.931
2007-06-04,9.991
2007-06-05,10.094
2007-06-06,10.082
2007-06-08,9.872
2007-06-11,10.05
2007-06-12,9.872
2007-06-13,10.05
2007-06-14,10.05
2007-06-15,10.17
2007-06-18,10.733
2007-06-19,10.709
2007-06-20,10.733
2007-06-21,10.733
2007-06-22,10.75
2007-06-25,10.53
2007-06-26,10.607
2007-06-27,10.176
2007-06-28,10.231
2007-06-29,10.17
2007-07-02,9.997
2007-07-03,10.022
2007-07-04,9.872
2007-07-05,9.602
2007-07-06,9.751
2007-07-09,9.854
2007-07-10,9.578
2007-07-11,9.4109
2007-07-12,9.512
