<TICKER>,<DATE>,<CLOSE>
ULG,2018-06-15,7.7671
ULG,2018-06-18,7.6701
ULG,2018-06-19,7.0681
ULG,2018-06-20,5.8448
ULG,2018-06-21,7.5439
ULG,2018-06-22,7.7671
ULG,2018-06-25,7.2817
ULG,2018-06-26,7.5342
ULG,2018-06-27,7.4079
ULG,2018-06-28,7.0876
ULG,2018-06-29,6.6991
ULG,2018-07-02,6.7963
ULG,2018-07-03,6.9419
ULG,2018-07-04,7.1458
ULG,2018-07-05,7.4856
ULG,2018-07-06,7.4176
ULG,2018-07-09,7.1652
ULG,2018-07-10,7.3303
ULG,2018-07-11,7.7574
ULG,2018-07-12,7.7574
ULG,2018-07-13,7.7671
ULG,2018-07-16,7.6701
ULG,2018-07-17,7.8448
ULG,2018-07-18,7.8351
ULG,2018-07-19,7.8642
ULG,2018-07-20,7.7186
ULG,2018-07-23,7.8157
ULG,2018-07-24,7.7186
ULG,2018-07-25,7.7477
ULG,2018-07-26,7.7962
ULG,2018-07-27,8.0293
ULG,2018-07-30,9.515
ULG,2018-07-31,9.612
ULG,2018-08-01,9.0876
ULG,2018-08-02,9.0196
ULG,2018-08-03,9.0682
ULG,2018-08-06,9.0584
ULG,2018-08-07,8.9031
ULG,2018-08-08,9.107
ULG,2018-08-09,9.0293
ULG,2018-08-10,9.2721
ULG,2018-08-13,10.039
ULG,2018-08-14,10.058
ULG,2018-08-16,9.865
ULG,2018-08-17,9.865
ULG,2018-08-20,12.622
ULG,2018-08-21,12.137
ULG,2018-08-22,12.525
ULG,2018-08-23,11.554
ULG,2018-08-24,10.388
ULG,2018-08-27,12.078
ULG,2018-08-28,12.137
ULG,2018-08-29,12.078
ULG,2018-08-30,12.078
ULG,2018-08-31,11.379
ULG,2018-09-03,10.388
ULG,2018-09-04,10.369
ULG,2018-09-05,10.486
ULG,2018-09-06,10.894
ULG,2018-09-07,12.02
ULG,2018-09-10,11.651
ULG,2018-09-11,11.437
ULG,2018-09-12,11.631
ULG,2018-09-13,11.399
ULG,2018-09-14,11.767
ULG,2018-09-17,11.496
ULG,2018-09-18,11.612
ULG,2018-09-19,11.554
ULG,2018-09-20,11.554
ULG,2018-09-21,11.747
ULG,2018-09-24,11.747
ULG,2018-09-25,11.651
ULG,2018-09-26,11.631
ULG,2018-09-27,11.903
ULG,2018-09-28,11.651
ULG,2018-10-01,10.796
ULG,2018-10-02,10.932
ULG,2018-10-03,11.068
ULG,2018-10-04,11.437
ULG,2018-10-05,11.864
ULG,2018-10-08,11.631
ULG,2018-10-09,11.166
ULG,2018-10-10,11.068
ULG,2018-10-11,9.709
ULG,2018-10-12,10.68
ULG,2018-10-15,10.35
ULG,2018-10-16,10.991
ULG,2018-10-17,11.049
ULG,2018-10-18,11.262
ULG,2018-10-19,11.166
ULG,2018-10-22,11.747
ULG,2018-10-23,12.427
ULG,2018-10-24,13.068
ULG,2018-10-25,12.292
ULG,2018-10-26,11.709
ULG,2018-10-29,11.651
ULG,2018-10-30,12.039
ULG,2018-10-31,12.097
ULG,2018-11-02,12.369
ULG,2018-11-05,12.583
ULG,2018-11-06,12.99
ULG,2018-11-07,13.36
ULG,2018-11-08,14.059
ULG,2018-11-09,13.69
ULG,2018-11-13,13.981
ULG,2018-11-14,14.349
ULG,2018-11-15,14.059
ULG,2018-11-16,13.903
ULG,2018-11-19,13.36
ULG,2018-11-20,12.622
ULG,2018-11-21,12.777
ULG,2018-11-22,13.01
ULG,2018-11-23,13.107
ULG,2018-11-26,13.379
ULG,2018-11-27,13.379
ULG,2018-11-28,13.204
ULG,2018-11-29,13.36
ULG,2018-11-30,12.952
ULG,2018-12-03,13.282
ULG,2018-12-04,12.99
ULG,2018-12-05,13.418
ULG,2018-12-06,13.321
ULG,2018-12-07,13.204
ULG,2018-12-10,12.563
ULG,2018-12-11,12.467
ULG,2018-12-12,12.602
ULG,2018-12-13,12.175
ULG,2018-12-14,12.175
ULG,2018-12-17,11.942
ULG,2018-12-18,11.399
ULG,2018-12-19,10.68
ULG,2018-12-20,10.874
ULG,2018-12-21,11.184
ULG,2018-12-27,11.359
ULG,2018-12-28,11.612
ULG,2019-01-02,12.078
ULG,2019-01-03,11.845
ULG,2019-01-04,11.981
ULG,2019-01-07,12.427
ULG,2019-01-08,12.875
ULG,2019-01-09,12.855
ULG,2019-01-10,12.971
ULG,2019-01-11,13.03
ULG,2019-01-14,13.165
ULG,2019-01-15,14.369
ULG,2019-01-16,15.632
ULG,2019-01-17,15.398
ULG,2019-01-18,15.495
ULG,2019-01-21,16.447
ULG,2019-01-22,16.311
ULG,2019-01-23,16.466
ULG,2019-01-24,15.534
ULG,2019-01-25,15.185
ULG,2019-01-28,14.932
ULG,2019-01-29,14.757
ULG,2019-01-30,16
ULG,2019-01-31,15.728
ULG,2019-02-01,15.534
ULG,2019-02-04,15.36
ULG,2019-02-05,15.049
ULG,2019-02-06,15.262
ULG,2019-02-07,15.243
ULG,2019-02-08,15.243
ULG,2019-02-11,15.146
ULG,2019-02-12,15.049
ULG,2019-02-13,15.825
ULG,2019-02-14,16.058
ULG,2019-02-15,15.923
ULG,2019-02-18,16.02
ULG,2019-02-19,15.884
ULG,2019-02-20,15.845
ULG,2019-02-21,15.903
ULG,2019-02-22,16.02
ULG,2019-02-25,16.156
ULG,2019-02-26,16.02
ULG,2019-02-27,16.991
ULG,2019-02-28,17.826
ULG,2019-03-01,18
ULG,2019-03-04,18.137
ULG,2019-03-05,18.835
ULG,2019-03-06,18.738
ULG,2019-03-07,18.408
ULG,2019-03-08,18.544
ULG,2019-03-11,19.903
ULG,2019-03-12,20.486
ULG,2019-03-13,19.903
ULG,2019-03-14,21.311
ULG,2019-03-15,21.505
ULG,2019-03-18,20.874
ULG,2019-03-19,20.341
ULG,2019-03-20,20.001
ULG,2019-03-21,20.729
ULG,2019-03-22,20.729
ULG,2019-03-25,20.194
ULG,2019-03-26,20.534
ULG,2019-03-27,20.049
ULG,2019-03-28,20.291
ULG,2019-03-29,21.554
ULG,2019-04-01,21.505
ULG,2019-04-02,21.36
ULG,2019-04-03,21.262
ULG,2019-04-04,21.214
ULG,2019-04-05,21.117
ULG,2019-04-08,20.098
ULG,2019-04-09,20.534
ULG,2019-04-10,20.729
ULG,2019-04-11,20.486
ULG,2019-04-12,20.291
ULG,2019-04-15,20.583
