<DATE>,<CLOSE>
1997-05-21,12.052
1997-05-22,12.588
1997-05-23,11.917
1997-05-26,11.516
1997-05-27,11.314
1997-05-28,11.449
1997-05-30,12.052
1997-06-02,12.721
1997-06-03,13.323
1997-06-04,13.189
1997-06-05,13.057
1997-06-06,13.659
1997-06-09,14.73
1997-06-10,14.73
1997-06-11,16.203
1997-06-12,17.34
1997-06-13,17.34
1997-06-16,16.67
1997-06-17,15.935
1997-06-18,15.733
1997-06-19,15.533
1997-06-20,15.667
1997-06-23,15.131
1997-06-24,13.859
1997-06-25,13.859
1997-06-26,13.458
1997-06-27,13.792
1997-06-30,13.792
1997-07-01,13.592
1997-07-02,13.458
1997-07-03,13.524
1997-07-04,14.127
1997-07-07,13.859
1997-07-08,13.057
1997-07-09,13.524
1997-07-10,13.391
1997-07-11,13.256
1997-07-14,11.985
1997-07-15,11.985
1997-07-16,12.588
1997-07-17,13.524
1997-07-18,13.524
1997-07-21,12.988
1997-07-22,13.391
1997-07-23,13.123
1997-07-24,12.854
1997-07-25,12.453
1997-07-28,12.118
1997-07-29,12.386
1997-07-30,12.788
1997-07-31,13.057
1997-08-01,12.788
1997-08-04,13.057
1997-08-05,13.057
1997-08-06,13.057
1997-08-07,12.788
1997-08-08,13.256
1997-08-11,13.792
1997-08-12,13.323
1997-08-13,13.391
1997-08-14,12.854
1997-08-18,12.386
1997-08-19,12.588
1997-08-20,12.721
1997-08-21,12.453
1997-08-22,12.186
1997-08-25,12.32
1997-08-26,12.252
1997-08-27,12.386
1997-08-28,12.453
1997-08-29,12.386
1997-09-01,12.186
1997-09-02,12.118
1997-09-03,12.386
1997-09-04,12.653
1997-09-05,12.653
1997-09-08,12.788
1997-09-09,13.123
1997-09-10,13.057
1997-09-11,12.854
1997-09-12,12.721
1997-09-15,12.988
1997-09-16,12.788
1997-09-17,12.721
1997-09-18,12.854
1997-09-19,12.788
1997-09-22,12.988
1997-09-23,13.057
1997-09-24,13.123
1997-09-25,13.189
1997-09-26,12.922
1997-09-29,12.922
1997-09-30,12.721
1997-10-01,12.588
1997-10-02,12.653
1997-10-03,12.588
1997-10-06,12.52
1997-10-07,12.386
1997-10-08,12.52
1997-10-09,12.32
1997-10-10,11.985
1997-10-13,11.85
1997-10-14,11.717
1997-10-15,11.583
1997-10-16,11.917
1997-10-17,11.717
1997-10-20,11.917
1997-10-21,11.917
1997-10-22,12.186
1997-10-23,12.386
1997-10-24,11.717
1997-10-27,11.249
1997-10-28,10.177
1997-10-29,10.512
1997-10-30,9.575
1997-10-31,9.976
1997-11-03,10.177
1997-11-04,10.378
1997-11-05,10.378
1997-11-06,10.243
1997-11-07,10.043
1997-11-12,9.641
1997-11-13,9.1058
1997-11-14,9.307
1997-11-17,9.708
1997-11-18,9.708
1997-11-19,9.2397
1997-11-20,9.4408
1997-11-21,9.641
1997-11-24,9.507
1997-11-25,8.8377
1997-11-26,9.4408
1997-11-27,9.507
1997-11-28,9.507
1997-12-01,9.708
1997-12-02,10.11
1997-12-03,10.043
1997-12-04,10.311
1997-12-05,10.444
1997-12-08,10.311
1997-12-09,10.043
1997-12-10,9.775
1997-12-11,9.4408
1997-12-12,8.9046
1997-12-15,9.1058
1997-12-16,9.2397
1997-12-17,9.0385
1997-12-18,9.0385
1997-12-19,9.1058
1997-12-22,9.0385
1997-12-23,9.1058
1997-12-29,9.1723
1997-12-30,9.507
1997-12-31,9.775
1998-01-05,10.11
1998-01-06,10.11
1998-01-07,10.043
1998-01-08,9.842
1998-01-09,9.4408
1998-01-12,8.9721
1998-01-13,9.307
1998-01-14,9.507
1998-01-15,8.9721
1998-01-16,8.9721
1998-01-19,9.4408
1998-01-20,9.641
1998-01-21,9.641
1998-01-22,9.641
1998-01-23,9.775
1998-01-26,9.976
1998-01-27,9.976
1998-01-28,10.311
1998-01-29,10.579
1998-01-30,10.712
1998-02-02,10.579
1998-02-03,10.579
1998-02-04,10.444
1998-02-05,10.444
1998-02-06,10.646
1998-02-09,10.712
1998-02-10,10.712
1998-02-11,10.579
1998-02-12,10.444
1998-02-13,9.909
1998-02-16,9.976
1998-02-17,9.842
1998-02-18,9.842
1998-02-19,10.243
1998-02-20,10.512
1998-02-23,11.249
1998-02-24,11.249
1998-02-25,10.914
1998-02-26,11.382
1998-02-27,11.449
1998-03-02,11.516
1998-03-03,11.85
1998-03-04,11.382
1998-03-05,10.512
1998-03-06,10.846
1998-03-09,11.048
1998-03-10,11.516
1998-03-11,11.985
1998-03-12,11.65
1998-03-13,11.717
1998-03-16,11.516
1998-03-17,11.583
1998-03-18,11.249
1998-03-19,10.98
1998-03-20,11.115
1998-03-23,11.717
1998-03-24,11.583
1998-03-25,11.516
1998-03-26,10.378
1998-03-27,10.712
1998-03-30,9.775
1998-03-31,10.11
1998-04-01,10.043
1998-04-02,10.177
1998-04-06,10.043
1998-04-07,10.378
1998-04-08,10.243
1998-04-09,10.043
1998-04-14,10.043
1998-04-15,10.444
1998-04-16,10.177
1998-04-17,9.842
1998-04-20,9.3725
1998-04-21,8.8377
1998-04-22,8.9046
1998-04-23,8.9721
1998-04-24,8.9721
1998-04-27,9.1723
1998-04-28,8.8377
1998-04-29,8.7041
1998-04-30,8.8377
1998-05-04,9.0385
1998-05-05,9.1058
1998-05-06,8.5696
1998-05-07,8.7041
1998-05-08,8.6373
1998-05-11,8.7041
1998-05-12,8.7041
1998-05-13,8.4361
1998-05-14,8.1689
1998-05-15,7.9671
1998-05-18,7.8335
1998-05-19,7.6329
1998-05-20,7.6329
1998-05-21,8.3693
1998-05-22,8.3016
1998-05-25,8.2345
1998-05-26,8.3693
1998-05-27,7.9671
1998-05-28,7.9007
1998-05-29,7.8335
1998-06-01,7.097
1998-06-02,6.6951
1998-06-03,6.6951
1998-06-04,6.6951
1998-06-05,6.6951
1998-06-08,6.8291
1998-06-09,6.5949
1998-06-10,6.3605
1998-06-15,5.7244
1998-06-16,5.6241
1998-06-17,6.0257
1998-06-18,6.2934
1998-06-19,6.0257
1998-06-22,5.8918
1998-06-23,5.8918
1998-06-24,5.8918
1998-06-25,5.8248
1998-06-26,5.7579
1998-06-29,5.6909
1998-06-30,5.7579
1998-07-01,5.6909
1998-07-02,5.6909
1998-07-03,5.6909
1998-07-06,6.1596
1998-07-07,6.2601
1998-07-08,6.327
1998-07-09,6.2934
1998-07-10,6.2934
1998-07-13,6.3605
1998-07-14,6.6951
1998-07-15,6.6951
1998-07-16,6.5613
1998-07-17,6.6951
1998-07-20,6.6617
1998-07-21,6.5949
1998-07-22,5.9922
1998-07-23,5.7579
1998-07-24,5.6909
1998-07-27,5.7244
1998-07-28,5.3562
1998-07-29,5.0884
1998-07-30,5.2223
1998-07-31,5.2558
1998-08-03,5.0884
1998-08-04,4.5862
1998-08-05,4.352
1998-08-06,4.5527
1998-08-07,4.988
1998-08-10,5.0214
1998-08-11,5.0884
1998-08-12,5.0884
1998-08-13,5.1555
1998-08-14,5.0884
1998-08-17,4.5862
1998-08-18,4.6866
1998-08-19,5.1555
1998-08-20,5.1555
1998-08-21,5.0214
1998-08-24,4.5192
1998-08-25,4.7871
1998-08-26,4.4858
1998-08-27,4.0506
1998-08-28,3.9502
1998-08-31,4.1511
1998-09-01,4.0171
1998-09-02,4.4188
1998-09-03,4.352
1998-09-04,4.4858
1998-09-07,4.6866
1998-09-08,4.8875
1998-09-09,5.0214
1998-09-10,4.9545
1998-09-11,5.1555
1998-09-14,5.2223
1998-09-15,5.3562
1998-09-16,5.49
1998-09-17,5.6241
1998-09-18,5.6909
1998-09-21,5.5571
1998-09-22,5.3562
1998-09-23,5.3562
1998-09-24,5.3898
1998-09-25,4.854
1998-09-28,5.1555
1998-09-29,5.2223
1998-09-30,5.1555
1998-10-01,5.1555
1998-10-02,5.1555
1998-10-05,5.2223
1998-10-06,5.2223
1998-10-07,5.2223
1998-10-08,5.2893
1998-10-09,5.3562
1998-10-12,5.49
1998-10-13,5.6574
1998-10-14,5.9588
1998-10-15,6.1596
1998-10-16,6.4943
1998-10-19,6.6283
1998-10-20,6.3605
1998-10-21,6.3605
1998-10-22,6.2934
1998-10-23,6.3605
1998-10-26,6.4943
1998-10-27,6.6951
1998-10-28,6.7622
1998-10-29,6.8291
1998-10-30,6.8961
1998-11-02,7.0301
1998-11-03,7.0301
1998-11-04,6.4274
1998-11-05,6.8291
1998-11-06,6.6283
