<DATE>,<CLOSE>
2008-04-08,7.5419
2008-04-09,7.5339
2008-04-10,7.5339
2008-04-11,7.6125
2008-04-14,7.5339
2008-04-15,7.5339
2008-04-16,7.5339
2008-04-17,7.5339
2008-04-18,7.5339
2008-04-21,7.5419
2008-04-22,7.5339
2008-04-23,7.5339
2008-04-24,7.5339
2008-04-25,7.3926
2008-04-28,7.5183
2008-04-29,7.5183
2008-04-30,7.6125
2008-05-05,7.5339
2008-05-06,7.5339
2008-05-07,7.5889
2008-05-08,7.5339
2008-05-09,7.6045
2008-05-12,7.6125
2008-05-13,7.6202
2008-05-14,7.6909
2008-05-15,7.8477
2008-05-16,8.044
2008-05-19,8.3739
2008-05-20,8.4518
2008-05-21,8.2562
2008-05-23,8.405
2008-05-26,8.3963
2008-05-27,8.3821
2008-05-28,8.3739
2008-05-29,8.3739
2008-05-30,8.319
2008-06-02,8.319
2008-06-03,8.319
2008-06-04,8.0912
2008-06-05,8.1774
2008-06-06,8.2485
2008-06-09,8.319
2008-06-10,8.3033
2008-06-11,8.2169
2008-06-12,8.2246
2008-06-13,8.24
2008-06-16,8.2169
2008-06-17,8.185
2008-06-18,8.162
2008-06-19,7.9264
2008-06-20,8.0912
2008-06-23,8.1543
2008-06-24,8.1226
2008-06-25,8.0676
2008-06-26,8.0832
2008-06-27,7.997
2008-06-30,8.0754
2008-07-01,8.0832
2008-07-02,8.0676
2008-07-03,8.1226
2008-07-04,8.0754
2008-07-07,8.0832
2008-07-08,8.0754
2008-07-09,8.0676
2008-07-10,8.0048
2008-07-11,8.0048
2008-07-14,7.9264
2008-07-15,7.9654
2008-07-16,7.997
2008-07-17,7.6909
2008-07-18,7.6909
2008-07-21,8.0676
2008-07-22,7.8477
2008-07-23,7.8477
2008-07-24,7.8477
2008-07-25,7.8477
2008-07-28,8.0048
2008-07-29,7.997
2008-07-30,7.9654
2008-07-31,7.6909
2008-08-01,7.8477
2008-08-04,7.8477
2008-08-05,7.8402
2008-08-06,7.8477
2008-08-07,7.8477
2008-08-08,7.7695
2008-08-11,7.7695
2008-08-12,8.0048
2008-08-13,8.319
2008-08-14,8.3963
2008-08-18,8.625
2008-08-19,8.24
2008-08-20,8.3739
2008-08-21,8.3963
2008-08-22,8.3963
2008-08-25,8.3963
2008-08-27,8.405
2008-08-29,8.3963
2008-09-01,8.4518
2008-09-02,8.4289
2008-09-03,7.8477
2008-09-04,8.1927
2008-09-05,8.2014
2008-09-08,8.2323
2008-09-09,8.3583
2008-09-10,8.3583
2008-09-11,8.3661
2008-09-12,8.24
2008-09-15,8.0048
2008-09-16,7.8402
2008-09-17,7.6516
2008-09-18,7.4555
2008-09-19,7.4555
2008-09-22,7.4555
2008-09-23,7.2199
2008-09-24,7.2122
2008-09-25,7.0631
2008-09-26,7.3769
2008-09-29,7.4555
2008-09-30,7.2199
2008-10-01,7.4555
2008-10-02,7.4555
2008-10-03,7.1808
2008-10-06,7.0631
2008-10-07,7.2984
2008-10-08,7.2122
2008-10-09,7.2122
2008-10-10,7.1808
2008-10-13,7.2199
2008-10-14,7.2199
2008-10-15,6.9139
2008-10-16,6.906
2008-10-17,6.906
2008-10-20,7.0631
2008-10-21,7.1336
2008-10-22,7.11
2008-10-23,7.1021
2008-10-24,7.0631
2008-10-27,6.9768
2008-10-28,6.9452
2008-10-29,6.7492
2008-10-30,6.4352
2008-10-31,6.5922
2008-11-03,7.0552
2008-11-04,7.0238
2008-11-05,6.9845
2008-11-06,7.0238
2008-11-07,6.5922
2008-11-10,6.4352
2008-11-12,6.2391
2008-11-13,6.1212
2008-11-14,6.1526
2008-11-17,6.1998
2008-11-19,6.1998
2008-11-20,6.2625
2008-11-21,5.9957
2008-11-24,5.6897
2008-11-25,5.7995
2008-11-26,5.5717
2008-11-27,5.3757
2008-11-28,5.1012
2008-12-01,4.9834
2008-12-02,4.9834
2008-12-03,4.9756
2008-12-04,4.9676
2008-12-05,5.0227
2008-12-08,4.9205
2008-12-09,5.0304
2008-12-10,4.7871
2008-12-11,4.7086
2008-12-12,4.5439
2008-12-15,4.3948
2008-12-16,4.3948
2008-12-17,4.2535
2008-12-18,3.9239
2008-12-22,3.8297
2008-12-23,3.7355
2008-12-29,3.806
2008-12-30,3.806
2008-12-31,3.7669
2009-01-05,3.8455
2009-01-06,3.9239
2009-01-07,3.7669
2009-01-08,3.6807
2009-01-09,3.6414
2009-01-12,3.508
2009-01-13,3.4138
2009-01-14,3.2726
2009-01-15,3.1313
2009-01-16,3.2176
2009-01-19,3.1705
2009-01-20,3.2097
2009-01-21,3.0606
2009-01-22,3.1392
2009-01-23,3.2176
2009-01-26,3.3509
2009-01-27,3.3509
2009-01-28,3.4451
2009-01-29,3.5157
2009-01-30,3.2255
2009-02-02,3.2332
2009-02-03,3.1392
2009-02-04,3.1392
2009-02-05,3.0606
2009-02-06,3.0606
2009-02-09,3.0135
2009-02-10,3.0213
2009-02-11,3.0372
2009-02-12,3.0606
2009-02-13,3.0998
2009-02-16,3.092
2009-02-17,2.9035
2009-02-18,2.7466
2009-02-19,2.8252
2009-02-20,2.8174
2009-02-23,2.7076
2009-02-25,2.7466
2009-02-26,2.7311
2009-02-27,2.7466
2009-03-02,2.8252
2009-03-03,2.7076
2009-03-04,2.4331
2009-03-05,2.5113
2009-03-06,2.4331
2009-03-09,2.3545
2009-03-10,2.4331
2009-03-11,2.5113
2009-03-12,2.5898
2009-03-13,2.7544
2009-03-16,2.8017
2009-03-17,2.8174
2009-03-18,2.8174
2009-03-19,2.8802
2009-03-20,2.8645
2009-03-23,3.0213
2009-03-24,3.1158
2009-03-25,3.1941
2009-03-26,3.4687
2009-03-27,3.4059
2009-03-30,3.3038
2009-03-31,3.3434
2009-04-01,3.3745
2009-04-02,3.4532
2009-04-03,3.6337
2009-04-06,4.081
2009-04-07,4.5518
2009-04-08,4.7871
2009-04-09,4.9284
2009-04-14,4.8656
2009-04-15,4.7871
2009-04-16,4.8264
2009-04-17,4.8185
2009-04-20,4.5909
2009-04-21,4.7086
2009-04-22,4.5909
2009-04-23,4.7008
2009-04-24,4.5518
2009-04-27,4.5124
2009-04-28,4.324
2009-04-29,4.3554
2009-04-30,4.6302
2009-05-04,4.5909
2009-05-05,4.6066
2009-05-06,4.6302
2009-05-07,4.5124
2009-05-08,4.5518
2009-05-11,4.5518
2009-05-12,4.7086
2009-05-13,4.6694
2009-05-14,4.6224
2009-05-15,4.5752
2009-05-18,4.4184
2009-05-19,4.3008
2009-05-20,4.2064
2009-05-21,4.081
2009-05-22,4.0496
2009-05-25,4.0022
2009-05-26,3.8455
2009-05-27,3.7669
2009-05-28,3.6492
2009-05-29,3.7584
2009-06-01,3.8848
2009-06-02,4.0259
2009-06-03,3.9239
2009-06-04,4.0337
2009-06-05,4.0022
2009-06-08,3.9239
2009-06-09,3.9239
2009-06-10,4.2378
2009-06-12,4.0337
2009-06-15,4.0729
2009-06-16,3.9161
2009-06-17,3.6885
2009-06-18,3.7277
2009-06-19,3.7984
2009-06-22,3.7669
2009-06-23,3.6257
2009-06-24,3.9788
2009-06-25,3.9631
2009-06-26,3.8848
2009-06-29,4.1593
2009-06-30,4.1593
2009-07-01,4.1986
2009-07-02,4.0181
2009-07-03,3.9396
2009-07-06,4.0022
2009-07-07,4.0418
2009-07-08,4.0102
2009-07-09,3.8768
2009-07-10,3.7827
2009-07-13,3.8455
2009-07-14,3.9161
2009-07-15,3.7592
2009-07-16,3.8689
2009-07-17,3.7669
2009-07-20,3.8455
2009-07-21,3.9161
2009-07-22,3.8455
2009-07-23,4.0022
2009-07-24,4.0337
2009-07-27,4.3163
2009-07-28,4.3086
2009-07-29,4.2848
2009-07-30,4.7086
2009-07-31,4.764
2009-08-03,4.5518
2009-08-04,4.4366
2009-08-05,4.5166
2009-08-06,4.5988
2009-08-07,4.5724
2009-08-10,4.5166
2009-08-11,4.5166
2009-08-12,4.5485
2009-08-13,4.6283
2009-08-14,4.7479
2009-08-17,4.5086
2009-08-18,4.5485
2009-08-19,4.6283
2009-08-20,4.8277
2009-08-21,4.7877
2009-08-24,4.9075
2009-08-25,5.0273
2009-08-26,4.9474
2009-08-27,4.9474
2009-08-28,4.9474
2009-08-31,4.9474
2009-09-01,4.5405
2009-09-02,4.5405
2009-09-03,4.5883
2009-09-04,4.3888
2009-09-07,4.3888
2009-09-08,4.301
2009-09-09,4.2691
2009-09-10,4.3888
2009-09-11,4.3888
2009-09-14,4.5086
2009-09-15,4.5086
2009-09-16,4.5485
2009-09-17,4.7081
2009-09-18,4.7081
2009-09-21,4.692
2009-09-22,5.3464
2009-09-23,5.9049
2009-09-24,5.969
2009-09-25,5.9608
2009-09-28,5.9448
2009-09-29,5.8968
2009-09-30,5.7454
2009-10-01,5.8811
2009-10-02,5.8651
2009-10-05,5.6656
2009-10-06,5.7454
2009-10-07,5.5858
2009-10-08,5.8253
2009-10-09,5.9608
2009-10-12,5.7932
2009-10-13,5.5858
2009-10-14,5.7294
2009-10-15,5.6576
2009-10-16,5.6098
2009-10-19,5.4422
2009-10-20,5.3063
2009-10-21,5.482
2009-10-22,5.3622
2009-10-23,5.2346
2009-10-26,5.2666
2009-10-27,5.3464
2009-10-28,5.1867
2009-10-29,5.107
2009-10-30,5.147
2009-11-02,5.2666
2009-11-03,5.3224
2009-11-04,5.3224
2009-11-05,5.1549
2009-11-06,5.1549
2009-11-09,5.1389
2009-11-10,5.1229
