<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2014-11-25,176.59,185.89,175.2,185.89
2014-11-26,190.82,198.9,186.82,195.18
2014-11-27,198.71,198.71,188.21,191.09
2014-11-28,192.11,198.71,187.75,197.05
2014-12-01,198.07,198.07,193.32,196.58
2014-12-02,193.98,197.05,193.88,195.23
2014-12-03,196.11,196.11,189.61,193.23
2014-12-04,191.93,192.85,191.93,192.39
2014-12-05,192.16,193.27,191.93,193.27
2014-12-08,193.27,193.27,191.93,192.35
2014-12-09,191.93,192.39,188.78,192.02
2014-12-10,189.61,191.28,189.14,189.74
2014-12-11,189.7,189.7,177.8,180.31
2014-12-12,181.23,184.49,180.4,182.17
2014-12-15,181.7,184.31,181.23,184.31
2014-12-16,184.31,184.35,179.76,183.98
2014-12-17,184.35,184.35,181.23,181.23
2014-12-18,181.23,183.1,180.31,180.31
2014-12-19,178.54,178.92,177.62,177.99
2014-12-22,177.62,181.23,177.53,179.39
2014-12-23,177.62,178.92,177.62,178.92
2014-12-29,178.46,179.47,178.46,178.46
2014-12-30,179.52,184.03,179.52,184.03
2015-01-02,184.03,188.58,181.23,183.34
2015-01-05,184.49,184.49,183.56,184.03
2015-01-07,184.03,184.03,179.39,184.03
2015-01-08,184.49,184.49,181.23,184.03
2015-01-09,184.86,184.86,181.06,181.06
2015-01-12,181.23,182.08,181.06,181.23
2015-01-13,179.47,179.85,175.3,175.67
2015-01-14,175.3,175.3,168.23,171.94
2015-01-15,171.94,171.94,164.7,171.82
2015-01-16,169.62,171.82,167.3,171.82
2015-01-19,170.46,171.82,167.62,171.82
2015-01-20,168.23,179.85,168.23,179.85
2015-01-21,177.53,179.85,174.73,179.85
2015-01-22,177.53,179.85,177.53,179.8
2015-01-23,177.53,179.39,177.53,179.39
2015-01-26,177.53,179.8,177.53,179.57
2015-01-27,179.8,179.8,179.8,179.8
2015-01-28,177.53,177.53,177.11,177.11
2015-01-29,177.11,179.39,177.11,179.39
2015-01-30,177.11,179.39,177.11,179.39
2015-02-02,177.11,179.29,177.11,179.29
2015-02-03,177.11,178.41,177.11,178.41
2015-02-04,175.67,177.53,172.97,177.53
2015-02-06,172.97,172.97,172.97,172.97
2015-02-09,172.88,172.88,172.83,172.83
2015-02-10,172.46,172.88,167.3,172.88
2015-02-11,168.23,172.88,168.23,172.88
2015-02-12,172.88,172.88,167.3,172.88
2015-02-16,172.88,177.43,172.88,176.59
2015-02-17,176.59,181.11,176.59,176.59
2015-02-18,174.73,175.67,174.73,175.67
2015-02-19,176.13,182.17,171.02,182.17
2015-02-20,181.23,182.64,181.23,182.64
2015-02-23,173.16,173.16,173.16,173.16
2015-02-24,175.67,176.59,173.9,176.59
2015-02-25,176.27,181.23,176.27,180.78
2015-02-26,179.94,181.16,176.59,181.16
2015-02-27,176.59,181.16,176.59,176.59
2015-03-02,176.59,178.46,176.59,178.46
2015-03-03,176.59,178.46,174.73,176.59
2015-03-04,178.27,178.41,178.27,178.36
2015-03-05,178.36,178.36,176.59,178.36
2015-03-06,176.59,177.53,176.59,177.53
