<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1993-09-30,2.0459,2.0459,2.0459,2.0459
1993-10-04,2.0459,2.0459,2.0459,2.0459
1993-10-05,2.0459,2.0459,2.0459,2.0459
1993-10-07,2.036,2.036,2.036,2.036
1993-10-11,1.9866,1.9866,1.9866,1.9866
1993-10-12,2.1645,2.1645,2.1645,2.1645
1993-10-14,2.3227,2.3227,2.3227,2.3227
1993-10-18,2.3721,2.3721,2.3721,2.3721
1993-10-19,2.3424,2.3424,2.3424,2.3424
1993-10-21,2.2733,2.2733,2.2733,2.2733
1993-10-26,2.0657,2.0657,2.0657,2.0657
1993-10-28,2.2634,2.2634,2.2634,2.2634
1993-11-02,2.3721,2.3721,2.3721,2.3721
1993-11-04,2.3721,2.3721,2.3721,2.3721
1993-11-08,2.2733,2.2733,2.2733,2.2733
1993-11-09,2.2733,2.2733,2.2733,2.2733
1993-11-10,2.3523,2.3523,2.3523,2.3523
1993-11-15,2.3721,2.3721,2.3721,2.3721
1993-11-16,2.3721,2.3721,2.3721,2.3721
1993-11-18,2.293,2.293,2.293,2.293
1993-11-22,2.0953,2.0953,2.0953,2.0953
1993-11-23,2.3029,2.3029,2.3029,2.3029
1993-11-25,2.3424,2.3424,2.3424,2.3424
1993-11-29,2.5698,2.5698,2.5698,2.5698
1993-11-30,2.8267,2.8267,2.8267,2.8267
1993-12-02,2.7674,2.7674,2.7674,2.7674
1993-12-06,3.0442,3.0442,3.0442,3.0442
1993-12-07,2.9651,2.9651,2.9651,2.9651
1993-12-09,3.064,3.064,3.064,3.064
1993-12-13,3.1826,3.1826,3.1826,3.1826
1993-12-14,3.2023,3.2023,3.2023,3.2023
1993-12-16,3.2616,3.2616,3.2616,3.2616
1993-12-20,3.3605,3.3605,3.3605,3.3605
1993-12-21,3.2419,3.2419,3.2419,3.2419
1993-12-23,3.3407,3.3407,3.3407,3.3407
1993-12-27,3.5384,3.5384,3.5384,3.5384
1993-12-28,3.1924,3.1924,3.1924,3.1924
1993-12-30,3.3605,3.3605,3.3605,3.3605
1994-01-03,3.4593,3.4593,3.4593,3.4593
1994-01-04,3.3605,3.3605,3.3605,3.3605
1994-01-06,3.6174,3.6174,3.6174,3.6174
1994-01-10,3.5581,3.5581,3.5581,3.5581
1994-01-11,3.657,3.657,3.657,3.657
1994-01-13,4.0227,4.0227,4.0227,4.0227
1994-01-17,4.418,4.418,4.418,4.418
1994-01-18,4.8529,4.8529,4.8529,4.8529
1994-01-20,5.2384,5.2384,5.2384,5.2384
1994-01-24,5.1297,5.1297,5.1297,5.1297
1994-01-25,5.6337,5.6337,5.6337,5.6337
1994-01-27,5.6337,5.6337,5.6337,5.6337
1994-01-31,5.0703,5.0703,5.0703,5.0703
1994-02-01,4.5663,4.5663,4.5663,4.5663
1994-02-03,5.0209,5.0209,5.0209,5.0209
1994-02-07,4.9419,4.9419,4.9419,4.9419
1994-02-08,5.1988,5.1988,5.1988,5.1988
1994-02-10,5.1988,5.1988,5.1988,5.1988
1994-02-14,5.7128,5.7128,5.7128,5.7128
1994-02-15,5.9302,5.9302,5.9302,5.9302
1994-02-17,5.9302,5.9302,5.9302,5.9302
1994-02-21,5.7326,5.7326,5.7326,5.7326
1994-02-22,5.9302,5.9302,5.9302,5.9302
1994-02-24,6.5233,6.5233,6.5233,6.5233
1994-02-28,7.0174,7.0174,7.0174,7.0174
1994-03-01,6.9186,6.9186,6.9186,6.9186
1994-03-03,7.2151,7.2151,7.2151,7.2151
1994-03-07,7.4128,7.4128,7.4128,7.4128
1994-03-08,7.2151,7.2151,7.2151,7.2151
1994-03-10,6.9186,6.9186,6.9186,6.9186
1994-03-14,6.7209,6.7209,6.7209,6.7209
1994-03-15,6.5233,6.5233,6.5233,6.5233
1994-03-17,6.5233,6.5233,6.5233,6.5233
1994-03-21,5.8808,5.8808,5.8808,5.8808
1994-03-22,5.3372,5.3372,5.3372,5.3372
1994-03-24,5.8314,5.8314,5.8314,5.8314
1994-03-28,5.2878,5.2878,5.2878,5.2878
1994-03-29,4.764,4.764,4.764,4.764
1994-03-31,4.2895,4.2895,4.2895,4.2895
1994-04-05,3.8645,3.8645,3.8645,3.8645
1994-04-07,4.2006,4.2006,4.2006,4.2006
1994-04-08,4.1907,4.1907,4.1907,4.1907
1994-04-11,3.7756,3.7756,3.7756,3.7756
1994-04-12,3.4,3.4,3.4,3.4
1994-04-14,2.9651,2.9651,2.9651,2.9651
1994-04-18,3.064,3.064,3.064,3.064
1994-04-19,3.3703,3.3703,3.3703,3.3703
1994-04-21,3.9535,3.9535,3.9535,3.9535
1994-04-25,3.9535,3.9535,3.9535,3.9535
1994-04-26,3.5581,3.5581,3.5581,3.5581
1994-04-28,3.2023,3.2023,3.2023,3.2023
1994-05-05,3.1628,3.1628,3.1628,3.1628
1994-05-06,3.2616,3.2616,3.2616,3.2616
1994-05-09,2.9355,2.9355,2.9355,2.9355
1994-05-10,2.9651,2.9651,2.9651,2.9651
1994-05-12,2.9651,2.9651,2.9651,2.9651
1994-05-16,3.2616,3.2616,3.2616,3.2616
1994-05-17,3.0738,3.0738,3.0738,3.0738
1994-05-19,3.1529,3.1529,3.1529,3.1529
1994-05-23,3.2616,3.2616,3.2616,3.2616
1994-05-24,3.3605,3.3605,3.3605,3.3605
1994-05-26,3.3506,3.3506,3.3506,3.3506
1994-05-30,3.2616,3.2616,3.2616,3.2616
1994-05-31,3.1628,3.1628,3.1628,3.1628
1994-06-01,2.9651,2.9651,2.9651,2.9651
1994-06-06,2.6884,2.6884,2.6884,2.6884
1994-06-07,2.6587,2.6587,2.6587,2.6587
1994-06-09,2.6587,2.6587,2.6587,2.6587
1994-06-13,2.4017,2.4017,2.4017,2.4017
1994-06-14,2.1645,2.1645,2.1645,2.1645
1994-06-16,2.2733,2.2733,2.2733,2.2733
1994-06-20,2.0459,2.0459,2.0459,2.0459
1994-06-21,1.8779,1.8779,1.8779,1.8779
1994-06-23,1.6901,1.6901,1.6901,1.6901
1994-06-27,1.8581,1.8581,1.8581,1.8581
1994-06-28,1.957,1.957,1.957,1.957
1994-06-30,1.957,1.957,1.957,1.957
1994-07-04,1.9669,1.9669,1.9669,1.9669
1994-07-05,2.0064,2.0064,2.0064,2.0064
1994-07-06,2.2041,2.2041,2.2041,2.2041
1994-07-07,2.2238,2.2238,2.2238,2.2238
1994-07-11,2.3721,2.3721,2.3721,2.3721
