<DATE>,<CLOSE>
2018-07-26,17.5
2018-07-27,17.47
2018-07-30,17.47
2018-07-31,16.2
2018-08-01,16.97
2018-08-02,17
2018-08-03,17.47
2018-08-06,17.47
2018-08-07,17.47
2018-08-08,17.47
2018-08-09,17.47
2018-08-10,17.47
2018-08-13,17.47
2018-08-14,17.45
2018-08-16,17.44
2018-08-17,17.44
2018-08-20,17
2018-08-21,17.44
2018-08-22,17.44
2018-08-23,17.44
2018-08-24,17.3
2018-08-27,17.44
2018-08-28,17.44
2018-08-29,17.2
2018-08-30,16.6
2018-08-31,17.1
2018-09-03,17.4
2018-09-04,17.45
2018-09-05,17.3
2018-09-07,17.4
2018-09-10,17.2
2018-09-11,17.2
2018-09-12,17.2
2018-09-13,17.2
2018-09-14,17.2
2018-09-17,17.1
2018-09-18,17.1
2018-09-19,17
2018-09-20,17
2018-09-21,16.8
2018-09-24,16.8
2018-09-25,16.3
2018-09-26,16.8
2018-09-27,16.8
2018-09-28,16.8
2018-10-01,16.8
2018-10-02,17.1
2018-10-03,17.09
2018-10-04,17
2018-10-05,17
2018-10-08,17.01
2018-10-09,16.9
2018-10-10,16.9
2018-10-11,17
2018-10-12,17
2018-10-15,17
2018-10-16,17
2018-10-17,17
2018-10-18,17
2018-10-19,17
2018-10-22,17
2018-10-23,17
2018-10-24,17
2018-10-25,17
2018-10-26,17
2018-10-30,17
2018-10-31,17
2018-11-02,17
2018-11-05,17
2018-11-06,17
2018-11-07,17
2018-11-08,17
2018-11-09,17
2018-11-13,17
2018-11-14,17
2018-11-15,17
2018-11-16,17
2018-11-19,17
2018-11-20,17
2018-11-21,17
2018-11-22,17
2018-11-23,17
2018-11-26,17
2018-11-27,17
2018-11-28,17
2018-11-29,17
2018-11-30,17
2018-12-03,17
2018-12-04,17
2018-12-05,17
2018-12-06,17
2018-12-07,17
2018-12-10,17
2018-12-11,16.5
2018-12-12,16.5
2018-12-13,17
2018-12-14,17
2018-12-18,17
2018-12-20,16.5
2018-12-21,17
2018-12-27,17.1
2018-12-28,17.1
2019-01-03,17.1
2019-01-11,17.3
2019-01-14,15.89
2019-01-15,16
2019-01-16,15.32
2019-01-17,16
2019-01-18,16.19
2019-01-25,15.5
2019-01-29,15.35
2019-01-30,16
2019-01-31,16.2
2019-02-01,16.4
2019-02-04,15.7
2019-02-05,15.79
2019-02-06,15.05
2019-02-07,15.49
2019-02-08,15.49
2019-02-14,15.6
2019-02-18,15.62
2019-02-19,15
2019-02-20,14.9
2019-02-26,14.51
2019-03-06,15.2
2019-03-12,15
2019-03-13,14.55
2019-03-15,14.548
2019-03-18,14.54
2019-03-19,14.54
2019-03-20,14.54
2019-03-21,14.54
2019-03-22,14.548
2019-03-25,14.52
2019-03-26,13.86
2019-03-27,14.54
2019-03-28,14.54
2019-03-29,15.5
2019-04-01,15.084
2019-04-02,14.388
2019-04-04,15.8
2019-04-08,14.6
2019-04-17,14.75
2019-04-18,14.75
2019-04-24,14.75
2019-04-25,14.06
2019-04-29,14.07
2019-04-30,14.27
2019-05-14,14.468
2019-05-17,14.1
2019-05-20,14.1
2019-05-21,14.1
2019-05-22,14.1
2019-05-23,14.1
2019-05-24,14.1
2019-05-27,14
2019-05-28,14
2019-06-03,14
2019-06-04,14
2019-06-05,14
2019-06-06,14
2019-06-07,14
2019-06-10,14
2019-06-11,14
2019-06-12,14
2019-06-13,14
2019-06-14,14
2019-06-17,13.47
2019-06-18,14
2019-07-04,14
2019-07-05,13.998
2019-07-08,14
2019-07-09,12.72
2019-07-10,12.628
2019-07-11,12.628
2019-07-16,12.1
2019-07-17,11.15
2019-07-18,9
2019-07-19,9.45
2019-07-22,9.45
2019-07-23,9
2019-07-24,9.45
2019-07-25,10
2019-07-26,10.1
2019-07-30,10.05
2019-07-31,9.6
2019-08-01,9.5
2019-08-02,9.5
2019-08-05,9.5
2019-08-06,9.4
2019-08-08,9.36
2019-08-09,9.36
2019-08-12,9.36
2019-08-13,9.36
2019-08-14,8.92
2019-08-16,8.92
2019-08-19,9
2019-08-20,8.89
2019-08-21,8.85
2019-08-22,8.47
2019-08-23,8.47
2019-08-26,8.45
2019-08-27,7.919
2019-08-28,8.45
2019-08-29,8.45
2019-08-30,8.45
2019-09-04,7.95
2019-09-05,7.95
2019-09-06,8.6
2019-09-09,9.026
2019-09-10,9.028
2019-09-12,8.699
2019-09-16,8.7
2019-09-17,8.3
2019-09-18,8.3
2019-09-19,8
2019-09-20,8.3
2019-09-23,7.62
2019-09-24,7.1
2019-09-25,6.85
2019-09-26,6.82
2019-09-27,7
2019-09-30,7
2019-10-01,6.99
2019-10-02,6.98
2019-10-03,6.66
2019-10-07,6.66
2019-10-08,6.88
